model,Gsolv,timing
0,-4704.964263,67.92
1,-4690.8784555,68.94
2,-4695.987678500001,66.97
3,-4597.2925079999995,68.47
4,-4521.4050560000005,67.59
5,-4549.4165155,66.69
6,-4568.427761,68.47
7,-4654.5940455,68.45
8,-4577.648517,68.77
9,-4606.1798255,67.52
10,-4572.3266285,66.5
11,-4523.2087745,66.69
12,-4540.227265500001,66.53
13,-4584.107247,67.68
14,-4605.4184305,68.49
15,-4520.328601,67.49
16,-4528.9901255,69.12
17,-4505.7807055,69.19
18,-4531.613,67.29
19,-4574.167104,68.22
20,-4642.7110325,67.85
21,-4619.315202,65.5
22,-4643.102232,66.1
23,-4621.541626,64.28
24,-4707.2195675,66.61
25,-4621.1871835,66.85
26,-4717.4117585,65.34
27,-4709.1650629999995,67.47
28,-4686.0895435,67.03
29,-4800.2305305,67.5
30,-4638.1899215,66.03
31,-4662.2710075,67.46
32,-4504.433824,65.88
33,-4555.4735439999995,65.67
34,-4596.3972125,66.22
35,-4552.4620955,66.68
36,-4590.73926,66.03
37,-4680.481475500001,65.56
38,-4707.9179505,67.16
39,-4620.4467925,63.19
40,-4588.817394,64.34
41,-4636.7879045,64.32
42,-4570.5412885,66.2
43,-4560.17844,65.48
44,-4481.311045500001,65.94
45,-4538.4366745,64.75
46,-4483.6661189999995,65.96
47,-4544.682739,66.48
48,-4540.8626365,66.75
49,-4613.644122,64.97
50,-4623.542257,66.63
51,-4592.745142,64.79
52,-4600.9918375,65.89
53,-4579.528375,65.32
54,-4567.3040470000005,65.75
55,-4604.9983505,64.5
56,-4650.3197315,64.51
57,-4688.4314895,66.25
58,-4584.96316,65.64
59,-4543.4618815,66.22
60,-4481.1535155,66.65
61,-4666.7973695,67.15
62,-4569.220662,67.18
63,-4635.5486685,66.06
64,-4536.013338,67.08
65,-4542.5167015,65.7
66,-4606.093183999999,66.05
67,-4550.112273000001,67.83
68,-4450.043966,67.11
69,-4489.8754265,67.1
70,-4556.108915,67.87
71,-4569.309929,67.26
72,-4485.498718,66.83
73,-4575.9183125,66.14
74,-4612.457396,67.69
75,-4610.1023225,69.2
76,-4538.108487,67.53
77,-4623.0040295,69.72
78,-4582.419050500001,68.22
79,-4587.793449,67.38
80,-4608.0176755,64.11
81,-4660.567058,66.14
82,-4614.820346,66.32
83,-4643.8189935,65.28
84,-4614.100958999999,66.75
85,-4631.7837015000005,66.76
86,-4626.488068,65.47
87,-4577.2678195,64.72
88,-4661.2733175,65.26
89,-4738.8463405,67.21
90,-4715.791824999999,65.31
91,-4787.244807499999,67.02
92,-4689.941151999999,66.48
93,-4601.9527705,67.75
94,-4626.7059845,66.29
95,-4582.195883,66.31
96,-4682.5241145,65.64
97,-4687.2421380000005,66.66
98,-4601.6587145,67.34
99,-4622.229507,66.49
100,-4622.880631,67.44
101,-4566.6660505,66.4
102,-4569.6066105,68.35
103,-4588.313298,67.87
104,-4483.587354,69.0
105,-4523.2245275,67.58
106,-4526.346247,66.48
107,-4542.8160085,66.94
108,-4539.0510415,67.32
109,-4579.013777,67.04
