model,Gsolv,timing
0,-31.1410555,0.09
1,-30.587075000000002,0.07
2,-28.623201,0.1
3,-32.703228,0.08
4,-27.909065000000002,0.08
5,-29.594636,0.08
6,-29.946452999999998,0.09
7,-27.9957065,0.08
8,-29.051157500000002,0.09
9,-28.0482165,0.08
10,-30.303521,0.07
11,-32.466933,0.09
12,-28.287137,0.07
13,-32.9368975,0.08
14,-30.9310155,0.09
15,-28.465670999999997,0.08
16,-33.123308,0.1
17,-28.203121,0.09
18,-30.474178499999997,0.08
19,-32.571953,0.07
20,-31.4771195,0.08
21,-29.0564085,0.06
22,-30.697346,0.07
23,-31.836813,0.08
24,-28.344898,0.08
25,-29.872939,0.08
26,-29.888692,0.08
27,-33.123308,0.08
28,-29.854560499999998,0.08
29,-31.8656935,0.08
30,-31.529629500000002,0.07
31,-30.7734855,0.07
32,-29.749540500000002,0.07
33,-32.629714,0.06
34,-27.932694499999997,0.08
35,-30.749856,0.07
36,-30.739354,0.07
37,-29.61564,0.08
38,-26.236621500000002,0.08
39,-30.398039,0.08
40,-30.0173415,0.08
41,-30.5161865,0.07
42,-32.0809845,0.1
43,-35.066178,0.1
44,-30.1328635,0.08
45,-30.8364975,0.08
46,-30.0120905,0.08
47,-30.660588999999998,0.07
48,-30.445298,0.08
49,-30.182747999999997,0.09
50,-31.534880500000003,0.07
51,-30.996653000000002,0.08
52,-30.177497000000002,0.09
53,-29.749540500000002,0.07
54,-33.191571,0.08
55,-31.4561155,0.07
56,-29.862437,0.08
57,-30.555569000000002,0.11
58,-29.8913175,0.07
59,-30.749856,0.08
60,-29.111544000000002,0.08
61,-28.402659,0.08
62,-27.549371500000003,0.09
63,-30.849625,0.08
64,-31.327466,0.09
65,-26.5779365,0.08
66,-31.206693,0.08
67,-28.260882,0.08
68,-29.505368999999998,0.07
69,-29.5237475,0.08
70,-37.0221755,0.07
71,-34.49907,0.09
72,-30.723601000000002,0.09
73,-33.1311845,0.08
74,-31.353721,0.09
75,-29.463361,0.07
76,-29.276950499999998,0.07
77,-30.266764,0.07
78,-28.649456,0.09
79,-29.410851,0.07
80,-30.182747999999997,0.09
81,-29.972708,0.08
82,-25.630131,0.07
83,-26.916626,0.08
84,-27.25269,0.07
85,-29.7285365,0.07
86,-28.82799,0.09
87,-26.795853,0.09
88,-31.7606735,0.07
89,-34.2076395,0.09
90,-28.0219615,0.08
91,-31.1042985,0.09
92,-29.187683500000002,0.08
93,-29.649771499999996,0.07
94,-29.271699499999997,0.08
95,-31.285458,0.1
96,-32.860758,0.07
97,-33.1994475,0.09
98,-28.854245,0.07
99,-30.5214375,0.07
100,-31.571637499999998,0.09
101,-27.575626500000002,0.08
102,-31.327466,0.08
103,-29.867688,0.07
104,-32.613961,0.08
105,-32.9368975,0.09
106,-28.938261,0.09
107,-26.843112,0.08
108,-29.694405000000003,0.07
109,-29.0406555,0.06
110,-30.9730235,0.08
111,-31.259203,0.08
112,-29.400349,0.08
113,-30.203752,0.08
114,-30.7787365,0.07
115,-31.267079499999998,0.09
116,-29.917572500000002,0.08
117,-33.049794,0.09
118,-29.3872215,0.07
119,-34.9532815,0.08
120,-30.1171105,0.08
121,-27.3498335,0.07
122,-33.102304,0.07
123,-31.763299,0.09
124,-27.5021125,0.08
125,-29.6707755,0.07
126,-25.241556999999997,0.07
127,-29.153551999999998,0.08
128,-28.575941999999998,0.08
129,-30.4899315,0.06
130,-33.023539,0.08
131,-28.1847425,0.06
132,-29.788923,0.07
133,-27.4811085,0.07
134,-27.7436585,0.08
135,-28.4682965,0.08
136,-28.9198825,0.07
137,-32.477435,0.08
138,-28.533934,0.08
139,-31.721291,0.08
140,-32.697977,0.08
141,-31.285458,0.07
142,-30.6264575,0.08
143,-29.463361,0.07
144,-29.350464499999998,0.08
145,-28.8096115,0.08
146,-27.021646,0.08
147,-29.3189585,0.08
148,-31.025533499999998,0.07
149,-31.836813,0.1
150,-33.7140455,0.09
151,-30.419043000000002,0.07
152,-33.314969500000004,0.07
153,-33.989723,0.09
154,-25.7272745,0.08
155,-31.878821,0.09
156,-30.227381500000003,0.07
157,-31.130553499999998,0.07
158,-32.1387455,0.08
159,-30.6789675,0.08
160,-33.270336,0.07
161,-26.693458500000002,0.08
162,-31.120051500000002,0.08
163,-28.108603000000002,0.08
164,-31.274956000000003,0.07
165,-30.209003000000003,0.09
166,-32.6270885,0.08
167,-30.87588,0.09
168,-33.065546999999995,0.08
169,-30.398039,0.08
170,-32.887013,0.09
171,-33.4567465,0.08
172,-27.7384075,0.08
173,-30.232632499999998,0.07
174,-24.7295845,0.08
175,-32.8161245,0.09
176,-30.190624500000002,0.08
177,-32.3750405,0.08
178,-29.6287675,0.09
179,-33.0576705,0.08
180,-29.363591999999997,0.1
181,-30.03572,0.09
182,-29.783672,0.09
183,-29.500117999999997,0.08
184,-30.5319395,0.07
185,-29.0721615,0.08
186,-26.759096,0.08
187,-30.9100115,0.08
188,-32.6270885,0.08
189,-25.908434,0.08
190,-31.235573499999997,0.08
191,-30.377035,0.07
192,-30.5897005,0.08
193,-29.0091495,0.08
194,-29.720660000000002,0.1
195,-29.844058500000003,0.09
196,-30.1013575,0.07
197,-25.4227165,0.09
198,-32.0704825,0.07
199,-28.5313085,0.06
200,-32.414423,0.08
201,-28.985519999999998,0.09
202,-32.4905625,0.08
203,-28.4577945,0.07
204,-28.3527745,0.08
205,-33.251957499999996,0.08
206,-31.7029125,0.08
207,-31.989092,0.08
208,-33.708794499999996,0.08
209,-27.9747025,0.07
210,-29.4974925,0.08
211,-29.384596000000002,0.09
212,-26.454538,0.09
213,-27.299948999999998,0.08
214,-26.6514505,0.09
215,-33.4514955,0.08
216,-27.134542500000002,0.08
217,-27.783040999999997,0.08
218,-26.1736095,0.08
219,-28.596946000000003,0.07
220,-29.518496499999998,0.08
221,-31.9654625,0.09
222,-27.9484475,0.08
223,-28.967141499999997,0.07
224,-29.4659865,0.07
225,-28.969767,0.09
226,-27.895937500000002,0.08
227,-27.825049,0.07
228,-31.075418,0.1
229,-32.430176,0.08
230,-28.9093805,0.08
231,-28.675711,0.07
232,-29.098416500000003,0.08
233,-31.393103500000002,0.07
234,-30.539816,0.07
235,-29.185057999999998,0.08
236,-28.119105,0.08
237,-27.8066705,0.09
238,-28.182117,0.07
239,-30.8732545,0.07
240,-31.605769,0.08
241,-32.2017575,0.08
242,-32.122992499999995,0.09
243,-30.3901625,0.07
244,-31.642526,0.07
245,-28.350149000000002,0.08
246,-27.347208,0.08
247,-31.398354499999996,0.07
248,-27.407594500000002,0.07
249,-27.278945,0.08
250,-28.413161,0.06
251,-32.6375905,0.08
252,-26.2156175,0.08
253,-33.2834635,0.08
254,-26.743343000000003,0.07
255,-31.7974305,0.07
256,-30.0015885,0.08
257,-31.358971999999998,0.08
258,-28.5680655,0.09
259,-26.270753,0.07
260,-30.230007,0.08
261,-30.311397499999998,0.08
262,-30.7524815,0.08
263,-28.5523125,0.08
264,-30.828621000000002,0.08
265,-26.990139999999997,0.08
266,-29.7285365,0.08
267,-31.374725,0.09
268,-31.1883145,0.07
269,-33.4724995,0.09
270,-30.776111,0.1
271,-29.0721615,0.08
272,-31.253951999999998,0.07
273,-30.6002025,0.09
274,-28.019336,0.08
275,-27.1975545,0.07
276,-28.9198825,0.08
277,-25.6485095,0.08
278,-27.825049,0.1
279,-26.743343000000003,0.06
280,-29.6025125,0.07
281,-32.104614,0.06
282,-28.649456,0.09
283,-29.599887,0.09
284,-30.6789675,0.08
285,-28.224124999999997,0.07
286,-31.0780435,0.07
287,-27.0242715,0.08
288,-32.115116,0.08
289,-33.2257025,0.09
290,-31.3563465,0.08
291,-27.7174035,0.09
292,-25.57237,0.07
293,-27.362961000000002,0.09
294,-29.4554845,0.08
295,-28.8253645,0.08
296,-29.101042,0.07
297,-30.363907500000003,0.08
298,-26.606817000000003,0.08
299,-29.613014500000002,0.09
300,-27.924818,0.08
301,-31.45349,0.09
302,-27.924818,0.07
303,-30.513561,0.08
304,-25.162792,0.08
305,-31.372099499999997,0.07
306,-29.1141695,0.07
307,-28.050842000000003,0.09
308,-31.001904000000003,0.08
309,-28.5313085,0.08
310,-28.539185,0.1
311,-28.0482165,0.09
312,-27.3445825,0.09
313,-29.1824325,0.07
314,-26.4991715,0.07
315,-30.2378835,0.08
316,-27.530993000000002,0.08
317,-28.376404,0.08
318,-29.6602735,0.08
319,-27.2028055,0.08
320,-26.4046535,0.09
321,-28.943512000000002,0.09
322,-25.391210500000003,0.09
323,-25.8953065,0.07
324,-27.336706,0.06
325,-27.494236,0.08
326,-25.6012505,0.08
327,-28.4577945,0.08
328,-31.159434,0.09
329,-29.4817395,0.08
330,-30.201126499999997,0.08
331,-30.786613,0.08
332,-29.762668,0.08
333,-29.402974500000003,0.07
334,-29.946452999999998,0.08
335,-29.4764885,0.08
336,-24.845106499999996,0.09
337,-30.419043000000002,0.09
338,-26.239247,0.09
339,-28.701966000000002,0.09
340,-32.0652315,0.08
341,-31.6399005,0.08
342,-31.34847,0.09
343,-30.363907500000003,0.08
344,-31.7344185,0.09
345,-28.5313085,0.09
346,-28.780731,0.1
347,-27.822423500000003,0.07
348,-27.846053,0.07
349,-30.463676500000002,0.09
350,-30.261513,0.08
351,-29.710158,0.07
352,-28.042965499999998,0.08
353,-30.3429035,0.1
354,-31.5191275,0.08
355,-29.980584500000003,0.07
356,-25.6852665,0.09
357,-26.176235,0.08
358,-27.3760885,0.07
359,-31.343219,0.09
360,-25.6957685,0.08
361,-26.57006,0.08
362,-26.3626455,0.09
363,-28.759727,0.08
364,-30.692095000000002,0.07
365,-26.2471235,0.08
366,-29.977959,0.07
367,-27.790917500000003,0.08
368,-26.619944500000003,0.08
369,-27.35771,0.09
370,-27.867057,0.08
371,-29.1771815,0.08
372,-28.1899935,0.08
373,-25.178545,0.08
374,-32.855507,0.08
375,-31.40098,0.07
376,-27.783040999999997,0.08
377,-30.251011,0.09
378,-28.392157,0.08
379,-26.1631075,0.09
380,-29.949078500000002,0.07
381,-29.350464499999998,0.09
382,-27.3970925,0.09
383,-28.2635075,0.08
384,-29.395097999999997,0.08
385,-29.240193499999997,0.09
386,-31.666155500000002,0.08
387,-27.386590499999997,0.08
388,-27.530993000000002,0.07
389,-25.656385999999998,0.08
390,-24.721708000000003,0.07
391,-28.113854,0.08
392,-31.55851,0.08
393,-31.201442,0.07
394,-32.369789499999996,0.08
395,-28.0797225,0.07
396,-28.105977499999998,0.08
397,-31.007154999999997,0.07
398,-32.6795985,0.08
399,-27.573000999999998,0.1
400,-28.14536,0.08
401,-27.8749335,0.08
402,-26.790602,0.07
403,-28.838492000000002,0.09
404,-30.279891499999998,0.08
405,-29.500117999999997,0.08
406,-28.3842805,0.09
407,-33.2729615,0.08
408,-26.6461995,0.09
409,-29.410851,0.09
410,-26.564809,0.08
411,-29.290077999999998,0.09
412,-27.029522500000002,0.08
413,-28.686213,0.08
414,-28.182117,0.09
415,-30.4794295,0.08
416,-27.005893,0.09
417,-31.330091499999998,0.07
418,-28.497177,0.08
419,-29.074787,0.09
420,-30.190624500000002,0.08
421,-27.0137695,0.09
422,-28.728221,0.09
423,-26.900873,0.08
424,-32.0862355,0.09
425,-25.5802465,0.09
426,-29.594636,0.07
427,-30.14074,0.1
428,-28.2635075,0.08
429,-27.898563,0.08
430,-26.228745,0.07
431,-28.570690999999997,0.07
432,-29.290077999999998,0.09
433,-31.232948,0.07
434,-29.297954500000003,0.07
435,-29.8808155,0.09
436,-28.497177,0.08
437,-27.053152,0.07
438,-25.745653,0.08
439,-27.189678,0.08
440,-31.6556535,0.09
441,-30.014716,0.09
442,-28.423663,0.08
443,-29.200810999999998,0.08
444,-25.498856,0.08
445,-27.158172,0.08
446,-22.815595,0.09
447,-29.589385,0.09
448,-28.218874000000003,0.07
449,-29.9910865,0.08
450,-34.0711135,0.07
451,-29.324209500000002,0.09
452,-27.281570499999997,0.1
453,-29.0616595,0.1
454,-29.3189585,0.09
455,-29.678652,0.07
456,-27.814546999999997,0.1
457,-27.5861285,0.07
458,-26.7801,0.09
459,-26.307509999999997,0.07
460,-31.569012,0.08
461,-25.6065015,0.08
462,-25.6485095,0.09
463,-28.168989500000002,0.08
464,-27.415471,0.07
465,-26.023956000000002,0.08
466,-28.554938,0.08
467,-29.032779,0.09
468,-27.8066705,0.08
469,-27.654391500000003,0.08
470,-29.0564085,0.08
471,-32.172877,0.06
472,-28.743973999999998,0.08
473,-29.542126,0.08
474,-28.93301,0.07
475,-31.826311,0.06
476,-28.2897625,0.09
477,-26.480793,0.07
478,-28.371153,0.07
479,-30.503059,0.07
480,-32.283148,0.09
481,-27.362961000000002,0.08
482,-26.811606,0.08
483,-26.953383000000002,0.09
484,-28.5680655,0.09
485,-24.401397,0.08
486,-27.2133075,0.08
487,-29.620891,0.08
488,-27.011144,0.08
489,-29.103667499999997,0.07
490,-27.8119215,0.08
491,-31.700287,0.08
492,-29.3294605,0.08
493,-26.7459685,0.08
494,-31.411482000000003,0.08
495,-29.258571999999997,0.08
496,-29.095791,0.07
497,-30.741979500000003,0.07
498,-30.277266,0.08
499,-32.052104,0.08
500,-29.8283055,0.06
501,-28.612699,0.09
502,-26.906124000000002,0.09
503,-28.888376500000003,0.08
504,-31.5978925,0.08
505,-30.0698515,0.08
506,-29.620891,0.08
507,-28.922508,0.07
508,-28.9776435,0.08
509,-32.918519,0.08
510,-26.932379,0.09
511,-27.651766,0.08
512,-29.069536,0.08
513,-30.3796605,0.08
514,-29.5657555,0.07
515,-30.172246,0.1
516,-24.501166,0.09
517,-27.0347735,0.08
518,-29.2244405,0.09
519,-31.936581999999998,0.09
520,-26.370522,0.08
521,-28.0272125,0.09
522,-25.666888,0.07
523,-26.8562395,0.07
524,-29.5972615,0.08
525,-30.581824,0.07
526,-29.5237475,0.09
527,-31.863068,0.07
528,-26.5516815,0.1
529,-26.5044225,0.07
530,-29.980584500000003,0.09
531,-32.8476305,0.08
532,-28.1479855,0.1
533,-28.917257,0.08
534,-29.269074,0.08
535,-32.1912555,0.08
536,-30.006839499999998,0.08
537,-33.3989855,0.1
538,-29.413476499999998,0.09
539,-28.817487999999997,0.08
540,-26.8352355,0.08
541,-32.4748095,0.08
542,-31.03341,0.08
543,-28.316017499999997,0.08
544,-32.5378215,0.08
545,-27.35771,0.07
546,-26.8509885,0.09
547,-27.8696825,0.09
548,-24.188731500000003,0.08
549,-29.0406555,0.08
550,-29.4659865,0.09
551,-26.034457999999997,0.08
552,-27.796168499999997,0.08
553,-30.802366,0.08
554,-31.9654625,0.07
555,-30.50831,0.08
556,-27.399718000000004,0.09
557,-27.3970925,0.08
558,-29.799425000000003,0.09
559,-30.5897005,0.09
560,-25.756155,0.07
561,-26.9192515,0.08
562,-31.259203,0.07
563,-28.8988785,0.08
564,-27.0400245,0.09
565,-26.344267,0.07
566,-28.4998025,0.08
567,-32.146622,0.07
568,-25.3281985,0.09
569,-28.6678345,0.09
570,-26.795853,0.08
571,-26.567434499999997,0.09
572,-27.517865500000003,0.08
573,-31.5663865,0.08
574,-28.906755,0.07
575,-28.728221,0.08
576,-26.62257,0.09
577,-28.305515500000002,0.09
578,-29.620891,0.08
579,-27.068905,0.09
580,-31.708163499999998,0.1
581,-33.947715,0.08
582,-33.0996785,0.07
583,-29.857186,0.07
584,-27.5913795,0.1
585,-26.1158485,0.11
586,-33.4830015,0.08
587,-30.0435965,0.08
588,-32.025849,0.07
589,-26.333765000000003,0.09
590,-28.964516,0.07
591,-29.962206000000002,0.08
592,-28.210997499999998,0.08
593,-26.423032,0.08
594,-29.051157500000002,0.08
595,-31.645151499999997,0.08
596,-31.939207500000002,0.08
597,-27.966826,0.07
598,-29.274325,0.07
599,-30.1066085,0.09
600,-28.045591,0.07
601,-25.280939500000002,0.08
602,-27.4653555,0.09
603,-29.928074499999997,0.07
604,-30.650087,0.07
605,-26.7774745,0.08
606,-29.886066500000002,0.09
607,-26.160482000000002,0.08
608,-27.473232,0.08
609,-27.783040999999997,0.09
610,-28.6835875,0.07
611,-27.7279055,0.08
612,-31.500749,0.09
613,-30.715724499999997,0.08
614,-27.439100500000002,0.08
615,-29.024902500000003,0.09
616,-26.774849,0.1
617,-26.588438500000002,0.08
618,-28.717719,0.08
619,-30.592325999999996,0.08
620,-28.8516195,0.08
621,-26.7459685,0.07
622,-31.821060000000003,0.09
623,-31.944458500000003,0.08
624,-27.801419499999998,0.07
625,-32.4065465,0.08
626,-28.901504000000003,0.06
627,-29.993712,0.08
628,-33.4409935,0.08
629,-26.659327,0.08
630,-31.7134145,0.07
631,-29.899194,0.1
632,-28.174240499999996,0.08
633,-31.106924,0.08
634,-26.462414499999998,0.09
635,-30.1748715,0.07
636,-31.1042985,0.09
637,-28.707216999999996,0.09
638,-34.241771,0.08
639,-34.346791,0.09
640,-33.8190655,0.07
641,-27.184427,0.09
642,-25.611752499999998,0.07
643,-28.544436,0.09
644,-33.002535,0.08
645,-29.605138,0.08
646,-28.056092999999997,0.07
647,-30.332401500000003,0.07
648,-27.5336185,0.07
649,-26.6567015,0.08
650,-30.366533,0.07
651,-29.437106,0.07
652,-31.915578,0.07
653,-28.638954,0.1
654,-27.46273,0.07
655,-32.629714,0.08
656,-31.03341,0.08
657,-29.788923,0.09
658,-33.6037745,0.09
659,-33.377981500000004,0.07
660,-32.414423,0.08
661,-31.516502000000003,0.08
662,-27.772539000000002,0.08
663,-25.8165415,0.08
664,-26.147354500000002,0.07
665,-30.009465,0.07
666,-28.0902245,0.08
667,-27.3235785,0.08
668,-26.2156175,0.08
669,-31.1148005,0.09
670,-29.87819,0.09
671,-29.402974500000003,0.1
672,-29.1666795,0.09
673,-31.9234545,0.08
674,-30.933641,0.08
675,-31.290709,0.09
676,-28.922508,0.08
677,-29.4449825,0.08
678,-26.685582,0.08
679,-25.1969235,0.07
680,-30.7944895,0.08
681,-29.6392695,0.07
682,-31.2828325,0.08
683,-33.0524195,0.07
684,-33.1311845,0.09
685,-27.20018,0.09
686,-30.2116285,0.08
687,-30.419043000000002,0.11
688,-27.872308,0.08
689,-31.3195895,0.08
690,-31.5033745,0.08
691,-29.321584,0.08
692,-27.14767,0.09
693,-29.720660000000002,0.08
694,-25.577621,0.09
695,-28.5365595,0.08
696,-27.003267500000003,0.07
697,-28.581193,0.08
698,-28.455169,0.08
699,-29.090539999999997,0.08
700,-27.1765505,0.07
701,-26.948132,0.09
702,-27.368212,0.07
703,-26.223494000000002,0.07
704,-27.276319500000003,0.09
705,-29.8808155,0.07
706,-31.771175500000002,0.07
707,-29.613014500000002,0.08
708,-31.332717,0.1
709,-25.249433500000002,0.08
710,-29.095791,0.1
711,-30.6737165,0.07
712,-31.4508645,0.07
713,-28.885751,0.07
714,-27.588754,0.08
715,-24.558926999999997,0.08
716,-27.483734,0.08
717,-29.221815,0.08
718,-33.128559,0.09
719,-26.3416415,0.07
720,-28.959265,0.09
721,-30.608079,0.08
722,-29.676026500000003,0.07
723,-29.886066500000002,0.07
724,-32.272646,0.09
725,-31.5033745,0.07
726,-32.808248,0.09
727,-26.591064,0.07
728,-26.648825,0.07
729,-28.5365595,0.06
730,-30.6474615,0.07
731,-30.1171105,0.08
732,-29.2506955,0.08
733,-28.985519999999998,0.07
734,-28.2687585,0.08
735,-27.927443500000003,0.07
736,-30.8364975,0.07
737,-29.783672,0.07
738,-25.897931999999997,0.07
739,-27.1030365,0.08
740,-26.197239000000003,0.09
741,-25.908434,0.08
742,-31.038660999999998,0.07
743,-26.593689500000004,0.06
744,-27.029522500000002,0.05
745,-30.6579635,0.08
746,-26.2891315,0.07
747,-29.374094,0.07
748,-31.563761,0.07
749,-28.862121499999997,0.08
750,-27.0557775,0.08
751,-29.3924725,0.08
