model,Gsolv,timing
0,-25369.434603,65.11
1,-25394.0854225,65.16
2,-25261.3243895,67.02
3,-25401.909412499997,65.08
4,-25535.728522,66.77
5,-25047.574557999997,65.8
6,-25086.726014,64.2
7,-25515.7300885,64.92
8,-25645.41141,63.8
9,-25900.255567499997,66.73
10,-26164.950601,65.68
11,-25709.607510499998,63.66
12,-26100.8070105,65.42
13,-25884.5708305,64.4
14,-26266.9959095,64.78
15,-26090.811732000002,64.77
16,-25916.4916595,63.89
17,-25986.364091,66.72
18,-26118.6289045,63.51
19,-26215.0740215,63.5
20,-25993.437188,65.58
21,-26438.7508685,66.22
22,-26294.508524,67.39
23,-26501.975534,66.9
24,-26225.872703,66.55
25,-25967.602268000002,69.33
26,-25653.054240499998,68.47
27,-25907.777625,67.13
28,-26172.548798,68.96
29,-26041.3394355,67.73
30,-26246.708670999997,67.52
31,-26215.966691499998,67.19
32,-25996.0548115,68.6
33,-25906.937465000003,69.79
34,-26375.717864500002,68.57
35,-26172.585555,68.38
36,-26431.806421,67.19
37,-26007.2131865,69.05
38,-25740.801076,67.83
39,-25867.266160000003,67.4
40,-25621.755655,67.49
41,-26152.5871215,67.2
42,-26217.253186500002,65.06
43,-26345.277817500002,65.68
44,-26519.8525635,67.6
45,-26227.542521,65.62
46,-26597.848292000002,67.05
47,-26329.6298375,64.7
48,-26391.560131500002,66.46
49,-25441.6752355,64.73
50,-26165.2630355,64.98
51,-25481.758744000002,64.2
52,-26136.246009500002,61.84
53,-26353.6374095,64.89
54,-26317.681187,64.23
55,-26404.104770500002,66.37
56,-25879.466858499996,66.21
57,-26215.601747,66.93
58,-26378.587536,68.17
59,-25940.3364505,66.62
60,-26210.009432,67.57
61,-26162.288344,66.52
62,-26072.533001,66.95
63,-26461.9130295,67.93
64,-26049.638641,65.6
65,-26340.2683635,65.96
66,-26060.334928,66.24
67,-26179.385599999998,67.23
68,-25985.597445,66.14
69,-26687.4277265,64.96
70,-26260.9415065,63.08
71,-26181.2208245,67.85
72,-26563.2520785,66.12
73,-26633.510458499997,64.81
74,-26549.657239499997,65.69
75,-26135.8784395,66.23
76,-26078.996982,65.35
77,-26603.374969499997,66.03
78,-26235.314001,65.87
79,-25865.7092385,64.46
80,-26185.8101985,65.89
81,-25748.761592,65.92
82,-26359.6182985,66.33
83,-25807.882600999998,67.1
84,-26219.8314275,67.19
85,-25996.577286,66.21
86,-26076.082677,67.18
87,-26277.3771365,67.68
88,-26534.7233955,66.92
89,-26445.2621085,66.43
90,-26181.6461555,65.76
91,-26233.3947605,65.15
92,-26046.766344,100.78
93,-25859.247883,66.63
94,-26388.711464000004,67.27
95,-26250.447383,65.66
96,-26183.1794475,65.39
97,-25772.7402835,65.63
98,-26273.9587355,66.54
99,-26068.7128985,67.98
100,-25889.640671,67.24
101,-25843.242835,65.12
102,-26216.1504765,65.65
103,-26075.691477499997,65.38
104,-25891.5651625,66.81
105,-26186.167266499997,66.17
106,-25256.364820000003,66.85
107,-25282.212867500002,65.25
108,-25742.793830500003,64.81
109,-25612.33011,63.94
110,-25681.732577,63.04
111,-25715.997977500003,63.52
112,-25730.923945,63.61
113,-25810.077519000002,64.59
114,-26109.7442125,63.81
115,-25937.724078,66.16
116,-25491.215795,63.81
117,-25309.846255,64.16
118,-25545.193449500002,62.9
119,-25631.6774195,63.64
120,-26159.5026885,63.04
121,-25999.9668065,63.29
122,-26232.843405500003,65.25
123,-26348.268262,65.48
124,-26311.277592500002,65.51
125,-26706.641135500002,63.17
126,-26852.0623295,64.29
127,-26120.6032805,65.31
128,-25405.7321405,65.04
129,-26025.604814,63.62
130,-25926.6891015,63.33
131,-26072.7824235,62.99
132,-26089.33095,65.06
133,-26062.1859055,65.39
134,-26148.6488715,65.63
135,-26227.920593000003,64.39
136,-26065.612183,62.98
137,-26224.6413435,65.42
138,-26478.923644000002,64.28
139,-26186.7291235,62.92
140,-26298.714575,63.4
141,-26419.758001500002,63.88
142,-26514.6645755,63.66
143,-26601.5948805,67.1
144,-26784.6604935,65.78
145,-25707.087030500003,63.37
146,-26166.478642,64.31
147,-26356.667236499998,64.42
148,-26267.510507500003,64.61
149,-26642.909748500002,65.69
150,-26290.33923,65.64
151,-26434.505435,67.07
152,-26616.313433500003,68.98
153,-26475.951578,66.28
154,-26443.618545499998,64.29
155,-26724.8200975,66.12
156,-26673.5703375,64.49
157,-26631.108126000003,65.98
158,-26610.4585685,64.63
159,-26427.222297999997,66.48
160,-26832.221426,65.98
161,-26590.063684499997,64.85
162,-26080.994987500002,64.37
163,-25985.460918999997,65.52
164,-26281.131601499997,66.7
165,-26273.793329,65.47
166,-26469.634625,66.59
167,-26035.9781645,66.03
168,-26477.3457185,65.99
169,-26121.178265000002,64.76
170,-26309.2664595,64.0
171,-26527.453385999997,65.59
172,-25955.3228045,65.47
173,-26109.878113,66.47
174,-26260.503048,65.03
175,-25836.211745999997,65.63
176,-25521.1911285,66.6
177,-26236.293312499998,65.48
178,-26121.120504,64.51
179,-26016.772632,65.83
180,-26072.102419000003,66.42
181,-25975.636298,66.8
182,-25767.633686,66.7
183,-25873.3651965,65.04
184,-26003.190920499997,66.5
185,-25987.0020875,66.02
186,-25974.024241,64.26
187,-25050.950951,64.85
188,-25560.949075,64.59
189,-25491.817034500004,64.27
190,-25327.683901999997,63.78
191,-25776.843940000002,65.08
192,-26027.9913935,64.53
193,-26337.992055000002,67.3
194,-26325.224248500002,64.62
195,-26504.8031975,65.49
196,-26270.787131499997,64.26
197,-26223.504502,64.52
198,-26107.3340035,64.76
199,-26472.5200495,64.79
200,-26237.745214,63.76
201,-25738.1099385,65.62
202,-26174.517923,62.38
203,-26286.76855,65.78
204,-25980.824286,64.31
205,-26181.226075500002,63.25
206,-26208.8988455,65.41
207,-25952.474137,62.96
208,-26557.058524,63.96
209,-25715.060673999997,61.94
210,-25983.4156545,62.77
211,-25779.3933005,62.53
212,-25848.640863,64.76
213,-25729.4562905,64.95
214,-25479.826375999997,63.94
215,-25348.6800255,63.56
216,-25380.440699,63.2
217,-25314.4067485,63.59
218,-25620.532172,63.6
219,-25477.767984,65.13
220,-25211.8442165,63.4
221,-25581.1155405,64.15
222,-25500.607208499998,62.57
223,-25641.7173315,63.77
224,-25386.713018500002,64.53
225,-25759.431624,62.68
226,-25656.443761,63.45
227,-25649.945648499997,63.44
228,-25760.397808,63.53
229,-25434.7938,64.05
230,-25180.779300500002,62.99
231,-25361.810151,63.46
232,-25363.8186585,62.95
233,-25154.12785,62.43
234,-25293.7493145,62.97
235,-25291.9666,62.27
236,-25323.924186,62.53
237,-25412.419289,61.91
238,-25430.64551,62.66
239,-25350.444361500002,61.32
240,-25405.6901325,63.49
241,-25572.79008,62.28
242,-25082.976799999997,63.55
243,-25165.7771935,61.81
244,-25068.163729,61.98
245,-25455.125672000002,62.6
246,-25152.636566,62.44
247,-25631.488383500004,62.6
248,-25937.2173565,61.9
249,-25983.699208500002,62.08
250,-25626.158618499998,60.31
251,-26048.0817195,62.06
252,-25560.859808,62.62
253,-25657.680371500002,63.35
254,-26079.3829305,64.52
255,-26000.2713645,64.24
256,-25825.78326,64.12
257,-26307.6071435,62.3
258,-26100.0876235,64.76
259,-26379.144141999997,66.15
260,-26382.977371999998,64.93
261,-26014.498949,63.53
262,-25855.832107500002,64.0
263,-25785.4214485,63.92
264,-25799.838069,66.06
265,-26112.991955999998,63.93
266,-26023.375764499997,64.42
267,-25672.6667255,64.24
268,-25934.6076095,63.26
269,-25711.203814499997,63.73
270,-25727.58956,63.38
271,-25715.1972,62.9
272,-25963.580002,65.45
273,-26307.6386495,63.99
274,-26114.527873500003,64.21
275,-26076.739052,63.43
276,-26493.7393405,63.74
277,-26120.007292000002,65.24
278,-25725.0454505,64.68
279,-25522.6771615,64.31
280,-25236.505538,64.14
281,-25470.655504500002,65.95
282,-25843.1719465,65.39
283,-25649.977154499997,62.87
284,-26542.035412999998,64.95
285,-25997.7246295,63.7
286,-26840.008659,64.3
287,-26574.612617,65.55
288,-26744.3748215,63.94
289,-26550.463268,63.39
290,-26263.637895,62.88
291,-26184.7074885,63.46
292,-26156.785296000002,63.24
293,-26218.9860165,65.29
294,-26055.882080000003,63.79
295,-25904.487873500002,64.49
296,-26004.033706000002,64.74
297,-26114.651272,65.66
298,-25878.227622500002,65.76
299,-25777.8862635,64.22
300,-25905.750739,64.51
301,-26078.6635435,65.61
302,-26618.778778,62.82
303,-26614.950799,64.52
304,-26413.1837495,64.75
305,-25874.066205,62.62
306,-26134.9647655,63.44
307,-26026.52899,62.44
308,-26637.165154500002,63.51
309,-26834.332328,63.92
310,-26993.159325,65.18
311,-26626.8574415,63.88
312,-26861.343471999997,62.73
313,-26897.8142925,63.79
314,-27182.6442855,62.81
315,-27021.170784500002,63.41
316,-27042.734016,64.49
317,-27070.049718,63.48
318,-26533.213733,64.3
319,-26298.872105,66.01
320,-26726.046206,64.1
321,-26435.009531,63.56
322,-26142.234775,62.35
323,-26394.4481815,63.49
324,-26095.044038,62.61
325,-26218.8179845,63.87
326,-25961.3089445,63.49
327,-26040.381127999997,64.78
328,-26973.284290000003,62.89
329,-26604.443548,66.81
330,-26370.304083500003,66.53
331,-26801.361299,65.3
332,-26544.629407,67.2
333,-26132.0924685,68.64
334,-26446.220416,66.05
335,-25972.6301005,63.11
336,-26475.757291,64.01
337,-26605.504249999998,64.05
338,-26333.316039499998,65.56
339,-26266.289650000002,64.55
340,-26511.2041665,63.57
341,-25921.401344500002,64.52
342,-26444.2014065,64.95
343,-25778.498005,65.26
344,-25931.8560855,63.62
345,-25733.8461265,62.65
346,-25717.1269425,64.65
347,-25976.507964,64.41
348,-25639.6379355,64.3
349,-25935.9151085,65.59
350,-25512.681883,65.05
