model,Gsolv,timing
0,-4718.196783,65.84
1,-4730.255704499999,65.83
2,-4699.6581275,66.45
3,-4730.547135,64.91
4,-4761.1630905,67.18
5,-4644.7431695,65.31
6,-4650.721433,63.69
7,-4749.1750575,64.64
8,-4782.2826125,64.14
9,-4835.477868,66.18
10,-4902.6407835,65.59
11,-4795.113431,64.16
12,-4885.588161,65.4
13,-4843.7009339999995,64.58
14,-4921.441989,64.61
15,-4875.8921895,64.5
16,-4838.512946,64.65
17,-4847.954244,66.25
18,-4883.11494,63.89
19,-4901.6745995,64.58
20,-4851.0103260000005,65.61
21,-4957.765781499999,65.83
22,-4935.6039359999995,67.19
23,-4989.7653755,66.45
24,-4910.225853,66.53
25,-4852.065777,68.78
26,-4776.976477,68.62
27,-4842.5588415,65.66
28,-4896.904066,69.9
29,-4868.9083595,67.99
30,-4919.0974175,69.07
31,-4910.252108000001,67.39
32,-4865.5687235,69.02
33,-4835.8218085,69.94
34,-4956.7628405000005,68.68
35,-4905.8123875,68.02
36,-4956.4845375,67.88
37,-4861.6934855,68.52
38,-4801.871467999999,67.85
39,-4830.074589,66.72
40,-4768.469857,68.0
41,-4901.6063365,68.25
42,-4907.2406595,66.8
43,-4937.426033,67.39
44,-4984.30171,66.48
45,-4916.7738500000005,66.75
46,-4993.7298805,66.05
47,-4939.510679999999,65.57
48,-4960.5356839999995,66.44
49,-4735.026238,64.31
50,-4906.983360499999,65.07
51,-4744.795723499999,63.96
52,-4897.213875,63.39
53,-4951.314928,64.53
54,-4941.7974905,64.06
55,-4958.72934,65.73
56,-4832.9705155,66.83
57,-4911.3994514999995,67.21
58,-4950.0100545,66.87
59,-4848.468842,66.14
60,-4909.7506375,67.93
61,-4907.027994,65.62
62,-4883.0020435,66.42
63,-4972.4055695,67.96
64,-4866.5926685,66.04
65,-4932.9180495,65.81
66,-4881.6499109999995,66.24
67,-4904.822574,66.68
68,-4858.7581765,65.95
69,-5022.681269,64.88
70,-4914.4030235,65.06
71,-4900.726794,66.78
72,-4991.983923,66.7
73,-5009.5826495,65.8
74,-5000.642822,65.83
75,-4892.015385,66.02
76,-4884.7716305,67.24
77,-5003.5439995,66.55
78,-4918.55919,66.23
79,-4840.6212225,64.72
80,-4913.481473,65.36
81,-4809.2517485,66.3
82,-4950.175461,66.6
83,-4826.354255499999,66.15
84,-4916.4141565,66.46
85,-4866.9077285,64.57
86,-4880.7808705,65.97
87,-4929.6204215,66.94
88,-4994.9481125,67.04
89,-4976.194166,66.89
90,-4915.6317575,65.97
91,-4919.5437525,65.02
92,-4878.9115145,65.87
93,-4831.418845,66.29
94,-4956.607936,66.83
95,-4922.754739,64.61
96,-4909.9869325,65.56
97,-4814.1614335,65.81
98,-4927.6670495,66.35
99,-4887.173963,68.82
100,-4847.644435,66.91
101,-4830.058836,64.27
102,-4919.4439835,64.87
103,-4882.868143,65.57
104,-4842.8056385,66.42
105,-4910.5277854999995,65.85
106,-4691.303786500001,66.3
107,-4702.0368305,65.07
108,-4802.344058,65.23
109,-4776.5117635,65.26
110,-4790.7367225,63.38
111,-4797.8623295,64.88
112,-4803.4152619999995,64.03
113,-4825.753016000001,64.39
114,-4890.455838,63.98
115,-4850.532485,66.06
116,-4750.3145245,64.0
117,-4708.792242,63.92
118,-4766.6635129999995,63.41
119,-4790.5004275,63.49
120,-4910.015813,62.93
121,-4874.8367385,63.64
122,-4929.2581025,65.53
123,-4945.102995,66.46
124,-4943.511942,64.76
125,-5032.973229,62.94
126,-5066.600633,65.44
127,-4898.7392905,65.34
128,-4732.526762,64.83
129,-4882.7972545,64.56
130,-4855.2242535,64.36
131,-4889.011813,63.91
132,-4901.167878,65.52
133,-4885.777197,64.39
134,-4909.742761,66.45
135,-4922.4816869999995,65.39
136,-4882.8812705,63.19
137,-4922.3897945,64.93
138,-4982.511119,64.25
139,-4921.856818,63.36
140,-4943.351786499999,63.37
141,-4973.762953,63.95
142,-5003.1291705,64.09
143,-5010.8901485,67.33
144,-5051.8164424999995,66.07
145,-4810.0919085,64.57
146,-4909.805773,64.39
147,-4953.4389575000005,65.08
148,-4933.592803,64.85
149,-5022.0564,65.4
150,-4945.591338,65.56
151,-4968.9136545,67.11
152,-5018.6957600000005,67.83
153,-4979.8042285,66.21
154,-4977.7090795,65.47
155,-5043.364958,65.67
156,-5023.169612,64.45
157,-5023.295636,65.97
158,-5016.8920415,64.7
159,-4965.755178,65.84
160,-5067.939638,66.47
161,-5009.8819565,64.51
162,-4888.730884500001,64.72
163,-4869.19979,65.58
164,-4936.5044824999995,67.3
165,-4934.8399155,66.66
166,-4984.1940645,66.59
167,-4880.6916034999995,65.99
168,-4989.494949,65.63
169,-4903.9220275,65.23
170,-4944.6540345,64.48
171,-4999.750152,65.69
172,-4869.110523,65.07
173,-4904.034924,66.27
174,-4932.164531,64.94
175,-4835.666904,66.15
176,-4771.5837,66.78
177,-4929.3368675,65.74
178,-4902.2259545,64.95
179,-4873.82067,65.87
180,-4889.7285745,65.34
181,-4863.5523395,66.72
182,-4824.5111545,66.04
183,-4839.670791500001,65.38
184,-4868.2493589999995,65.74
185,-4869.955934,65.0
186,-4868.5985505,64.67
187,-4649.771002,63.3
188,-4763.8463515,64.41
189,-4752.677474499999,63.82
190,-4712.588715,64.09
191,-4820.5413985,65.59
192,-4872.198111000001,64.66
193,-4950.017931,66.14
194,-4946.972350999999,64.97
195,-4992.036432999999,65.23
196,-4935.3072544999995,64.66
197,-4921.6389014999995,64.73
198,-4897.9096325,64.26
199,-4984.7716745,65.15
200,-4922.1850054999995,64.6
201,-4810.1680479999995,65.44
202,-4910.7325745,64.8
203,-4931.434642,65.42
204,-4863.276662,63.77
205,-4913.218922999999,63.08
206,-4913.1139029999995,64.45
207,-4859.8136275,62.33
208,-4997.602493,64.15
209,-4806.744396,62.37
210,-4868.3727575,63.38
211,-4823.7760145,62.5
212,-4833.513994,63.93
213,-4799.3903705,65.13
214,-4746.525928,63.66
215,-4721.8436025,63.21
216,-4732.8759535,62.42
217,-4712.8958985,62.62
218,-4778.5333985,63.23
219,-4744.950628,64.53
220,-4684.947451,63.48
221,-4768.070781,64.08
222,-4756.0013575,63.4
223,-4785.000005,64.85
224,-4723.306006,64.61
225,-4808.2383055,62.61
226,-4793.238824,63.48
227,-4781.434576000001,63.47
228,-4805.4080165000005,63.63
229,-4738.9933685,64.33
230,-4675.973492,63.28
231,-4713.187329,63.2
232,-4720.9404305,63.15
233,-4673.4136295,61.7
234,-4703.173672,61.71
235,-4695.092383,62.33
236,-4714.074748,63.21
237,-4733.3485435,61.5
238,-4742.1334665,62.97
239,-4713.497138000001,61.39
240,-4726.4592315,63.39
241,-4771.6283335,62.0
242,-4647.8307575,62.42
243,-4676.2911775,62.21
244,-4648.909838,62.65
245,-4741.0412584999995,62.72
246,-4671.4340025,62.94
247,-4783.695131500001,63.27
248,-4853.5570609999995,61.42
249,-4860.7115485,62.98
250,-4779.901284,62.06
251,-4878.131741,62.08
252,-4763.4735305,62.47
253,-4780.72044,63.36
254,-4880.090364,64.21
255,-4864.9832369999995,63.68
256,-4820.1003145,63.47
257,-4937.189738,62.83
258,-4890.4847185,63.84
259,-4954.0480735,63.93
260,-4952.9138575,63.8
261,-4872.707458,63.4
262,-4834.0469705000005,62.76
263,-4816.070172,63.51
264,-4823.3979425,64.61
265,-4896.037651000001,64.36
266,-4884.2360284999995,64.64
267,-4796.444559500001,63.14
268,-4857.2511395,63.31
269,-4803.809087,62.85
270,-4810.4437255,62.25
271,-4807.39552,62.2
272,-4869.8902965,65.28
273,-4938.8726835,63.95
274,-4902.680166,63.74
275,-4885.9215994999995,63.21
276,-4986.3942335,63.21
277,-4900.700539,64.74
278,-4803.197345500001,63.94
279,-4760.2599185,64.51
280,-4698.605302,64.36
281,-4746.646701,65.51
282,-4837.573017,65.4
283,-4794.11049,62.61
284,-5000.2516225,64.77
285,-4874.634575,63.13
286,-5069.047599,63.67
287,-5005.169184,65.34
288,-5039.799529,64.4
289,-4996.686193500001,62.95
290,-4928.777636,62.88
291,-4913.5838675,63.61
292,-4910.3282475,63.89
293,-4924.2223935,65.61
294,-4881.53964,63.43
295,-4844.068504,64.85
296,-4870.8407275,64.98
297,-4895.885372,65.75
298,-4843.412128999999,65.48
299,-4817.860763,65.24
300,-4848.14328,64.07
301,-4895.5571845,66.05
302,-5023.589692,62.96
303,-5023.752473,64.7
304,-4976.708764,64.97
305,-4845.9562385,63.72
306,-4905.305666,62.84
307,-4882.4349354999995,63.06
308,-5028.312966500001,63.38
309,-5067.238629500001,63.7
310,-5110.110419,65.71
311,-5025.858124,63.75
312,-5082.5978045,62.99
313,-5086.7250905,63.61
314,-5151.9792675,62.77
315,-5122.9149824999995,62.87
316,-5113.8412545,63.61
317,-5123.962557,63.21
318,-4999.487602,64.63
319,-4955.3161900000005,66.16
320,-5047.3005825,64.5
321,-4975.9604965,63.23
322,-4903.4126805,61.78
323,-4972.4790835,62.42
324,-4893.1102185,62.71
325,-4916.395778,63.94
326,-4862.176577499999,63.15
327,-4879.565264,64.6
328,-5092.939649,64.12
329,-5009.4776295,66.93
330,-4952.884977000001,66.49
331,-5052.948033,65.58
332,-4993.4463264999995,67.25
333,-4893.974008,68.49
334,-4970.7147475,65.65
335,-4860.367608,62.69
336,-4979.554806,64.12
337,-5001.1127865,64.27
338,-4948.920472,64.9
339,-4927.044806,65.19
340,-4992.8634655,64.36
341,-4848.6184955,64.25
342,-4969.976982,64.75
343,-4815.054103500001,64.84
344,-4851.6850795,64.2
345,-4811.9087545,62.79
346,-4799.5899085,64.26
347,-4860.3229745,64.18
348,-4781.463456500001,64.79
349,-4848.3139375,66.42
350,-4756.3558,66.18
351,-4670.8458905,64.29
352,-4767.319888,64.74
353,-4762.86704,64.17
354,-4729.0899825,63.73
355,-4821.4288175,64.33
356,-4777.7825055,62.52
357,-4858.9997225,64.44
358,-4782.195971,63.89
359,-4880.494691,63.22
360,-4806.791655,63.9
361,-4810.913689999999,63.99
362,-4812.615014,64.9
363,-4929.3736245,64.92
364,-4761.690815999999,65.1
365,-4803.71982,65.37
366,-4824.0280625,64.56
367,-4768.6273869999995,64.88
368,-4809.3147605,65.69
369,-4955.8754215,66.65
370,-4768.863682,65.38
371,-4817.4905675,66.43
372,-4920.801367,66.15
373,-4905.8648975,67.94
374,-4863.6783635,65.91
375,-4833.8211775,67.7
376,-4912.0978345,68.26
377,-4906.707683,65.19
378,-4837.662284,64.81
379,-4808.1647915,66.63
380,-4826.3490045,66.52
381,-4820.932597999999,66.19
382,-4732.707921499999,66.3
383,-4814.9595855,66.55
384,-4866.1043255,65.58
385,-4919.7590435,67.49
386,-5001.446225,66.3
387,-4986.8510705,66.38
388,-5060.357194,63.8
389,-5011.7408105,66.34
390,-5071.3554135,64.47
391,-5043.596002,64.42
392,-5016.044005,63.47
393,-5002.611947,65.88
394,-5001.0996589999995,64.03
395,-5047.182435,67.01
396,-4943.8165,65.64
397,-4801.5905395,65.35
398,-4895.4259095,64.6
399,-4892.845043,65.81
400,-4935.015824,65.57
401,-4881.597401,64.91
402,-4915.09353,63.83
403,-4876.9738955,64.81
404,-4859.396173,63.76
405,-4719.1603415,63.79
406,-4791.1305475,63.69
407,-4851.656199,64.15
408,-4850.443218,64.37
409,-4892.529983,64.1
410,-4918.223126,65.57
411,-4936.861550500001,65.4
412,-4931.7995865,64.68
413,-4874.1803635,63.99
414,-4993.1312665,64.91
415,-4959.333205,64.8
416,-5007.280086000001,65.01
417,-4980.547245,64.06
418,-4996.709823,62.68
419,-4950.4773935,64.25
420,-5065.261628,64.8
421,-5001.3543325,62.39
422,-5073.437435,63.45
423,-4939.337397,63.72
424,-4953.520348,63.58
425,-4875.5403725,65.82
426,-4791.1935595,65.04
427,-4937.5914395,65.61
428,-4967.7321795,65.72
429,-4794.58308,65.9
430,-4991.0571215,65.27
431,-4933.1385915,66.59
432,-5029.2581465,65.63
433,-4942.451239999999,65.9
434,-4946.0613025,65.69
435,-5033.403811,64.76
436,-4923.7498035,64.64
437,-4959.2465635,65.51
438,-4888.2320395,67.06
439,-4945.3104095,65.9
440,-4958.8684915,66.15
441,-4855.116608,65.74
442,-5041.1779165,65.67
443,-4908.141206,66.18
444,-4893.937251,64.88
445,-4989.652479,65.34
446,-4942.3330925,64.36
447,-4885.2914795,65.21
448,-4943.805998,64.26
449,-4871.662509,64.32
450,-4778.4861395,64.56
451,-4795.4179890000005,67.05
452,-4837.4181125000005,65.84
453,-4786.118468,65.03
454,-4810.677395,65.05
455,-4787.916935499999,64.58
456,-4887.5914175,65.87
457,-4872.381896,66.59
458,-4831.954447,65.71
459,-4851.860988,64.62
460,-4717.587667,64.69
461,-4761.1840945,64.42
462,-4822.4737665,65.66
463,-4885.7430655,65.4
464,-4807.9967595,65.79
465,-4824.1750905,65.35
466,-4937.8487385,65.88
467,-4918.963517,65.26
468,-4886.2366595,63.5
469,-4902.811441,64.47
470,-5027.6145835,66.14
471,-4890.991440000001,65.94
