model,Gsolv,timing
0,-2.935309,0.05
1,-3.344887,0.05
2,-3.334385,0.07
3,-3.2897515,0.07
4,-3.8069749999999996,0.06
5,-3.6441939999999997,0.09
6,-3.234616,0.08
7,-3.402648,0.07
8,-3.927748,0.05
9,-2.6281255,0.06
10,-3.6153135,0.07
11,-3.1899824999999997,0.08
12,-3.848983,0.06
13,-3.3947715,0.06
14,-3.6126880000000003,0.08
15,-3.1952335,0.08
16,-3.1637275,0.08
17,-3.7780945,0.08
18,-3.896242,0.06
19,-3.5759309999999997,0.06
20,-3.749214,0.08
21,-3.6520705,0.06
22,-3.3370105,0.08
23,-2.924807,0.07
24,-4.101031,0.08
25,-3.533923,0.07
26,-3.4157755,0.06
27,-3.5680545,0.07
28,-3.8043495,0.08
29,-3.6625725,0.06
30,-2.720018,0.06
31,-2.877548,0.05
32,-3.4997915,0.06
33,-3.6520705,0.07
34,-2.8512929999999996,0.08
35,-3.7308355,0.07
36,-2.6543805,0.06
37,-3.024576,0.07
38,-3.5575525000000003,0.08
39,-3.6021859999999997,0.06
40,-2.9641895,0.05
41,-2.3865795,0.08
42,-3.166353,0.07
43,-3.2713729999999996,0.07
44,-3.0166995,0.08
45,-2.914305,0.06
46,-3.1479745,0.08
47,-3.5417994999999998,0.05
48,-2.6570060000000004,0.09
49,-3.119094,0.06
50,-3.6678235,0.07
51,-3.0665839999999998,0.08
52,-3.6573214999999997,0.08
53,-3.213612,0.08
54,-3.166353,0.07
55,-3.4787875,0.06
56,-3.5365485000000003,0.07
57,-2.945811,0.07
58,-3.6258155000000003,0.06
59,-3.5549269999999997,0.07
60,-3.2529945000000002,0.06
61,-3.3632655000000002,0.09
62,-3.7413375,0.07
63,-3.3265084999999996,0.06
64,-3.5628035,0.07
65,-2.9641895,0.06
66,-3.6179390000000002,0.07
67,-3.1768549999999998,0.08
68,-2.746273,0.08
69,-3.213612,0.07
70,-2.688512,0.06
71,-3.3895205,0.06
72,-3.3212575,0.08
73,-3.2608710000000003,0.07
74,-3.061333,0.08
75,-2.8749225000000003,0.06
76,-3.1348469999999997,0.07
77,-3.449907,0.07
78,-3.5260465,0.08
79,-2.25793,0.08
80,-3.1532255,0.07
81,-3.3081300000000002,0.07
82,-3.4997915,0.06
83,-3.187357,0.08
84,-2.762026,0.07
85,-3.234616,0.07
86,-2.9064284999999996,0.09
87,-3.5234210000000004,0.06
88,-3.2739985000000003,0.06
89,-3.6231899999999997,0.07
90,-3.2897515,0.07
91,-3.0692095,0.07
92,-3.161102,0.07
93,-3.323883,0.08
94,-3.796473,0.07
95,-3.1322215,0.08
96,-3.5523015,0.06
97,-3.6520705,0.09
98,-3.743963,0.08
99,-3.93825,0.09
100,-3.5260465,0.08
101,-3.9697560000000003,0.07
102,-3.5575525000000003,0.06
103,-3.371142,0.08
104,-3.8043495,0.08
105,-2.882799,0.08
106,-3.0639585,0.09
107,-3.281875,0.07
108,-3.812226,0.09
109,-3.7938475000000005,0.08
110,-2.882799,0.06
111,-3.2529945000000002,0.08
112,-3.3895205,0.07
113,-3.4997915,0.08
114,-3.1033410000000003,0.07
115,-3.696704,0.09
116,-3.1059665,0.07
117,-4.586748500000001,0.09
118,-2.9011775,0.09
119,-4.2716885,0.07
120,-4.1614175,0.08
121,-3.9303735,0.08
122,-3.3580145,0.08
123,-3.439405,0.08
124,-2.8696715,0.06
125,-3.3947715,0.08
