model,Gsolv,timing
0,-4900.2148215,65.16
1,-4790.613324,66.65
2,-4745.953569,64.97
3,-4775.963033999999,64.33
4,-4806.103774,64.47
5,-4746.8278605,63.8
6,-4719.0448195,64.64
7,-4809.3882745,65.8
8,-4821.893531,64.61
9,-4821.678239999999,61.93
10,-4763.9776265,62.48
11,-4623.169436,63.78
12,-4800.112383,63.46
13,-4776.960724,64.45
14,-4792.067851,64.1
15,-4764.17979,65.83
16,-4787.5388635,64.45
17,-4861.5832145,66.82
18,-4839.080054,63.38
19,-4841.6924265,65.34
20,-4892.7137680000005,66.63
21,-4805.5445425,62.96
22,-4848.9913165,62.97
23,-4863.828017,63.23
24,-4907.705373,62.99
25,-4835.5592584999995,64.54
26,-4825.422203,64.25
27,-4889.8703515,66.83
28,-4882.3115370000005,65.27
29,-4837.64128,64.5
30,-4869.709137,65.29
31,-4765.902118,65.38
32,-4711.1289369999995,64.86
33,-4795.775057,65.08
34,-4816.47975,64.58
35,-4887.987868,66.07
36,-4793.049788,65.42
37,-4778.956104,65.51
38,-4731.996411,65.44
39,-4767.3172625,65.94
40,-4779.5678455,64.77
41,-4802.0395,64.45
42,-4803.1474610000005,65.43
43,-4772.9463345,64.74
44,-4865.7026240000005,65.7
45,-4772.7783025,66.06
46,-4815.5739525,64.91
47,-4908.0020545,67.28
48,-4871.1505365,65.97
49,-4890.072515,66.88
50,-4858.1490605,67.27
51,-4731.686602,66.86
52,-4800.1727695,67.46
53,-4782.8549715,62.71
54,-4791.364217,65.19
55,-4765.366516,65.13
56,-4777.485823999999,64.82
57,-4731.245518,67.18
58,-4868.039319,67.17
59,-4822.082567,66.76
60,-4769.183993000001,67.29
61,-4673.2560995,67.2
62,-4659.049519,66.6
63,-4840.298286,66.13
64,-4772.7205415,68.31
65,-4736.538526,66.92
66,-4754.113623,67.61
67,-4827.1524075,67.08
68,-4680.5602405,67.87
69,-4782.8969795,66.72
70,-4740.928362000001,66.25
71,-4642.508869,68.01
72,-4754.7253645,67.52
73,-4874.387778,67.49
74,-4905.804511,67.39
75,-4819.567338,66.06
76,-4883.4168725,67.0
77,-4795.4731245,68.46
78,-4857.626585999999,68.25
79,-4791.773795,67.42
80,-4855.6338315,65.79
81,-4852.2521875,66.71
82,-4807.033201,65.53
83,-4862.89859,65.01
84,-4814.893948,64.65
85,-4846.4760875,64.47
86,-4738.733444,65.95
87,-4924.729115,65.53
88,-4918.1417355,65.64
89,-4829.738525,66.19
90,-4945.066237999999,66.35
91,-4965.4978790000005,65.72
92,-4918.3412735,63.92
93,-4913.192668000001,68.82
94,-4952.0054345,67.08
95,-4845.376003,64.73
96,-4965.6527835,65.69
97,-5008.668975500001,67.41
98,-4940.954705,66.36
99,-4963.7886785,66.71
100,-4930.226912,67.09
101,-4916.285507,67.1
102,-4922.308404,66.29
103,-4826.0444465,67.32
104,-5102.354692,66.67
