model,Gsolv,timing
0,-72.736852,0.09
1,-71.933449,0.08
2,-71.592134,0.09
3,-74.432925,0.08
4,-72.1776205,0.07
5,-71.51862,0.09
6,-74.9869055,0.08
7,-72.7184735,0.09
8,-76.6619745,0.08
9,-71.87831349999999,0.09
10,-73.109673,0.08
11,-73.2488245,0.1
12,-71.88619,0.09
13,-73.6846575,0.07
14,-69.517989,0.07
15,-71.597385,0.07
16,-71.2009345,0.08
17,-69.7359055,0.1
18,-74.1572475,0.07
19,-74.191379,0.07
20,-72.1093575,0.08
21,-74.80312049999999,0.08
22,-73.3380915,0.06
23,-71.235066,0.08
24,-75.593396,0.09
25,-71.765417,0.08
26,-75.7903085,0.06
27,-71.4136,0.07
28,-75.0604195,0.06
29,-75.34922449999999,0.09
30,-73.225195,0.07
31,-71.4529825,0.09
32,-72.62395550000001,0.09
33,-74.1677495,0.07
34,-73.5691355,0.08
35,-72.416541,0.07
36,-71.17730499999999,0.08
37,-74.6298375,0.09
38,-69.985328,0.09
39,-74.4040445,0.07
40,-71.9990865,0.06
41,-75.2021965,0.09
42,-72.379784,0.08
43,-72.8655015,0.09
44,-71.109042,0.06
45,-71.660397,0.07
46,-72.2826405,0.06
47,-74.57207650000001,0.08
48,-72.757856,0.07
49,-74.138869,0.08
50,-74.658718,0.07
51,-76.790624,0.07
52,-73.6636535,0.05
53,-75.84806950000001,0.08
54,-72.238007,0.08
55,-74.3935425,0.08
56,-71.7785445,0.09
57,-75.278336,0.08
58,-73.8684425,0.1
59,-73.766048,0.07
60,-72.07785150000001,0.08
61,-70.814986,0.07
62,-73.3013345,0.05
63,-72.2721385,0.07
64,-74.1835025,0.08
65,-76.0476075,0.09
66,-70.4132845,0.06
67,-73.240948,0.07
68,-71.3637155,0.08
69,-69.985328,0.07
70,-72.610828,0.07
71,-74.6928495,0.07
72,-74.7086025,0.08
73,-76.685604,0.07
74,-73.59013949999999,0.09
75,-71.5422495,0.09
76,-68.8537375,0.08
77,-71.2061855,0.07
78,-70.983018,0.07
79,-74.38304049999999,0.07
80,-75.425364,0.07
81,-74.33578150000001,0.08
82,-74.30165,0.06
83,-72.57932199999999,0.09
84,-72.67121449999999,0.07
85,-75.3229695,0.07
86,-72.7394775,0.08
87,-72.0883535,0.09
88,-72.983649,0.06
89,-73.4693665,0.07
90,-73.787052,0.06
91,-69.827798,0.08
92,-71.25081899999999,0.07
93,-74.432925,0.06
94,-72.180246,0.1
95,-72.1146085,0.08
96,-75.052543,0.07
97,-77.058425,0.06
98,-70.7913565,0.08
99,-68.94563,0.08
100,-74.558949,0.06
101,-73.3853505,0.08
102,-69.076905,0.07
103,-70.1402325,0.11
104,-71.2271895,0.09
105,-70.0982245,0.06
106,-73.76342249999999,0.09
107,-72.1986245,0.07
108,-76.7144845,0.07
109,-71.1484245,0.07
110,-70.421161,0.08
111,-78.7833785,0.07
112,-73.10704750000001,0.08
113,-72.694844,0.08
114,-72.143489,0.07
115,-72.4664255,0.08
116,-70.851743,0.08
117,-68.0450835,0.06
118,-69.0375225,0.07
119,-66.33063200000001,0.08
120,-73.0755415,0.05
121,-70.6705835,0.09
122,-74.1257415,0.08
123,-72.931139,0.07
124,-70.011583,0.07
125,-73.2068165,0.09
126,-75.7850575,0.07
127,-72.484804,0.06
128,-73.7214145,0.09
129,-71.55537700000001,0.08
130,-73.813307,0.08
131,-73.4746175,0.08
132,-74.0469765,0.06
133,-73.86581699999999,0.08
134,-71.5632535,0.07
135,-73.2908325,0.06
136,-73.67153,0.07
137,-74.312152,0.08
138,-71.3794685,0.07
139,-72.967896,0.08
140,-69.72802899999999,0.09
141,-73.77655,0.08
142,-70.505177,0.08
143,-71.403098,0.06
144,-72.0463455,0.09
145,-72.967896,0.08
146,-71.43985500000001,0.08
147,-71.7522895,0.07
148,-76.8930185,0.09
149,-75.252081,0.09
150,-70.804484,0.09
151,-70.489424,0.06
152,-71.208811,0.08
153,-76.0633605,0.06
154,-74.9081405,0.06
155,-72.090979,0.1
156,-72.9127605,0.08
157,-75.0814235,0.07
158,-75.152312,0.07
159,-72.7184735,0.1
160,-75.514631,0.07
161,-72.61870449999999,0.08
162,-70.9068785,0.06
163,-73.403729,0.07
164,-72.222254,0.09
165,-73.5113745,0.08
166,-76.4886915,0.07
167,-75.168065,0.08
168,-73.6058925,0.07
169,-72.7919875,0.07
170,-75.409611,0.08
171,-72.7394775,0.09
172,-71.807425,0.08
173,-69.2213075,0.08
174,-72.76310699999999,0.09
175,-74.138869,0.07
176,-73.01515500000001,0.08
177,-73.21731849999999,0.09
178,-71.4687355,0.06
179,-72.5819475,0.06
180,-70.3975315,0.06
181,-72.784111,0.08
182,-72.26951299999999,0.08
183,-72.9442665,0.08
184,-71.844182,0.07
185,-72.6764655,0.06
186,-73.729291,0.08
187,-72.101481,0.06
188,-74.41192099999999,0.11
189,-74.9081405,0.06
190,-69.9301925,0.09
191,-77.11881149999999,0.09
192,-72.967896,0.08
193,-71.48711399999999,0.07
194,-67.2994415,0.06
195,-72.925888,0.07
196,-71.760166,0.07
197,-74.186128,0.06
198,-71.99121,0.07
199,-72.4769275,0.09
200,-69.349957,0.08
201,-74.02597250000001,0.07
202,-73.298709,0.08
203,-76.45718550000001,0.07
204,-75.0604195,0.08
205,-71.229815,0.07
206,-71.9990865,0.05
207,-74.905515,0.08
208,-72.7394775,0.05
209,-71.3269585,0.08
210,-72.7132225,0.07
211,-76.3154085,0.07
212,-73.787052,0.08
213,-73.703036,0.07
214,-70.6810855,0.08
215,-70.4815475,0.07
216,-73.540255,0.06
217,-76.102743,0.08
218,-73.1963145,0.08
219,-73.32496400000001,0.08
220,-72.910135,0.08
221,-72.3036445,0.05
222,-72.820868,0.08
223,-72.742103,0.07
224,-76.937652,0.08
225,-76.0055995,0.08
226,-69.129415,0.08
227,-70.22687400000001,0.07
228,-72.085728,0.05
229,-70.762476,0.07
230,-72.647585,0.08
231,-66.734959,0.06
232,-67.6092505,0.07
233,-71.775919,0.07
234,-69.8829335,0.07
235,-66.1022135,0.06
236,-71.11166750000001,0.07
237,-71.586883,0.05
238,-67.932187,0.08
239,-69.4838575,0.07
240,-73.792303,0.08
241,-69.2580645,0.08
242,-69.6728935,0.08
243,-69.05590099999999,0.05
244,-69.386714,0.08
245,-73.928829,0.07
246,-73.214693,0.1
247,-69.3735865,0.07
248,-77.378736,0.08
249,-71.8625605,0.08
250,-72.9600195,0.07
251,-74.495937,0.09
252,-72.2301305,0.06
253,-74.32527950000001,0.07
254,-75.14180999999999,0.08
255,-70.1717385,0.08
256,-72.50318250000001,0.07
257,-73.450988,0.09
258,-72.68696750000001,0.07
259,-73.1438045,0.09
260,-75.971468,0.09
261,-75.651157,0.07
262,-76.48081499999999,0.08
263,-75.18119250000001,0.08
264,-73.32496400000001,0.08
265,-73.3170875,0.06
266,-72.2773895,0.08
267,-75.267834,0.08
268,-72.836621,0.05
269,-71.686652,0.07
270,-72.2143775,0.07
271,-74.532694,0.07
272,-68.777598,0.08
273,-73.771299,0.07
274,-75.4752485,0.07
275,-72.153991,0.06
276,-73.492996,0.07
277,-75.252081,0.07
278,-73.209442,0.09
279,-70.778229,0.08
280,-73.902574,0.06
281,-72.2773895,0.08
282,-72.68696750000001,0.06
283,-73.1280515,0.07
284,-72.4191665,0.08
285,-71.376843,0.09
286,-74.170375,0.09
287,-72.0148395,0.07
288,-75.21007300000001,0.08
289,-72.1566165,0.09
290,-72.631832,0.09
291,-72.8602505,0.08
292,-70.951512,0.07
293,-73.697785,0.08
294,-70.3765275,0.08
295,-76.6987315,0.08
296,-72.5714455,0.05
297,-70.7125915,0.08
298,-72.563569,0.08
299,-71.056532,0.08
300,-73.030908,0.07
301,-70.84911749999999,0.07
302,-70.5183045,0.09
303,-74.0391,0.1
304,-78.838514,0.08
305,-78.0377365,0.08
306,-71.10116550000001,0.1
307,-69.5521205,0.06
308,-76.202512,0.09
309,-74.87138350000001,0.06
310,-74.112614,0.09
311,-72.7657325,0.11
312,-73.5638845,0.08
313,-74.921268,0.1
314,-72.511059,0.09
315,-68.142227,0.09
316,-76.4886915,0.07
317,-69.003391,0.1
318,-71.01977500000001,0.1
319,-73.6216455,0.09
320,-69.5678735,0.08
321,-73.2120675,0.09
322,-71.3899705,0.07
323,-73.91832699999999,0.08
324,-71.87831349999999,0.06
325,-75.4752485,0.09
326,-71.718158,0.07
327,-68.5124225,0.09
