model,Gsolv,timing
0,-4804.638745,67.15
1,-4813.6074530000005,66.57
2,-4792.7924889999995,67.09
3,-4715.2956054999995,68.17
4,-4712.299910000001,67.13
5,-4755.526142,68.63
6,-4778.906219500001,66.91
7,-4842.8581484999995,65.86
8,-4757.211713,64.29
9,-4783.393199,66.01
10,-4770.916823,65.02
11,-4613.9197995,63.94
12,-4548.0460045,63.32
13,-4579.8408095,63.94
14,-4664.452798,65.37
15,-4664.1928735,65.97
16,-4597.3371415,64.63
17,-4674.834025,64.1
18,-4722.975193,64.83
19,-4606.508013,63.81
20,-4663.8515585000005,63.26
21,-4636.6723825,63.08
22,-4564.43175,62.83
23,-4593.459277999999,63.95
24,-4562.845948,64.05
25,-4644.2968345,63.73
26,-4555.8542415,66.0
27,-4570.8668505,66.15
28,-4579.8355585,66.2
29,-4566.4035005000005,67.17
30,-4519.619716,66.0
31,-4541.889207,65.89
32,-4562.4442465,63.97
33,-4532.216864999999,64.5
34,-4599.9941475000005,65.98
35,-4594.178665,68.01
36,-4633.130583,67.58
37,-4794.5016895,67.09
38,-4798.2456525,66.4
39,-4607.521456,66.31
40,-4770.6936555,66.09
41,-4739.6602455,65.52
42,-4818.748182,65.79
43,-4828.572803,65.71
44,-4767.2542505,67.98
45,-4893.921498,67.4
46,-4771.399915,64.71
47,-4766.1279110000005,68.92
48,-4800.5035824999995,67.59
49,-4703.7591585,66.38
50,-4776.078556,67.7
51,-4850.7871585,66.05
52,-4785.338694499999,65.56
53,-4741.154155,66.06
54,-4799.051681,66.05
55,-4777.260031,65.51
56,-4674.8996625,64.98
57,-4661.832549,66.89
58,-4782.8917285,64.33
59,-4809.558932,67.82
60,-4727.1051045,66.06
61,-4751.7532985,67.46
62,-4666.1042375,67.51
63,-4526.20447,67.22
64,-4572.218983,68.62
65,-4610.062940000001,67.58
66,-4663.0271515,68.55
67,-4714.8492705,64.56
68,-4693.616852,67.77
69,-4665.0750415,67.68
70,-4740.2536085,67.75
71,-4716.7606345,67.36
72,-4668.2256415,66.52
73,-4733.1857625,65.22
74,-4660.2204919999995,65.98
75,-4680.4893520000005,66.29
76,-4745.354955,65.24
77,-4635.1548434999995,63.32
78,-4742.4800325,64.92
79,-4596.6072525,63.79
80,-4744.90862,65.72
81,-4751.1704375,66.07
82,-4635.2992460000005,65.69
83,-4599.6213265,65.21
84,-4605.300283,66.86
85,-4606.901838,68.46
86,-4591.4691490000005,67.35
87,-4637.583431,68.22
88,-4707.6133924999995,67.08
89,-4677.459525,68.08
90,-4771.9433935,67.03
91,-4614.9699995,65.64
92,-4645.118616,65.93
93,-4678.9849404999995,67.45
94,-4688.544386,68.0
95,-4588.9985535,66.59
96,-4680.8175395,66.75
97,-4694.630295,66.65
98,-4678.6226215,67.6
99,-4721.539044499999,67.21
100,-4832.773603,67.74
101,-4771.4865565,67.16
102,-4766.0832775,66.91
103,-4722.0693955,68.42
104,-4691.673982,69.35
105,-4693.727123000001,65.6
106,-4757.379745,67.41
107,-4776.2649665,69.49
108,-4695.4048175,68.49
109,-4694.667052,66.67
110,-4732.2668375,68.05
111,-4819.701238500001,68.63
112,-4792.48268,69.2
113,-4768.585379,69.21
114,-4629.764692,66.89
115,-4681.445034,67.65
116,-4756.4004335,69.35
117,-4662.840741,70.08
118,-4824.534784,67.78
119,-4713.024548,68.9
120,-4799.4796375,67.63
121,-4646.447119,66.97
122,-4600.847435,69.73
123,-4647.602339,70.72
124,-4545.1947115,68.7
125,-4664.977898,68.08
126,-4674.6161085,67.71
127,-4634.327811,68.19
128,-4685.5224355,68.77
129,-4698.311246,68.38
130,-4675.0466905,68.63
131,-4623.088045500001,68.44
132,-4771.930265999999,66.22
133,-4693.475075,68.13
134,-4719.520035,69.0
135,-4615.5371075,69.49
136,-4613.113771,69.97
137,-4700.637439,69.08
138,-4623.8809464999995,67.78
139,-4645.622712,68.19
140,-4700.2777455,66.46
141,-4747.3477095,66.79
142,-4790.731471499999,67.9
143,-4705.358088,68.29
144,-4611.4623315,71.49
145,-4648.6079055,68.82
146,-4528.861476,67.81
147,-4566.668676,68.5
148,-4585.850579,69.42
149,-4669.8429495,69.74
150,-4673.053935999999,67.62
151,-4635.157469,71.2
152,-4649.97054,69.61
153,-4708.282895,69.52
154,-4756.282286,69.23
155,-4749.482241000001,69.13
156,-4729.1372415000005,67.39
157,-4719.3231225,68.82
158,-4811.3048895,69.26
159,-4675.416886,70.4
160,-4671.0086715,68.99
161,-4721.877734,70.93
162,-4752.6695979999995,70.61
163,-4791.7606675,68.24
164,-4788.155856,69.86
165,-4751.2649555,70.78
166,-4786.9087435,70.11
167,-4731.0958645,70.65
168,-4762.9431795,71.1
169,-4851.6378205,71.14
170,-4715.9362275,71.34
171,-4660.0340815,72.51
172,-4706.8835035,72.89
173,-4741.991689500001,71.85
174,-4645.8878875,71.51
175,-4664.5761965,68.99
176,-4737.8433995,68.93
177,-4767.3697725,69.45
178,-4765.671074,70.15
179,-4711.0816780000005,70.15
180,-4704.4207845,69.88
181,-4807.159225,68.9
182,-4732.1670685,69.5
183,-4804.4602110000005,68.55
184,-4732.161817499999,70.15
185,-4729.8198715,70.2
186,-4714.3241705,68.98
187,-4690.594901500001,68.48
188,-4722.560364,68.91
189,-4729.1661220000005,70.04
190,-4825.319808499999,69.51
191,-4728.42048,70.52
192,-4831.2114305000005,68.75
193,-4707.904823,68.38
194,-4751.5117525,69.94
195,-4732.5766465,68.63
196,-4816.603148499999,69.1
197,-4868.055072,68.93
198,-4849.9995085,68.8
199,-4741.516474,69.69
200,-4788.4577885,67.81
201,-4801.2019655,67.72
202,-4612.824966,67.99
203,-4777.921657,67.46
204,-4699.125150999999,68.35
205,-4704.3840275,68.54
206,-4735.472573,67.79
207,-4652.2153425,67.67
208,-4701.0023835,67.89
209,-4656.7942145,67.9
210,-4718.0051215,67.05
211,-4661.522739999999,68.68
212,-4681.975385,67.03
213,-4690.9572205,67.74
214,-4709.999972,66.91
215,-4782.237979,67.54
216,-4670.7251175,69.15
217,-4605.363295,68.06
218,-4640.576501,68.06
219,-4690.482005,69.17
220,-4709.700665,70.42
221,-4653.69875,68.26
222,-4677.028942999999,68.93
223,-4618.154731,68.0
224,-4741.5716095,67.22
225,-4747.7310325,68.58
226,-4779.56522,68.54
227,-4626.6561,67.39
228,-4687.6910985,69.33
229,-4679.706953,67.48
230,-4757.206462,68.06
231,-4682.180174,67.28
232,-4665.1643085,67.39
233,-4617.532487500001,68.16
234,-4701.803161,67.2
235,-4794.7642395,68.25
236,-4687.4390505,68.15
237,-4539.9804685,69.7
238,-4580.024594500001,69.12
239,-4397.754508,68.41
240,-4525.6452385,68.2
241,-4511.5725585,66.72
242,-4590.9519255000005,68.01
243,-4526.5431595,68.7
244,-4672.618103,68.3
245,-4693.511832,69.18
246,-4681.0958425,68.36
247,-4593.5459195,69.23
248,-4705.142797,72.44
249,-4556.4738595,70.71
250,-4703.4913575,71.96
251,-4663.192558,70.25
252,-4619.3860905,71.18
253,-4652.9662355,70.98
254,-4645.693600500001,71.03
255,-4603.924521,72.05
256,-4609.9447925,71.45
257,-4593.5748,72.21
258,-4557.836494,72.25
259,-4572.1533455,69.47
260,-4814.208692499999,70.97
261,-4702.538301,70.41
262,-4703.7434055,68.67
263,-4680.767655,67.19
264,-4574.2905025,68.45
265,-4741.9759365,67.88
266,-4739.563102,66.84
267,-4660.7692215,68.03
268,-4703.7381545,69.19
269,-4795.3602280000005,68.03
270,-4624.702728,67.56
271,-4567.298796,69.29
272,-4577.897939500001,67.12
273,-4603.2865245,69.03
274,-4555.793855,68.61
275,-4513.3526475,69.31
276,-4520.706673,69.59
277,-4571.73064,68.83
278,-4656.434521,70.69
279,-4536.333649,67.93
280,-4534.459042,67.91
281,-4508.4482135,68.85
282,-4530.8752345,70.27
283,-4572.8832345,68.52
284,-4540.208887,69.19
285,-4553.1552275,69.1
286,-4595.3890205,67.88
287,-4711.8456985,67.59
288,-4599.8497449999995,68.62
289,-4684.9290725,67.38
290,-4568.9502355,68.93
291,-4572.3371305,68.27
292,-4641.589943999999,67.93
293,-4482.138078,66.24
294,-4663.1715540000005,66.04
295,-4639.2191175,66.79
296,-4683.2382505000005,66.96
297,-4672.60235,68.47
298,-4711.2575865,66.43
299,-4674.319427,67.35
300,-4599.0936010000005,66.63
301,-4678.4493385000005,67.3
302,-4583.198824,66.13
303,-4708.020345,67.55
304,-4644.367722999999,66.27
305,-4668.259773,67.07
306,-4735.908406,67.86
307,-4861.1578835,67.27
308,-4770.3313365,66.79
309,-4759.6455515,65.25
310,-4813.5733215,65.26
311,-4711.14469,65.95
312,-4752.8297535,65.92
313,-4773.531821,68.07
314,-4762.6990080000005,66.05
315,-4744.69858,64.9
316,-4786.6724485,67.31
317,-4721.625686,67.95
318,-4686.659277,66.98
319,-4819.798382,65.27
320,-4789.878184,66.36
321,-4784.548419,67.75
322,-4924.5952145,65.96
323,-4848.075017,68.58
324,-4941.857877,69.12
325,-4842.057371,68.84
326,-4896.5575,67.58
327,-4886.6357355,69.82
328,-4836.48606,69.87
329,-4908.535030999999,68.56
330,-4809.102095,69.22
331,-4871.846294,67.63
332,-4800.117634,67.46
333,-4845.9509875,69.3
334,-4909.690251,68.95
335,-4838.675727,68.93
336,-4920.44955,68.74
337,-4850.831792,69.56
338,-4788.1190990000005,67.7
339,-4825.1517765,68.33
340,-4868.637933,69.16
341,-4781.250791,68.56
342,-4777.4306885000005,67.76
343,-4725.1832385,67.15
344,-4790.0068335,68.76
345,-4719.2522340000005,68.74
346,-4715.061936,67.38
347,-4691.45344,69.4
348,-4753.446746,71.02
349,-4801.367372,71.63
350,-4897.1114805,70.12
351,-4748.6132005,67.91
352,-4692.5850305,69.15
353,-4803.2498555,69.91
354,-4692.8475805,68.34
355,-4746.499673,68.37
356,-4798.736621,70.09
357,-4750.0992335,68.44
358,-4786.0580815,69.36
359,-4774.710670500001,68.71
360,-4825.926299,70.01
361,-4786.354763,69.2
362,-4825.180657,67.71
363,-4789.4239725,68.76
364,-4862.3551115,69.07
365,-4898.4084775,69.72
366,-4797.2427115,68.44
367,-4793.00778,67.71
368,-4726.257068,68.98
369,-4788.9041235,68.44
370,-4700.9551245,69.15
371,-4726.1179165,68.14
372,-4830.064087,68.45
373,-4776.766437,67.12
374,-4814.258577,68.61
375,-4791.6136395,67.86
376,-4848.4977225,65.19
377,-4771.8016165,66.4
378,-4771.896134500001,65.33
379,-4791.395723,67.49
380,-4965.4795005,70.24
381,-4953.273550999999,70.22
382,-4973.589669999999,71.2
383,-4887.373501,69.91
384,-4858.1385585,68.33
385,-4961.4178520000005,68.01
