model,Gsolv,timing
0,-3648.058736,36.68
1,-3719.015499,36.92
2,-3827.4985334999997,34.55
3,-3749.6104505,35.24
4,-3632.8177084999998,34.4
5,-3752.637652,35.8
6,-3709.5584479999998,35.39
7,-3726.0754684999997,36.35
8,-3773.972465,35.34
9,-3785.7740875,35.13
10,-3736.002484,36.84
11,-3708.6211445,36.36
12,-3739.525905,37.16
13,-3792.146176,37.92
14,-3686.496056,35.74
15,-3746.6856435000004,36.4
16,-3823.2032154999997,36.13
17,-3771.2288175,36.01
18,-3840.3477305,36.26
19,-3801.2724139999996,36.69
20,-3744.12053,35.22
21,-3801.0282425,35.87
22,-3743.2987485000003,35.73
23,-3648.300282,35.94
24,-3685.703155,35.11
25,-3725.3665835,34.05
26,-3703.8506110000003,36.69
27,-3695.6406724999997,34.49
28,-3702.8555465,34.78
29,-3656.7780215,34.0
30,-3784.8184055,33.3
31,-3767.870803,35.37
32,-3704.3625835,34.34
33,-3718.779204,33.9
34,-3725.1355394999996,33.44
35,-3608.2797855,33.41
36,-3625.432177,33.36
37,-3609.9128465,33.9
38,-3585.5534574999997,35.33
39,-3625.899516,34.3
40,-3643.45886,33.22
41,-3495.8506245,32.9
42,-3599.114165,32.03
43,-3549.0537565,32.42
44,-3605.7829349999997,34.18
45,-3527.8764735,32.8
46,-3519.897579,32.91
47,-3512.0447084999996,33.6
48,-3602.789865,33.74
49,-3609.9548545000002,32.9
50,-3557.9279465,33.33
51,-3548.394756,34.02
52,-3611.7900790000003,32.94
53,-3517.9783385,33.83
54,-3541.4713125000003,33.69
55,-3628.341231,33.42
56,-3534.9732,33.54
57,-3628.409494,33.91
58,-3576.450849,34.72
59,-3577.443288,32.84
60,-3615.4447750000004,32.27
61,-3591.2087844999996,33.35
62,-3547.4128189999997,34.03
63,-3507.6785019999998,35.39
64,-3529.758957,35.82
65,-3511.579995,36.04
66,-3434.0594819999997,35.05
67,-3453.8111185000002,35.86
68,-3480.4809474999997,36.42
69,-3586.2990995,36.89
70,-3398.715001,36.69
71,-3483.9466075,35.96
72,-3480.8485175,36.21
73,-3449.5079239999995,35.71
74,-3511.0365165,35.56
75,-3541.862512,34.74
76,-3512.0709635,35.4
77,-3603.992344,35.23
78,-3439.9327255,35.2
79,-3506.72282,35.19
80,-3446.1472839999997,36.8
81,-3467.613372,36.4
82,-3476.4770599999997,35.62
83,-3550.1512155,35.77
84,-3510.739835,36.43
85,-3552.1623484999996,35.54
86,-3612.6801235,37.76
87,-3609.1750810000003,36.84
88,-3545.1732675,35.74
89,-3602.926391,34.13
90,-3597.586124,33.81
91,-3646.1211169999997,33.64
92,-3576.1121595,33.57
93,-3589.3551815,34.23
94,-3565.444753,34.95
95,-3586.7979445,33.77
96,-3482.468451,34.28
97,-3549.5762310000005,35.8
98,-3445.3701360000005,34.74
99,-3448.3815845,35.72
100,-3472.6517065,35.57
101,-3451.1436105,34.69
102,-3443.474525,33.92
103,-3442.8549070000004,33.05
104,-3387.708905,33.46
105,-3506.276485,34.09
106,-3468.3380100000004,35.16
107,-3490.12966,35.08
108,-3477.1229329999996,37.28
109,-3529.8482240000003,35.19
110,-3444.3173105,34.7
111,-3492.8864350000003,35.51
112,-3487.6433115,36.43
113,-3504.118324,35.92
114,-3512.4621629999997,35.03
115,-3476.083235,35.66
116,-3470.0052025,34.87
117,-3607.3556095,34.81
118,-3618.5822475,35.55
119,-3577.8712444999996,34.9
120,-3641.0512765,37.8
121,-3620.4568545,35.87
122,-3688.6095835,36.86
123,-3644.3804105,35.92
124,-3614.137276,36.77
125,-3614.9433045,36.59
126,-3609.0831885000002,36.24
127,-3677.1020169999997,34.44
128,-3602.3251514999997,35.95
129,-3592.7683315000004,36.27
130,-3640.6705789999996,36.08
131,-3562.5934599999996,34.26
132,-3547.265791,36.92
133,-3541.4135515000003,35.53
134,-3543.3826765000003,37.14
135,-3605.3024685,36.8
136,-3611.16521,35.75
137,-3627.8450114999996,34.78
138,-3524.723248,35.23
139,-3485.745075,36.62
140,-3522.7331190000004,36.05
141,-3546.562157,35.27
142,-3583.4714360000003,36.04
143,-3545.2730364999998,37.54
144,-3502.054681,36.69
145,-3611.096947,38.28
146,-3431.9091975,36.16
147,-3362.4200889999997,37.81
148,-3296.0185685,37.67
149,-3469.204425,38.06
150,-3455.7461120000003,36.31
151,-3487.929491,38.64
152,-3522.008481,37.2
153,-3466.3767615,37.23
154,-3437.472632,36.04
155,-3572.911675,35.44
156,-3557.5892569999996,34.93
157,-3556.1898655,36.32
158,-3573.636313,35.34
159,-3572.654376,35.51
160,-3554.764219,34.78
161,-3562.0473559999996,35.96
162,-3511.732274,34.72
163,-3586.32798,35.65
164,-3485.7765809999996,35.09
165,-3492.0226455,35.36
166,-3520.401675,34.3
167,-3680.4495295,34.48
168,-3687.966336,35.09
169,-3592.8943554999996,35.11
170,-3635.00475,34.44
171,-3577.6795829999996,35.33
172,-3617.7210835,34.24
173,-3661.1048455,34.33
174,-3610.0126155,34.14
175,-3576.429845,33.24
176,-3550.8338455,33.34
177,-3587.4464430000003,35.38
178,-3544.1204420000004,34.7
179,-3513.2419365,34.21
180,-3361.2333630000003,33.77
181,-3381.423458,33.36
182,-3433.823187,32.68
183,-3373.50495,32.7
184,-3397.8617135,33.65
185,-3339.7095139999997,32.88
186,-3442.214285,33.76
187,-3414.1608174999997,33.77
188,-3420.007806,32.66
189,-3504.9085995,32.67
190,-3499.63397,33.12
191,-3457.8333844999997,32.4
192,-3553.1547874999997,33.25
193,-3493.1962439999998,32.51
194,-3619.2937580000003,35.02
195,-3514.578316,32.15
196,-3538.6594020000002,32.82
197,-3501.429812,33.59
198,-3450.584379,33.18
199,-3402.8029045000003,33.37
200,-3445.947746,32.61
201,-3488.669882,33.19
202,-3435.5008815,33.36
203,-3445.3071240000004,35.03
204,-3546.4860175,36.08
205,-3551.141029,35.03
206,-3413.6882275000003,34.33
207,-3481.0533065,34.36
208,-3410.0991689999996,33.96
209,-3569.3068635,33.14
210,-3634.7264469999996,32.56
211,-3629.5305825,31.89
212,-3608.7917580000003,31.35
213,-3699.954369,32.6
214,-3655.530909,32.38
215,-3652.705871,31.94
216,-3737.3966245,33.23
217,-3716.6866805,33.63
218,-3706.0455290000004,34.77
219,-3646.436177,35.27
220,-3582.736296,34.98
221,-3769.267569,32.78
222,-3602.9867775000002,35.34
223,-3638.6016849999996,35.27
224,-3524.8046385000002,34.37
225,-3518.4824345,32.7
226,-3501.2854095,32.91
227,-3539.704351,31.43
228,-3547.9983055000002,32.32
229,-3595.0367635000002,33.74
230,-3604.6172130000004,33.29
231,-3578.5565,32.82
232,-3530.0608895,33.44
233,-3539.0663544999998,32.52
234,-3470.527677,34.09
235,-3470.7272150000003,33.78
236,-3449.6418245,33.52
237,-3472.11873,33.75
238,-3532.7021425,33.18
239,-3508.628933,33.03
240,-3571.3258730000002,33.28
241,-3530.0661404999996,33.13
242,-3578.08391,33.69
243,-3552.4038945,34.02
244,-3615.229484,35.42
245,-3549.2007845000003,33.7
246,-3493.931384,35.25
247,-3558.1169825,34.97
248,-3539.9380204999998,34.11
249,-3511.837294,34.88
250,-3570.023625,35.19
251,-3474.7967399999998,35.32
252,-3457.384424,35.59
253,-3451.3510250000004,35.29
254,-3495.648461,35.46
255,-3629.055367,34.11
256,-3468.3065039999997,35.04
257,-3515.0010214999998,32.24
258,-3467.8155355,33.66
259,-3450.6631439999996,32.76
260,-3547.1030100000003,33.5
261,-3612.194406,34.07
262,-3722.8539800000003,35.53
263,-3650.2720325,34.45
264,-3676.057068,34.93
265,-3616.552736,36.45
266,-3712.168195,34.89
267,-3718.0519405,35.73
268,-3682.279503,35.32
269,-3696.1657724999995,34.02
270,-3723.5838690000005,34.47
271,-3624.723292,33.07
272,-3630.9168465000002,32.52
273,-3479.9637239999997,32.87
274,-3602.4406735,31.76
275,-3646.3862925000003,33.06
276,-3625.4453045,33.54
277,-3618.453598,34.25
278,-3603.913579,32.69
279,-3675.537219,32.45
280,-3544.3488605000002,32.77
281,-3607.6916734999995,33.97
282,-3566.0801239999996,33.23
283,-3606.554832,34.53
284,-3594.267492,33.42
285,-3566.4345664999996,34.94
286,-3594.3200020000004,34.05
287,-3618.4772274999996,32.99
288,-3536.5931334999996,31.92
289,-3516.458174,32.46
290,-3558.896756,32.82
291,-3593.353818,34.65
292,-3633.3165535,32.66
293,-3591.752263,32.93
294,-3607.5341435,33.44
295,-3685.0835370000004,34.78
296,-3677.1519015,34.04
297,-3699.5894245000004,34.69
298,-3674.8572145,34.88
299,-3736.5065799999998,35.61
300,-3632.736318,34.26
301,-3696.7145020000003,34.12
302,-3671.724993,35.47
303,-3653.1233255,34.82
304,-3691.3217250000002,35.86
305,-3694.7375005,37.63
306,-3655.7330725,34.86
307,-3639.6230044999998,35.77
308,-3600.2378790000002,35.53
309,-3576.6530125,37.23
310,-3595.8244135,35.97
311,-3702.6245025000003,36.15
312,-3620.4122209999996,35.83
313,-3661.475041,35.39
314,-3714.0244235000005,34.93
315,-3659.9837570000004,35.53
316,-3637.7746525000002,36.2
317,-3664.2606965,36.08
318,-3627.2674015000002,37.23
319,-3651.6162885,36.39
320,-3633.093386,35.44
321,-3628.855829,35.69
322,-3599.6891495,35.36
323,-3605.0766755,35.03
324,-3528.4120755,36.02
325,-3533.2534975,36.5
326,-3536.6824005,36.34
327,-3572.0163795,36.03
328,-3520.7351135000004,36.7
