model,Gsolv,timing
0,-10.2000675,0.12
1,-8.753417,0.12
2,-9.9690235,0.15
3,-9.8850075,0.13
4,-9.727477499999999,0.13
5,-8.879441,0.11
6,-8.858437,0.14
7,-9.2968955,0.15
8,-10.9404585,0.14
9,-8.5880105,0.12
10,-9.2181305,0.11
11,-9.289019,0.13
12,-10.6884105,0.14
13,-10.7566735,0.1
14,-10.2210715,0.13
15,-9.415043,0.14
16,-10.769801,0.12
17,-10.373350499999999,0.12
18,-9.8850075,0.13
19,-9.8272465,0.13
20,-9.5279395,0.13
21,-9.751107,0.14
22,-9.194500999999999,0.11
23,-8.837433,0.14
24,-9.908637,0.12
25,-10.084545499999999,0.11
26,-9.026469,0.14
27,-10.155434,0.13
28,-9.220756,0.13
29,-9.331026999999999,0.12
30,-10.417984,0.1
31,-8.8190545,0.14
32,-9.8850075,0.12
33,-10.1580595,0.12
34,-10.44949,0.12
35,-10.475745,0.12
36,-9.651338,0.14
37,-8.931951,0.13
38,-9.9847765,0.12
39,-9.5751985,0.14
40,-8.695656,0.13
41,-10.9247055,0.11
42,-8.6825285,0.15
43,-10.305087499999999,0.15
44,-10.087171,0.13
45,-10.738294999999999,0.15
46,-9.614581,0.12
47,-9.5174375,0.13
48,-9.409792,0.14
49,-11.090112000000001,0.11
50,-8.82168,0.14
51,-9.131489,0.11
52,-8.212564,0.11
53,-9.021218,0.13
54,-10.071418,0.14
55,-9.270640499999999,0.14
56,-8.7455405,0.12
57,-8.081289,0.14
58,-11.2240125,0.14
59,-9.992653,0.14
60,-9.499059,0.13
61,-8.9660825,0.14
62,-9.168246,0.13
63,-9.2443855,0.12
64,-9.367784,0.13
65,-9.751107,0.13
66,-9.6434615,0.12
67,-9.850876,0.14
68,-8.5827595,0.13
69,-10.333968,0.14
70,-8.947704,0.11
71,-9.908637,0.13
72,-8.947704,0.14
73,-9.320525,0.12
74,-9.525314,0.14
75,-9.572573,0.12
76,-10.7251675,0.14
77,-9.0553495,0.14
78,-9.3126485,0.14
79,-9.493808,0.11
80,-9.299521,0.11
81,-9.572573,0.12
82,-9.4439235,0.13
83,-8.307082000000001,0.12
84,-10.0425375,0.12
85,-9.8850075,0.14
86,-9.183999,0.14
