model,Gsolv,timing
0,-3714.97748,29.97
1,-3738.8695300000004,29.97
2,-3646.499189,30.84
3,-3629.811511,31.96
4,-3601.9418285,31.05
5,-3523.0901870000002,30.87
6,-3485.965617,30.83
7,-3571.745953,32.65
8,-3591.1037645,34.04
9,-3617.4742865,33.77
10,-3645.7299175,33.41
11,-3689.8593214999996,32.19
12,-3628.5880279999997,33.0
13,-3634.2984905,32.89
14,-3698.106017,34.38
15,-3652.1755200000002,32.51
16,-3682.0878415,32.08
17,-3610.577098,33.54
18,-3705.6595804999997,33.77
19,-3634.868224,33.04
20,-3627.469565,33.44
21,-3613.8852279999996,33.67
22,-3597.2421835,32.77
23,-3683.20893,33.18
24,-3622.082039,32.59
25,-3755.5572079999997,34.02
26,-3679.6303735,34.72
27,-3713.8196345,34.47
28,-3656.0166265000003,33.77
29,-3546.6120415,33.07
30,-3521.929716,33.36
31,-3539.5126895,33.19
32,-3595.270433,33.15
33,-3621.6645845,33.86
34,-3626.3799825,33.38
35,-3584.1829465,34.96
36,-3563.9534689999996,34.39
37,-3583.5265714999996,34.96
38,-3616.7601505,33.7
39,-3572.3314395,32.84
40,-3689.6440305,32.23
41,-3640.8911209999997,32.72
42,-3621.992772,31.94
43,-3634.6608094999997,32.88
44,-3677.9841850000003,32.99
45,-3651.8525835,32.69
46,-3567.7866989999998,32.91
47,-3564.0243575,33.43
48,-3687.2469490000003,33.37
49,-3584.6030265,32.43
50,-3533.0907165,32.12
51,-3648.9435295000003,32.36
52,-3642.912756,34.55
53,-3700.1040224999997,33.41
54,-3565.618036,33.1
55,-3544.2202110000003,33.33
56,-3501.5689635,34.68
57,-3487.446399,33.55
58,-3593.080766,32.25
59,-3576.6530125,33.51
60,-3473.3185835,32.21
61,-3527.180716,33.43
62,-3430.4730489999997,32.34
63,-3461.432945,32.16
64,-3457.3660455,32.83
65,-3501.5453340000004,32.9
66,-3587.3335465,32.86
67,-3564.7279915000004,34.38
68,-3545.858523,33.06
69,-3540.5786425,34.35
70,-3525.757695,33.86
71,-3525.579161,34.34
72,-3585.1438795000004,34.4
73,-3580.2184415,35.83
74,-3581.4839325,34.73
75,-3614.2711765,34.64
76,-3740.3581885000003,34.54
77,-3627.0809910000003,33.89
78,-3619.2858815000004,34.12
79,-3621.178867,33.01
80,-3660.503606,35.25
81,-3648.8385095,34.99
82,-3684.952262,33.81
83,-3593.0020010000003,34.5
84,-3556.7149655000003,33.51
85,-3575.5398004999997,34.29
86,-3601.2959555,35.3
87,-3562.6144639999998,33.33
88,-3665.203251,34.13
89,-3662.546245,34.0
90,-3657.5105360000002,34.04
91,-3577.8554915,33.04
92,-3560.3486575,32.46
93,-3566.8966545000003,32.83
94,-3623.4394225,33.2
95,-3610.5692215000004,34.23
96,-3613.512407,33.72
97,-3637.5252299999997,33.21
98,-3639.263311,32.63
99,-3625.8443805,32.67
100,-3598.604818,34.0
101,-3649.3846135,34.11
102,-3597.428594,34.49
103,-3644.1073585,33.93
104,-3729.94283,34.54
105,-3711.3752940000004,34.15
106,-3767.1907985,34.7
107,-3650.6343515,34.86
108,-3616.4503415,33.64
109,-3564.8330115,34.57
110,-3535.9997705,33.82
111,-3598.951384,33.95
112,-3530.1921644999998,34.1
113,-3532.279437,33.32
114,-3538.276079,33.72
115,-3527.6007959999997,33.72
116,-3609.5006430000003,32.33
117,-3529.6355585,33.31
118,-3503.1390125000003,33.55
119,-3466.8703555,32.86
120,-3525.3533679999996,32.93
121,-3471.2286855,32.55
