model,Gsolv,timing
0,-1788.9028035,8.85
1,-1790.8299205,9.26
2,-1772.1836194999998,8.85
3,-1754.4247375,8.83
4,-1779.3617365,8.91
5,-1828.287929,8.77
6,-1799.7618715,9.08
7,-1812.3353909999998,8.66
8,-1800.3841149999998,8.39
9,-1751.381783,8.04
10,-1775.6702834999999,8.93
11,-1798.288966,8.47
12,-1830.02601,8.29
13,-1756.9924765,8.64
14,-1750.1189175,8.39
15,-1760.0328055,8.24
16,-1731.7640470000001,8.95
17,-1701.486781,8.64
18,-1752.4871185000002,8.81
19,-1688.8029905,8.77
20,-1660.4580925,8.12
21,-1685.6051314999997,8.11
22,-1723.015881,8.38
23,-1677.069631,8.59
24,-1688.6375839999998,7.77
25,-1673.9321585,8.3
26,-1744.8311605000001,8.57
27,-1637.8210315,8.45
28,-1663.506298,8.73
29,-1665.5988215,8.03
30,-1712.3511,8.08
31,-1675.6649885,8.17
32,-1686.8443674999999,8.24
33,-1628.308845,8.4
34,-1696.881654,7.7
35,-1667.9250145,8.07
36,-1690.123617,8.39
37,-1685.985829,7.84
38,-1625.3184005,7.84
39,-1662.3510780000001,7.75
40,-1659.531291,7.5
41,-1650.9327785,7.65
42,-1653.0016725,7.78
43,-1678.5320345,7.89
44,-1663.6559515000001,7.72
45,-1619.6053124999999,7.79
46,-1679.4352065,7.91
47,-1635.4423285,7.7
48,-1587.2985350000001,7.95
49,-1620.028018,8.3
50,-1634.8122085,8.29
51,-1671.5272005,8.13
52,-1670.4980045,7.95
53,-1646.902636,8.03
54,-1707.1027255000001,8.02
55,-1770.2197455,8.23
56,-1709.510309,8.07
57,-1667.4392970000001,8.12
58,-1645.180308,8.13
59,-1721.414326,8.35
60,-1694.928282,8.12
61,-1741.7278195000001,8.56
62,-1724.8353524999998,8.0
63,-1750.090037,7.86
64,-1735.8834565,7.43
65,-1700.11627,7.46
66,-1637.6031150000001,7.59
67,-1635.9858069999998,7.91
68,-1631.7219949999999,7.86
69,-1678.4900264999999,8.45
70,-1695.4061230000002,8.36
71,-1695.1304455,8.1
72,-1714.005165,8.06
73,-1702.6262479999998,7.93
74,-1679.6137405000002,7.95
75,-1739.2572240000002,7.98
76,-1698.966301,7.68
77,-1646.2068785,8.04
78,-1593.1140175,7.61
79,-1625.578325,7.78
80,-1596.9498729999998,7.45
81,-1674.5071429999998,7.92
82,-1624.528125,7.8
83,-1618.5341085,7.72
84,-1626.0850464999999,7.82
85,-1680.8004664999999,7.7
86,-1633.2946695,7.88
87,-1629.6452245,7.82
88,-1621.0782179999999,7.87
89,-1596.3092510000001,7.95
90,-1643.0352745,7.5
91,-1636.0566955,7.7
92,-1648.052605,7.78
93,-1621.0782179999999,8.11
94,-1616.2000389999998,8.15
95,-1654.022992,8.01
96,-1686.5398094999998,7.6
97,-1717.7281240000002,7.83
98,-1672.0155435,8.1
99,-1673.898027,8.15
100,-1681.380702,8.13
101,-1692.5653320000001,8.38
102,-1662.25656,7.95
103,-1685.4686055,8.74
104,-1714.5538945,7.98
105,-1685.6655180000002,7.58
106,-1721.6506210000002,7.93
107,-1726.9305015,8.26
108,-1728.781479,7.84
109,-1674.244593,7.51
110,-1687.4272285000002,8.49
111,-1640.6880775000002,8.28
112,-1638.180725,8.37
113,-1606.3990474999998,8.13
114,-1571.1175785,7.87
115,-1612.3221755,7.82
116,-1566.646352,7.66
117,-1595.390326,8.0
118,-1630.729556,7.65
119,-1643.2033064999998,8.24
120,-1654.4456974999998,8.09
121,-1626.885824,8.73
122,-1560.780985,8.72
123,-1525.6176635,8.54
124,-1521.2173255000002,8.08
125,-1584.7911825,8.36
126,-1648.55145,8.36
127,-1595.280055,7.81
128,-1667.686094,8.07
129,-1618.2164229999998,8.18
130,-1696.109757,8.29
131,-1690.113115,8.96
132,-1634.6336745,8.51
133,-1651.7991934999998,8.49
134,-1641.0083885,8.31
135,-1586.8522,8.4
136,-1623.2495065,8.05
137,-1574.0896445,8.95
138,-1667.9722735,8.68
139,-1625.0873565000002,9.09
140,-1672.805819,9.05
141,-1621.1281024999998,8.3
142,-1588.306727,8.6
143,-1652.0092335000002,8.5
144,-1672.222958,8.58
145,-1608.8040055,8.66
146,-1613.3303675,8.83
147,-1603.7052845,8.57
148,-1598.005324,7.77
149,-1685.0327725,8.14
150,-1635.0642564999998,7.94
151,-1667.7858629999998,8.23
152,-1693.8728310000001,8.01
153,-1615.1157074999999,8.32
154,-1622.7821675,7.77
155,-1588.348735,8.09
156,-1611.663175,8.4
157,-1611.1459515,8.88
158,-1609.4656315,7.94
