model,Gsolv,timing
0,-289.98647500000004,0.09
1,-283.72203199999996,0.05
2,-288.0619835,0.07
3,-289.2382075,0.09
4,-283.4043465,0.08
5,-292.49645300000003,0.07
6,-280.55830449999996,0.06
7,-287.586768,0.08
8,-281.76866,0.06
9,-291.45412949999996,0.08
10,-283.8401795,0.06
11,-281.28031699999997,0.08
12,-285.617643,0.07
13,-284.688216,0.06
14,-285.2001885,0.07
15,-287.85982,0.07
16,-281.3196995,0.07
17,-280.377145,0.07
18,-290.364547,0.07
19,-282.1808635,0.08
20,-280.2642485,0.07
21,-293.0976925,0.07
22,-282.5379315,0.06
23,-286.56807399999997,0.08
24,-287.087923,0.09
25,-283.4043465,0.08
26,-283.0210235,0.07
27,-280.0437065,0.09
28,-283.2940755,0.07
29,-291.6169105,0.07
30,-290.621846,0.08
31,-288.327159,0.07
32,-285.790926,0.08
33,-285.57563500000003,0.07
34,-284.210375,0.07
35,-282.535306,0.08
36,-286.872632,0.06
37,-289.093805,0.06
38,-283.7089045,0.08
39,-287.0957995,0.08
40,-286.646839,0.07
41,-291.3806155,0.08
42,-290.47481799999997,0.05
43,-284.782734,0.1
44,-285.5782605,0.07
45,-278.1060875,0.08
46,-279.631503,0.05
47,-281.695146,0.06
48,-287.94383600000003,0.07
49,-284.1709925,0.09
50,-284.808989,0.08
51,-283.863809,0.07
52,-284.0869765,0.05
53,-280.19073449999996,0.08
54,-289.6162795,0.08
55,-283.884813,0.13
56,-289.84732349999996,0.15
57,-285.6360215,0.12
58,-287.7836805,0.15
59,-284.2077495,0.11
60,-284.504431,0.12
61,-285.8828185,0.11
62,-282.073218,0.1
63,-286.400042,0.13
64,-283.9714545,0.13
65,-287.565764,0.11
66,-287.1903175,0.12
67,-289.792188,0.11
68,-286.8174965,0.11
69,-283.8349285,0.1
70,-286.715102,0.09
71,-285.6202685,0.08
72,-286.07185450000003,0.07
73,-289.235582,0.06
74,-290.112499,0.08
75,-286.33703,0.12
76,-288.8811395,0.06
77,-286.7046,0.06
78,-292.155138,0.08
79,-284.325897,0.08
80,-284.2760125,0.08
81,-286.300273,0.1
82,-283.674773,0.08
83,-277.98006349999997,0.07
84,-283.890064,0.07
85,-283.743036,0.08
86,-288.2615215,0.06
87,-287.471246,0.08
88,-282.58781600000003,0.07
89,-283.2363145,0.08
90,-285.79355150000004,0.07
91,-287.1168035,0.11
92,-285.7410415,0.14
93,-285.3262125,0.14
94,-281.4536,0.07
95,-283.6196375,0.11
96,-284.5228095,0.12
97,-283.4778605,0.12
98,-285.2999575,0.12
99,-283.9504505,0.1
100,-282.6534535,0.11
101,-287.9937205,0.09
102,-292.123632,0.08
103,-282.0075805,0.13
104,-283.4673585,0.13
105,-286.741357,0.14
106,-283.17855349999996,0.1
107,-288.9441515,0.08
108,-285.229069,0.08
109,-288.06986,0.06
110,-284.483427,0.13
111,-291.293974,0.07
112,-282.4224095,0.07
113,-286.342281,0.11
114,-284.8588735,0.13
115,-289.093805,0.12
116,-285.1214235,0.11
117,-282.69021050000003,0.14
118,-287.0905485,0.11
119,-285.6544,0.14
120,-287.523756,0.1
121,-290.0521125,0.08
122,-289.26971349999997,0.07
123,-282.692836,0.07
124,-286.1348665,0.08
125,-285.1319255,0.11
126,-287.8834495,0.13
127,-294.03237049999996,0.12
128,-284.22087700000003,0.12
129,-283.149673,0.12
130,-284.6908415,0.08
131,-277.48384400000003,0.07
132,-284.44667000000004,0.06
133,-288.6448445,0.09
134,-288.573956,0.09
135,-286.26351600000004,0.08
136,-288.862761,0.07
137,-282.8897485,0.08
138,-280.030579,0.07
139,-282.41715849999997,0.08
140,-284.084351,0.06
141,-284.9586425,0.08
142,-280.755217,0.08
143,-284.9586425,0.07
144,-285.9038225,0.08
145,-282.8844975,0.07
146,-289.2592115,0.08
147,-286.01671899999997,0.07
148,-273.661116,0.14
149,-282.8424895,0.07
150,-284.4440445,0.13
151,-285.8355595,0.12
152,-290.175511,0.13
153,-284.8431205,0.08
154,-282.624573,0.09
155,-276.12908600000003,0.08
156,-285.64389800000004,0.08
157,-284.5753195,0.05
158,-286.56282300000004,0.09
159,-284.65671000000003,0.1
160,-283.21268499999996,0.08
161,-287.040664,0.07
162,-283.91369349999997,0.05
163,-282.81098349999996,0.09
164,-279.42933949999997,0.07
165,-283.7089045,0.06
166,-284.3180205,0.08
167,-284.2077495,0.08
168,-286.2976475,0.08
169,-293.9956135,0.08
170,-287.917581,0.09
171,-292.49645300000003,0.05
172,-280.7683445,0.07
173,-282.3278915,0.1
174,-282.7374695,0.06
175,-289.2119525,0.07
176,-284.74335149999996,0.14
177,-284.168367,0.13
178,-285.3524675,0.08
179,-282.55893549999996,0.07
180,-281.122787,0.09
181,-287.245453,0.07
182,-281.71615,0.13
183,-280.0122005,0.14
184,-291.0970615,0.08
185,-281.863178,0.06
186,-284.278638,0.09
187,-278.19798,0.06
188,-278.4001435,0.08
189,-281.474604,0.08
190,-283.3675895,0.06
191,-287.502752,0.09
192,-286.699349,0.06
193,-280.96000599999996,0.09
194,-279.7233955,0.08
195,-281.67676750000004,0.1
196,-285.591388,0.11
197,-284.65671000000003,0.13
198,-284.2024985,0.13
199,-283.5198685,0.08
200,-288.7026055,0.08
201,-279.804786,0.07
202,-281.7135245,0.06
203,-287.1378075,0.09
204,-285.7462925,0.06
205,-285.4522365,0.07
206,-282.33576800000003,0.08
207,-283.7036535,0.08
208,-284.01083700000004,0.08
209,-286.0561015,0.08
210,-280.413902,0.08
211,-281.338078,0.12
212,-291.829576,0.07
213,-282.5641865,0.07
214,-288.7026055,0.07
215,-287.0747955,0.07
216,-284.2392555,0.07
217,-282.9160035,0.08
218,-281.490357,0.15
219,-288.7498645,0.08
220,-286.59958,0.07
221,-286.142743,0.09
222,-290.0101045,0.06
223,-283.989833,0.06
224,-282.6061945,0.07
225,-289.7580565,0.09
226,-289.1909485,0.13
227,-282.283258,0.15
228,-289.4745025,0.13
229,-283.9662035,0.08
230,-284.9848975,0.08
231,-291.3596115,0.08
232,-287.481748,0.06
233,-284.8326185,0.06
234,-285.6465235,0.09
