model,Gsolv,timing
0,-1768.7127085,8.4
1,-1815.517497,8.01
2,-1826.6286129999999,8.37
3,-1819.177444,8.54
4,-1833.7410925000001,8.44
5,-1768.4527839999998,8.55
6,-1767.549612,8.48
7,-1765.685507,8.53
8,-1790.963821,8.39
9,-1758.3971190000002,8.74
10,-1761.6527389999999,8.6
11,-1733.7042915,8.19
12,-1752.5868875,7.97
13,-1705.7059595,7.89
14,-1716.76194,8.7
15,-1765.1682835000001,8.52
16,-1715.4938235,8.09
17,-1731.5540070000002,8.38
18,-1762.629425,8.53
19,-1766.9877549999999,8.57
20,-1740.5647230000002,8.11
21,-1743.6444345,8.55
22,-1711.311402,8.72
23,-1681.8874234999998,8.38
24,-1690.4675575,8.29
25,-1704.4247155,8.57
26,-1702.1247775000002,8.96
27,-1697.7480690000002,8.68
28,-1795.148868,8.74
29,-1758.013796,8.43
30,-1701.37651,8.22
31,-1657.2287275,8.12
32,-1692.6362205,8.57
33,-1688.280516,8.32
34,-1697.0470605,8.83
35,-1686.9966465,8.2
36,-1657.2392295,8.33
37,-1682.4702845000002,9.08
38,-1745.7133285,8.41
39,-1686.5923195,8.44
40,-1609.604783,8.32
41,-1643.489486,9.15
42,-1749.9745149999999,8.8
43,-1686.316642,8.84
44,-1620.400839,8.35
45,-1641.7724090000002,8.64
46,-1633.1161355000002,8.87
47,-1579.2697560000001,8.43
48,-1647.4198595,8.69
49,-1615.7248235,8.71
50,-1619.760217,8.63
51,-1642.507549,8.42
52,-1660.8807980000001,8.9
53,-1624.680404,8.25
54,-1636.395385,8.25
55,-1623.0447175,8.19
56,-1651.560273,8.62
57,-1650.735866,8.49
58,-1619.0224515,8.44
59,-1696.109757,8.17
60,-1623.0683470000001,8.11
61,-1676.4106305,8.32
62,-1624.4414835,8.63
63,-1583.370787,8.8
64,-1667.3999144999998,8.6
65,-1650.4444355,8.28
66,-1651.633787,8.66
67,-1631.01311,8.47
68,-1628.450622,8.65
69,-1616.9771870000002,8.72
70,-1621.4851705,8.67
71,-1611.9230994999998,8.44
72,-1614.6037350000001,8.23
73,-1655.3278655,8.07
74,-1671.897396,8.64
75,-1607.210327,8.23
76,-1564.9187729999999,8.57
77,-1579.9786410000002,8.47
78,-1566.8301370000001,8.54
79,-1637.2302940000002,7.63
80,-1671.388049,7.93
81,-1615.816716,7.72
82,-1653.466386,7.97
83,-1667.5889505,7.88
