model,Gsolv,timing
0,-18851.347299,33.35
1,-18949.157676,34.21
2,-18795.4162725,33.53
3,-18832.616982,32.27
4,-18964.2989345,33.31
5,-18738.6057035,33.02
6,-18814.5666695,32.9
7,-18879.9048625,32.82
8,-18709.8407255,33.58
9,-18748.742759,34.73
10,-18537.6079255,32.46
11,-18696.117237000002,32.97
12,-18896.3982535,32.99
13,-18866.3100235,32.72
14,-18772.6846935,33.47
15,-18875.5045245,33.01
16,-19103.783873,33.29
17,-19233.163262,33.47
18,-18719.636466,32.73
19,-18980.868465,33.05
20,-18922.855417000002,33.15
21,-19224.761662,32.45
22,-18918.8987885,33.04
23,-19399.016097,33.08
24,-19646.3670775,32.64
25,-19530.9973565,33.19
26,-19073.36483,34.13
27,-19275.229023,32.61
28,-19153.4662095,32.04
29,-19224.966451,32.04
30,-19433.0189475,32.14
31,-19126.641476,31.49
32,-18748.212408,33.07
33,-19064.579907,32.36
34,-18882.9294385,32.67
35,-19238.083448999998,32.88
36,-19299.215591,32.91
37,-19268.266197,32.78
38,-18973.753360000002,33.21
39,-18988.7790965,33.33
40,-18646.2511155,31.91
41,-18676.8749475,32.82
42,-18675.0475995,32.03
43,-19204.6634595,32.34
44,-19040.435809000002,32.5
45,-19150.643797,32.1
46,-19015.296646500003,32.04
47,-19192.806701499998,31.39
48,-19444.9754745,32.4
49,-18785.2713405,31.52
50,-18918.649366,31.73
51,-18869.762556,31.08
52,-18856.004936,31.73
53,-18902.7992225,33.36
54,-18650.895625,32.53
55,-18543.055838,31.74
56,-18789.1518295,32.17
57,-18828.978039,31.42
58,-18512.468763,31.37
59,-18828.852015,32.48
60,-18745.8363305,31.93
61,-18478.9174985,30.85
62,-18376.515122,31.3
63,-18198.2725525,30.25
64,-18260.313117499998,30.84
65,-18476.819724,31.47
66,-18028.106021,31.34
67,-17924.881863,31.34
68,-18509.438936,32.59
69,-18419.778111,32.79
70,-18785.935592,31.73
71,-18239.248731,32.09
72,-18528.7757435,32.13
73,-18846.857694,31.95
74,-18668.728021,32.38
75,-18746.0043625,31.49
76,-18676.945836,31.41
77,-19294.715484,30.68
78,-18654.986154,31.41
79,-18552.93822,31.11
80,-18842.840679,30.66
81,-19103.153753,30.36
82,-19051.935499,30.87
83,-19065.126011,30.34
84,-18972.4694905,31.01
85,-18966.060645,30.24
86,-18835.4919045,31.65
87,-18871.09631,31.05
88,-18739.66378,31.47
89,-18749.8533455,30.03
90,-18357.369976,30.71
91,-18726.4758935,30.2
92,-18379.770742,29.2
93,-18600.501778,29.49
94,-18660.7123695,30.41
95,-18356.4851825,30.34
96,-18468.832953,31.08
97,-18487.1957,30.99
98,-18376.2972055,30.59
99,-18513.823521000002,31.41
100,-18600.296989,30.09
101,-18582.3779515,30.69
102,-18557.5591,30.65
103,-18288.440099,31.43
104,-18621.348248,29.98
105,-18864.083599499998,30.85
106,-18558.6093,30.32
107,-18675.202504,30.86
108,-18676.326218000002,30.99
109,-18804.574016500002,30.73
110,-18844.247947,30.99
111,-18872.976167999997,30.78
112,-18713.550557000002,31.7
113,-18557.6142355,31.52
114,-18745.817951999998,30.17
115,-18911.2743365,30.27
116,-19091.454525,31.25
117,-19090.401699500002,30.6
118,-19313.456303,30.21
119,-19020.7104275,30.56
120,-19249.4702425,31.2
121,-19093.969754,30.2
122,-19314.522256,31.08
123,-18920.471463,30.89
124,-18675.365285,31.48
125,-18740.666720999998,30.97
126,-18796.8130385,31.14
127,-18709.3418805,32.03
128,-18848.9187115,31.83
129,-18849.6223455,32.11
130,-18742.0661125,31.92
131,-18966.71702,31.84
132,-19008.924558000002,30.76
133,-18815.745519,30.33
134,-19249.5017485,30.58
135,-18912.7656205,31.08
136,-19175.570294,30.95
137,-19362.889217,30.18
138,-19145.19851,30.41
139,-19469.479266,30.92
140,-19517.838350500002,30.99
141,-18994.9700255,30.2
142,-19039.330473500002,30.74
143,-19006.9580585,30.86
144,-18824.199629,30.12
145,-19082.648598,31.86
146,-19250.087235,31.37
147,-18978.0670565,30.54
148,-18802.9199515,31.21
149,-19386.881036,30.02
150,-18834.0636325,30.28
151,-19043.077062,30.45
152,-18484.0582275,30.34
153,-18686.444895,29.74
154,-18898.8767255,29.71
155,-18721.778874,31.33
156,-19073.3306985,29.95
157,-18755.3511425,31.11
158,-18937.022614999998,31.58
159,-18658.9795395,30.78
160,-18711.652320499998,31.22
161,-18856.7374505,30.78
162,-18806.9369665,30.94
163,-18974.8009345,30.05
164,-18886.056409,30.37
165,-18799.273132,30.61
166,-19165.2179475,29.87
167,-18672.571753,30.64
168,-18880.6452535,30.13
169,-19234.418251,31.41
170,-19138.755533,30.69
171,-18517.1447785,30.73
172,-18547.125363,32.03
173,-18999.6959255,30.92
174,-18832.338679,30.8
175,-18868.2738975,31.51
176,-18625.974379,31.48
177,-18554.923098,31.05
178,-18506.823938,30.88
179,-18658.6014675,30.76
180,-18671.054214,31.13
181,-18746.106757,31.27
182,-18894.4763875,30.2
183,-18657.0209165,30.46
184,-19086.870402,30.33
185,-18830.2776615,29.81
186,-18919.615550000002,30.35
187,-19156.9423715,30.55
188,-18931.16775,30.17
189,-19353.6238275,31.49
190,-18995.132806499998,30.3
191,-19377.5788895,31.55
192,-19257.1472045,31.78
193,-19089.758452,30.76
194,-18857.611741999997,30.94
195,-19065.8900315,32.14
196,-19264.0627715,29.69
197,-19301.294986999997,31.56
198,-19014.275327,30.75
199,-19208.6594705,31.09
200,-19313.7897415,32.84
201,-19191.2629075,31.94
202,-19413.9972,31.89
203,-19143.323903,32.55
204,-19223.0682145,33.16
205,-19158.231492,32.46
206,-19130.842276,32.88
207,-18688.2696175,33.23
208,-19166.7827455,33.43
209,-18854.6107955,33.82
210,-18979.602974,33.22
211,-18848.2150775,33.05
212,-18866.9611475,33.28
213,-19348.9189315,34.0
214,-18998.448813,33.91
215,-19055.080848,32.51
216,-18999.451753999998,34.07
217,-19310.807173499998,33.15
218,-19454.1857285,32.69
219,-19303.169594,32.23
220,-19472.0181245,32.2
221,-19292.657092,33.66
222,-19233.483573,32.99
223,-19119.3347095,33.72
224,-19230.915834,31.88
225,-19086.817892,32.25
226,-18907.181182,32.99
227,-18805.752866,33.17
228,-18914.3514225,32.04
229,-18982.543534,32.71
230,-19024.588291,31.22
231,-18759.3734085,32.32
232,-18470.731189500002,31.4
233,-18767.9325385,31.68
234,-19002.1271385,31.69
235,-18955.632159,32.8
236,-19071.0937725,32.64
237,-19043.124321,33.16
238,-18740.120617,32.05
239,-18997.9473425,32.51
240,-18946.9338775,31.94
241,-19021.58997,33.49
242,-19225.869623000002,32.52
243,-18745.319107,33.22
244,-19142.084667,33.06
245,-19008.585868500002,31.86
246,-19125.129188,32.75
247,-18969.1141015,31.48
248,-18889.2253875,32.87
249,-18909.7935545,32.23
250,-19177.3687615,33.24
251,-19050.339195,31.77
252,-18958.7328745,32.31
253,-18821.6502685,31.96
254,-19178.3401965,55.9
255,-19229.89714,32.94
256,-18988.214614,31.76
257,-18696.7657355,31.58
258,-18928.5291225,31.99
259,-19049.409768,32.72
260,-19067.210658,32.51
261,-19326.6336875,32.33
262,-19008.378453999998,33.32
263,-18985.1769105,31.75
264,-18890.559141499998,31.14
265,-19178.967691,31.88
266,-19200.008448,31.57
267,-19222.6008755,30.58
268,-19260.9699325,31.85
269,-19276.384243,31.92
270,-19309.497049,31.53
271,-19407.5410955,30.95
272,-19259.3158675,31.1
273,-19474.572736000002,31.21
274,-19144.752175,30.56
275,-19178.657882,31.21
276,-19202.1009715,31.76
277,-19119.9753315,31.35
278,-19066.4833945,30.48
279,-18850.8930875,31.44
280,-19109.685997,32.18
281,-19358.068799,32.4
282,-19150.0005495,31.63
283,-19250.097737,31.81
284,-19036.55532,32.24
285,-18831.4171285,32.19
286,-18581.550919,31.82
287,-19128.2404055,32.84
288,-18806.4565,32.15
289,-19133.8117165,32.75
290,-19153.148524,32.53
291,-19062.521515,32.37
292,-19345.36663,31.54
293,-19134.3683225,32.64
294,-19599.1448345,32.49
295,-18835.7964625,32.47
296,-19002.618107000002,30.97
297,-19197.0810155,32.73
298,-19387.6030485,31.03
299,-19190.4122455,31.91
300,-19805.333226000002,31.95
301,-19582.8772365,32.96
302,-19217.352501,31.24
303,-19737.710848,32.5
304,-19631.3124605,33.06
305,-19714.8138625,32.42
306,-19836.167097999998,32.61
307,-19556.110264,32.21
308,-19360.893837,32.24
309,-19457.9349425,31.92
310,-19953.0727365,31.89
311,-19607.454542,31.21
312,-19530.721679,31.7
313,-19294.920273,32.9
314,-19313.965650000002,31.75
315,-19273.9188985,32.33
316,-19255.059932,31.84
317,-19301.0193095,32.38
318,-19138.1385405,32.55
319,-19028.411019,33.28
320,-19157.4412165,33.01
321,-19365.53047,32.29
322,-19520.1435395,32.95
323,-18971.2355055,31.87
324,-18868.62834,32.53
325,-19156.6745705,31.74
326,-19003.621047999997,33.4
327,-18913.4377485,32.48
328,-18880.248803000002,31.69
329,-18847.4851885,32.28
330,-19071.6556295,33.26
331,-18845.1852505,33.64
332,-19393.534053,31.15
333,-19326.631062,32.02
334,-19260.594485999998,31.27
335,-19298.6668615,32.52
336,-18917.284106000003,31.82
337,-19140.7167815,32.49
338,-19399.5175675,32.69
339,-19225.570315999998,31.95
340,-19357.39142,31.97
341,-19258.137017999998,33.15
342,-19471.7975825,32.56
343,-19372.162483,31.88
344,-18973.244013,32.59
345,-19006.3699465,31.53
346,-19192.0768125,32.5
347,-19163.477241,32.18
348,-19024.7747015,31.27
349,-19128.7602545,32.84
350,-19180.0782775,32.61
351,-19353.6238275,34.15
352,-19126.0034795,33.01
353,-19459.6047605,33.82
354,-19302.5841075,32.36
355,-19925.087531999998,33.01
356,-19883.877684,32.8
357,-19814.8664165,33.6
