model,Gsolv,timing
0,-18940.4488925,29.51
1,-19032.370273,30.19
2,-18886.9622065,29.55
3,-18915.2755985,28.55
4,-19049.9584975,29.59
5,-18831.5956625,29.43
6,-18900.6778185,28.93
7,-18932.438492,29.28
8,-18804.765678,29.65
9,-18850.656792499998,30.28
10,-18619.478892,29.31
11,-18770.3269945,28.67
12,-18982.183840499998,29.36
13,-18944.2086085,28.99
14,-18845.2220075,29.34
15,-18965.0550785,29.24
16,-19194.4712685,29.05
17,-19320.9783605,30.27
18,-18837.789217,29.0
19,-19059.6938515,29.29
20,-19037.983592,29.32
21,-19298.853272,28.99
22,-19002.927916,29.39
23,-19486.996602,29.28
24,-19723.081562,28.89
25,-19597.897722,29.77
26,-19151.512837500002,30.38
27,-19393.581312000002,29.23
28,-19260.568231,28.39
29,-19300.4101935,28.7
30,-19525.8408745,28.94
31,-19251.8962045,28.34
32,-18834.612362,30.04
33,-19177.9148655,28.91
34,-18972.750419,28.94
35,-19320.6738025,29.25
36,-19402.153569500002,29.22
37,-19357.359914,29.37
38,-19075.575501,29.41
39,-19110.3397465,29.49
40,-18799.8953755,28.39
41,-18805.962906,29.2
42,-18808.5332705,28.61
43,-19326.8804845,28.7
44,-19154.944366,28.86
45,-19251.26871,28.19
46,-19108.4178805,28.35
47,-19303.812841500003,28.34
48,-19567.318523500002,28.78
49,-18906.666584,27.75
50,-19038.109616,28.18
51,-18967.8486105,28.13
52,-18971.070099,28.23
53,-19039.537888000003,29.52
54,-18771.3351865,28.99
55,-18635.3185335,28.35
56,-18895.14589,28.63
57,-18921.2249815,28.03
58,-18589.6558375,27.72
59,-18931.8845115,28.58
60,-18849.685357500002,28.42
61,-18571.195947,27.2
62,-18463.35616,27.84
63,-18301.3811885,27.27
64,-18351.326075,27.78
65,-18595.3794275,27.91
66,-18106.0492395,28.05
67,-18006.1699685,27.9
68,-18644.247859,28.9
69,-18516.5671685,29.26
70,-18885.4446675,28.16
71,-18332.254443,28.54
72,-18627.287129,28.48
73,-18915.4121245,28.32
74,-18760.1873135,28.61
75,-18846.747423,27.99
76,-18771.316808,27.54
77,-19386.8994145,27.71
78,-18737.9545795,27.89
79,-18628.1351655,28.15
80,-18924.0867765,27.24
81,-19165.189067,27.34
82,-19129.046434,27.26
83,-19140.4542315,27.1
84,-19053.7497195,27.67
85,-19053.0093285,27.4
86,-18941.501718,28.15
87,-18961.276984,27.51
88,-18826.058483,28.13
89,-18821.487487500002,27.31
90,-18408.231162,27.38
91,-18797.566557000002,26.87
92,-18469.5497145,26.22
93,-18677.250394,26.54
94,-18764.3513565,27.2
95,-18424.6064055,27.3
96,-18538.056886,27.64
97,-18557.853156,27.48
98,-18456.193796,27.38
99,-18590.9265795,27.45
100,-18693.743785,26.79
101,-18669.100842,27.3
102,-18646.521542,27.86
103,-18361.121815500002,27.99
104,-18716.556754499998,27.14
105,-18952.6837225,27.71
106,-18619.9436055,27.39
107,-18770.345373,27.61
108,-18770.880975,27.26
109,-18907.0420305,27.47
110,-18959.20809,27.57
111,-18964.0206315,27.59
112,-18787.426875999998,28.11
113,-18650.2156205,27.97
114,-18825.5150045,26.75
115,-18980.915724,26.93
116,-19166.851008499998,27.97
117,-19151.594228,27.46
118,-19401.5812105,27.01
119,-19088.282921,27.56
120,-19350.6150045,27.82
121,-19168.024607,26.93
122,-19401.694107,27.79
123,-19014.1099205,27.26
124,-18784.643846,27.91
125,-18814.4931555,27.9
126,-18885.069221,27.81
127,-18794.5236025,28.67
128,-18941.953304,28.32
129,-18935.0036055,28.06
130,-18843.827867,28.33
131,-19050.7671515,28.48
132,-19064.115193499998,27.45
133,-18886.652397500002,27.0
134,-19336.7996235,27.67
135,-19009.56518,27.7
136,-19282.5410405,27.7
137,-19455.758403,26.91
138,-19256.094379000002,26.81
139,-19554.393186999998,27.5
140,-19592.699232,27.97
141,-19088.1962795,26.86
142,-19144.437115,27.39
143,-19098.910945,27.77
144,-18895.240408,27.14
145,-19143.313401,28.53
146,-19345.608175999998,27.91
147,-19073.9923245,27.07
148,-18899.0342555,27.92
149,-19491.3313025,26.92
150,-18906.6587075,27.36
151,-19114.569427,27.27
152,-18567.0922905,26.91
153,-18753.7863445,26.48
154,-18944.935872,26.65
155,-18795.3427585,27.53
156,-19148.574903,26.83
157,-18839.312007,27.67
158,-18998.7559965,28.2
159,-18720.8205665,27.24
160,-18773.359447000003,27.71
161,-18910.4236745,26.97
162,-18898.517032,27.38
163,-19056.167805,26.43
164,-18948.201994,27.02
165,-18883.409905,27.22
166,-19228.5555095,26.57
167,-18779.650145,27.38
168,-18981.430322,26.91
169,-19338.949908,28.56
170,-19210.589213,27.39
171,-18617.142196999997,27.44
172,-18612.899389000002,28.44
173,-19027.0063765,27.53
174,-18865.934577,27.44
175,-18954.2537715,27.7
176,-18713.3168875,28.5
177,-18626.567742,27.9
178,-18570.618337,27.36
179,-18715.330646,27.39
180,-18742.9902885,27.41
181,-18838.156787,27.7
182,-18987.694765,26.74
183,-18709.097709,27.2
184,-19153.1301455,26.92
185,-18915.7849455,26.85
186,-19028.153720000002,27.13
187,-19226.725535999998,26.81
188,-19013.9891475,27.2
189,-19392.953817499998,28.1
190,-19073.076025,27.36
191,-19432.0632655,27.77
192,-19318.786068,28.34
193,-19175.0005605,27.45
194,-18936.6839255,27.23
195,-19146.162068499998,28.73
196,-19315.5960855,26.63
197,-19361.870522999998,28.11
198,-19038.9996605,27.74
199,-19253.917839499998,27.86
200,-19374.677712,28.7
201,-19265.042083,28.53
202,-19459.5995095,28.48
203,-19205.235818499998,28.5
204,-19297.824075999997,29.45
205,-19242.945875,28.86
206,-19196.337999,29.3
207,-18764.60603,29.53
208,-19219.720702,29.55
209,-18932.039416,29.92
210,-19053.825859,29.44
211,-18932.1260575,29.34
212,-18936.9149695,29.57
213,-19429.561164,30.5
214,-19072.5588015,30.55
215,-19137.511046,28.92
216,-19086.481828,30.02
217,-19438.718908,28.9
218,-19523.8980045,28.9
219,-19403.153885,28.38
220,-19552.198269,28.6
221,-19360.557773,29.67
222,-19318.155948,29.25
223,-19208.236764999998,29.81
224,-19328.2299915,28.41
225,-19180.185923,28.42
226,-19006.9318035,29.29
227,-18873.291228000002,28.97
228,-19009.523172,28.34
229,-19079.4743685,28.65
230,-19100.213193,27.86
231,-18841.454415,28.29
232,-18551.6596015,28.4
233,-18857.937304,28.63
234,-19076.557438,28.96
235,-19053.5239265,29.6
236,-19145.7577415,29.09
237,-19123.9030795,29.4
238,-18804.996722,28.48
239,-19090.399074,28.59
240,-19032.7746,28.41
241,-19097.8371155,29.54
242,-19313.5744505,28.85
243,-18836.644498999998,29.11
244,-19245.0436495,29.37
245,-19090.105018,28.21
246,-19209.9407145,29.18
247,-19013.020338,28.26
248,-18959.7935765,29.04
249,-19012.6711465,28.63
250,-19276.5811555,29.6
251,-19125.071427000003,28.16
252,-19054.3430825,28.33
253,-18920.2430445,28.79
254,-19268.502492,49.2
255,-19312.385099,29.07
256,-19094.4922285,28.34
257,-18773.905551,28.12
258,-19035.9330765,28.17
259,-19136.182543,29.18
260,-19129.0385575,29.1
261,-19405.532588,28.76
262,-19070.5581705,29.59
263,-19064.700679999998,28.09
264,-18963.592675,27.59
265,-19244.311135,28.18
266,-19285.2715605,28.13
267,-19319.731248,27.21
268,-19357.932273000002,28.02
269,-19398.947834,28.43
270,-19391.431027500003,28.27
271,-19505.2517035,28.0
272,-19340.399183999998,27.31
273,-19572.981727,28.15
274,-19240.1602195,27.26
275,-19284.397269,27.77
276,-19304.5007225,28.15
277,-19205.3303365,27.58
278,-19129.3431155,27.4
279,-18920.944053,28.11
280,-19181.2387485,28.87
281,-19438.978832499997,28.8
282,-19256.834769999998,27.85
283,-19342.147767000002,28.53
284,-19135.8543555,28.22
285,-18936.728559,28.3
286,-18657.7298015,28.08
287,-19186.985968,29.07
288,-18901.9118035,28.49
289,-19206.679843500002,29.12
290,-19254.5322065,28.89
291,-19137.697456500002,29.0
292,-19424.9901685,28.33
293,-19207.3939795,29.21
294,-19675.696538,29.14
295,-18928.912445500002,28.9
296,-19091.8877325,27.42
297,-19273.7088585,28.99
298,-19479.183114,27.81
299,-19288.151734,27.94
300,-19882.152730499998,28.39
301,-19677.0591725,29.3
302,-19311.088101999998,27.76
303,-19825.2161375,29.17
304,-19726.1875285,29.09
305,-19797.509236,28.84
306,-19921.905426,28.85
307,-19646.763528,28.25
308,-19440.520001,28.53
309,-19549.654159499998,28.67
310,-20047.178533,28.19
311,-19711.482103,28.05
312,-19616.218461,28.18
313,-19381.435749,29.2
314,-19404.2644715,28.41
315,-19353.615951,28.63
316,-19320.7263125,28.18
317,-19391.738211,28.79
318,-19216.2471655,28.79
319,-19146.9024595,29.51
320,-19235.646985,29.25
321,-19450.323618,28.53
322,-19621.5403495,29.59
323,-19051.851483,28.25
324,-18958.5490895,28.83
325,-19214.666614499998,28.37
326,-19090.446333,29.55
327,-18998.0261075,28.97
328,-18967.6648255,28.22
329,-18932.6984165,28.53
330,-19136.896679,29.49
331,-18940.2808605,29.7
332,-19501.085035,27.93
333,-19434.182044,28.45
334,-19378.069858,27.93
335,-19398.795555,28.57
336,-19001.893469,28.59
337,-19230.065172,28.71
338,-19485.20076,28.61
339,-19328.4347805,28.32
340,-19457.659265000002,28.75
341,-19334.932893,29.37
342,-19560.3136895,28.87
343,-19466.87477,28.32
344,-19056.4329805,29.05
345,-19110.520906,27.66
346,-19265.837609500002,28.89
347,-19230.464248,28.6
348,-19102.0011585,27.83
349,-19196.842095,29.54
350,-19290.12611,28.63
351,-19430.558854,29.81
352,-19209.381483,29.38
353,-19543.216433499998,30.34
354,-19393.2478735,28.83
355,-20013.026029,29.28
356,-19951.731106,29.35
357,-19908.315838000002,29.77
358,-19308.717275500003,28.12
359,-19897.330746,28.99
360,-19699.1081215,29.6
361,-19404.450882,29.7
362,-19428.075131,29.17
363,-19116.501795,28.12
364,-19306.719269999998,28.65
365,-19362.0779375,28.59
366,-19762.1358745,28.78
367,-19580.5615455,28.51
368,-19620.936484500002,27.8
369,-19792.578547,28.43
370,-19823.3992915,29.46
371,-19775.0638365,29.23
372,-19877.376946,28.47
373,-20136.091090500002,29.88
374,-19925.8095445,29.04
375,-19921.044262,29.66
376,-19544.983395,28.58
377,-19398.958336,28.55
378,-19343.79133,29.76
379,-19326.6704445,29.01
380,-19347.1283405,28.94
381,-19479.319639999998,28.9
382,-18867.347096,29.79
383,-19196.306493,28.52
384,-19097.776729,28.77
385,-18795.531794500002,28.27
386,-19263.7477115,29.15
387,-19267.7437225,28.75
388,-19242.515293,28.12
389,-19428.468956,29.1
390,-19329.067526,29.84
391,-19683.2028425,29.43
392,-19405.17552,28.7
393,-19198.228359,28.79
394,-18837.3822645,28.77
