model,Gsolv,timing
0,-14.524265999999999,0.07
1,-14.4113695,0.08
2,-15.2567805,0.05
3,-14.329979,0.08
4,-14.096309499999998,0.07
5,-15.519330499999999,0.05
6,-14.9259675,0.06
7,-14.33523,0.07
8,-15.128131,0.05
9,-16.354239500000002,0.06
10,-13.888895000000002,0.06
11,-15.9604145,0.06
12,-14.492759999999999,0.05
13,-14.991605,0.08
14,-17.2626625,0.07
15,-16.057558,0.05
16,-13.715612,0.06
17,-15.309290500000001,0.08
18,-14.5899035,0.05
19,-13.867891,0.05
20,-15.8343905,0.05
21,-15.9604145,0.06
22,-14.353608499999998,0.07
23,-14.424496999999999,0.07
24,-13.306033999999999,0.05
25,-12.9095835,0.06
26,-13.831134,0.06
27,-14.944346,0.06
28,-14.7946925,0.06
29,-14.7474335,0.07
30,-15.485199,0.07
31,-14.626660500000002,0.06
32,-14.4271225,0.06
33,-15.012609,0.06
34,-15.3197925,0.05
35,-16.0864385,0.06
36,-14.440249999999999,0.06
37,-14.167197999999999,0.06
38,-16.740188,0.06
39,-15.225274500000001,0.05
40,-15.311916000000002,0.07
41,-14.6529155,0.06
42,-14.823573,0.05
43,-14.148819499999998,0.06
44,-14.8419515,0.08
45,-14.5478955,0.06
46,-14.8524535,0.07
47,-14.6319115,0.06
48,-14.9049635,0.06
49,-16.482889,0.05
50,-14.148819499999998,0.07
51,-15.104501500000001,0.05
52,-15.7556255,0.07
53,-15.002107,0.06
54,-14.4586285,0.04
55,-14.487509000000001,0.06
56,-15.206896,0.06
57,-14.0017915,0.06
58,-14.626660500000002,0.06
59,-14.477006999999999,0.05
60,-14.3431065,0.07
61,-14.5636485,0.06
62,-15.141258500000001,0.07
63,-15.810761,0.05
64,-15.146509499999999,0.06
65,-15.311916000000002,0.05
66,-15.942036,0.06
67,-14.0332975,0.07
68,-17.228531,0.08
69,-15.051991500000002,0.08
70,-15.632227,0.06
71,-14.7579355,0.07
72,-16.2282155,0.06
73,-14.419246000000001,0.08
74,-15.227899999999998,0.06
75,-14.75531,0.05
76,-15.999797,0.07
77,-15.435314499999999,0.05
78,-15.8816495,0.08
79,-13.7444925,0.06
80,-15.590219,0.07
81,-14.2380865,0.05
82,-15.4563185,0.06
83,-15.112378,0.07
84,-14.175074500000001,0.09
85,-14.823573,0.08
86,-13.684106,0.05
87,-14.8577045,0.06
88,-15.0834975,0.08
89,-14.834074999999999,0.06
90,-15.2882865,0.06
91,-16.2702235,0.08
92,-16.8478335,0.05
93,-16.22559,0.08
94,-15.3723025,0.07
95,-15.414310500000001,0.07
96,-14.986354,0.05
97,-15.600721,0.06
98,-15.327669,0.06
99,-14.540019000000001,0.07
100,-14.545269999999999,0.09
101,-14.8367005,0.06
102,-13.9335285,0.05
103,-15.3197925,0.07
104,-16.12057,0.07
105,-14.624035000000001,0.07
106,-16.0234265,0.06
107,-14.413995,0.06
108,-14.5111385,0.06
109,-16.322733500000002,0.07
110,-14.634537,0.08
111,-15.9394105,0.06
112,-15.837016,0.06
113,-15.70049,0.07
114,-15.101876,0.08
115,-13.804879,0.06
116,-15.238402,0.06
117,-13.408428500000001,0.07
118,-14.303723999999999,0.08
119,-14.9312185,0.07
120,-15.634852500000001,0.07
121,-15.33292,0.05
122,-15.674235,0.06
123,-15.411685,0.08
124,-14.2643415,0.06
125,-15.451067499999999,0.06
126,-15.779255,0.07
127,-15.4248125,0.06
128,-15.795008,0.07
129,-15.5245815,0.08
130,-15.787131500000001,0.06
131,-16.0444305,0.05
132,-15.212147,0.05
133,-12.8675755,0.06
134,-15.009983499999999,0.07
135,-14.4796325,0.07
136,-16.188833,0.04
137,-14.844577000000001,0.06
138,-17.365057,0.07
139,-13.686731499999999,0.08
140,-14.387739999999999,0.06
141,-15.6296015,0.05
142,-16.4697615,0.06
143,-15.789757,0.06
144,-14.3378555,0.06
145,-15.222649,0.05
146,-15.5928445,0.06
147,-13.91515,0.06
148,-15.419561499999999,0.06
149,-16.065434500000002,0.06
150,-15.406433999999999,0.06
151,-13.668353,0.05
152,-14.02017,0.08
153,-14.576775999999999,0.06
154,-13.332289,0.06
155,-15.1255055,0.08
156,-15.774004000000001,0.06
157,-14.088433,0.05
158,-17.063124499999997,0.08
159,-14.4743815,0.07
160,-14.828824000000001,0.08
161,-14.450752000000001,0.06
162,-16.283351,0.07
163,-15.159636999999998,0.05
164,-14.077931,0.08
165,-14.9207165,0.06
166,-15.254155,0.07
167,-14.3588595,0.07
168,-16.267598,0.07
169,-15.427438,0.05
170,-15.395932,0.07
171,-16.866212,0.05
172,-15.6453545,0.06
173,-14.356233999999999,0.06
174,-17.239033,0.06
175,-16.2964785,0.06
176,-15.9499125,0.06
177,-16.5957855,0.07
178,-15.897402499999998,0.05
179,-15.7451235,0.07
180,-15.180641,0.07
181,-15.4773225,0.05
182,-16.7270605,0.07
183,-15.968290999999999,0.07
184,-15.7398725,0.06
185,-15.3985575,0.05
186,-14.805194499999999,0.05
187,-14.5899035,0.07
188,-15.28041,0.07
189,-16.43563,0.07
190,-14.960099,0.05
191,-15.8238885,0.07
192,-15.9604145,0.07
193,-17.6722405,0.05
194,-17.832396,0.07
195,-15.931534,0.07
196,-15.5455855,0.08
197,-14.818321999999998,0.07
198,-14.3798635,0.07
199,-15.64798,0.08
200,-14.028046499999999,0.07
201,-12.754679000000001,0.08
202,-14.6529155,0.04
203,-13.649974499999999,0.07
204,-12.3162205,0.06
205,-14.456002999999999,0.06
206,-15.206896,0.06
207,-14.9049635,0.04
208,-14.8156965,0.06
209,-13.510823,0.04
210,-14.340480999999999,0.07
211,-15.075621,0.06
212,-15.028362,0.07
213,-14.923342,0.07
214,-14.558397499999998,0.06
215,-13.02248,0.05
216,-13.988664,0.06
217,-16.48814,0.05
218,-15.616474,0.07
219,-15.435314499999999,0.05
220,-15.351298499999999,0.07
221,-16.4014985,0.05
222,-14.876083,0.06
223,-14.513764,0.08
224,-14.3483575,0.07
225,-15.0729955,0.07
226,-13.644723500000001,0.08
227,-15.4825735,0.06
228,-14.823573,0.08
229,-15.1307565,0.08
230,-15.359175,0.06
231,-15.025736499999999,0.06
232,-14.1015605,0.07
233,-15.395932,0.07
234,-14.3221025,0.07
235,-14.0700545,0.06
236,-14.298473000000001,0.07
237,-15.566589500000001,0.06
238,-13.537078,0.06
239,-17.1051325,0.07
240,-16.167829,0.06
241,-14.902337999999999,0.05
242,-14.928593,0.07
243,-15.634852500000001,0.08
244,-15.521956,0.06
245,-12.65491,0.05
246,-14.182951,0.06
247,-16.425128,0.06
248,-14.923342,0.06
249,-15.737247,0.06
250,-15.7241195,0.07
251,-15.821263,0.06
252,-17.176021,0.07
253,-15.6978645,0.04
254,-15.787131500000001,0.06
255,-14.4743815,0.07
256,-16.782196,0.06
257,-14.272218,0.06
258,-15.8921515,0.06
259,-15.563964,0.06
260,-14.9207165,0.05
261,-14.4743815,0.06
262,-14.3903655,0.06
263,-15.800259,0.07
264,-14.062178,0.05
265,-15.774004000000001,0.06
266,-14.3063495,0.07
267,-14.2065805,0.07
268,-15.6716095,0.06
269,-15.096625,0.07
270,-13.4714405,0.07
271,-15.989295,0.05
272,-15.537709,0.06
273,-14.6371625,0.05
274,-17.181272,0.07
275,-15.432689000000002,0.07
276,-17.7405035,0.08
277,-15.306665,0.06
278,-14.4323735,0.05
279,-15.59547,0.05
280,-15.2042705,0.06
281,-15.721494,0.07
282,-15.7713785,0.05
283,-15.7293705,0.07
284,-16.8898415,0.08
285,-15.374928,0.07
