model,Gsolv,timing
0,-117.13930800000001,0.08
1,-117.80355949999999,0.07
2,-114.7527285,0.07
3,-114.2328795,0.09
4,-113.5239945,0.06
5,-117.055292,0.07
6,-118.7329865,0.07
7,-114.214501,0.07
8,-119.0953055,0.07
9,-111.2923195,0.05
10,-110.38389649999999,0.06
11,-118.72511000000002,0.08
12,-111.68877,0.08
13,-115.88169350000001,0.07
14,-111.610005,0.08
15,-111.49185750000001,0.06
16,-112.880747,0.07
17,-110.8512355,0.08
18,-119.29221799999999,0.09
19,-114.88400349999999,0.06
20,-116.0759805,0.06
21,-117.543635,0.08
22,-112.0537145,0.07
23,-116.72973,0.07
24,-116.409419,0.08
25,-117.66440800000001,0.06
26,-115.411729,0.08
27,-108.769214,0.09
28,-110.0163265,0.07
29,-111.23980949999999,0.05
30,-120.87801999999999,0.07
31,-114.456047,0.06
32,-115.6559005,0.07
33,-116.010343,0.09
34,-120.447438,0.09
35,-116.32015200000001,0.06
36,-116.913515,0.08
37,-115.52199999999999,0.07
38,-114.68446549999999,0.08
39,-110.911622,0.07
40,-110.23686849999999,0.07
41,-119.8409475,0.07
42,-114.78948550000001,0.06
43,-119.2633375,0.06
44,-117.4832485,0.08
45,-113.71565600000001,0.08
46,-117.8508185,0.07
47,-113.048779,0.05
48,-113.8180505,0.07
49,-113.085536,0.08
50,-115.017904,0.06
51,-118.76186700000001,0.05
52,-109.604123,0.07
53,-115.21219099999999,0.05
54,-123.2698505,0.07
55,-119.3578555,0.07
56,-112.912253,0.07
57,-116.861005,0.05
58,-117.37822849999999,0.09
59,-116.6273355,0.08
60,-113.32970750000001,0.07
61,-112.030085,0.06
62,-117.25483,0.07
63,-117.4937505,0.08
64,-115.25682450000001,0.08
65,-118.41530100000001,0.08
66,-112.707464,0.07
67,-116.4172955,0.06
68,-109.121031,0.09
69,-115.5666335,0.06
70,-114.093728,0.08
71,-109.34944949999999,0.06
72,-115.53250200000001,0.08
73,-116.918766,0.08
74,-114.78948550000001,0.06
75,-118.8065005,0.07
76,-109.90343,0.06
77,-115.637522,0.06
78,-119.265963,0.07
79,-117.3309695,0.06
80,-118.688353,0.05
81,-112.04058699999999,0.06
82,-117.17869049999999,0.07
83,-111.825296,0.07
84,-115.2410715,0.07
85,-115.15968099999999,0.06
86,-118.110743,0.07
87,-114.61882800000001,0.08
88,-115.2463225,0.06
89,-115.06778849999999,0.08
90,-116.509188,0.07
91,-117.806185,0.07
92,-113.138046,0.07
93,-115.453737,0.06
94,-114.22237750000001,0.07
95,-117.422862,0.06
96,-116.8111205,0.09
97,-112.465918,0.07
98,-114.70021849999999,0.09
99,-113.0251495,0.07
100,-115.2725775,0.05
101,-116.314901,0.08
102,-119.3526045,0.07
103,-116.1547455,0.08
104,-113.5187435,0.07
105,-109.735398,0.08
106,-109.65925849999999,0.06
107,-119.93284,0.09
108,-116.46717999999998,0.09
109,-115.90007200000001,0.07
110,-118.54657599999999,0.05
111,-113.9913335,0.08
112,-114.94176449999999,0.07
113,-115.43010749999999,0.07
114,-119.6571625,0.07
115,-120.7808765,0.08
116,-111.09278150000002,0.08
117,-110.0688365,0.07
118,-116.09961000000001,0.07
119,-113.747162,0.07
120,-120.0299835,0.08
121,-111.37371,0.05
122,-106.6661885,0.07
123,-108.61168400000001,0.06
124,-108.023572,0.07
125,-113.6920265,0.04
126,-112.11410099999999,0.06
127,-107.677006,0.07
128,-110.3628925,0.08
129,-118.893142,0.07
130,-113.7602895,0.09
131,-119.381485,0.06
132,-118.289277,0.09
133,-110.244745,0.07
134,-115.8396855,0.08
135,-116.005092,0.05
136,-112.68646,0.08
137,-118.9955365,0.06
138,-117.4044835,0.04
139,-116.2230085,0.07
140,-116.0497255,0.08
141,-110.52567350000001,0.08
142,-112.597193,0.08
143,-112.94113349999999,0.08
144,-116.7533595,0.07
145,-117.134057,0.06
146,-115.72416349999999,0.08
147,-115.36447,0.07
148,-116.845252,0.06
149,-118.48618950000001,0.08
150,-115.09929450000001,0.07
151,-118.866887,0.06
152,-113.0409025,0.09
153,-111.77016049999999,0.08
