model,Gsolv,timing
0,-18464.5035035,28.14
1,-18523.8818115,28.49
2,-18866.0159675,28.87
3,-18256.902593,29.24
4,-18512.442508,29.05
5,-18696.437547999998,29.1
6,-18344.400006,28.91
7,-18713.6792065,29.54
8,-18889.9185195,30.07
9,-18903.434593500002,29.54
10,-18890.020914,28.7
11,-18955.6662905,29.52
12,-18886.6051385,29.21
13,-18353.037901,29.98
14,-18394.1401035,30.84
15,-18494.757139999998,29.57
16,-18618.087377,29.73
17,-18817.735648,30.12
18,-18742.777623,29.33
19,-18953.300715,29.28
20,-18524.711469500002,29.63
21,-18706.7846435,28.55
22,-18878.3663195,28.33
23,-19003.15896,28.54
24,-19175.1633415,29.33
25,-18657.6352835,28.49
26,-18946.442909,28.5
27,-19090.64062,29.22
28,-19306.9371865,29.4
29,-18965.330756,29.43
30,-18546.946829,29.82
31,-18880.432588,30.69
32,-18673.6980925,29.07
33,-18989.984201,29.99
34,-18578.920168,29.84
35,-18570.1536235,30.26
36,-18546.468988,30.39
37,-19212.500577,31.4
38,-18889.0941125,31.51
39,-18842.2079335,31.88
40,-18796.931186,30.92
41,-18708.430832000002,30.99
42,-18707.5985485,30.85
43,-18955.122811999998,30.18
44,-18927.218998,30.21
45,-18894.465885499998,30.01
46,-19130.377562499998,30.72
47,-18859.302564,30.66
48,-19095.552930500002,30.91
49,-18822.0020855,31.45
50,-18627.476165,30.87
51,-18641.433322999997,30.29
52,-18564.296133,30.65
53,-18404.7576255,29.96
54,-18528.647094,29.94
55,-18837.899488,30.75
56,-18857.7351405,29.96
57,-18805.9025195,29.17
58,-18533.4963925,29.89
59,-18486.184882499998,30.45
60,-18747.3433675,29.73
61,-18662.668367000002,29.72
62,-18602.489281500002,30.07
63,-18516.953117,29.7
64,-18553.62085,29.61
65,-18514.401131,29.18
66,-18767.420566,29.64
67,-18521.595001,29.36
68,-19013.7108445,30.69
69,-19081.624653,31.2
70,-18984.1004555,31.95
71,-19090.089265,30.54
72,-19315.320408,30.24
73,-19076.557438,30.4
74,-19253.1721975,29.76
75,-19168.541830500002,29.87
76,-19209.9879735,29.46
77,-19569.8337525,30.07
78,-19144.2034455,29.63
79,-19067.9326705,30.01
80,-19293.9829695,30.41
81,-19085.2819745,31.07
82,-19539.175789,30.15
83,-19375.953705,29.96
84,-19322.8582185,30.99
85,-19432.7143895,31.13
86,-19635.8178185,30.77
87,-19502.1168565,29.91
88,-19421.527134,31.08
89,-19415.378213,30.45
90,-19372.635073,31.17
91,-19539.0996495,30.67
92,-19340.372929,31.34
93,-19173.417384,30.5
94,-19387.2669845,30.25
95,-19484.281835,31.18
96,-19108.6751795,30.7
97,-19244.3872745,31.75
98,-19104.7526825,31.03
99,-19249.656653000002,31.44
100,-19103.358542,30.12
101,-19052.8780535,31.21
102,-19215.724691,32.11
103,-19229.3641635,30.65
104,-19401.0456085,31.97
105,-19689.286126,31.98
106,-19517.7805895,31.18
107,-19940.8956675,31.73
108,-19806.940032,31.91
109,-19917.195279,31.54
110,-20234.153515500002,31.71
111,-19857.9403695,31.21
112,-19795.750151,30.79
113,-19797.960822,31.46
114,-19833.090012,30.83
