model,Gsolv,timing
0,-1924.9457115,31.81
1,-1933.4260765000001,32.1
2,-1988.8766365,32.42
3,-1901.371347,32.82
4,-1931.6407365,33.0
5,-1956.984688,32.88
6,-1907.814324,32.6
7,-1961.1881135,33.0
8,-1984.746725,33.9
9,-1984.9488885,33.3
10,-1984.268884,32.52
11,-1995.311737,33.38
12,-1990.4991954999998,33.1
13,-1913.369882,33.83
14,-1909.2662255,34.59
15,-1926.0668,32.84
16,-1944.3691605,33.28
17,-1970.3301045,34.0
18,-1964.0446574999999,33.3
19,-1992.8358905,32.83
20,-1931.428071,33.32
21,-1953.4507649999998,31.89
22,-1987.8684445000001,31.87
23,-1999.4967840000002,32.36
24,-2024.57556,33.12
25,-1948.9742875,32.38
26,-1995.2986095,31.91
27,-2016.4863945,32.97
28,-2046.976326,33.34
29,-1998.8194050000002,32.85
30,-1935.4897194999999,33.53
31,-1988.1782535,34.68
32,-1955.0496945000002,33.09
33,-2004.138668,34.12
34,-1938.8319809999998,33.43
35,-1938.343638,34.45
36,-1937.0545175,34.4
37,-2035.6735485,35.66
38,-1990.7354905,35.6
39,-1982.336516,35.96
40,-1977.5633570000002,35.21
41,-1961.0725914999998,34.98
42,-1960.172045,34.8
43,-2000.567988,33.95
44,-1993.0853129999998,34.58
45,-1988.968529,33.74
46,-2021.713765,35.09
47,-1978.6529395,34.93
48,-2014.8480825,34.94
49,-1975.305427,35.59
50,-1944.7997425,34.84
51,-1945.0885475,33.76
52,-1936.6554415,34.57
53,-1915.8772345,33.28
54,-1933.2317895,33.35
55,-1975.1662755,34.3
56,-1977.9309269999999,34.1
57,-1970.9182165,33.16
58,-1926.7047965000002,33.64
59,-1923.1997540000002,33.9
60,-1960.1904235,33.51
61,-1952.0041145,33.52
62,-1946.319907,33.93
63,-1932.5334065,33.31
64,-1936.5819275,33.21
65,-1924.738297,33.46
66,-1966.0505395,33.64
67,-1929.5613405,33.32
68,-1995.8237095,34.52
69,-2009.8228755,35.41
70,-1998.6487475,35.77
71,-2017.7282559999999,34.51
72,-2043.148347,33.46
73,-2011.2485219999999,34.23
74,-2036.9679199999998,33.56
75,-2024.4180299999998,33.09
76,-2035.0224245,33.24
77,-2086.0516425,33.64
78,-2024.4495359999999,33.33
79,-2009.7861185000002,33.6
80,-2046.8818079999999,34.07
81,-2012.219957,35.08
82,-2079.353992,34.08
83,-2056.3572375,33.73
84,-2047.1942425,35.21
85,-2069.7079049999998,34.64
86,-2098.908716,34.67
87,-2075.347479,33.7
88,-2070.88938,34.7
89,-2067.607505,33.82
90,-2060.1353320000003,34.82
91,-2084.80453,34.8
92,-2052.2824615,34.83
93,-2032.887893,34.5
94,-2062.4221425,34.28
95,-2077.4006200000003,34.84
96,-2024.2473725,34.79
97,-2041.510035,36.53
98,-2024.0898425,35.25
99,-2048.499116,35.45
100,-2025.7281545,33.79
101,-2009.5603255,35.29
102,-2036.374557,36.56
103,-2037.07294,34.66
104,-2065.37583,36.2
105,-2104.264736,36.0
106,-2082.5387235000003,35.63
107,-2139.477942,35.36
108,-2124.7620145,36.78
109,-2136.4664935,35.47
110,-2182.798692,36.35
111,-2132.6700204999997,35.39
112,-2127.6815705,34.77
113,-2120.7502504999998,35.77
114,-2128.0596425,34.3
115,-2160.875767,35.09
116,-2147.532976,35.57
117,-2144.3219895,35.66
118,-2124.334058,35.57
119,-2050.0402845000003,34.83
120,-2057.924661,35.43
121,-2106.5515465,35.52
122,-2044.9756949999999,35.0
123,-2066.4234045,34.46
124,-2046.571999,33.88
125,-2025.1085365,33.2
126,-2053.277526,34.24
127,-2026.880749,35.67
128,-2068.5080515,35.38
129,-2097.8453885,35.01
130,-2085.6105585,34.97
131,-2061.138273,35.46
132,-2082.378568,35.25
133,-2075.8962085,35.99
134,-2070.0203395000003,35.06
135,-2038.9291685,34.29
136,-2058.2475975,34.27
137,-2009.1533729999999,34.8
138,-2002.9361889999998,33.87
139,-2049.6569615,34.24
140,-2024.066213,35.42
141,-2048.6435185,34.31
142,-2052.0172860000002,34.57
143,-2060.9676155,34.58
