model,Gsolv,timing
0,-3578.6221375,35.41
1,-3561.2518295,35.23
2,-3489.0400775,35.68
3,-3550.495156,35.04
4,-3432.8780070000003,34.37
5,-3470.7876014999997,33.82
6,-3446.168288,34.56
7,-3537.0184645,33.89
8,-3553.708768,34.71
9,-3513.160546,34.16
10,-3556.8383639999997,34.24
11,-3602.149243,34.31
12,-3576.046522,34.71
13,-3605.3077195,35.02
14,-3583.3296590000004,34.99
15,-3558.3979109999996,35.37
16,-3542.2694644999997,35.32
17,-3615.4447750000004,35.2
18,-3488.680384,35.38
19,-3490.0955285,35.39
20,-3608.4950765000003,36.02
21,-3593.0991445,37.07
22,-3614.7595195,36.21
23,-3643.7319119999997,36.3
24,-3682.353017,36.79
25,-3700.8549155,36.59
26,-3671.2208969999997,35.49
27,-3631.780636,35.95
28,-3598.8043559999996,35.59
29,-3611.1153255000004,36.54
30,-3586.963351,37.02
31,-3564.7384935,36.02
32,-3695.254724,35.42
33,-3651.083312,35.08
34,-3621.6908395,35.06
35,-3631.8357715,35.37
36,-3540.528758,34.63
37,-3666.4109810000004,33.97
38,-3629.9874195,34.17
39,-3626.608401,35.16
40,-3600.7446005,35.4
41,-3603.4068575,34.27
42,-3624.702288,33.56
43,-3592.9258615000003,34.43
44,-3532.1009029999996,33.81
45,-3615.187476,34.39
46,-3666.631523,33.78
47,-3671.7013635,33.97
48,-3620.4568545,34.4
49,-3719.047005,33.78
50,-3618.474602,35.06
51,-3597.2553110000003,34.79
52,-3629.380929,33.89
53,-3635.73989,34.25
54,-3643.3800950000004,34.12
55,-3504.6486750000004,34.54
56,-3568.9287914999995,34.4
57,-3510.577054,32.97
58,-3604.4413045,33.18
59,-3616.0040065,34.1
60,-3654.6513664999998,34.66
61,-3604.0894875,33.77
62,-3570.932048,34.88
63,-3585.4983220000004,34.88
64,-3659.8971155,34.94
65,-3596.6750755000003,33.4
66,-3665.9725225,34.74
67,-3580.3759715,33.31
68,-3650.085622,33.7
69,-3535.5429335,34.03
70,-3575.82598,34.76
71,-3546.4991449999998,33.39
72,-3558.3480265,34.38
73,-3559.437609,33.22
74,-3609.3378620000003,33.39
75,-3579.4255405000004,34.04
76,-3608.4924509999996,35.06
77,-3593.884169,35.04
