model,Gsolv,timing
0,-6.852555,0.06
1,-6.889312,0.05
2,-6.8604315,0.06
3,-6.521742000000001,0.07
4,-6.1357935,0.06
5,-6.148921,0.05
6,-6.9234435,0.06
7,-6.632013,0.08
8,-5.608067999999999,0.06
9,-5.713088,0.07
10,-5.487295,0.06
11,-5.697335,0.08
12,-5.980889,0.07
13,-6.372088499999999,0.06
14,-6.411471000000001,0.06
15,-5.944132,0.06
16,-6.558498999999999,0.06
17,-5.684207499999999,0.09
18,-4.8492985,0.07
19,-6.419347500000001,0.05
20,-6.576877499999999,0.07
21,-6.0675305,0.06
22,-6.306451,0.07
23,-6.5978815,0.07
24,-5.272004,0.07
25,-4.930689,0.08
26,-5.6737055000000005,0.07
27,-6.253941,0.04
28,-5.6579524999999995,0.06
29,-5.2956335,0.06
30,-5.9730125,0.08
31,-5.723590000000001,0.05
32,-5.0462110000000004,0.06
33,-5.6054425000000005,0.06
34,-5.537179500000001,0.06
35,-5.9047495,0.07
36,-6.0045185,0.07
37,-5.571311000000001,0.06
38,-4.956944,0.06
39,-5.7892275,0.07
40,-4.893932,0.05
41,-4.3819595,0.05
42,-4.967446,0.07
43,-6.8866865,0.06
44,-6.663519,0.05
45,-6.2933235,0.07
46,-6.4797340000000005,0.07
47,-5.854865,0.06
48,-5.923128,0.06
49,-5.4951715,0.07
50,-6.7501605,0.05
51,-5.4269085,0.06
52,-5.807606,0.05
53,-5.8679925,0.08
54,-5.560809,0.06
55,-6.414096499999999,0.06
56,-5.655327000000001,0.07
57,-5.734092,0.07
58,-5.996642,0.07
59,-6.190929,0.05
60,-5.5555579999999996,0.08
61,-6.5716265,0.06
62,-6.127917,0.06
63,-5.416406500000001,0.05
64,-6.899814,0.07
65,-4.9963265,0.06
66,-5.3691474999999995,0.06
67,-5.82861,0.07
68,-6.154172000000001,0.06
69,-6.253941,0.07
70,-5.668454499999999,0.06
71,-5.9047495,0.05
72,-6.0360245,0.07
73,-6.0885345,0.07
74,-5.5004225,0.07
75,-5.5634345,0.05
76,-5.739343,0.09
77,-6.0832835,0.07
78,-5.5818129999999995,0.06
79,-4.518485500000001,0.05
80,-6.3248295,0.07
81,-5.907374999999999,0.07
82,-5.0855935,0.07
83,-5.8522395000000005,0.07
84,-5.287757,0.05
