model,Gsolv,timing
0,-1951.455385,35.11
1,-1941.3445845,35.12
2,-1898.1183525000001,35.57
3,-1936.2563655000001,35.07
4,-1859.232072,34.53
5,-1881.1943795,33.53
6,-1865.7984474999998,34.06
7,-1926.964721,33.87
8,-1936.7394575,34.21
9,-1910.7155014999998,34.13
10,-1937.1910435,34.47
11,-1967.91727,33.96
12,-1949.8013199999998,34.63
13,-1967.3396599999999,34.9
14,-1955.351627,34.77
15,-1941.310453,35.19
16,-1931.412318,35.36
17,-1975.63624,35.08
18,-1895.9365619999999,35.2
19,-1898.609321,35.38
20,-1972.4095005,35.47
21,-1960.5002325,36.96
22,-1974.906351,35.98
23,-1996.7793915,36.15
24,-2020.7554575000001,36.82
25,-2030.5433215,36.24
26,-2013.6298505000002,35.63
27,-1986.5609455000001,35.95
28,-1966.4732450000001,35.42
29,-1972.112819,35.84
30,-1958.7096414999999,36.66
31,-1945.7764284999998,35.35
32,-2026.313641,34.63
33,-2001.3740165000002,35.4
34,-1979.427462,34.84
35,-1987.6400259999998,35.17
36,-1929.8764005,34.58
37,-2011.5609565000002,33.84
38,-1982.604317,34.63
39,-1987.309213,35.52
40,-1968.5683940000001,35.31
41,-1969.8470125000001,33.96
42,-1980.4697855,33.34
43,-1961.6213209999999,34.37
44,-1921.8003625000001,34.3
45,-1973.6408600000002,33.62
46,-2009.904266,33.36
47,-2012.650539,33.67
48,-1982.2131175,33.8
49,-2044.366579,33.55
50,-1977.5160979999998,34.93
51,-1966.2290735000001,34.3
52,-1987.8054325,33.8
53,-1988.2071340000002,34.29
54,-1994.954669,34.19
55,-1905.761183,34.58
56,-1950.0980015,34.48
57,-1913.611428,33.13
58,-1972.8164530000001,33.16
59,-1977.8757915,34.06
60,-2003.5584325,34.47
61,-1969.3271635,33.66
62,-1947.8453224999998,34.7
63,-1958.9984465,34.61
64,-2004.7136524999999,34.8
65,-1964.635395,33.31
66,-2009.678473,34.97
67,-1954.3539369999999,32.86
68,-2000.720267,33.47
69,-1927.06449,33.75
70,-1953.587291,34.52
71,-1934.6521850000001,33.29
72,-1942.5575655,33.97
73,-1942.780733,33.13
74,-1976.5289100000002,32.78
75,-1957.3863895,33.97
76,-1975.0822595,34.87
77,-1963.1047285,34.77
78,-1936.7867165,33.64
79,-1945.836815,33.8
80,-1904.7293615,33.38
81,-1939.5854995,36.32
82,-1993.431879,34.72
83,-1956.900672,35.76
84,-1969.560833,34.37
85,-2011.022729,34.9
86,-1986.1566185000001,36.2
87,-1914.1496554999999,34.85
88,-1907.3233555000002,35.69
89,-1966.6281494999998,35.32
90,-1972.7691939999997,34.28
91,-1936.1986044999999,34.24
92,-1947.4751270000002,35.32
93,-1920.9759555,34.59
94,-1912.7791445,35.03
95,-1897.8558025,34.53
96,-1939.892683,33.93
97,-1960.4450969999998,33.06
98,-1963.9238845,33.79
99,-2013.0837465,34.45
100,-1987.960337,35.65
101,-1946.188632,34.77
102,-1960.1825469999999,34.73
103,-1983.5416205000001,34.54
104,-1968.4712504999998,34.55
105,-1967.134871,35.05
106,-1999.880107,35.21
107,-2020.327501,34.89
108,-2031.6224020000002,35.19
109,-1976.261109,33.76
110,-1976.749452,33.86
111,-1947.1968239999999,33.94
112,-1973.2654135,34.12
113,-1994.356055,34.86
114,-1965.8457505000001,34.25
115,-2019.760393,35.46
116,-2001.7205824999999,33.93
117,-1953.68706,33.17
118,-1994.3324255,33.65
119,-1969.0856175000001,33.65
120,-1976.644432,34.11
121,-2019.9468035,33.82
122,-2020.1069590000002,34.51
123,-2008.3368425,34.74
124,-1988.201883,33.94
125,-2000.305438,32.37
126,-2036.322047,32.64
127,-1967.124369,33.76
128,-1895.6661355,33.86
129,-1903.408735,32.92
130,-1990.1841355,33.67
131,-1940.328516,33.02
132,-1943.206064,31.03
133,-1950.1505115,33.41
134,-1971.057368,33.77
135,-1986.2852679999999,32.8
136,-1977.8049030000002,33.68
137,-1926.471127,34.27
138,-1925.546951,33.39
139,-1881.80087,34.51
