model,Gsolv,timing
0,-75.50412899999999,0.06
1,-80.4689495,0.07
2,-78.1952665,0.07
3,-76.6042135,0.07
4,-79.6970525,0.07
5,-78.5575855,0.06
6,-76.759118,0.06
7,-77.903836,0.07
8,-74.94752299999999,0.07
9,-77.2290825,0.05
10,-76.7827475,0.07
11,-78.4630675,0.06
12,-76.990162,0.07
13,-77.184449,0.04
14,-79.253343,0.07
15,-81.521775,0.06
16,-76.13162349999999,0.06
17,-79.5185185,0.05
18,-78.3738005,0.06
19,-77.9537205,0.08
20,-76.501819,0.06
21,-72.2931425,0.05
22,-75.950464,0.06
23,-79.452881,0.05
24,-75.294089,0.05
25,-80.0698735,0.06
26,-77.383987,0.07
27,-79.9070925,0.07
28,-77.362983,0.05
29,-75.8900775,0.07
30,-78.880522,0.06
31,-79.66554649999999,0.07
32,-78.476195,0.06
33,-79.5605265,0.05
34,-77.11881149999999,0.08
35,-77.84344949999999,0.06
36,-74.863507,0.05
37,-71.5107435,0.06
38,-79.353112,0.05
39,-75.9845955,0.07
40,-72.62133,0.08
41,-72.71059699999999,0.07
42,-79.5710285,0.07
43,-77.13719,0.04
44,-78.906777,0.06
45,-75.204822,0.07
46,-77.441748,0.06
47,-75.0814235,0.07
48,-76.270775,0.07
49,-76.470313,0.08
50,-77.305222,0.08
51,-78.0744935,0.06
52,-78.864769,0.08
53,-80.823392,0.06
54,-80.093503,0.07
55,-79.42925149999999,0.07
56,-77.068927,0.06
57,-76.95077950000001,0.06
58,-78.260904,0.07
59,-77.8959595,0.07
60,-76.638345,0.06
61,-75.288838,0.07
62,-76.36529300000001,0.07
63,-75.7903085,0.06
64,-72.5871985,0.07
65,-77.9379675,0.07
66,-75.6537825,0.06
67,-78.402681,0.07
68,-75.8008105,0.07
69,-75.782432,0.07
70,-76.5044445,0.05
71,-78.2897845,0.07
72,-79.731184,0.07
73,-71.9518275,0.05
74,-78.8306375,0.07
75,-78.49719900000001,0.07
76,-76.638345,0.07
77,-74.19663,0.06
78,-79.0511795,0.06
79,-75.67478650000001,0.06
80,-75.0131605,0.06
81,-73.9472075,0.06
82,-74.97377800000001,0.07
83,-81.3091095,0.06
84,-78.3632985,0.08
85,-82.12826550000001,0.07
86,-77.840824,0.08
87,-75.992472,0.06
88,-73.540255,0.05
89,-74.1467455,0.08
90,-76.8667635,0.05
91,-77.173947,0.06
92,-79.069558,0.07
93,-75.5645155,0.08
94,-76.4991935,0.06
95,-75.0184115,0.05
96,-77.2448355,0.07
97,-78.9671635,0.06
98,-78.738745,0.07
99,-75.69316500000001,0.06
100,-77.305222,0.06
101,-76.963907,0.06
102,-78.4263105,0.06
103,-74.501188,0.05
104,-76.9297755,0.07
105,-77.9747245,0.06
106,-75.9058305,0.09
107,-76.811628,0.07
108,-74.41192099999999,0.07
109,-81.264476,0.06
110,-76.4046755,0.06
111,-73.55600799999999,0.07
112,-79.0511795,0.06
113,-80.6684875,0.05
114,-74.942272,0.06
115,-75.8113125,0.05
116,-76.801126,0.06
117,-75.6380295,0.07
118,-75.451619,0.05
119,-76.8930185,0.06
120,-77.3761105,0.08
121,-79.2402155,0.06
122,-76.942903,0.07
123,-75.945213,0.06
124,-76.5832095,0.07
125,-82.76626200000001,0.06
126,-78.80963349999999,0.07
127,-74.1887535,0.05
128,-76.5254485,0.05
129,-72.805115,0.06
130,-77.0452975,0.07
131,-79.368865,0.08
132,-80.2589095,0.06
133,-72.4454215,0.06
134,-76.092241,0.08
135,-74.270144,0.06
136,-76.38892249999999,0.07
137,-75.897954,0.08
138,-79.531646,0.07
139,-76.5096955,0.05
140,-77.919589,0.07
141,-74.2832715,0.08
142,-78.4525655,0.09
143,-76.0003485,0.05
144,-74.259642,0.05
