model,Gsolv,timing
0,-18703.1877085,35.81
1,-18481.776668,36.77
2,-18974.0185355,37.37
3,-18638.3378585,35.72
4,-18766.953227,36.83
5,-18257.640358499997,37.04
6,-18724.981984,37.32
7,-18808.409872,38.0
8,-18471.311425,37.15
9,-18819.562996,38.99
10,-18720.492379,38.04
11,-19126.691360499997,37.94
12,-18813.477087,36.43
13,-18775.31807,38.69
14,-19120.429543000002,37.6
15,-18709.502035999998,37.83
16,-18848.112683,38.52
17,-18700.780125,37.4
18,-18263.056765,37.48
19,-18730.5874265,37.36
20,-18793.040195,38.1
21,-18957.42275,37.73
22,-18413.035827,37.17
23,-18784.670101,38.49
24,-18566.1366085,36.95
25,-18873.456634500002,37.41
26,-18783.0344145,36.87
27,-18686.809839499998,37.9
28,-18295.06161,36.25
29,-18508.0657995,36.08
30,-18360.5967155,34.75
31,-18414.088652500002,35.44
32,-18226.3233945,35.23
33,-18496.285181,34.71
34,-18283.425394,34.77
35,-18080.3088375,36.16
36,-18625.3678885,36.14
37,-18297.3274165,36.01
38,-18448.2831645,34.68
39,-18953.9807195,36.47
40,-18795.397894,36.83
41,-18748.511715,35.77
42,-18941.438706,34.92
43,-19052.121909499998,35.07
44,-19338.062489,35.44
45,-19217.1923455,36.67
46,-19171.705557999998,36.63
47,-18981.766386,36.33
48,-19185.9593975,35.73
49,-19103.004099499998,37.59
50,-19040.1128725,36.15
51,-18891.10262,36.32
52,-18872.7214945,36.28
53,-19022.3224845,35.68
54,-19214.811017,36.03
55,-19124.5962115,35.92
56,-19064.900218,35.6
57,-18971.2565095,34.72
58,-19351.3186385,35.22
59,-19239.4093265,35.34
60,-19041.0475505,34.69
61,-19067.536219999998,33.97
62,-18961.20347,35.87
63,-19273.800751,35.52
64,-19121.852564,35.66
65,-19105.634850500002,35.43
66,-19049.651314,34.55
67,-18621.4979015,35.12
68,-18420.177187,34.5
69,-18356.199003,36.27
70,-18686.9463655,36.42
71,-18487.936091,35.81
72,-18548.070543,38.46
73,-18580.8079025,35.46
74,-18605.332698,35.67
75,-18682.8663385,35.35
76,-19021.0937505,36.39
77,-18819.6391355,36.04
78,-18770.586919,34.82
79,-18835.825343,35.5
80,-18872.0703705,36.13
81,-19364.832087,35.98
82,-19372.151981,36.7
83,-18892.83545,36.7
84,-19113.4693425,35.58
85,-19073.603750500002,36.14
86,-18478.016952,38.03
87,-18748.354185,37.49
88,-18364.3091725,36.99
89,-19020.040925,37.02
90,-18928.405724,38.41
91,-19217.531035,37.69
92,-18954.870764,37.96
93,-19158.4546595,37.36
94,-19081.603649,37.97
95,-19283.9010495,37.39
96,-19196.227727999998,37.83
97,-19383.845957999998,39.28
98,-18967.365518500003,38.51
99,-19268.292452,38.88
100,-19579.660999,39.43
101,-19364.7191905,38.57
102,-19526.2872095,37.89
103,-19379.860449,38.75
104,-19293.9777185,39.7
105,-19614.4304955,38.7
106,-19367.6019895,36.91
107,-19660.3452395,38.1
108,-19501.578629,39.27
109,-19630.91601,38.32
110,-19673.5987635,38.35
111,-19525.783113499998,36.93
112,-19821.821366,36.89
113,-19368.723078,36.54
114,-19360.977853,38.38
115,-19071.0517645,37.25
116,-19391.2839995,37.71
117,-19609.898882499998,36.12
118,-19458.746222,37.62
119,-19294.7548665,36.89
120,-19241.218296000003,36.96
121,-19245.828674,35.42
122,-19507.8614505,36.35
123,-19304.078017,35.6
124,-19344.426701,36.49
125,-19070.2903695,36.13
126,-19417.242318,36.93
127,-19572.7480575,35.17
128,-19444.3296015,36.24
129,-19815.556923,35.57
130,-19485.2663975,36.15
131,-19344.6026095,36.62
132,-19253.9808515,35.38
133,-19649.163235,38.64
134,-19211.812696,37.37
135,-19836.350883,39.34
136,-19507.864075999998,39.18
137,-19765.2864745,37.61
138,-19943.854606,37.38
139,-19706.690565499997,37.32
140,-19895.046561,35.82
141,-20080.359602,37.19
142,-19826.985724500002,36.54
143,-20033.0087095,35.39
144,-19664.5460395,35.12
145,-19869.720988,36.59
146,-20106.1813945,36.63
147,-19668.8098515,36.09
148,-19715.4019745,38.03
149,-19701.7021155,37.92
150,-19917.0298725,38.84
151,-19812.5349725,35.26
152,-20076.920197,36.07
153,-19897.834842,35.98
154,-19840.089594999998,36.68
155,-19872.6641735,34.46
156,-19650.4418535,35.3
157,-19781.078857,36.98
158,-19970.650459,36.32
159,-19724.4862045,37.24
160,-20081.7117345,37.66
161,-20014.603954500002,36.4
162,-20006.457028,36.34
163,-19872.325484,36.32
164,-20051.762656,35.32
165,-19619.852153,36.29
166,-19464.5722065,36.11
167,-19501.699402000002,35.36
168,-19746.905349,35.9
169,-19594.3821775,36.28
170,-19541.5098585,36.06
171,-19597.9423555,35.54
172,-20004.687441,36.77
173,-19577.4266985,36.84
174,-19441.832750999998,36.21
175,-19648.023768,36.7
176,-19378.1144915,36.53
177,-19970.7055945,36.6
178,-19233.3549235,37.15
179,-19553.587158500002,37.07
180,-19610.888696,38.01
181,-19774.6752625,36.7
182,-19986.3168175,36.97
183,-19484.539134000002,38.06
184,-19478.1512925,37.84
185,-19409.0166265,37.28
186,-19463.7950585,37.06
187,-19817.210988,36.33
188,-19404.6530455,37.07
189,-19287.007016,37.08
190,-19277.7521285,37.04
191,-19576.993491,36.55
192,-19485.242768,36.27
193,-19594.432062,35.66
194,-19716.633334,36.33
195,-19597.855714,35.95
196,-19817.3028805,37.0
197,-19694.3349625,37.11
198,-19980.884658,38.2
199,-19772.1337785,35.11
200,-19698.375607,37.63
201,-19776.127163999998,35.15
202,-20031.225995,35.69
203,-19692.8331765,35.77
204,-19900.533856,36.77
205,-19769.3454975,35.52
206,-19532.336361499998,36.63
207,-19522.782167,37.17
208,-19633.3708525,37.55
209,-19905.517055,37.99
210,-19711.1224095,37.82
211,-19744.825953,36.74
212,-19692.452479,37.93
213,-19912.5875265,39.09
214,-19868.4161145,37.92
215,-19851.599787,38.23
216,-19259.4156365,37.37
217,-19922.288749,36.52
218,-19779.2961425,38.31
219,-19723.527897,37.85
220,-19475.507414,36.58
221,-19742.28972,39.22
222,-19634.812252,37.74
223,-19242.922245499998,36.28
224,-19219.6235585,36.94
225,-19260.93055,34.09
226,-19521.616445,35.06
227,-19508.000602,35.21
228,-19468.040492,35.32
229,-19964.049952,35.77
230,-19251.520758,36.75
231,-19585.542118999998,35.23
232,-19470.214406,35.39
233,-19509.0744315,35.7
234,-19441.312902,35.63
235,-19502.775857,36.73
236,-19152.507902,35.87
237,-19354.912947999997,35.63
238,-19684.7361345,36.7
239,-19420.2537665,36.19
240,-19108.8379605,35.71
241,-19781.6538415,36.28
242,-19277.912283999998,37.2
243,-19369.3820785,37.48
244,-19308.5282395,36.33
245,-19312.080541,36.25
246,-19309.339519,37.35
247,-19452.3163725,37.34
248,-19222.5746205,36.09
249,-19444.458251,36.24
250,-19436.408468,36.11
251,-19490.0658115,36.12
252,-19566.911571,35.5
253,-19585.531617,36.08
254,-19091.7091985,36.78
255,-19426.3711815,37.66
256,-19190.8165725,37.48
257,-19309.242375499998,36.23
258,-19384.8882815,34.12
259,-19462.4035435,36.28
260,-19297.309478,35.16
261,-19292.213382500002,36.57
262,-19563.267377,36.97
263,-19392.798913000002,34.97
264,-19403.7813795,35.61
265,-19375.223816,34.51
266,-19361.917782,34.81
267,-19369.915054999998,35.51
268,-19562.0937785,35.46
269,-19369.3873295,35.47
270,-19551.069304,35.33
271,-19228.9860915,34.35
272,-19033.851055,34.66
273,-18909.8828215,37.02
274,-19050.9981955,35.36
275,-19437.3300185,36.55
276,-19271.382665499998,35.84
277,-19363.74513,37.6
278,-19776.820296,37.09
279,-19352.886062,37.31
280,-19514.945049500002,36.6
281,-19324.2234785,36.25
282,-19298.590722,35.55
283,-19472.687627,36.91
284,-19407.018621,35.78
285,-19293.124431,35.71
286,-19273.354416,37.4
287,-19217.809338,36.86
288,-19327.019635999997,37.76
289,-19650.4208495,37.29
290,-19517.410394,36.2
291,-19443.4631865,36.51
292,-19364.9134775,37.04
293,-19540.289001,37.11
294,-19308.4284705,36.59
295,-19292.066354500002,37.03
296,-19564.952948,36.82
297,-19745.891906,36.0
298,-19677.6945435,36.94
299,-19916.8513385,35.48
300,-19781.614459,34.65
301,-19381.183701,35.43
302,-19432.065891000002,36.05
303,-19515.6119265,38.35
304,-19661.8260215,37.95
305,-19408.336622,40.04
306,-19295.689544499997,38.59
307,-19474.48872,37.81
308,-19909.4946875,37.05
309,-19670.7107135,36.74
310,-19560.788905,37.14
311,-19289.9502015,36.59
312,-19419.295459,36.17
313,-19191.8457685,37.42
314,-19063.687237000002,36.57
315,-19403.222148,36.06
316,-19677.64991,35.55
317,-19125.649037,36.71
318,-19261.87573,38.44
319,-19480.033776,37.91
320,-19420.4743085,36.66
321,-19448.640672499998,36.83
322,-19838.070585499998,36.38
323,-19673.517373,36.67
324,-19564.307075,36.93
325,-19519.7234595,36.43
326,-19618.035307000002,37.92
327,-19802.3270285,37.56
328,-20133.9749375,37.17
329,-19580.9028605,38.37
330,-19743.823012,38.42
331,-19611.4794335,36.44
332,-19165.199569,36.69
333,-19528.8707015,36.73
334,-19236.9256035,36.81
335,-19326.62056,36.71
336,-19507.123685000002,37.38
337,-19276.8699605,64.49
338,-19281.834781,37.15
339,-19375.5047445,37.86
340,-19538.65594,37.32
341,-19213.897343,37.58
342,-19199.383579,37.98
343,-19240.7168255,37.93
344,-19334.187251,38.29
345,-19297.37249,37.84
346,-18996.0517315,36.75
347,-19050.806534,37.55
348,-19139.3830275,38.34
349,-19701.4553185,37.82
350,-19570.63453,37.92
351,-19458.911628500002,38.28
352,-19556.034124499998,38.0
353,-18924.6696375,36.19
354,-19117.6911465,35.98
355,-19585.9438205,35.62
356,-19147.2332725,35.46
357,-19005.73195,34.81
358,-19457.118412,35.6
359,-19264.769031,38.07
360,-19385.9174775,37.41
361,-19470.6633665,35.12
362,-19401.998665,36.56
363,-19159.0112655,35.33
364,-19338.0861185,35.89
365,-19829.209523,36.06
366,-19979.104569,36.61
367,-19484.4524925,36.29
368,-19415.8849345,35.58
369,-19755.590503,36.73
370,-19906.155051499998,36.89
371,-19748.2417285,36.66
372,-20025.397385,36.66
373,-19689.5775565,37.5
374,-19389.377886500002,37.72
375,-19391.144848,37.16
376,-19632.7249795,37.92
377,-19407.732756999998,36.86
378,-19833.1241435,38.4
379,-19295.7420545,36.63
380,-19247.787297,36.15
381,-19455.469598,36.8
382,-19577.781141,37.12
383,-19671.485236,37.08
384,-19201.875178500002,35.88
385,-19556.2651685,35.33
386,-19663.180779500002,36.02
387,-19570.9679685,35.32
388,-19803.369351999998,35.29
389,-19989.8402385,35.34
390,-19672.110105,35.13
391,-19889.2048235,35.71
392,-19802.271893,35.78
393,-19501.142796,34.08
394,-19341.9613565,34.28
395,-19816.7252705,34.76
396,-19539.375327,34.61
397,-19935.7339345,35.07
398,-19532.782696500002,33.46
399,-19588.4222925,33.97
400,-19517.2134815,34.26
401,-19717.846315,34.34
402,-19853.8235855,34.59
403,-19915.026616000003,35.79
404,-19187.8497575,33.89
405,-19327.838792,36.75
406,-19508.6753555,34.43
407,-19688.776779,35.19
408,-19930.054978,35.2
409,-19504.5323165,36.55
410,-19772.7691495,35.9
411,-19860.424092499998,34.56
412,-19712.0780915,33.74
413,-20049.095148,33.85
414,-19627.214055,33.68
415,-19594.9125285,33.12
416,-19503.327212,34.23
417,-19365.000119,33.33
418,-19663.9946845,33.43
419,-19771.64281,33.63
420,-19461.2063155,33.21
421,-19443.817628999997,34.33
422,-19291.008278,34.27
423,-19303.474152,33.67
424,-19701.058868,34.26
425,-19350.3472035,33.85
426,-19337.80519,33.36
427,-19785.043362,33.24
428,-19626.079838999998,33.55
429,-19605.9396285,32.97
430,-19523.869124,32.64
431,-19420.1644995,33.89
432,-19430.2779255,32.7
433,-19456.6589495,32.55
434,-19365.6538685,33.44
435,-19619.894161,33.86
436,-19696.9552115,33.75
437,-19615.05799,32.58
438,-19515.740576,32.87
439,-19933.5180125,33.65
440,-19700.024421,33.65
441,-19586.975641999998,33.78
442,-19600.124146,34.97
443,-19591.956215500002,34.0
444,-19689.2624965,34.37
445,-19331.750787,34.46
446,-19379.0754245,33.15
447,-19839.8664275,33.87
448,-19887.458866,35.03
449,-19838.057458,33.3
450,-19432.1997915,32.64
451,-19697.632590499998,33.17
452,-19773.0632055,33.14
453,-19392.095279,32.3
454,-19968.308513,34.8
455,-19849.1239405,34.12
456,-19641.181715,33.76
457,-19654.7896815,33.2
458,-19780.0312825,34.2
459,-19697.7533635,36.18
460,-19838.4119005,32.87
461,-19748.6618085,32.39
462,-19650.486487,32.6
463,-19684.155899,31.61
464,-19692.476108500003,33.29
465,-19585.2244335,33.53
466,-19358.746178,32.89
467,-19322.561537,32.45
468,-19628.048963999998,33.11
469,-19526.436863,32.48
470,-19749.2604225,33.14
471,-19694.6027635,31.98
472,-19871.4826985,33.66
473,-19419.815308,32.74
474,-19529.272403,33.57
475,-19241.701388,33.25
476,-19398.884822,33.6
477,-19493.1901565,33.63
478,-19461.975587,33.85
479,-19110.7965835,33.84
480,-19475.6150595,33.73
481,-19896.6402395,33.67
482,-19657.840512500003,34.45
