model,Gsolv,timing
0,-1946.0179745,35.69
1,-1912.2382915,37.16
2,-1983.591505,37.28
3,-1939.199551,35.76
4,-1953.7264425,36.86
5,-1875.9643835,36.98
6,-1948.661853,37.2
7,-1960.2376825000001,37.62
8,-1914.918927,37.36
9,-1962.7581625,39.12
10,-1948.5568329999999,38.06
11,-2009.7021025,38.0
12,-1970.5086385000002,36.37
13,-1956.1734085,38.52
14,-2010.970219,37.59
15,-1949.6385389999998,37.07
16,-1972.1732055,38.48
17,-1945.579516,37.54
18,-1886.4611325,37.51
19,-1949.3943674999998,37.59
20,-1963.8556215,38.31
21,-1984.5918205,37.62
22,-1904.4326800000001,37.09
23,-1959.4972915,38.54
24,-1928.2590925,36.98
25,-1974.3313664999998,36.84
26,-1964.0866655,36.95
27,-1941.725282,37.87
28,-1890.911355,36.7
29,-1925.9145210000001,36.12
30,-1897.9713244999998,34.86
31,-1906.118251,35.09
32,-1874.5256095,35.41
33,-1919.5529345,34.85
34,-1886.306228,35.1
35,-1854.516674,35.99
36,-1937.2172985,36.27
37,-1889.7377565000002,36.1
38,-1909.1822094999998,34.82
39,-1984.56294,36.64
40,-1961.631823,36.98
41,-1954.3066780000001,35.47
42,-1987.5533845,34.55
43,-2001.271622,35.05
44,-2036.4191904999998,36.09
45,-2023.3231965,36.28
46,-2018.080073,36.62
47,-1989.8585735000001,36.32
48,-2018.3321210000001,35.63
49,-2007.656838,37.35
50,-1998.2234165,36.08
51,-1974.7041875000002,35.86
52,-1971.0678699999999,36.24
53,-1994.245784,35.67
54,-2026.6470794999998,36.57
55,-2011.76312,35.89
56,-1998.7117595,35.63
57,-1984.074597,34.18
58,-2042.014131,35.46
59,-2026.9778925,35.21
60,-1998.1420259999998,34.82
61,-2005.3096409999998,34.25
62,-1991.5835269999998,36.48
63,-2036.5635929999999,36.07
64,-2011.6292195,35.66
65,-2005.5065535,35.15
66,-1999.3497559999998,34.84
67,-1939.03677,35.32
68,-1905.4487485000002,34.52
69,-1898.3704005,36.48
70,-1949.0950605,37.05
71,-1917.486666,35.65
72,-1924.2210735,37.83
73,-1929.6926154999999,34.89
74,-1933.05063,35.84
75,-1947.3569794999999,35.15
76,-1995.0308085,37.08
77,-1965.3994155,35.96
78,-1955.2308540000001,35.14
79,-1964.7745465,35.2
80,-1973.48333,35.67
81,-2044.0803995,35.78
82,-2048.0974145,36.76
83,-1974.596542,37.19
84,-2012.7398059999998,35.69
85,-2006.56463,36.22
86,-1918.9280655,38.03
87,-1955.3043679999998,37.74
88,-1892.896233,37.21
89,-1996.0731320000002,37.49
90,-1981.3519535,37.8
91,-2023.9979500000002,37.08
92,-1991.0452995,38.68
93,-2018.5447865,37.23
94,-2008.3788505000002,37.63
95,-2038.117889,37.09
96,-2023.499105,37.87
97,-2058.2738525,39.35
98,-1988.2727715,38.09
99,-2032.7749965,38.3
100,-2081.874472,39.46
101,-2049.764607,38.63
102,-2075.4393715,37.76
103,-2055.0392365,38.73
104,-2040.9455525,39.96
105,-2086.7762805,38.2
106,-2053.550578,36.8
107,-2097.5040735,37.94
108,-2073.3337205000003,39.21
109,-2095.395797,38.21
110,-2098.409871,38.32
111,-2074.601837,37.34
112,-2118.9701615,37.73
113,-2053.9207735,36.16
114,-2052.3008400000003,38.04
115,-2009.247891,37.13
116,-2052.321844,36.74
117,-2085.64469,36.01
118,-2062.64531,37.0
119,-2038.359435,36.72
120,-2030.1153649999999,37.41
121,-2033.5705229999999,36.26
122,-2070.616328,36.7
123,-2038.012869,35.46
124,-2043.1142155,35.94
125,-2005.750725,35.88
126,-2054.931591,36.87
127,-2079.3251115000003,35.21
128,-2060.224599,36.91
129,-2115.6987885,35.73
130,-2067.6731425,36.31
131,-2042.7440199999999,36.69
132,-2032.3496655000001,35.59
133,-2094.7945575000003,38.63
134,-2029.338217,37.65
135,-2121.8424585,39.54
136,-2070.20675,38.74
137,-2104.6034255,37.86
138,-2135.3270265,37.5
139,-2102.9021015,37.43
140,-2122.249411,35.99
141,-2155.388472,36.7
142,-2120.926159,36.59
143,-2148.1499685,35.76
144,-2095.98916,35.25
145,-2127.684196,37.48
146,-2161.159321,37.29
147,-2099.071497,36.07
148,-2104.1807200000003,38.06
149,-2103.141022,37.77
