model,Gsolv,timing
0,-101.9507905,0.1
1,-107.9684365,0.11
2,-100.362363,0.06
3,-101.454571,0.08
4,-96.55538800000001,0.09
5,-101.81951550000001,0.08
6,-97.0883645,0.06
7,-99.72174100000001,0.08
8,-97.201261,0.08
9,-100.0236735,0.07
10,-100.26259399999999,0.07
11,-100.1129405,0.06
12,-100.567152,0.1
13,-104.92023099999999,0.11
14,-103.455202,0.06
15,-105.11976899999999,0.06
16,-97.6686,0.11
17,-100.745686,0.1
18,-101.932412,0.07
19,-99.0102305,0.09
20,-97.17763149999999,0.09
21,-97.35354000000001,0.08
22,-100.6222875,0.07
23,-101.62522849999999,0.1
24,-99.4093065,0.07
25,-98.4221185,0.08
26,-102.76994649999999,0.08
27,-99.6035935,0.08
28,-101.27603699999999,0.07
29,-97.1723805,0.08
30,-95.888511,0.06
31,-104.988494,0.08
32,-96.9255835,0.07
33,-97.66334900000001,0.08
34,-96.12480599999999,0.06
35,-99.5825895,0.08
36,-98.53764050000001,0.09
37,-100.231088,0.08
38,-104.6025455,0.07
39,-105.33768549999999,0.06
40,-95.2347615,0.07
41,-101.76963099999999,0.08
42,-98.787063,0.08
43,-99.5090755,0.08
44,-97.8970185,0.07
45,-97.967907,0.08
46,-102.977361,0.07
47,-97.9495285,0.07
48,-95.6443395,0.09
49,-100.6222875,0.08
50,-97.6922295,0.08
51,-104.16408700000001,0.08
52,-101.7197465,0.07
53,-97.82613,0.06
54,-97.731612,0.08
55,-98.24621,0.07
56,-103.65736550000001,0.07
57,-98.52713849999999,0.08
58,-95.99878199999999,0.06
59,-102.16345600000001,0.05
60,-101.3364235,0.07
61,-100.31510399999999,0.07
62,-98.792314,0.05
63,-103.49721,0.06
64,-102.44700999999999,0.06
65,-104.24285200000001,0.08
66,-100.08931100000001,0.07
67,-101.34692550000001,0.08
68,-102.504771,0.09
69,-101.6409815,0.07
70,-101.28916450000001,0.07
71,-105.30355399999999,0.08
72,-99.889773,0.07
73,-100.771941,0.08
74,-99.7978805,0.09
75,-100.8192,0.06
76,-105.765642,0.08
77,-99.90027500000001,0.07
78,-100.903216,0.08
79,-102.137201,0.07
80,-108.32813,0.06
81,-95.431674,0.08
82,-99.53795600000001,0.08
83,-99.180888,0.09
84,-98.54551699999999,0.07
85,-104.13783199999999,0.06
86,-99.30691200000001,0.08
87,-99.5510835,0.07
88,-98.22783150000001,0.07
89,-100.792945,0.09
90,-98.571772,0.08
91,-103.239911,0.06
92,-99.958036,0.08
93,-105.056757,0.09
94,-100.0026695,0.07
95,-101.5307105,0.06
96,-96.9360855,0.07
97,-101.832643,0.08
98,-104.7443225,0.04
99,-98.0230425,0.07
100,-99.606219,0.06
101,-98.03091900000001,0.08
102,-98.282967,0.07
103,-96.42673850000001,0.08
104,-102.478516,0.07
105,-102.6859305,0.05
106,-99.45393999999999,0.07
107,-104.0196845,0.08
108,-99.096872,0.07
109,-105.996686,0.06
110,-105.1749045,0.07
111,-97.8760145,0.07
112,-100.015797,0.07
113,-100.892714,0.07
114,-106.2671125,0.07
115,-96.471372,0.08
116,-97.778871,0.06
117,-93.278764,0.08
118,-94.95908399999999,0.07
119,-98.976099,0.06
120,-98.81594349999999,0.07
121,-99.159884,0.08
122,-98.86582800000001,0.05
123,-99.621972,0.07
124,-103.05875150000001,0.06
125,-102.4863925,0.06
126,-98.8632025,0.08
127,-97.311532,0.06
128,-96.52125649999999,0.08
129,-102.1870855,0.07
130,-106.164718,0.06
131,-101.065997,0.07
132,-98.8947085,0.07
133,-96.455619,0.06
134,-97.684353,0.06
135,-99.170386,0.08
136,-96.27971050000001,0.08
137,-102.28948,0.08
138,-99.5878405,0.07
139,-103.712501,0.07
140,-98.713549,0.1
141,-100.69055050000001,0.09
142,-99.3252905,0.07
143,-102.28948,0.06
144,-103.029871,0.07
145,-104.4450155,0.08
146,-102.86709,0.07
147,-97.4034245,0.08
148,-95.3397815,0.08
149,-102.121448,0.07
150,-97.45856,0.05
151,-100.8270765,0.07
152,-99.9186535,0.06
153,-100.5015145,0.08
154,-104.017059,0.08
155,-101.318045,0.08
156,-102.5756595,0.07
157,-97.80775150000001,0.07
158,-101.96654350000001,0.09
159,-97.994162,0.07
160,-99.78212749999999,0.07
161,-101.9507905,0.06
162,-97.6686,0.08
163,-97.93115,0.06
164,-102.478516,0.08
165,-99.816259,0.07
166,-106.26973799999999,0.06
167,-102.75156799999999,0.06
168,-100.03155000000001,0.07
169,-98.49300699999999,0.07
170,-99.30166100000001,0.07
171,-93.8064895,0.05
172,-100.07355799999999,0.07
173,-101.559591,0.08
174,-108.007819,0.08
175,-98.550768,0.07
176,-103.76238550000001,0.07
177,-99.69023499999999,0.07
178,-99.522203,0.08
179,-99.322665,0.08
180,-103.07975549999999,0.08
181,-101.44144349999999,0.07
182,-100.22321149999999,0.07
183,-97.97315800000001,0.07
184,-96.8625715,0.06
185,-98.06505050000001,0.07
186,-103.5418435,0.07
187,-98.3643575,0.07
188,-96.40836,0.06
189,-99.2727805,0.07
190,-103.822772,0.06
191,-99.117876,0.08
192,-98.75555700000001,0.05
193,-101.6829895,0.08
194,-98.188449,0.07
195,-100.042052,0.08
196,-99.973789,0.08
197,-110.03207950000001,0.07
198,-100.792945,0.05
199,-103.89366050000001,0.08
200,-100.12344250000001,0.06
201,-101.75125249999999,0.05
202,-104.3977565,0.07
203,-94.659777,0.06
204,-97.1671295,0.08
205,-103.49983549999999,0.06
206,-99.45131450000001,0.08
207,-101.0266145,0.07
208,-100.519893,0.08
209,-102.6229185,0.08
210,-105.1749045,0.06
211,-96.691914,0.05
212,-101.2419055,0.08
213,-95.836001,0.06
214,-96.94658749999999,0.07
215,-107.556233,0.06
216,-103.8779075,0.06
217,-103.3002975,0.08
218,-102.5966635,0.07
219,-97.37454400000001,0.06
220,-103.9094135,0.06
221,-99.3357925,0.07
222,-101.575344,0.07
223,-103.99342949999999,0.06
224,-102.3026075,0.09
225,-97.1408745,0.07
226,-100.021048,0.08
227,-94.28170499999999,0.05
228,-99.3725495,0.05
229,-98.2855925,0.06
230,-100.1864545,0.06
231,-100.55665,0.06
232,-96.57901749999999,0.08
233,-101.942914,0.06
234,-96.9255835,0.08
235,-100.7850685,0.08
236,-102.977361,0.08
237,-100.120817,0.09
238,-102.0925675,0.08
239,-102.12932450000001,0.08
