model,Gsolv,timing
0,-18843.633579999998,33.08
1,-19168.295033500002,32.37
2,-19229.2381395,32.99
3,-19191.2314015,33.18
4,-19328.300880000003,32.84
5,-18982.779829,33.3
6,-19249.044911499997,31.82
7,-19351.783352,31.74
8,-19509.5312685,32.48
9,-19659.2687845,33.19
10,-19448.711561,32.23
11,-19390.779903500003,33.02
12,-19579.180532500002,32.04
13,-19272.256957,31.4
14,-19135.363387,32.24
15,-19337.054297,30.94
16,-19531.4016835,31.97
17,-19424.381052499997,31.31
18,-19258.914166000002,32.16
19,-19406.687808,32.27
20,-19241.283933500003,32.72
21,-19286.8626135,32.72
22,-19503.495243999998,33.17
23,-19415.5016115,33.33
24,-19577.1483955,32.68
25,-19521.645325499998,32.79
26,-19561.0173235,32.79
27,-19786.193331,33.84
28,-19934.0378615,33.24
29,-19602.964937,32.57
30,-19635.930715,32.89
31,-19860.127410999998,32.86
32,-19837.5979955,32.2
33,-19873.8508995,33.21
34,-20092.63644,34.08
35,-20034.862312499998,34.72
36,-20265.654264499997,34.68
37,-20226.683967999998,34.36
38,-19834.418514999998,34.21
39,-19782.575392,34.47
40,-19874.856465999997,34.53
41,-19383.247344,33.67
42,-19715.9480785,33.83
43,-19968.18774,33.92
44,-19509.5312685,34.52
45,-19788.3593685,33.3
46,-19252.313659,35.12
47,-19653.70535,33.65
48,-19647.1599785,33.73
49,-19584.2372455,33.52
50,-19158.2288665,33.53
51,-19447.7164965,34.11
52,-19852.014616,33.2
53,-19580.325250500002,33.16
54,-19700.5363935,34.42
55,-19527.631465500002,33.62
56,-19419.568511,33.95
57,-19567.1924995,33.91
58,-19365.5856055,32.92
59,-19487.889272,33.75
60,-19104.6109055,34.11
61,-18726.3078615,33.83
62,-19257.446511500002,33.33
63,-19664.52241,33.55
64,-19507.840446500002,34.12
65,-19437.9181305,33.68
66,-19177.576176,34.01
67,-19067.9589255,33.66
68,-19196.857848,34.97
69,-19149.205023,35.04
70,-19348.3570745,34.03
71,-19475.292123,33.39
72,-19541.4048385,33.6
73,-19537.091141999997,34.53
74,-19504.6845955,34.19
75,-19311.5003055,33.93
76,-19257.751069500002,34.39
77,-19248.496182,33.83
78,-19299.0186785,34.49
79,-18872.5324585,33.44
80,-19082.291530000002,33.05
81,-18836.0800165,33.27
82,-18890.897831,57.86
83,-18886.3110825,34.19
84,-19464.6299675,34.43
85,-19718.8098735,34.71
86,-19402.5631475,35.55
87,-19460.7967375,34.49
88,-19661.5267145,34.52
89,-19389.963373000002,35.81
90,-19320.030554999998,35.62
91,-19355.464303,34.68
92,-19238.619050999998,34.6
93,-19339.0680555,34.43
94,-19212.647605,35.21
95,-19140.7745425,34.39
96,-18858.0291965,33.49
97,-19053.9702615,32.69
98,-18708.6645015,33.39
99,-18990.9162535,33.58
100,-18672.366964,33.32
101,-18718.8619435,33.71
102,-18966.5148565,33.56
103,-18796.904931,34.07
104,-18705.621547,33.33
105,-18535.3657485,33.82
106,-18817.95619,33.01
107,-19072.5430485,33.18
108,-19392.651885,33.02
109,-19434.434092,33.62
110,-19335.647029,33.45
111,-19107.0316165,33.57
112,-18598.6245455,33.4
113,-18677.759741,33.05
114,-18897.099262,33.6
115,-18968.9355675,34.06
116,-18891.932278,33.94
117,-19172.406566499998,34.28
118,-19152.896476,32.99
119,-19054.9889555,33.53
120,-18758.383595,33.89
121,-19015.861129,33.71
122,-18984.5625435,33.98
123,-18841.8876225,33.97
124,-18584.102905,34.08
125,-18913.779063500002,33.53
126,-18989.999954,33.98
127,-19039.8345695,33.59
128,-19245.9048135,33.66
129,-19294.0512325,33.51
130,-19363.718875000002,34.36
131,-19213.6479205,34.78
132,-19018.8620755,34.42
133,-19107.380808,34.56
134,-18782.252015500002,33.54
135,-18788.8472715,33.43
136,-19063.8526435,34.64
137,-19031.67189,34.48
138,-18752.917304,34.75
139,-18647.2960645,34.58
140,-19460.074725,34.94
141,-19186.5370075,35.04
142,-19466.848515,35.18
143,-19442.226576,34.89
144,-19470.492709,35.34
145,-19501.5392465,35.29
146,-19014.3094585,34.52
147,-19345.686941,33.65
148,-19345.2091,34.97
149,-19112.4874055,34.56
150,-19166.9350245,33.73
151,-19093.1532235,34.61
152,-19088.482459,33.91
153,-19573.144507999998,34.55
154,-19437.085847,34.91
155,-19607.1736135,34.48
156,-19568.069416500002,34.2
157,-19736.0646595,34.29
158,-19048.5722335,34.04
159,-18806.157193,34.65
160,-18994.311025,34.07
161,-19282.82722,34.16
162,-19127.584030500002,34.25
