model,Gsolv,timing
0,-1975.184654,33.54
1,-2023.0816505,32.48
2,-2036.3377999999998,33.09
3,-2022.5723034999999,33.12
4,-2043.6025585,32.74
5,-1995.983865,33.43
6,-2030.9634015000001,32.33
7,-2047.133856,31.85
8,-2071.3225875,32.42
9,-2089.7220915,32.62
10,-2066.8434845,31.97
11,-2054.395989,32.78
12,-2085.266618,32.09
13,-2035.5265204999998,31.36
14,-2016.2947330000002,32.28
15,-2045.700333,31.05
16,-2078.7580035,32.22
17,-2062.955119,31.7
18,-2046.377712,32.57
19,-2060.712942,32.33
20,-2035.397871,32.77
21,-2047.039338,32.9
22,-2072.1942535,33.08
23,-2056.044803,33.66
24,-2085.634188,32.94
25,-2075.6389095,32.95
26,-2082.3444365,32.87
27,-2118.3662965,33.96
28,-2139.1129975000003,33.04
29,-2085.5948055,32.73
30,-2091.6492085,32.94
31,-2123.6540535,32.62
32,-2118.8598905000003,32.21
33,-2122.1050084999997,33.38
34,-2158.980156,33.75
35,-2147.128649,35.4
36,-2177.915262,35.13
37,-2174.6360125,34.71
38,-2118.30591,34.6
39,-2111.1199165,34.9
40,-2117.1349370000003,34.08
41,-2053.1751314999997,34.0
42,-2101.6471125000003,33.83
43,-2139.703735,33.5
44,-2072.354409,33.82
45,-2113.3830975,33.31
46,-2033.0900565000002,35.18
47,-2090.858933,33.64
48,-2089.3098880000002,34.01
49,-2080.2125305,33.11
50,-2018.4082604999999,33.72
51,-2061.2616715,34.51
52,-2118.2245195,33.21
53,-2076.8833965000003,33.69
54,-2092.3029579999998,34.59
55,-2070.0387180000002,33.75
56,-2052.4531190000002,33.95
57,-2077.3822415,33.87
58,-2046.1729229999999,33.1
59,-2058.8829685,33.42
60,-1998.5279744999998,33.8
61,-1944.382288,33.95
62,-2030.7376085,33.6
63,-2089.9636375,33.6
64,-2065.2576825,34.11
65,-2050.8174325,33.66
66,-2015.097505,34.0
67,-1995.0938205,33.67
68,-2017.4473275,34.18
69,-2014.430628,34.87
70,-2043.641941,34.49
71,-2059.9961805,33.29
72,-2076.4685675,34.23
73,-2071.0337825,34.63
74,-2071.2438225,34.24
75,-2035.592158,33.43
76,-2023.1866705,34.75
77,-2026.3556489999999,34.17
78,-2033.6099055000002,34.47
79,-1970.448252,33.45
80,-1999.1948515000001,33.51
81,-1962.9051905000001,33.9
82,-1972.5250225000002,33.75
83,-1974.255227,34.51
84,-2060.0224355,34.35
85,-2097.8821455,34.68
86,-2047.606446,35.53
87,-2066.567807,34.89
88,-2096.6061525,34.59
89,-2051.3687875,35.33
90,-2043.0144465,35.7
91,-2044.9888225,34.81
92,-2026.6208245,34.48
93,-2043.8362280000001,34.36
94,-2020.190975,34.99
95,-2009.3004010000002,34.38
96,-1966.9195800000002,33.21
97,-2000.1032745,32.7
98,-1937.177916,33.19
99,-1984.473673,33.55
100,-1938.779471,33.42
101,-1944.6527145,33.33
102,-1984.594446,33.46
103,-1953.503275,33.83
104,-1943.9307019999999,33.6
105,-1917.780722,33.82
106,-1958.3735775,33.29
107,-1999.2158555,33.16
108,-2044.8969299999999,32.64
109,-2052.7182945,33.59
110,-2037.3801235,33.25
111,-2005.5695655000002,33.93
112,-1929.5350855000002,33.34
