model,Gsolv,timing
0,-1969.9677855,33.09
1,-1966.431237,34.59
2,-1985.487116,34.34
3,-1994.6894935,33.98
4,-2036.3771825000001,34.18
5,-2049.93789,34.91
6,-2024.5729345,33.85
7,-1964.3439645,34.73
8,-1960.256061,34.35
9,-1957.9403699999998,35.52
10,-1995.7974545000002,34.58
11,-2008.9590859999998,35.88
12,-2063.1940395,35.09
13,-2011.7368649999999,33.69
14,-2022.4410285,35.04
15,-1999.2998714999999,35.0
16,-2015.2812900000001,35.25
17,-2020.3668835,34.79
18,-1997.7980854999998,33.77
19,-1994.4584495000001,34.7
20,-2006.060534,34.92
21,-1986.7237265,35.44
22,-2023.4754755,34.84
23,-1983.029648,34.29
24,-1993.0354284999999,33.35
25,-2022.2231120000001,32.97
26,-1977.7707715,33.55
27,-2040.848409,33.52
28,-1960.901934,33.12
29,-1971.2017705,33.18
30,-1943.4974945,33.79
31,-1946.9631545,32.79
32,-1955.4277665,32.46
33,-1983.2370625,33.92
34,-2014.8979669999999,33.23
35,-1979.0310115,33.57
36,-1976.9621175,34.05
37,-1998.871915,32.18
38,-1986.6423360000001,32.96
39,-2040.9613055,33.32
40,-1984.447418,32.66
41,-1988.784744,33.12
42,-1975.2555425,34.15
43,-1954.784519,32.83
44,-1945.8945760000001,31.7
45,-2022.1942315000001,32.49
46,-2002.316571,32.04
47,-1974.8065820000002,32.26
48,-2011.7027335,32.93
49,-1989.6695375,32.9
50,-2015.029242,32.83
51,-1962.1332935,33.34
52,-2006.35459,33.11
53,-2042.402705,32.39
54,-1974.985116,33.12
55,-2006.35459,32.75
56,-1952.7602585,33.18
57,-2000.6756335000002,33.25
58,-2015.643609,32.94
59,-1983.9984575,33.96
60,-2035.623664,33.62
61,-1933.6019849999998,34.31
62,-1993.0643089999999,58.57
63,-1979.117653,34.62
64,-1967.686226,33.8
65,-1992.6731095,33.49
66,-1995.616295,34.11
67,-1984.610199,33.72
68,-1999.249987,33.01
69,-1944.0751045,33.01
70,-1960.434595,34.28
71,-1946.015349,32.91
72,-1941.34721,32.86
73,-2001.308379,31.27
74,-1956.254799,32.5
75,-1951.828206,32.24
76,-1992.381679,31.55
77,-1977.815405,32.51
78,-1979.7766534999998,33.34
79,-1975.6021085,32.7
80,-1949.680547,33.42
81,-2018.0013079999999,32.54
82,-2000.7333945,32.27
83,-1947.1049315,32.89
84,-1974.5256534999999,33.87
85,-1957.7382065,32.86
86,-2002.2981925,33.51
87,-2021.5903664999998,34.29
88,-2036.217027,34.04
89,-1989.4358679999998,33.65
90,-2042.9908169999999,33.03
91,-2024.8538629999998,33.57
92,-2051.886011,33.28
93,-2009.893764,32.45
94,-2071.8319345,33.14
95,-2064.5540485,33.93
96,-2013.5169540000002,33.25
97,-1980.430403,34.54
98,-2010.71292,32.99
99,-2043.32163,33.13
100,-2052.8758245,33.55
101,-1998.6382454999998,33.48
102,-1986.2773915,33.39
103,-2019.3298109999998,33.42
104,-2013.2334,34.69
105,-1984.4946770000001,34.99
106,-2006.1077930000001,34.42
107,-2040.8510345,35.66
108,-2033.313224,34.11
109,-1995.794829,34.24
110,-2016.3813745,33.93
111,-2004.269943,33.46
112,-1976.8360934999998,33.49
113,-2027.8915665000002,33.77
114,-1949.9247185,33.03
115,-1947.5880235000002,32.32
116,-1935.7942775,33.08
117,-1942.9618925,34.02
118,-1975.799021,34.84
119,-1988.2622695,33.65
120,-1996.519467,33.28
121,-2002.9992009999999,32.59
122,-1955.6666870000001,33.11
123,-2001.0642074999998,33.4
124,-2001.5000404999998,33.91
125,-1987.477245,33.14
126,-1983.6938995,33.17
127,-1971.687488,33.57
128,-1975.5916065,32.93
129,-1975.1662755,32.42
130,-1969.0016014999999,33.72
131,-1945.369476,34.14
132,-1951.990987,33.32
133,-1964.76667,33.86
134,-1935.439835,33.31
135,-2003.3090100000002,34.34
136,-1974.670056,33.51
137,-2055.5118265,33.37
138,-2031.606649,32.79
139,-2014.2783490000002,34.48
140,-1998.808903,33.66
141,-1994.0803775,33.68
142,-2017.4788335,34.14
143,-1975.5706025,33.77
144,-1941.473234,34.02
145,-1967.5680785000002,33.79
146,-1962.9524495,33.57
147,-1949.5203915,33.63
148,-1954.7083794999999,33.6
149,-1962.2750705,35.44
150,-1994.030493,34.66
151,-1929.0467425000002,33.47
152,-1967.4893135,33.94
153,-2040.85366,33.88
154,-1962.482485,34.69
155,-2066.000699,35.54
156,-2085.082833,34.82
157,-2017.85428,33.73
158,-1989.0472940000002,34.28
159,-1962.3433335,34.29
160,-1995.096446,34.32
161,-1963.1073540000002,34.19
162,-2007.630583,34.68
163,-2037.802829,36.4
164,-2019.823405,35.85
165,-2030.8767599999999,35.28
166,-2044.6685115,34.4
167,-2033.7044234999998,36.04
168,-2057.2472820000003,36.02
169,-2027.6342675,36.18
170,-2041.714824,36.5
171,-2041.846099,36.08
172,-2038.301674,36.69
173,-2002.180045,36.63
174,-2036.7710075,35.55
175,-2051.5657,36.5
176,-2008.3735995,35.25
177,-2005.6719600000001,35.2
178,-2028.5190610000002,34.65
