model,Gsolv,timing
0,-0.703634,0.06
1,-0.9110484999999999,0.04
2,-0.115522,0.07
3,-0.509347,0.06
4,-0.7482675,0.06
5,-0.47259,0.05
6,-0.5907375,0.06
7,-0.1023945,0.06
8,-0.357068,0.06
9,-0.236295,0.05
10,-0.4069525,0.06
11,-0.393825,0.06
12,-0.152279,0.05
13,-0.41745449999999995,0.06
14,-0.341315,0.05
15,-0.304558,0.07
16,-0.6590005,0.05
17,-0.514598,0.06
18,-0.38594849999999997,0.07
19,-0.1233985,0.04
20,-0.357068,0.06
21,-0.11289650000000001,0.07
22,-0.981937,0.05
23,-0.43583299999999997,0.06
24,-0.31506,0.06
25,-0.3176855,0.05
26,-0.15753,0.06
27,-0.6957575,0.06
28,-0.7115104999999999,0.05
29,-0.44896050000000004,0.06
30,-0.162781,0.06
31,0.246797,0.05
32,-1.2208575000000002,0.06
33,-0.4384585,0.07
34,-0.635371,0.08
35,-0.215291,0.06
36,-0.609116,0.05
37,-0.45158600000000004,0.07
38,-0.8217815,0.07
39,-1.0738295,0.06
40,-0.1496535,0.06
41,-0.351817,0.07
42,-0.9976900000000001,0.08
43,-0.4542115,0.06
44,-0.955682,0.08
45,-0.388574,0.06
46,-1.029196,0.05
47,-0.483092,0.06
48,-0.6590005,0.06
49,-0.026255,0.07
50,-0.026255,0.06
51,-0.6931320000000001,0.07
52,-0.7955265,0.06
53,-1.244487,0.06
54,-0.5854865,0.06
55,-0.5014705,0.07
56,-0.3229365,0.06
57,-0.5644825,0.06
58,-0.7272635000000001,0.04
59,-0.6695025,0.05
60,-0.703634,0.07
61,-0.3806975,0.06
62,-1.10271,0.05
63,-0.34919150000000004,0.06
64,0.0971435,0.05
65,-1.7354555,0.07
66,-0.2914305,0.05
67,-0.5697335,0.06
68,-0.0236295,0.07
69,-0.8926700000000001,0.06
70,-0.7850245,0.06
71,-0.9399289999999999,0.09
72,-0.887419,0.09
73,-0.84016,0.07
74,-0.425331,0.06
75,-0.5644825,0.06
76,-0.5907375,0.06
77,-0.2966815,0.06
78,-0.430582,0.06
79,-0.09976900000000001,0.05
80,-0.2074145,0.05
81,-0.39907600000000004,0.06
82,-0.5172235,0.05
83,-0.3019325,0.07
84,-0.4384585,0.06
85,-0.598614,0.04
86,-0.46733899999999995,0.06
87,-0.635371,0.06
88,-0.47259,0.04
89,-0.18378499999999998,0.06
90,-0.84016,0.06
91,-0.9373035,0.07
92,-0.2914305,0.05
93,-0.23366949999999997,0.07
94,-0.4909685,0.06
95,-0.320311,0.06
96,0.141777,0.05
97,-0.330813,0.06
98,-0.4542115,0.06
99,-0.4804665,0.06
100,-0.9162995,0.06
101,-0.6484985,0.06
102,-0.514598,0.06
103,0.0288805,0.07
104,-0.94518,0.05
105,-0.141777,0.06
106,-0.4594625,0.07
107,-0.7929010000000001,0.07
