model,Gsolv,timing
0,-1992.9986715,33.04
1,-1987.0807945000001,34.35
2,-2006.223315,34.0
3,-2015.8405214999998,33.45
4,-2055.3910535,34.12
5,-2072.317652,34.95
6,-2047.3517725000002,33.68
7,-1986.001714,34.67
8,-1980.561678,33.72
9,-1977.7655205,34.91
10,-2015.942916,34.09
11,-2032.2393945000001,35.3
12,-2082.8249029999997,34.46
13,-2031.2784615,33.4
14,-2044.1696665000002,34.86
15,-2020.5349155,34.99
16,-2036.9154099999998,34.8
17,-2040.559604,34.84
18,-2019.4085759999998,34.04
19,-2015.9980515,34.3
20,-2026.0878480000001,34.65
21,-2008.0060294999998,35.45
22,-2045.3931495,34.71
23,-2004.6611424999999,34.81
24,-2010.7102945000001,33.28
25,-2043.4502795,32.7
26,-1995.8709685,33.48
27,-2063.7086375,33.18
28,-1979.753024,33.06
29,-1992.171639,33.16
30,-1963.973769,33.64
31,-1968.573645,32.83
32,-1975.904041,32.32
33,-2007.7067225,33.33
34,-2033.6414114999998,33.53
35,-1998.357317,34.11
36,-1996.9447980000002,33.86
37,-2019.676377,31.7
38,-2008.0952965000001,32.31
39,-2061.1986595,33.21
40,-2003.7737235,31.84
41,-2006.202311,33.5
42,-1995.8289605000002,33.62
43,-1974.4731434999999,32.59
44,-1965.3994155,32.18
45,-2041.142465,32.51
46,-2023.4754755,32.23
47,-1995.8867215,32.12
48,-2035.0014205,32.64
49,-2012.9918539999999,32.59
50,-2034.909528,32.6
51,-1983.6308875,33.24
52,-2031.4832505,33.32
53,-2065.753902,32.51
54,-1996.0048689999999,33.19
55,-2028.72385,32.64
56,-1976.5420374999999,33.55
57,-2021.4485895,33.1
58,-2036.931163,32.57
59,-2003.0543365,33.91
60,-2058.0743145,33.57
61,-1951.6365445,34.23
62,-2014.488389,58.63
63,-2000.9644385,34.47
64,-1989.6459080000002,33.54
65,-2015.013489,33.61
66,-2019.303556,34.16
67,-2007.1711205000001,34.32
68,-2021.3015615000002,32.82
69,-1965.533316,32.78
70,-1983.7175289999998,34.11
71,-1963.2701350000002,32.63
72,-1963.6061989999998,32.77
73,-2022.5250445,31.16
74,-1977.405827,31.82
75,-1972.9608555000002,32.4
76,-2013.7296195000001,31.76
77,-1998.84566,32.13
78,-1999.906362,32.76
79,-1996.965802,32.39
80,-1969.5975899999999,33.24
81,-2036.8287685,32.12
82,-2021.5378564999999,32.28
83,-1968.3399754999998,33.0
84,-1997.8505955,33.66
85,-1979.9656895,32.43
86,-2021.1597845000001,33.35
87,-2042.8569165,34.46
88,-2055.9739145,33.7
89,-2012.0624269999998,33.51
90,-2062.27774,33.01
91,-2047.1916170000002,33.64
92,-2072.4305485,33.3
93,-2031.2653340000002,32.7
94,-2094.7131670000003,33.1
95,-2086.085774,33.66
96,-2034.2058940000002,33.55
97,-2001.339885,34.45
98,-2033.9302165,33.17
99,-2064.6328135,33.03
100,-2073.1814415,34.06
101,-2017.791268,33.74
102,-2006.4307295,33.34
103,-2042.0115055,33.46
104,-2033.8435749999999,34.58
105,-2004.390716,34.76
106,-2026.4029079999998,33.96
107,-2059.6443635,35.07
108,-2051.3110265,33.77
109,-2019.8811660000001,34.11
110,-2035.7391859999998,33.48
111,-2026.954263,33.24
112,-1996.918543,33.11
113,-2046.9211905,33.69
114,-1969.7472435000002,33.42
115,-1968.9385894999998,32.19
116,-1956.895421,32.84
117,-1962.4641065,33.77
118,-1996.057379,35.17
119,-2006.228566,33.99
120,-2018.3268699999999,33.16
121,-2026.0169595000002,32.45
122,-1975.8594075,32.33
123,-2023.3520769999998,33.32
124,-2022.63269,33.77
125,-2010.849446,32.99
126,-2002.615878,33.04
127,-1991.33673,33.46
128,-1997.6064239999998,32.84
129,-1994.3849355,32.35
130,-1991.100435,33.3
131,-1966.1083005,33.96
132,-1973.7537564999998,33.45
133,-1984.8963784999999,33.43
134,-1956.947931,33.9
135,-2026.061593,34.32
136,-1997.790209,33.64
137,-2074.9615304999998,33.16
138,-2051.497437,32.39
139,-2036.1356365,34.28
140,-2019.6264925,33.57
141,-2016.032183,33.9
142,-2040.9875605000002,33.99
143,-1994.0042380000002,33.78
144,-1960.980699,34.17
145,-1987.6058945,34.12
146,-1983.969577,33.68
147,-1971.2542805,33.24
148,-1976.3530015000001,33.61
149,-1982.1396035,35.43
150,-2014.1286954999998,34.24
151,-1946.640218,33.78
152,-1988.4408035,33.96
153,-2061.453333,33.73
154,-1981.895432,34.13
155,-2087.0230775,35.48
156,-2106.0159445,34.71
157,-2039.504153,33.98
158,-2011.9075225,34.06
159,-1984.3555254999999,34.15
160,-2015.4099395,34.04
161,-1986.6265829999998,33.46
162,-2029.9132015,34.26
163,-2058.045434,36.21
164,-2040.496592,35.43
165,-2051.1062374999997,35.05
166,-2062.8999835,34.58
167,-2055.9424085,35.98
168,-2079.8843429999997,36.14
169,-2046.388214,36.2
170,-2064.504164,36.35
171,-2062.787087,35.98
172,-2061.710632,36.36
173,-2023.037017,36.56
174,-2057.4862024999998,35.36
175,-2071.4643645,36.06
176,-2029.364472,35.48
177,-2025.589003,35.22
178,-2048.4544825,34.82
179,-2047.9923945,36.52
180,-2062.130712,36.61
181,-2009.741485,36.8
182,-2014.6380425,34.84
183,-2038.0890085,34.94
184,-1997.359627,36.23
185,-2025.62576,35.02
186,-2026.0799714999998,35.2
187,-1998.8745405,35.38
188,-2003.230245,35.25
189,-1993.0984405,35.4
190,-2019.8837915000001,35.73
191,-1983.812047,35.69
192,-1993.2454684999998,34.41
193,-1999.9404935,34.5
194,-2041.7620829999998,36.06
195,-2024.4364085,36.49
196,-2056.1025640000003,36.02
197,-2126.245422,36.48
198,-2075.8069415,36.42
199,-2074.9772835000003,35.35
200,-2091.1923715,34.31
201,-2107.80391,34.37
202,-2041.6990710000002,33.39
203,-2009.305652,34.25
204,-2028.3273995000002,34.99
205,-2023.0790249999998,34.34
206,-2016.1030715000002,33.77
207,-2029.9420819999998,34.49
208,-2064.761463,34.79
209,-2028.8157425,33.92
210,-2022.3832675,33.49
211,-2065.3942085,33.5
212,-1996.0101200000001,32.39
213,-2032.4625620000002,33.39
214,-2027.1564265,34.8
215,-2067.5313655,33.2
216,-2056.1209425,34.64
217,-2022.065582,34.46
218,-2073.1394335,34.53
219,-2049.2526345,32.45
220,-2090.0844105,33.52
221,-2044.9520655000001,35.4
222,-2032.2971555,34.84
223,-2003.445536,34.06
224,-2026.2690075,35.11
225,-2042.176912,35.93
226,-2060.796958,36.35
227,-2100.673052,36.02
228,-2063.6666295,35.83
229,-2088.6115050000003,36.4
230,-2024.8512375,35.48
231,-2019.382321,35.11
232,-2044.7499020000002,35.73
233,-2053.6897295000003,35.24
234,-2061.9180465,36.79
235,-2052.542386,35.02
236,-2006.6854030000002,36.92
