model,Gsolv,timing
0,-18745.623665,33.68
1,-18627.402651,33.79
2,-18581.2437355,33.77
3,-18509.6200955,32.87
4,-18673.842495,33.56
5,-18564.222619,33.34
6,-18592.404736,33.43
7,-18702.250405,33.07
8,-18534.617481,33.3
9,-18592.8431945,32.48
10,-18829.497888,32.13
11,-18667.241987999998,33.06
12,-18673.4933035,34.16
13,-18615.511761499998,33.07
14,-18328.009009499998,33.17
15,-18097.9679505,32.62
16,-18123.3145275,32.55
17,-18116.175793,32.88
18,-18636.0379205,33.18
19,-18653.7600455,34.11
20,-18550.1683175,34.01
21,-18842.399595,32.84
22,-18859.024261000002,32.92
23,-18839.8502345,33.46
24,-18778.9333835,34.18
25,-18922.4694685,33.86
26,-19068.003559,33.83
27,-18975.2997795,34.18
28,-18889.5299455,33.12
29,-19323.6616215,33.64
30,-18959.213341,32.66
31,-18910.47881,33.09
32,-19208.8957655,33.56
33,-19154.613553,32.35
34,-19263.8632335,33.22
35,-19456.4856665,33.54
36,-19259.1425845,32.85
37,-19228.7287925,32.73
38,-19456.992388000002,33.1
39,-19661.8417745,33.27
40,-19658.567776,34.0
41,-19317.575712500002,32.98
42,-19298.091877,33.4
43,-19257.430758500002,33.22
44,-19119.547375000002,34.15
45,-19370.860235,32.64
46,-19305.8134725,32.67
47,-19301.749198499998,32.97
48,-19472.115267999998,32.53
49,-19458.565062499998,32.93
50,-19526.846441,32.82
51,-19602.697136,32.7
52,-19122.876509,32.24
53,-19330.858117,33.35
54,-18982.719442499998,32.92
55,-18942.1974755,33.0
56,-19147.424934000002,32.46
57,-19035.883192,33.18
58,-19197.9841875,33.77
59,-19042.5913445,32.6
60,-19376.736104,31.99
61,-19451.825404,32.88
62,-19419.631523,34.03
63,-19089.196595,33.16
64,-19213.855335,33.35
65,-19380.191262,32.02
66,-19308.788163999998,33.26
67,-19208.9745305,31.9
68,-19121.600516000002,33.08
69,-18849.3807995,33.15
70,-18814.1623425,32.4
71,-19038.230389,32.16
