model,Gsolv,timing
0,-1953.3641235,33.3
1,-1941.6543935,33.25
2,-1932.0345615,33.42
3,-1911.9783670000002,32.49
4,-1940.3678985000001,33.51
5,-1929.2594080000001,32.7
6,-1933.896041,33.05
7,-1947.9424660000002,33.03
8,-1919.350771,33.21
9,-1925.420927,32.11
10,-1966.9537115,32.58
11,-1947.2047005,33.36
12,-1943.0301554999999,34.13
13,-1933.202909,33.35
14,-1893.421333,33.02
15,-1863.385613,32.65
16,-1866.7436275,32.45
17,-1859.1034225,32.63
18,-1939.6616390000002,33.13
19,-1945.931333,33.39
20,-1923.5883279999998,33.95
21,-1973.2549115000002,33.18
22,-1977.7917755,32.49
23,-1968.347852,32.93
24,-1964.1838089999999,34.24
25,-1983.9459475,33.69
26,-2009.5708275,33.71
27,-1991.3813635,34.16
28,-1980.6430685,33.49
29,-2044.497854,33.4
30,-1987.8343129999998,33.08
31,-1984.4342905,33.33
32,-2024.517799,33.35
33,-2019.287803,32.44
34,-2033.665041,32.85
35,-2068.137856,32.94
36,-2040.6042375000002,33.12
37,-2024.1607310000002,33.06
38,-2062.0939550000003,33.48
39,-2095.6557215000003,33.63
40,-2093.195628,34.33
41,-2042.5602350000001,33.47
42,-2041.1135845,33.41
43,-2037.204215,33.76
44,-2014.3177315,33.8
45,-2052.789183,32.31
46,-2042.3528205,32.23
47,-2044.7499020000002,32.75
48,-2062.125461,32.79
49,-2061.679126,33.16
50,-2072.338656,32.96
51,-2084.715263,32.63
52,-2014.6774249999999,31.91
53,-2040.575357,33.39
54,-1995.122701,33.75
55,-1987.4851215,33.51
56,-2021.3015615000002,32.32
57,-2002.122284,32.61
58,-2027.4688609999998,33.41
59,-1992.8989025,32.34
60,-2053.7159845,31.61
61,-2059.5183395,33.08
62,-2058.9302275,34.05
63,-2006.2206895,33.03
64,-2022.84273,33.51
65,-2055.3411690000003,32.62
66,-2038.816272,32.9
67,-2020.290744,32.63
68,-2016.9747375000002,32.71
69,-1975.4655824999998,33.43
70,-1964.887443,32.71
71,-1999.4468995,32.09
72,-2066.5651814999997,34.02
73,-2014.8086999999998,33.58
74,-2040.6514965000001,33.35
75,-2007.7802365,34.35
76,-1950.6336035,32.34
77,-2009.100863,32.55
78,-2046.4118435,32.22
79,-2076.9306555,32.03
80,-2101.7390050000004,31.97
81,-2093.3295285,31.7
82,-2059.7283795,33.15
83,-2087.1596035000002,33.18
84,-2097.8873965,31.75
85,-2096.488005,32.86
86,-2066.7017075,32.65
87,-2038.0680045000001,33.29
88,-2089.8061075,32.5
89,-2027.9361999999999,33.15
90,-2030.262393,32.18
91,-2025.242437,32.39
92,-2000.2923105,33.13
93,-1965.2392599999998,35.19
94,-1995.8945979999999,34.28
95,-1995.8552155,33.52
96,-2048.882439,34.38
97,-1996.388192,33.73
98,-2036.9337885000002,33.23
99,-1996.4695825,33.39
100,-2005.6798365,34.02
101,-2046.9316924999998,32.24
102,-2076.5263285,33.45
103,-2037.267227,33.0
104,-2076.9201535,33.75
105,-2068.3899039999997,34.05
106,-2087.067711,35.35
107,-2085.5317935,33.78
108,-2026.7599759999998,33.79
109,-2062.3118715,34.24
110,-2068.111601,34.2
111,-2011.2275180000001,33.26
112,-2071.514249,34.36
113,-2056.401871,33.61
114,-2047.6248245,33.74
115,-2022.5119169999998,34.14
116,-2090.6987775000002,33.38
117,-2080.3858135,34.26
118,-2102.316615,33.2
119,-2051.681222,33.27
120,-2040.6094885,33.82
121,-2103.3379345,33.46
122,-2058.4523865,33.72
123,-2029.3565955,33.43
124,-2025.825298,34.52
125,-2027.8653115,34.8
126,-2045.2093645,33.91
127,-2006.8481840000002,33.71
128,-2034.5498345,33.47
129,-2021.2201710000002,33.58
