model,Gsolv,timing
0,-2.6570060000000004,0.06
1,-2.0977745,0.08
2,-1.701324,0.06
3,-1.1525945,0.07
4,-1.7092005,0.08
5,-2.168663,0.08
6,-2.0898980000000003,0.07
7,-1.0948335,0.07
8,-1.8352244999999998,0.07
9,-1.5096625,0.07
10,-1.858854,0.07
11,-2.347197,0.06
12,-2.074145,0.07
13,-1.7617105000000002,0.06
14,-1.5779254999999999,0.08
15,-2.25793,0.06
16,-1.26024,0.06
17,-1.270742,0.07
18,-2.3865795,0.06
19,-1.7433319999999999,0.07
20,-1.5359175,0.07
21,-1.774838,0.07
22,-1.769587,0.07
23,-1.6829455,0.07
24,-1.0449490000000001,0.07
25,-1.6146825,0.05
26,-2.3288185,0.08
27,-1.4413995,0.08
28,-1.2103555,0.06
29,-1.8299735000000001,0.07
30,-1.8798579999999998,0.08
31,-2.436464,0.07
32,-2.037388,0.09
33,-1.8194715000000001,0.07
34,-2.1030254999999998,0.08
35,-2.005882,0.08
36,-1.1420925,0.07
37,-2.2080455,0.07
38,-1.5936785,0.05
39,-1.7984674999999999,0.08
40,-1.265491,0.09
41,-2.373452,0.04
42,-1.4571525,0.06
43,-1.874607,0.08
44,-2.0085075,0.09
45,-1.6671925,0.09
46,-2.0400135,0.09
47,-1.4939094999999998,0.07
48,-1.9349935,0.07
49,-1.9139895000000002,0.06
50,-2.021635,0.07
51,-1.475531,0.07
52,-1.6724435,0.05
53,-1.302248,0.07
54,-2.1765395,0.07
55,-1.4650290000000001,0.08
56,-1.9244915,0.07
57,-1.249738,0.09
58,-2.194918,0.08
59,-2.126655,0.07
60,-1.2313595,0.06
61,-1.6619415,0.08
62,-0.7377655,0.05
63,-1.349507,0.06
64,-1.6225589999999999,0.09
65,-1.212981,0.06
66,-2.1975435,0.07
67,-1.5254155,0.07
68,-1.753834,0.06
69,-2.1660375,0.05
70,-2.5808665,0.09
71,-2.15291,0.07
72,-1.0160685,0.07
73,-0.950431,0.06
74,-1.139467,0.07
75,-1.302248,0.08
76,-1.759085,0.07
77,-2.4023325,0.06
78,-2.788281,0.08
79,-1.9297425,0.06
80,-1.8536030000000001,0.07
81,-1.7617105000000002,0.07
82,-1.165722,0.08
83,-1.060702,0.06
84,-1.4020169999999998,0.07
85,-1.034447,0.07
86,-1.73283,0.05
87,-1.4729055,0.07
88,-2.231675,0.07
89,-1.9402445,0.06
90,-1.0633275,0.07
91,-1.753834,0.06
92,-1.9376190000000002,0.07
93,-1.5437939999999999,0.06
94,-1.7512085,0.08
95,-2.0190095,0.1
96,-1.7669615,0.06
97,-1.1578454999999999,0.06
98,-1.3258775,0.07
99,-1.31275,0.06
100,-1.507037,0.07
101,-0.782399,0.07
102,-1.3862640000000002,0.07
103,-1.6356864999999998,0.06
104,-2.1607865,0.07
105,-1.2208575000000002,0.06
106,-2.0347625,0.08
107,-2.3708265,0.09
108,-1.690822,0.07
109,-1.1683474999999999,0.06
110,-0.8585385,0.06
111,-1.7092005,0.07
112,-1.7879654999999999,0.07
113,-1.6645670000000001,0.06
114,-1.7275789999999998,0.07
115,-2.142408,0.07
116,-1.8667305,0.06
117,-1.68032,0.05
118,-1.5332919999999999,0.07
119,-2.4338385,0.07
120,-2.037388,0.06
121,-1.696073,0.08
122,-1.8010929999999998,0.04
123,-1.149969,0.06
124,-1.2208575000000002,0.06
125,-1.349507,0.06
126,-1.6251845,0.06
127,-1.701324,0.08
128,-2.3813285,0.06
129,-1.7774634999999999,0.09
130,-1.407268,0.06
131,-1.3757620000000002,0.07
132,-0.257299,0.08
133,-1.643563,0.07
134,-2.0190095,0.08
135,-1.549045,0.05
136,-2.436464,0.08
137,-1.486033,0.08
138,-1.4545270000000001,0.04
139,-1.722328,0.05
140,-2.562488,0.05
141,-2.063643,0.07
142,-1.885109,0.06
143,-1.2208575000000002,0.06
144,-2.273683,0.07
145,-1.7669615,0.07
146,-1.134216,0.07
147,-2.058392,0.06
148,-2.6570060000000004,0.07
149,-1.8614795,0.08
150,-2.4338385,0.05
151,-2.2185475,0.07
152,-1.9454955,0.07
153,-2.525731,0.06
154,-0.745642,0.08
155,-1.690822,0.07
156,-1.41777,0.08
157,-1.7302045,0.08
158,-1.5280410000000002,0.09
159,-1.2786185,0.06
160,-1.2549890000000001,0.08
161,-0.987188,0.05
162,-1.2418615,0.07
163,-1.722328,0.06
164,-1.580551,0.07
165,-1.3468815,0.07
166,-1.7984674999999999,0.08
167,-1.7459575,0.04
168,-1.0554510000000001,0.06
169,-0.7535185,0.08
170,-1.7197025,0.07
171,-1.9454955,0.05
172,-1.769587,0.07
173,-1.3416305,0.08
174,-1.874607,0.07
175,-0.9924390000000001,0.05
176,-1.3337539999999999,0.06
177,-0.8690405000000001,0.06
178,-1.7275789999999998,0.08
179,-0.866415,0.06
180,-1.3311285,0.07
181,-0.861164,0.06
182,-1.8299735000000001,0.06
183,-1.643563,0.07
184,-1.832599,0.06
185,-1.5411685,0.05
186,-0.819156,0.07
187,-1.4020169999999998,0.07
188,-1.9402445,0.04
189,-1.3757620000000002,0.07
190,-1.8010929999999998,0.07
191,-2.8407910000000003,0.07
192,-1.643563,0.08
193,-1.1053355,0.06
194,-1.858854,0.06
195,-0.9583075,0.07
196,-2.2553045,0.06
197,-0.7220125000000001,0.06
198,-1.8037185,0.06
199,-1.638312,0.07
200,-1.3337539999999999,0.06
201,-1.0685785,0.06
202,-1.7302045,0.08
203,-1.1105865,0.08
204,-1.5779254999999999,0.07
205,-1.62781,0.06
206,-1.6776945,0.05
207,-1.9297425,0.07
208,-0.8690405000000001,0.06
209,-1.275993,0.06
210,-1.3337539999999999,0.05
211,-1.2576144999999999,0.06
212,-1.6986985000000001,0.08
213,-1.2891205000000001,0.07
214,-1.165722,0.06
215,-1.2418615,0.07
216,-1.1237139999999999,0.06
217,-2.4968505,0.07
218,-2.320942,0.07
219,-1.0580764999999999,0.06
220,-1.244487,0.06
221,-1.5569215,0.08
222,-1.4230209999999999,0.07
223,-1.9139895000000002,0.07
224,-1.5280410000000002,0.07
225,-1.4991605,0.06
226,-1.62781,0.08
227,-1.3101245,0.06
228,-1.9664995,0.07
229,-1.7722125000000002,0.08
230,-2.1975435,0.08
231,-1.060702,0.07
232,-2.483723,0.07
233,-1.496535,0.07
234,-1.6251845,0.07
235,-1.491284,0.07
236,-1.559547,0.06
237,-1.7092005,0.09
238,-1.1420925,0.06
239,-1.858854,0.07
240,-1.4702799999999998,0.06
241,-1.2051045,0.04
242,-1.5464195,0.07
243,-1.790591,0.08
244,-1.8220969999999999,0.07
245,-2.0452645,0.08
246,-1.89036,0.07
247,-0.9268015000000001,0.08
248,-1.4624035,0.08
249,-1.360009,0.05
250,-1.6934475,0.07
251,-1.843101,0.06
252,-1.675069,0.05
253,-1.73283,0.06
254,-1.4440250000000001,0.06
255,-1.076455,0.07
256,-1.7617105000000002,0.06
257,-1.407268,0.08
258,-1.1919769999999998,0.08
259,-1.496535,0.05
260,-1.291746,0.08
261,-1.554296,0.06
262,-1.1946025,0.08
263,-1.6776945,0.06
264,-1.339005,0.06
265,-1.4519015,0.05
266,-1.223483,0.08
267,-1.3967660000000002,0.06
268,-1.969125,0.05
269,-0.9320525000000001,0.07
270,-1.4545270000000001,0.08
271,-2.0347625,0.07
272,-1.2733675,0.05
273,-1.218232,0.08
274,-1.8772325,0.08
275,-1.186726,0.07
276,-1.5726745,0.05
277,-1.5044115000000002,0.07
278,-1.4519015,0.06
279,-1.491284,0.07
280,-1.916615,0.08
281,-1.517539,0.05
282,-1.7433319999999999,0.07
283,-1.9454955,0.08
284,-0.8217815,0.08
285,-1.5254155,0.06
286,-1.0003155,0.06
287,-1.895611,0.07
288,-1.559547,0.08
289,-1.275993,0.06
290,-2.147659,0.07
291,-1.2051045,0.08
292,-1.0580764999999999,0.06
293,-1.0160685,0.06
294,-1.128965,0.07
295,-1.1998535,0.07
296,-1.8509775,0.07
297,-1.6724435,0.05
298,-1.5753,0.07
299,-1.449276,0.07
300,-1.9875034999999999,0.05
301,-1.9612485000000002,0.08
302,-1.7932165,0.08
303,-2.0662685,0.07
304,-1.701324,0.07
305,-1.3337539999999999,0.07
306,-1.5385430000000002,0.06
307,-2.305189,0.07
308,-1.349507,0.06
309,-1.8037185,0.06
310,-1.8220969999999999,0.06
311,-1.5096625,0.07
312,-1.5674234999999999,0.08
313,-1.8037185,0.08
314,-1.564798,0.08
315,-1.4519015,0.05
316,-2.1345315,0.06
317,-2.7042650000000004,0.05
318,-2.3393205,0.06
319,-1.7669615,0.08
320,-2.4128345,0.07
321,-1.769587,0.06
322,-2.2763085000000003,0.08
323,-1.759085,0.07
324,-0.194287,0.07
325,-1.265491,0.07
326,-1.212981,0.06
327,-1.963874,0.09
328,-1.0738295,0.06
329,-1.0922079999999998,0.06
330,-1.6409375,0.06
331,-1.170973,0.06
332,-2.121404,0.05
333,-1.5385430000000002,0.07
334,-1.790591,0.05
335,-1.769587,0.06
336,-1.9822525,0.06
337,-1.675069,0.06
338,-1.5989295,0.08
339,-1.816846,0.06
340,-2.1161529999999997,0.05
341,-2.200169,0.07
342,-2.326193,0.07
343,-2.305189,0.07
344,-2.6491295,0.07
345,-1.3783874999999999,0.08
346,-1.2339849999999999,0.07
347,-1.6199335000000001,0.06
348,-2.142408,0.05
349,-0.8979210000000001,0.06
350,-2.3787030000000002,0.07
351,-1.979627,0.07
352,-1.848352,0.07
353,-1.449276,0.06
354,-2.341946,0.07
355,-1.2838695,0.07
356,-1.1447180000000001,0.07
357,-1.3757620000000002,0.06
358,-1.3967660000000002,0.07
359,-1.4650290000000001,0.06
360,-1.318001,0.07
361,-1.438774,0.06
362,-1.3363795,0.07
363,-2.4075835,0.07
364,-2.1922925,0.08
365,-2.0347625,0.06
366,-2.8959265000000003,0.07
367,-2.3183165,0.06
368,-2.15291,0.07
369,-1.895611,0.07
370,-1.7827145,0.05
371,-1.6120569999999999,0.07
372,-1.097459,0.07
373,-0.6800045,0.06
374,-1.5254155,0.07
375,-1.7144515,0.07
376,-1.3678854999999999,0.05
377,-1.501786,0.08
378,-1.8824835,0.07
379,-1.580551,0.06
380,-1.0108175,0.06
381,-1.186726,0.06
382,-1.1263395,0.07
383,-2.3235675000000002,0.08
384,-2.36295,0.06
385,-1.958623,0.06
386,-1.486033,0.07
387,-1.990129,0.07
388,-1.4886585,0.07
389,-2.3970815,0.05
390,-1.648814,0.07
391,-2.2920615,0.08
392,-1.843101,0.06
393,-1.3941405,0.06
394,-2.1844159999999997,0.07
395,-1.916615,0.08
396,-0.876917,0.07
397,-2.609747,0.05
398,-1.275993,0.08
399,-1.4545270000000001,0.07
400,-2.599245,0.07
401,-1.6540650000000001,0.07
402,-2.1502844999999997,0.07
403,-2.284185,0.05
404,-2.2763085000000003,0.05
405,-2.095149,0.09
406,-1.7827145,0.06
407,-2.0767705000000003,0.06
408,-2.4443405,0.07
409,-1.197228,0.06
410,-1.6409375,0.07
411,-1.1473435,0.08
412,-1.690822,0.08
413,-1.3048735,0.04
414,-1.89036,0.08
415,-1.6094315000000001,0.07
416,-2.1817905,0.07
417,-1.6934475,0.07
418,-1.2549890000000001,0.07
419,-1.706575,0.06
420,-1.8824835,0.08
421,-1.8247225,0.06
422,-1.7617105000000002,0.06
423,-1.1735985,0.07
424,-1.4020169999999998,0.07
425,-1.5359175,0.08
426,-1.501786,0.07
427,-0.9373035,0.05
428,-1.360009,0.06
429,-1.0554510000000001,0.06
430,-1.029196,0.06
431,-1.4624035,0.06
432,-1.2996225,0.07
433,-1.2418615,0.08
434,-1.6619415,0.07
435,-0.8480365,0.05
436,-1.2576144999999999,0.07
437,-2.0662685,0.07
438,-1.643563,0.06
439,-2.2080455,0.06
440,-1.354758,0.08
441,-1.5464195,0.05
442,-2.1975435,0.07
443,-2.032137,0.05
444,-2.331444,0.08
445,-1.7774634999999999,0.07
446,-2.2973125,0.06
447,-2.1109020000000003,0.06
448,-1.675069,0.07
449,-2.0715195,0.04
450,-1.1158375,0.08
451,-1.26024,0.06
452,-1.3678854999999999,0.07
453,-2.0505155,0.06
454,-2.1712885,0.07
455,-1.4466504999999998,0.08
456,-1.606806,0.06
457,-1.7459575,0.06
458,-1.7433319999999999,0.07
459,-1.7039494999999998,0.07
460,-1.7249535,0.06
461,-2.079396,0.06
462,-1.89036,0.07
463,-1.900862,0.06
464,-2.058392,0.06
