model,Gsolv,timing
0,-7.9263845,0.07
1,-8.223066,0.07
2,-8.123296999999999,0.04
3,-7.6428305,0.07
4,-7.288387999999999,0.07
5,-9.514812000000001,0.06
6,-7.3514,0.06
7,-7.913257000000001,0.05
8,-7.810862500000001,0.06
9,-7.5745675,0.04
10,-7.7110935,0.06
11,-7.592946,0.06
12,-6.9759535,0.06
13,-7.288387999999999,0.06
14,-7.755727,0.06
15,-8.564381000000001,0.06
16,-6.626762,0.06
17,-8.081289,0.07
18,-7.955265000000001,0.07
19,-7.2490055,0.06
20,-8.0681615,0.06
21,-8.7245365,0.06
22,-7.5246830000000005,0.05
23,-7.340897999999999,0.07
24,-8.9267,0.08
25,-8.0681615,0.07
26,-7.0599695,0.06
27,-8.08654,0.05
28,-7.167615,0.07
29,-8.0366555,0.06
30,-8.343839,0.06
31,-7.7215955,0.05
32,-6.920818,0.07
33,-7.713719,0.05
34,-8.753417,0.05
35,-8.202062,0.07
36,-7.4958025,0.06
37,-7.7425995,0.05
38,-7.879125500000001,0.05
39,-7.818739000000001,0.06
40,-8.028779,0.06
41,-7.781982,0.06
42,-7.7793565,0.06
43,-7.2201249999999995,0.07
44,-8.595887,0.06
45,-8.4777395,0.06
46,-7.947388500000001,0.07
47,-8.1049185,0.06
48,-7.784607500000001,0.06
49,-8.9293255,0.06
50,-7.5325595,0.05
51,-7.7898585,0.04
52,-8.753417,0.05
53,-7.7032169999999995,0.05
54,-7.2778860000000005,0.05
55,-8.29658,0.08
56,-7.579818499999999,0.06
57,-7.8765,0.04
58,-8.4882415,0.08
59,-8.5092455,0.07
60,-7.7032169999999995,0.06
61,-8.5302495,0.06
62,-7.3015155,0.06
63,-7.487926,0.06
64,-7.787233,0.07
65,-7.9920219999999995,0.06
66,-7.424913999999999,0.06
67,-8.3202095,0.06
68,-8.4672375,0.06
69,-8.149552,0.05
70,-8.669400999999999,0.06
71,-7.472173,0.06
72,-7.92901,0.07
73,-7.1938699999999995,0.06
74,-7.6585835,0.06
75,-7.309392,0.07
76,-7.8056114999999995,0.06
77,-8.2046875,0.07
78,-7.908005999999999,0.06
79,-6.8656825,0.05
80,-8.601137999999999,0.06
81,-7.503679,0.06
82,-6.6503915000000005,0.06
83,-8.0524085,0.06
84,-7.1964955,0.07
85,-6.952324000000001,0.06
86,-7.971018,0.06
87,-7.2778860000000005,0.05
88,-6.524367499999999,0.07
89,-7.56144,0.05
90,-8.002524,0.06
91,-7.9683925,0.06
92,-8.202062,0.07
93,-8.08654,0.07
94,-8.230942500000001,0.04
95,-8.548628,0.06
96,-8.593261499999999,0.05
97,-7.285762500000001,0.07
98,-6.98383,0.06
99,-8.091791,0.06
100,-7.0442165,0.07
101,-7.8266155,0.06
102,-8.847935,0.06
103,-7.750476000000001,0.06
104,-8.609014499999999,0.05
105,-8.97921,0.06
106,-8.4147275,0.07
107,-6.8604315,0.07
108,-8.3622175,0.06
109,-7.2069975,0.07
110,-6.868308,0.06
111,-7.7425995,0.04
112,-7.9526395,0.08
113,-7.850245,0.07
114,-7.0967265,0.06
115,-7.440667,0.07
116,-7.9316355,0.04
117,-7.9500139999999995,0.06
118,-7.634954,0.07
119,-7.209623000000001,0.05
120,-7.8056114999999995,0.07
121,-7.322519499999999,0.06
122,-7.3015155,0.06
123,-7.514181,0.05
124,-8.0891655,0.07
125,-8.490867,0.06
126,-7.322519499999999,0.05
127,-7.3881570000000005,0.06
128,-6.9024395,0.06
129,-9.2758915,0.08
130,-7.3172685,0.05
131,-7.713719,0.06
132,-8.149552,0.05
133,-7.5483125,0.07
134,-8.6247675,0.06
135,-7.9683925,0.07
136,-7.9920219999999995,0.05
137,-6.7921685,0.07
138,-7.0704715,0.06
139,-8.800676,0.08
140,-6.679271999999999,0.04
141,-6.999583,0.06
142,-7.1387345,0.06
143,-7.9631415,0.05
144,-6.716029,0.05
145,-7.1124795,0.06
146,-7.230627,0.07
147,-6.8814355,0.07
148,-7.078348,0.05
149,-7.409160999999999,0.09
150,-6.9234435,0.07
151,-8.3412135,0.05
152,-7.0494674999999996,0.05
153,-8.1049185,0.05
154,-7.2962644999999995,0.06
155,-8.1154205,0.06
156,-9.0500985,0.07
157,-7.7898585,0.05
158,-7.6165755,0.07
159,-8.8610625,0.06
160,-8.716660000000001,0.07
161,-8.706158,0.07
162,-7.66646,0.05
163,-7.143985499999999,0.06
164,-8.653648,0.06
165,-7.511555499999999,0.06
166,-8.2466955,0.06
167,-7.750476000000001,0.06
168,-7.855496,0.07
169,-8.3149585,0.06
170,-7.6428305,0.07
171,-7.327770500000001,0.05
172,-8.055034,0.07
173,-8.097042,0.06
174,-7.204371999999999,0.08
175,-7.5378105,0.06
176,-7.682213000000001,0.06
177,-7.482675,0.05
178,-7.170240499999999,0.07
179,-7.0232125,0.07
180,-7.766229,0.04
181,-8.24407,0.06
182,-6.9024395,0.08
183,-8.144301,0.07
184,-8.181058,0.06
185,-7.214874,0.07
186,-7.209623000000001,0.05
187,-8.044532,0.06
188,-8.0944165,0.09
189,-7.162364,0.07
190,-7.267384,0.07
191,-7.1649895,0.07
192,-7.908005999999999,0.06
193,-8.1731815,0.06
194,-7.29889,0.06
195,-9.619832,0.05
196,-7.7688545,0.06
197,-9.0133415,0.06
198,-7.4327905,0.07
199,-6.926069,0.06
200,-7.797735,0.06
201,-8.291329000000001,0.05
202,-7.897504,0.07
203,-6.9917065,0.06
204,-7.335647,0.06
205,-6.9759535,0.05
206,-6.947073,0.05
207,-7.629703,0.06
208,-7.760978,0.04
209,-7.5220575,0.06
210,-8.540751499999999,0.07
211,-8.1784325,0.06
212,-8.532874999999999,0.08
213,-8.1521775,0.06
214,-7.6638345,0.07
215,-7.965767,0.06
