model,Gsolv,timing
0,-3799.7049905,33.94
1,-3730.541444,34.85
2,-3879.774864,35.35
3,-3794.6062695,35.6
4,-3865.245347,35.61
5,-3815.3687235,35.57
6,-3750.9757105,35.77
7,-3850.427025,35.36
8,-3696.9376694999996,33.86
9,-3700.279931,34.6
10,-3653.283481,33.77
11,-3679.0448869999996,33.42
12,-3717.907538,33.72
13,-3673.1243845,34.13
14,-3717.4822069999996,34.25
15,-3654.2732945000002,34.6
16,-3715.0431175,34.1
17,-3654.2050315,34.55
18,-3705.4915484999997,33.41
19,-3680.7330835000002,34.35
20,-3709.689723,34.16
21,-3727.1125409999995,34.27
22,-3761.2282880000002,34.31
23,-3693.511392,34.68
24,-3806.192601,33.88
25,-3786.6720084999997,34.91
26,-3744.0207609999998,34.28
27,-3758.1748315,34.41
28,-3723.1296574999997,35.24
29,-3763.775023,33.76
30,-3784.9234254999997,34.28
31,-3747.8671185,33.67
32,-3747.7174649999997,32.62
33,-3770.9426380000004,32.81
34,-3787.840356,33.64
35,-3815.492122,33.56
36,-3706.098039,33.49
37,-3717.4559520000003,33.96
38,-3735.0914355,33.78
39,-3735.0940610000002,33.71
40,-3633.4005694999996,34.29
41,-3725.4532249999997,33.83
42,-3796.9981,33.97
43,-3814.5128105,34.09
44,-3780.924789,34.75
45,-3774.6104615,34.68
46,-3797.2475225000003,33.34
47,-3728.498805,34.52
48,-3815.030034,34.13
49,-3787.3493875000004,34.59
50,-3787.961129,34.46
51,-3800.390246,34.47
52,-3800.1145685,34.47
53,-3803.7430095,34.35
54,-3859.947088,32.91
55,-3800.495266,33.33
56,-3759.1095095,33.32
57,-3727.2411905000004,34.79
58,-3736.0733725,33.52
59,-3731.8279390000002,32.77
60,-3670.55402,32.86
61,-3658.2167955,32.96
62,-3767.923313,34.73
63,-3751.650464,33.28
64,-3757.6549824999997,34.66
65,-3736.0366155,33.71
66,-3707.998901,33.57
67,-3731.7334210000004,33.55
68,-3708.6001404999997,32.54
69,-3788.0635235000004,34.09
70,-3711.2571465,33.9
71,-3763.270927,33.05
72,-3849.1851635000003,34.61
73,-3839.8226305,33.32
74,-3775.768307,33.02
75,-3842.0227995,33.15
76,-3776.6924830000003,33.18
77,-3834.7239095,33.86
78,-3801.1726449999996,32.97
79,-3841.7576240000003,32.61
80,-3880.552012,34.0
81,-3794.703413,33.27
82,-3876.7660410000003,32.35
83,-3776.8605150000003,32.79
84,-3823.0614385,32.25
85,-3817.0647965,32.64
86,-3834.3353355,32.49
87,-3823.8070804999998,32.35
88,-3742.4375845,33.13
89,-3726.3248909999998,32.53
90,-3782.5788540000003,32.85
91,-3879.7354815000003,31.5
92,-3812.5174304999996,32.87
93,-3843.280414,32.23
94,-3798.6757945,32.71
95,-3819.4540015,32.58
96,-3870.223295,33.36
97,-3824.0801325,32.77
98,-3869.2492345,32.76
99,-3828.5356060000004,32.96
100,-3819.278093,33.55
101,-3825.1933445,33.13
102,-3864.5863465,32.78
103,-3790.392342,33.21
104,-3779.102692,33.07
105,-3832.164047,33.18
106,-3793.469428,32.83
107,-3808.019949,33.1
108,-3830.9904484999997,33.23
109,-3878.1864365,32.5
110,-3802.7584469999997,33.05
111,-3785.5903025000002,33.56
112,-3720.4726514999998,33.29
113,-3815.366098,32.62
114,-3837.336282,33.5
115,-3766.820603,32.3
116,-3895.8508005,32.78
117,-3788.4100894999997,32.23
118,-3857.584138,32.31
119,-3910.2963015,33.05
120,-3833.513554,32.88
121,-3858.5529475000003,34.27
122,-3875.5399325000003,32.9
123,-3878.6485245,34.08
124,-3784.8026524999996,33.44
125,-3844.7323155,32.78
126,-3865.6050405,33.03
127,-3875.6239485,32.94
128,-3832.2559395000003,33.86
129,-3731.3999824999996,33.63
130,-3733.9467175,33.37
131,-3772.859253,33.44
132,-3791.7838570000004,32.33
133,-3793.8921335,32.63
134,-3791.369028,32.24
135,-3884.6294135,32.46
136,-3857.767923,32.72
137,-3843.753004,33.0
138,-3847.055883,32.25
139,-3870.6354985000003,32.18
140,-3835.4012885,32.41
141,-3819.0365469999997,33.04
142,-3826.6898794999997,33.18
143,-3842.1015644999998,33.05
144,-3908.245786,33.6
145,-3883.6658549999997,34.08
146,-3826.377445,33.31
147,-3878.084042,32.82
148,-3883.2536514999997,32.26
149,-3849.3715740000002,31.79
150,-3797.9616585,32.88
151,-3782.3661885,32.71
152,-3852.842485,33.26
153,-3829.165726,33.67
154,-3849.896674,33.71
155,-3805.4469590000003,32.75
156,-3906.3055415,33.58
157,-3930.9274805,33.89
158,-3950.9101610000002,34.47
159,-3921.809119,33.55
160,-3979.423091,33.83
161,-3936.118094,34.81
162,-3921.5859514999997,33.64
163,-3809.5821215,35.43
164,-3846.1185795,33.87
165,-3767.4743525,34.64
166,-3827.511661,33.39
167,-3872.03489,33.65
168,-3855.8749375,33.93
169,-3741.2902409999997,33.47
170,-3731.9985965,34.49
171,-3851.424715,34.81
172,-3770.7247215,34.27
173,-3769.6797724999997,34.55
174,-3824.9124159999997,33.93
175,-3730.7383565,34.99
176,-3732.2348915,35.92
177,-3740.4920890000003,35.0
178,-3730.714727,35.49
179,-3714.483886,34.72
180,-3780.961546,35.66
181,-3742.960059,35.03
182,-3686.159992,34.57
183,-3671.6094709999998,33.88
184,-3688.6778465,35.84
185,-3715.1875200000004,34.73
186,-3799.292787,35.03
187,-3725.9179385,34.66
188,-3803.493587,34.1
189,-3753.766617,35.14
190,-3763.8616644999997,34.3
191,-3776.114873,34.07
192,-3773.2110700000003,34.3
193,-3819.4224955,34.99
194,-3802.217594,35.09
195,-3804.706568,34.5
196,-3741.6446834999997,34.13
197,-3775.3245975,33.83
198,-3819.031296,34.63
199,-3802.9212279999997,34.68
200,-3771.5570049999997,35.33
201,-3775.8759525,33.93
202,-3781.4892715,36.11
203,-3672.8198265,35.96
204,-3729.4518615,35.85
205,-3718.5534110000003,36.7
206,-3656.7438899999997,35.8
207,-3706.528621,35.9
208,-3694.440819,36.25
209,-3696.7643865,36.89
210,-3674.6104175,36.96
211,-3734.0202314999997,36.85
212,-3710.424863,37.29
213,-3684.605696,37.3
214,-3761.7087545,37.3
215,-3702.390833,37.03
216,-3687.0106539999997,38.02
217,-3680.2788720000003,38.88
218,-3665.4001635,39.51
219,-3672.0295509999996,37.79
220,-3702.9054309999997,39.07
221,-3639.951192,39.77
222,-3729.8535629999997,39.15
223,-3688.8248745,39.75
224,-3564.6544774999998,38.34
225,-3571.5227855,39.73
226,-3656.927675,38.9
227,-3575.946753,40.92
228,-3627.4905689999996,40.74
229,-3647.7410505,39.36
230,-3740.4947145,39.26
231,-3753.9924100000003,38.23
232,-3846.0030575,38.31
233,-3795.638091,38.63
234,-3723.1034025000004,36.55
235,-3821.9771069999997,36.81
236,-3858.9651510000003,36.01
237,-3829.9192445,36.07
238,-3772.407667,36.41
239,-3941.022528,36.92
240,-3886.3674945000002,35.19
241,-3879.128991,34.39
242,-3974.775956,33.9
243,-3881.407925,34.91
244,-3830.6307549999997,35.88
245,-3848.6128045,37.07
246,-3839.3474149999997,37.65
247,-3930.5074004999997,37.35
248,-3821.6436685,37.25
249,-3876.1017895,35.86
250,-3833.660582,35.22
251,-3792.8786905,35.87
252,-3817.5583905000003,36.84
253,-3771.0555345,35.49
254,-3787.6014354999998,36.89
255,-3848.6863184999997,35.75
256,-3807.169287,36.38
257,-3751.3222765,36.03
258,-3704.8220460000002,35.42
259,-3683.308699,36.66
260,-3692.266905,36.87
261,-3803.714129,37.02
262,-3778.5985960000003,35.45
263,-3696.7748884999996,36.52
264,-3823.8937220000003,35.91
265,-3764.667693,35.22
266,-3710.0074085,35.29
267,-3707.9516420000004,35.64
268,-3696.4572030000004,34.52
269,-3639.2843150000003,34.62
270,-3722.995757,34.4
271,-3712.0526729999997,34.74
272,-3676.545411,35.29
273,-3620.280946,33.27
274,-3714.7910695,34.54
275,-3659.9049919999998,34.83
276,-3672.685926,34.25
277,-3614.394575,35.6
278,-3681.1006535,36.07
279,-3696.6436135,36.24
280,-3739.956487,36.3
281,-3763.895796,36.47
282,-3701.4745335000002,35.38
283,-3661.3306385,36.44
284,-3656.381571,36.25
285,-3668.474624,35.05
286,-3663.9351345,35.52
287,-3601.8105535000004,36.58
288,-3636.6981975000003,36.97
289,-3611.3516205,35.48
290,-3648.3895490000004,36.11
291,-3631.2345320000004,35.04
292,-3658.7103895,35.58
293,-3657.830847,34.4
294,-3668.721421,36.42
295,-3651.2959775000004,34.22
296,-3660.7924110000004,34.27
297,-3597.5073589999997,34.21
298,-3641.0276470000003,34.73
299,-3667.986281,35.33
300,-3770.9793950000003,33.95
301,-3664.0349035,35.65
302,-3667.7736155000002,33.44
303,-3673.7124965,33.4
304,-3627.6769795,34.45
305,-3656.3028059999997,33.51
306,-3690.670601,34.68
307,-3766.369017,33.46
308,-3608.114379,32.43
309,-3678.8427235,33.05
310,-3634.1409605,33.71
311,-3684.7238435,32.87
312,-3664.242318,32.96
313,-3697.9248575,33.62
314,-3727.0469035,33.53
315,-3738.0162425,34.12
316,-3719.8346549999997,33.81
317,-3749.434542,33.09
318,-3711.0681105,34.49
319,-3723.1191555,33.89
320,-3722.0243219999998,33.43
321,-3768.049337,34.15
322,-3773.289835,34.06
323,-3720.0735755,33.54
324,-3621.5648155,33.0
325,-3639.7700325,33.66
326,-3545.590722,33.38
327,-3563.5570184999997,33.94
328,-3607.163948,34.46
