model,Gsolv,timing
0,-18740.7796175,31.44
1,-18609.9509525,31.92
2,-18707.884728,30.72
3,-18747.619045,31.15
4,-18801.061097499998,32.02
5,-18629.5109275,31.76
6,-18807.0787435,30.76
7,-18722.713551999997,31.13
8,-19081.698167,31.25
9,-19147.603468,31.99
10,-18735.431474,31.51
11,-18389.682004500002,33.18
12,-18235.3183575,32.84
13,-18646.7814665,33.48
14,-18412.647253,33.07
15,-18530.0884935,31.36
16,-18721.3089095,31.55
17,-18387.8914135,32.26
18,-18399.0812945,32.37
19,-18265.4643485,32.17
20,-18663.5059015,32.57
21,-18921.416643,31.88
22,-18931.459180500002,32.62
23,-18844.310959000002,32.96
24,-18556.4590155,33.12
25,-18369.2346105,33.17
26,-18520.2796255,33.31
27,-18387.067006499998,34.15
28,-18270.177121,33.21
29,-18726.557284,34.16
30,-18553.048490999998,33.89
31,-18354.4005355,34.57
32,-18522.277631,33.33
33,-18797.293505,33.16
34,-18599.430573999998,34.22
35,-18567.1395495,32.78
36,-18587.547561,32.44
37,-18508.231206,33.05
38,-18587.972892,33.27
39,-18520.182482,32.37
40,-18485.137308,34.32
41,-18608.3598995,33.79
42,-18144.6755955,32.81
43,-18402.045484000002,32.32
44,-18800.6357665,33.89
45,-18596.0568065,33.12
46,-18465.304281,33.85
47,-18604.0488285,34.17
48,-18711.072085,33.15
49,-18608.59882,33.58
50,-18858.850978,34.0
51,-18814.22798,34.53
52,-18807.517202,33.81
53,-19293.3370965,34.46
54,-18743.586277,34.83
55,-19228.400605,34.23
56,-19193.434196000002,33.36
57,-18980.668927,33.47
58,-19018.7202985,34.19
59,-18950.3890355,34.01
60,-18865.882067000002,34.48
61,-19036.3269015,34.04
62,-18978.432001,34.59
63,-18827.8306955,34.29
64,-18786.9936685,35.28
65,-18855.2514175,34.09
66,-19193.838523000002,35.11
67,-19241.3784515,34.14
68,-19077.0694105,34.94
69,-19112.739453500002,34.35
70,-19139.831988,34.84
71,-19118.334393999998,34.7
72,-19136.781157,34.9
73,-19328.0567085,34.84
74,-18888.2434505,34.99
75,-18561.754649,35.11
76,-19154.786836,34.41
77,-19132.099890499998,34.62
78,-18913.6530395,34.93
79,-18821.542622999998,33.86
80,-18944.2296125,34.14
81,-18846.1199285,35.62
82,-18427.313296,34.24
83,-18429.245664,35.18
84,-18911.198196999998,35.95
85,-18434.759214,34.02
86,-18768.0218055,34.07
87,-18739.779302,35.1
88,-18714.579753,34.7
89,-18366.0104965,34.8
90,-18477.6362545,34.22
91,-18601.126646999997,34.49
92,-18724.000046999998,34.66
93,-18848.081177,34.24
94,-18952.423798,34.79
95,-18837.59493,35.41
96,-19067.625487,34.45
97,-18881.2333655,35.26
98,-18815.7796505,36.06
99,-18559.958807,36.27
100,-18914.650729499997,36.0
101,-18478.5341755,35.77
102,-18493.809334499998,35.25
103,-18852.759818,34.55
104,-18343.906412,36.41
105,-18419.56282,35.89
106,-18506.934209,35.97
107,-18548.8083085,35.55
108,-18405.2617215,34.91
109,-18781.8581905,35.99
110,-18700.0108535,36.14
111,-18828.550082499998,36.18
112,-18618.596724,37.08
113,-18632.01828,36.24
114,-18636.2637135,35.91
115,-18598.159831999998,36.45
116,-18160.1660455,35.56
117,-18644.765082500002,36.16
118,-18383.128756500002,36.11
119,-18688.161971999998,35.52
120,-18822.3749065,36.39
121,-18780.907759499998,36.81
122,-18678.059048,35.79
123,-18588.5898845,36.5
124,-18551.2132665,36.82
125,-18459.57544,34.65
126,-18869.510508,36.81
127,-18442.079108,37.29
128,-18850.575402,36.46
129,-18735.027147,37.35
130,-18794.174411,35.6
131,-18794.636499,35.87
132,-18855.296051,35.69
133,-18614.7818725,36.09
134,-18733.3862095,36.04
135,-18884.853929999997,36.44
136,-18631.4958055,35.09
137,-18746.167143500003,36.66
138,-18379.177379,35.53
139,-18336.0692945,36.02
140,-18089.5190915,37.04
141,-18249.9003845,37.18
142,-18375.632954,37.04
143,-18407.43301,35.92
144,-18246.5344935,36.61
145,-18078.284577,37.75
146,-18267.5227405,37.17
147,-17902.8722965,36.06
148,-18343.654364,38.19
149,-18099.1756805,37.36
150,-18356.114987,38.29
151,-18305.253801,37.32
152,-18311.5628775,35.81
153,-18309.8825575,37.45
154,-18388.8680995,35.78
155,-18374.1968055,36.93
156,-18666.947932,36.55
157,-18576.9064095,34.99
158,-18514.054565000002,35.58
159,-18589.311897,36.25
160,-19020.957224499998,36.43
161,-18954.5950865,36.51
162,-18978.752312,36.03
163,-18514.332868,36.04
164,-18356.191126499998,35.63
165,-18662.657865,34.46
166,-18842.165925499998,35.94
167,-18600.832591,35.01
168,-18577.334366,34.98
169,-18774.803472,34.05
170,-18682.559155,34.19
171,-18700.843137,34.67
172,-18816.638188999998,35.7
173,-18623.863477000003,35.26
174,-18882.7719085,34.48
175,-18769.8649065,32.41
176,-18885.856871,33.25
177,-18452.7780205,32.95
178,-18822.619078,34.39
179,-18556.330366000002,33.96
180,-18647.503479000003,34.84
181,-18812.988744,33.17
182,-18631.8213675,33.74
