model,Gsolv,timing
0,-3615.397516,32.03
1,-3593.3721965,31.94
2,-3612.9242950000003,30.51
3,-3626.4272415,31.41
4,-3640.5813120000003,32.06
5,-3598.856866,31.49
6,-3636.3148745000003,30.85
7,-3615.4263965,31.35
8,-3700.4085805,31.71
9,-3709.7343565,31.37
10,-3619.419782,31.45
11,-3540.1165545000003,33.12
12,-3493.159487,32.85
13,-3593.5559815,33.61
14,-3536.779544,33.11
15,-3568.4299465,31.92
16,-3613.354877,31.8
17,-3535.472045,32.4
18,-3538.984964,33.0
19,-3505.6384884999998,32.04
20,-3608.6184749999998,32.78
21,-3663.4966759999998,31.5
22,-3665.0877290000003,33.05
23,-3652.312046,33.03
24,-3571.1237094999997,32.78
25,-3537.220628,32.92
26,-3574.2375525,33.58
27,-3542.1408149999997,34.33
28,-3517.2011905,33.36
29,-3617.7893464999997,34.71
30,-3583.0067225,34.25
31,-3527.6821865,34.66
32,-3571.2339805,33.84
33,-3638.2341149999997,33.26
34,-3594.3121254999996,34.22
35,-3581.4944345000004,32.95
36,-3588.7460655,32.82
37,-3564.9957925,33.16
38,-3588.8195794999997,33.41
39,-3572.460089,31.96
40,-3563.0765520000004,34.38
41,-3587.4910765,34.24
42,-3487.7430805,32.92
43,-3540.1218055,32.69
44,-3634.8971045000003,33.95
45,-3593.742392,33.58
46,-3564.06374,33.87
47,-3592.933738,33.82
48,-3619.482794,33.54
49,-3593.4745909999997,33.89
50,-3649.051175,34.55
51,-3646.8011214999997,34.21
52,-3642.3535245000003,33.71
53,-3750.4007260000003,34.57
54,-3632.5919154999997,34.94
55,-3733.35598,34.36
56,-3728.9897735,33.65
57,-3678.1180855000002,33.55
58,-3691.431996,34.45
59,-3676.0124345,33.9
60,-3654.5594739999997,34.65
61,-3689.331596,34.88
62,-3677.5299735000003,34.76
63,-3645.3203394999996,34.39
64,-3634.731698,35.3
65,-3654.0002425,34.72
66,-3733.608028,35.31
67,-3746.1894239999997,34.46
68,-3703.509296,34.53
69,-3717.4060675,34.33
70,-3725.6448864999998,35.22
71,-3718.857969,34.9
72,-3724.79685,35.26
73,-3772.8487509999995,35.06
74,-3668.4247395,35.41
75,-3587.7641285,34.98
76,-3731.2713329999997,34.57
77,-3722.8933625,34.66
78,-3671.8063835,34.91
79,-3647.6806639999995,34.42
80,-3678.509285,34.36
81,-3653.293983,35.29
82,-3558.2640104999996,34.29
83,-3561.1126779999995,34.92
84,-3669.1808834999997,36.1
85,-3553.8006605,34.36
86,-3637.0762695,34.35
87,-3631.2109025,34.73
88,-3619.1703595,35.14
89,-3536.7506635000004,35.06
90,-3570.795522,34.38
91,-3593.847412,34.81
92,-3622.8933185,34.79
93,-3650.5870925000004,34.91
94,-3678.1180855000002,35.18
95,-3644.4381715,35.51
96,-3694.4854524999996,34.56
97,-3659.9233705,35.37
98,-3645.0892955,36.14
99,-3581.7622355,36.24
100,-3668.4536200000002,35.51
101,-3562.6380935,35.7
102,-3569.7164415,35.81
103,-3647.8198155,34.69
104,-3538.2314455,36.58
105,-3541.7259860000004,36.27
106,-3577.080969,36.1
107,-3583.1064914999997,34.99
108,-3547.717377,35.12
109,-3633.156398,36.07
110,-3614.641372,36.18
111,-3642.5898195,36.39
112,-3588.123822,37.04
113,-3590.6705570000004,36.36
114,-3588.5412765,35.9
115,-3585.3040349999997,36.54
116,-3493.1306065,35.83
117,-3600.8811265,36.82
118,-3538.927203,35.49
119,-3602.8187455,36.39
120,-3643.3617165,36.7
121,-3635.9840615000003,37.23
122,-3604.3362845,35.99
123,-3585.5692105000003,36.67
124,-3579.9768954999995,36.84
125,-3560.9945305,34.75
126,-3657.447524,36.99
127,-3554.3861469999997,36.99
128,-3646.1079895000003,36.52
129,-3614.462838,37.39
130,-3627.0048515000003,35.72
131,-3639.8225425,36.03
132,-3648.9960395,35.79
133,-3591.9124185,36.16
134,-3617.3876450000002,35.93
135,-3658.3428195,36.18
136,-3595.3570745,34.97
137,-3619.2491244999997,36.51
138,-3541.290153,35.61
139,-3535.4615430000003,35.99
140,-3464.9353619999997,37.13
141,-3500.0540499999997,37.39
142,-3533.728713,37.08
143,-3543.306537,36.01
144,-3504.0290569999997,36.53
145,-3463.9192935,37.7
146,-3511.474975,37.08
147,-3427.5088595,36.34
148,-3533.166856,37.87
149,-3470.2782544999995,37.44
150,-3533.9466295,38.14
151,-3519.141435,37.43
152,-3518.4745580000003,36.25
153,-3522.491573,37.85
