model,Gsolv,timing
0,-5.760347,0.08
1,-4.9910755,0.08
2,-5.064589499999999,0.07
3,-4.6733899999999995,0.07
4,-5.235247,0.1
5,-5.193239,0.07
6,-4.7390275,0.06
7,-4.820418,0.08
8,-5.5634345,0.07
9,-5.781351,0.09
10,-5.279880500000001,0.08
11,-5.723590000000001,0.07
12,-4.941191,0.07
13,-5.187988,0.06
14,-6.316953000000001,0.08
15,-5.552932500000001,0.09
16,-5.0908445,0.09
17,-4.4948559999999995,0.08
18,-5.166984,0.09
19,-5.959885,0.07
20,-5.3113865,0.07
21,-4.8335455,0.08
22,-4.983199,0.09
23,-5.151231,0.09
24,-5.348143500000001,0.08
25,-5.6789565,0.09
26,-5.592315,0.06
27,-5.907374999999999,0.08
28,-4.6077525,0.08
29,-5.308761,0.08
30,-5.0042029999999995,0.08
31,-5.09347,0.08
32,-4.8282945,0.08
33,-4.626131,0.07
34,-5.361271,0.1
35,-5.251,0.08
36,-5.3218885,0.09
37,-5.4636655,0.08
38,-4.930689,0.06
39,-5.282506,0.08
40,-4.8230435,0.08
41,-4.836171,0.07
42,-5.6395740000000005,0.08
43,-5.30351,0.07
44,-4.77841,0.07
45,-3.78072,0.09
46,-5.114474,0.1
47,-5.7209645,0.08
48,-5.0042029999999995,0.07
49,-5.1748605,0.1
50,-4.7705335,0.08
51,-5.235247,0.09
52,-4.8965575,0.07
53,-4.4922305,0.09
54,-5.172235,0.08
55,-5.3691474999999995,0.06
56,-5.1958645,0.07
57,-5.2588765,0.08
58,-5.219494,0.09
59,-4.8965575,0.08
60,-4.662888,0.07
61,-5.442661500000001,0.08
62,-5.124976,0.09
63,-5.2063665,0.06
64,-4.8808045,0.08
65,-5.0724659999999995,0.08
66,-5.279880500000001,0.06
67,-5.4216575,0.08
68,-5.1906135,0.08
69,-5.3849005,0.08
70,-5.077717,0.08
71,-4.2139275000000005,0.06
72,-4.662888,0.08
73,-5.508299,0.07
74,-5.366522,0.09
75,-4.395087,0.09
76,-4.794163,0.09
