model,Gsolv,timing
0,-18258.67218,32.51
1,-18460.494365,32.54
2,-18226.956140000002,31.62
3,-18555.51121,32.14
4,-18369.6861965,33.5
5,-18912.526700000002,32.94
6,-18755.545429499998,32.84
7,-18793.901359,32.04
8,-18692.698836,32.3
9,-18867.079295,31.64
10,-18820.6158215,32.26
11,-18746.9547935,32.36
12,-19057.7352285,31.68
13,-18603.7390195,32.07
14,-18463.4112955,31.93
15,-18343.4311965,32.41
16,-18369.562798,31.27
17,-18310.693837,31.19
18,-18257.5510915,31.64
19,-18217.6749975,31.6
20,-18255.432313,32.27
21,-18611.219069000002,31.69
22,-18742.1133715,31.62
23,-19043.7885725,31.98
24,-18956.6797335,32.29
25,-18641.1891515,32.08
26,-18656.5955855,32.31
27,-19006.713887,31.86
28,-18757.905754,31.42
29,-18500.543742,31.31
30,-18782.837502,31.39
31,-18804.3849805,31.1
32,-18359.1264355,30.65
33,-18811.043248500002,32.53
34,-18502.796421000003,31.6
35,-18776.7332145,32.08
36,-18650.528055,31.82
37,-18658.32579,30.0
38,-18632.244072999998,31.52
39,-18462.8389365,30.78
40,-18552.061303000002,32.04
41,-18703.4660115,32.72
42,-18518.0584525,32.16
43,-18380.1461885,32.52
44,-18157.1677245,32.21
45,-18344.2766075,32.18
46,-18483.682781,31.51
47,-18501.919504,31.88
48,-18303.513094500002,32.42
49,-18382.75331,32.43
50,-18475.3678225,32.22
51,-18746.3246735,32.47
52,-18412.715516,32.25
53,-18554.9939865,32.91
54,-18486.5892095,32.41
55,-18546.264199,33.2
56,-18470.439759,33.08
57,-18647.3380725,32.02
58,-18372.529613,31.61
59,-18436.807104,32.31
60,-18493.924856499998,31.9
61,-18654.203755,30.17
62,-18659.7619385,32.89
63,-18653.274328,32.13
64,-18857.574985,33.16
65,-19022.390747499998,32.78
66,-19075.349708,32.3
67,-19115.7430255,32.37
68,-18996.4928155,31.53
69,-18830.490327,31.85
70,-19170.135509,31.95
71,-18664.800273,31.55
72,-18994.893886,31.18
73,-18843.602074,31.84
74,-18493.302613,31.1
75,-18143.6096425,30.55
76,-18775.654134,31.98
77,-19013.109605,32.92
78,-18939.0468755,33.09
79,-19204.2328775,30.98
80,-19300.523090000002,31.91
81,-19273.748241,32.6
82,-19400.2054485,32.83
83,-18709.4994105,31.72
84,-18695.9150735,31.92
85,-18735.568,31.91
86,-18979.0752485,32.45
87,-19093.3317575,32.48
88,-18924.126159,32.1
89,-19069.7232615,31.91
90,-18866.3887885,32.54
91,-19228.342844,32.23
92,-19294.5133205,32.14
93,-19480.616637,33.53
94,-19545.7684195,31.18
95,-19102.324095,32.12
96,-19109.457578499998,31.73
97,-19278.269352,32.68
98,-19432.202417,31.97
99,-19092.5808645,32.86
100,-19386.2430395,33.4
101,-19121.3195875,33.89
102,-18873.8924675,33.61
103,-19262.3666985,33.04
104,-19155.9079245,32.32
105,-19070.4426485,32.75
106,-19109.775264,32.02
107,-19540.955878,32.57
108,-18651.452231,32.17
109,-18893.124255,31.63
110,-19191.528083,32.02
111,-18874.443822499998,33.19
112,-18593.643972,32.12
113,-18873.359491,31.87
114,-18892.3497325,31.75
115,-19145.923148,31.53
116,-18988.566431,31.4
117,-18910.242515,31.92
118,-19001.410377,32.52
119,-18760.709788,30.98
120,-18853.1352645,31.05
121,-19090.078763,31.68
122,-19069.2401695,32.48
123,-18823.989589,31.16
124,-18906.010209,32.12
125,-18758.7222845,31.17
126,-18680.1043125,30.76
127,-18719.715231,32.15
128,-18279.686682,29.94
129,-18299.556466000002,29.98
130,-18268.612323,30.87
131,-18168.5623945,31.58
132,-18371.300879000002,30.31
133,-18390.191351499998,30.51
134,-18550.5726445,31.24
135,-18971.694968,31.23
136,-18347.2014145,31.37
137,-18343.935292500002,31.03
138,-18402.7517435,31.1
139,-18614.7031075,32.05
140,-18657.039295,31.07
141,-18312.12736,30.47
142,-18322.6477385,30.18
143,-18426.788196,30.02
144,-18275.648663,30.41
145,-18240.044257499998,30.64
146,-18586.891186,30.97
147,-18386.200591499997,30.85
148,-18337.852009,31.01
149,-18132.965865500002,30.77
150,-18597.209401,30.45
151,-18263.9415585,30.5
152,-18907.2415685,31.02
153,-18778.137856999998,31.31
154,-18635.2450195,31.56
155,-18834.5887325,31.65
156,-18598.7190635,30.75
157,-18918.2161585,31.03
158,-18693.6518925,31.7
159,-18769.96205,31.51
160,-19002.5052105,32.33
161,-18534.801266,31.51
162,-18495.5054075,30.23
163,-18522.928755,31.32
164,-18758.231315999998,31.8
165,-18557.039251,31.37
166,-18317.459750500002,31.04
167,-18353.983081000002,31.33
168,-18812.615923,32.2
169,-18662.657865,31.36
170,-18895.4478225,31.58
171,-18666.785151,31.58
172,-19102.8833265,32.22
173,-18720.5002555,31.92
174,-18432.95287,31.16
175,-18428.5394045,31.99
176,-18602.234608,31.96
177,-18494.8805385,31.69
178,-18504.1748085,31.22
179,-18730.285494,32.42
180,-18707.425265500002,31.43
181,-18831.9264755,32.02
182,-18412.542233,31.98
183,-18755.5086725,32.48
184,-18612.568576,32.19
185,-18194.326426,31.76
186,-18589.994527,32.54
187,-18646.332506,32.25
188,-18662.2614145,31.21
189,-18659.8932135,32.61
190,-18481.9840825,32.47
191,-18483.391350500002,30.6
192,-18414.143787999998,31.43
193,-18784.4311805,32.09
194,-18135.305185999998,32.54
195,-17959.6618615,31.8
196,-18057.356716500002,30.92
197,-18474.6169295,32.11
198,-18567.4441075,31.75
199,-18575.302229,32.25
200,-18495.240232,30.9
201,-18558.798336,32.06
202,-18563.0122635,32.0
203,-18298.7661905,32.2
204,-18423.1781335,31.48
205,-18502.4892375,32.34
206,-18319.615286,32.06
207,-18752.4210845,32.55
208,-18951.5652595,32.49
209,-18767.8642755,31.64
210,-18651.084661,31.78
211,-18463.9994075,32.24
212,-18825.559638000002,30.78
213,-18342.173582,30.14
214,-18377.9407685,31.23
215,-18494.171653499998,31.3
216,-18408.835027,30.78
217,-18673.7506025,31.76
218,-18748.706002,31.21
219,-18549.4016715,30.77
220,-18803.852004,30.86
221,-18470.179834500002,31.52
222,-19121.624145499998,30.91
223,-18448.2989175,32.66
224,-18570.691851,31.72
225,-18888.408857,32.05
226,-18893.2266495,31.79
227,-18845.752358499998,32.09
228,-18969.736344999998,32.34
229,-19492.5232795,31.56
