model,Gsolv,timing
0,0.441084,0.07
1,0.5251,0.07
2,0.6590005,0.07
3,0.36756999999999995,0.05
4,0.614367,0.06
5,0.4437095,0.06
6,0.745642,0.06
7,0.44896050000000004,0.06
8,0.1339005,0.07
9,0.78765,0.07
10,-0.330813,0.04
11,0.598614,0.08
12,-0.026255,0.07
13,0.057761,0.06
14,0.2651755,0.06
15,0.38332299999999997,0.06
16,0.131275,0.06
17,0.6931320000000001,0.07
18,0.4279565,0.05
19,-0.252048,0.07
20,0.598614,0.06
21,0.24942250000000002,0.07
22,1.029196,0.07
23,-0.267801,0.06
24,0.362319,0.06
25,1.1420925,0.05
26,1.0108175,0.06
27,0.3911995,0.08
28,0.351817,0.07
29,0.483092,0.06
30,1.128965,0.07
31,0.236295,0.07
32,0.540853,0.07
33,0.7220125000000001,0.07
34,0.178534,0.07
35,0.19166149999999998,0.05
36,0.39907600000000004,0.07
37,0.336064,0.06
38,0.5697335,0.05
39,0.31506,0.07
40,0.5487295,0.07
41,0.393825,0.07
42,0.866415,0.06
43,0.39645050000000004,0.05
44,0.1339005,0.06
45,0.026255,0.08
46,0.5776100000000001,0.04
47,0.6695025,0.07
48,1.0370725,0.07
49,0.6274945000000001,0.05
50,0.829658,0.06
51,-0.0288805,0.07
52,0.049884500000000005,0.06
53,0.8532875,0.06
54,-0.08664150000000001,0.06
55,0.8795425,0.07
56,0.39907600000000004,0.07
57,0.5487295,0.07
58,0.876917,0.07
59,0.808654,0.05
60,1.223483,0.06
61,0.204789,0.06
62,0.5776100000000001,0.07
63,-0.0708885,0.07
64,0.656375,0.05
65,0.651124,0.07
66,0.5277255000000001,0.07
67,1.0449490000000001,0.08
68,0.8322835000000001,0.05
69,0.724638,0.06
70,0.2756775,0.08
71,1.10271,0.08
72,0.514598,0.05
73,0.2126655,0.06
74,0.215291,0.05
75,0.34919150000000004,0.04
76,0.2389205,0.06
77,0.34919150000000004,0.05
78,0.456837,0.07
79,0.0026255,0.07
80,1.2681164999999999,0.07
81,0.8270325000000001,0.07
82,0.9399289999999999,0.06
83,0.813905,0.06
84,-0.0603865,0.05
85,0.866415,0.06
86,0.5251,0.07
87,0.588112,0.06
88,0.4437095,0.08
89,0.236295,0.09
90,0.231044,0.06
91,0.409578,0.04
92,0.7850245,0.07
93,0.5776100000000001,0.06
94,0.14440250000000002,0.06
95,0.41745449999999995,0.06
96,1.0790805,0.06
97,0.45158600000000004,0.05
98,0.336064,0.06
99,0.24942250000000002,0.06
100,0.913674,0.06
101,0.4647135,0.04
102,0.719387,0.07
103,-0.08664150000000001,0.06
104,1.081706,0.05
105,0.5329765,0.06
106,1.0790805,0.07
107,1.076455,0.06
108,0.9740605,0.06
109,0.47259,0.06
110,0.378072,0.07
111,0.4647135,0.08
112,0.9478055,0.05
113,0.7062594999999999,0.07
114,0.924176,0.07
115,0.593363,0.06
116,0.651124,0.07
117,0.9688095000000001,0.05
118,0.078765,0.07
119,0.6878810000000001,0.07
120,1.0423235,0.06
121,0.24417149999999999,0.07
122,0.462088,0.05
123,0.6379965,0.06
124,0.1286495,0.06
125,0.530351,0.05
126,1.0502,0.06
127,0.6379965,0.06
128,-0.047259,0.06
129,0.049884500000000005,0.07
130,0.36756999999999995,0.06
131,1.034447,0.05
132,0.351817,0.06
133,0.782399,0.08
134,0.4909685,0.07
135,0.236295,0.06
136,0.46996449999999995,0.06
137,0.6747535,0.06
138,0.9425545,0.06
139,-0.11289650000000001,0.07
140,0.861164,0.05
141,0.950431,0.06
142,0.0446335,0.08
143,0.6957575,0.08
144,0.49884500000000004,0.06
145,0.5461039999999999,0.06
146,0.9346779999999999,0.07
147,0.9346779999999999,0.06
148,0.189036,0.04
149,1.1000845,0.07
150,0.409578,0.08
151,0.8926700000000001,0.1
152,0.7351399999999999,0.06
153,0.677379,0.07
154,0.3281875,0.07
155,0.708885,0.07
156,0.3754465,0.07
157,0.829658,0.06
158,0.24417149999999999,0.05
159,0.6695025,0.04
160,0.850662,0.06
161,0.8060284999999999,0.07
162,0.6274945000000001,0.06
163,0.9320525000000001,0.08
164,0.635371,0.07
165,0.34919150000000004,0.07
166,1.113212,0.06
167,1.081706,0.07
168,0.483092,0.08
169,1.1263395,0.05
170,0.09189249999999999,0.07
171,0.4752155,0.07
172,0.49884500000000004,0.06
173,0.2284185,0.07
174,0.44633500000000004,0.06
175,0.5382275,0.07
176,0.6537495,0.05
177,1.013443,0.06
178,0.640622,0.07
179,0.645873,0.05
180,1.060702,0.05
181,0.94518,0.07
182,1.0528255,0.06
183,1.0502,0.06
184,0.6484985,0.06
185,0.39645050000000004,0.06
186,0.603865,0.07
187,0.6695025,0.07
