model,Gsolv,timing
0,-1922.7402915,31.83
1,-1951.707433,32.39
2,-1913.8450974999998,31.3
3,-1966.5913925,32.09
4,-1936.8234735,33.07
5,-2022.522419,32.81
6,-1994.27729,32.61
7,-2002.8075394999998,32.16
8,-1990.0423584999999,32.66
9,-2012.687296,32.03
10,-2007.8826310000002,32.08
11,-1995.3327410000002,32.24
12,-2042.4263345000002,31.94
13,-1977.652624,31.78
14,-1953.6004185000002,31.8
15,-1932.431012,31.83
16,-1938.726961,31.04
17,-1936.700075,31.03
18,-1924.6595320000001,31.48
19,-1914.8847955,31.53
20,-1924.01891,31.52
21,-1976.6155515,31.57
22,-1997.695691,31.58
23,-2039.409635,31.65
24,-2029.4091055000001,31.52
25,-1980.62469,31.76
26,-1980.5511760000002,32.12
27,-2034.4973245,31.8
28,-2002.4058380000001,30.9
29,-1962.776541,31.69
30,-2000.9329324999999,31.05
31,-2006.09204,30.85
32,-1942.6993425,30.64
33,-2004.4563535000002,32.29
34,-1955.9344879999999,31.34
35,-1998.709134,31.77
36,-1982.0030775,32.02
37,-1985.487116,29.84
38,-1974.5440319999998,31.52
39,-1955.451396,30.58
40,-1964.2546974999998,31.74
41,-1982.1606075,32.59
42,-1955.2308540000001,31.82
43,-1935.4267074999998,32.31
44,-1910.5500949999998,32.04
45,-1930.5537795,32.33
46,-1951.423879,31.35
47,-1955.656185,32.18
48,-1922.6457735,32.16
49,-1935.366321,32.16
50,-1941.9484495,32.1
51,-1988.8818875,32.25
52,-1943.620893,32.28
53,-1962.1569229999998,32.2
54,-1954.0677575,32.08
55,-1959.2137375,32.37
56,-1947.5985255,32.87
57,-1979.2436770000002,31.72
58,-1934.3423759999998,31.51
59,-1942.0744735,31.74
60,-1954.285674,31.8
61,-1976.5682925,30.41
62,-1975.9933079999998,32.76
63,-1978.2381105,32.14
64,-2010.1379355,32.82
65,-2034.2794079999999,32.88
66,-2041.819844,32.53
67,-2043.9386225,31.94
68,-2031.9978485000001,31.49
69,-2002.7970375,31.57
70,-2048.3862195,31.85
71,-1978.2748674999998,31.47
72,-2029.8449385000001,30.95
73,-2006.7825465,31.14
74,-1953.818335,31.01
75,-1901.1718090000002,30.36
76,-1993.048556,31.68
77,-2030.5800785,32.31
78,-2017.4315745000001,32.91
79,-2059.8964115,31.22
80,-2075.9618459999997,31.58
81,-2072.2100065,32.05
82,-2086.6450055,31.98
83,-1986.4506745,31.87
84,-1990.5517055,31.33
85,-1993.9254729999998,31.28
86,-2021.256928,32.11
87,-2048.0239005000003,32.27
88,-2025.6310110000002,32.47
89,-2043.521168,31.65
90,-2013.2255234999998,32.32
91,-2067.460477,31.89
92,-2072.1995045000003,31.87
93,-2101.119387,33.47
94,-2119.2694685,31.0
95,-2052.474123,32.27
96,-2048.9402,31.3
97,-2076.602468,32.32
98,-2098.7853175,31.69
99,-2045.0544599999998,32.23
100,-2091.966894,32.96
101,-2045.0544599999998,33.65
102,-2006.5830085,33.09
103,-2064.7640885,33.07
104,-2054.9919775,32.01
105,-2043.2638689999999,32.6
106,-2048.62514,31.79
107,-2109.0195165,32.3
108,-1978.545294,31.98
109,-2010.2902145,31.34
110,-2059.977802,32.37
111,-2010.760179,32.17
112,-1969.0882430000001,31.69
113,-2004.5141145,31.49
114,-2010.7890595000001,31.6
115,-2052.164314,31.18
116,-2027.311331,31.22
117,-2012.9052125,31.63
118,-2026.5263065,32.06
119,-1995.0701909999998,30.9
120,-2006.680152,30.96
121,-2038.4303235,31.44
122,-2035.9203455000002,32.28
123,-1996.666495,30.93
124,-2014.7876959999999,31.89
125,-1991.3866145,30.84
126,-1980.0680839999998,30.87
127,-1988.4696840000001,31.9
128,-1923.4281725,29.93
129,-1927.6604785000002,29.98
130,-1917.633694,30.58
131,-1905.0601745,31.11
132,-1936.0988355,30.23
133,-1932.378502,30.48
134,-1963.574693,30.94
135,-2020.0833295,31.51
136,-1932.5045260000002,31.17
137,-1937.1542865000001,30.73
138,-1941.8906885000001,30.54
139,-1969.2799045000002,31.35
140,-1978.109461,30.74
141,-1927.2220200000002,30.39
142,-1925.6756005,29.94
143,-1935.434584,29.76
144,-1923.1341165,30.15
145,-1917.0639605000001,30.37
146,-1966.8513169999999,30.25
147,-1937.6321275,30.57
148,-1927.2403985,30.65
149,-1901.276829,30.13
150,-1969.776124,30.08
151,-1922.737666,30.24
152,-2013.4513164999998,30.39
153,-2002.0461444999999,31.4
154,-1977.909923,30.99
155,-2006.1182950000002,31.2
156,-1974.5256534999999,30.27
157,-2021.5588604999998,30.42
158,-1985.5527534999999,30.98
159,-1999.486282,31.23
160,-2030.146871,32.42
161,-1961.6895840000002,31.05
162,-1951.208588,30.34
163,-1957.394266,31.11
164,-1988.9711545,31.52
165,-1963.9291355,31.18
166,-1930.262349,30.99
167,-1932.3916295000001,31.67
168,-1997.5775435,31.95
169,-1980.960754,31.22
170,-2014.708931,31.29
171,-1983.9774535000001,31.31
172,-2044.9809460000001,32.36
173,-1989.766681,31.34
174,-1948.01598,30.45
175,-1944.0409730000001,31.8
176,-1969.9047735,32.59
177,-1957.5334175,31.71
178,-1957.0398235,31.42
179,-1990.160506,32.0
180,-1991.6465389999998,31.46
181,-2005.3647765,31.76
182,-1947.7639319999998,31.7
183,-1993.5710304999998,32.41
184,-1970.8026945,32.07
185,-1910.917665,31.87
186,-1970.7423079999999,32.83
187,-1981.160292,31.67
188,-1979.553486,31.09
189,-1984.4920515,32.4
190,-1954.0204985,31.59
191,-1951.402875,30.86
192,-1943.631395,31.23
193,-1997.8059620000001,32.0
194,-1902.7733640000001,32.25
195,-1874.045143,31.99
196,-1891.0400045,30.68
197,-1955.8688505,32.47
198,-1966.5756394999999,31.68
199,-1970.059678,31.71
200,-1951.502644,30.7
201,-1969.986164,31.26
202,-1962.8841865000002,31.81
203,-1920.705529,31.97
204,-1938.8293555,31.21
205,-1954.117642,32.45
206,-1928.7159295,31.57
207,-1989.6432825,31.81
208,-2021.629749,32.26
209,-1995.348494,31.46
210,-1981.8429219999998,31.92
211,-1953.1383305,32.15
212,-2003.2538745,30.51
213,-1929.9656674999999,29.85
214,-1942.0482184999998,31.0
215,-1954.2305385,31.14
216,-1943.8204309999999,30.99
217,-1980.2860005,31.47
218,-1991.468005,31.04
219,-1968.6497845000001,30.39
220,-2003.5032970000002,30.36
221,-1953.47702,31.24
222,-2046.9579475,30.66
223,-1948.4491875,32.06
224,-1971.088874,31.72
225,-2013.8083845,31.64
226,-2019.2589225,31.79
227,-2016.557283,31.93
228,-2037.6899325,32.01
229,-2109.3818355000003,31.3
230,-2060.0959495,31.29
231,-1993.3819945,31.28
232,-2012.5035110000001,30.8
233,-2002.1275349999999,31.79
234,-1950.567966,31.06
235,-1959.0247015,30.61
236,-1953.6923109999998,30.53
237,-1981.8823045,31.04
238,-2004.3513335,30.73
239,-1994.5687205,30.93
