model,Gsolv,timing
0,-3550.8023395000005,27.7
1,-3544.5851555,28.82
2,-3518.9025145,27.37
3,-3447.748839,28.17
4,-3545.7009930000004,28.66
5,-3495.9083855,28.17
6,-3522.0636165,27.87
7,-3517.5004974999997,27.9
8,-3613.060821,27.71
9,-3561.5590129999996,27.08
10,-3523.5549005000003,27.86
11,-3673.0771255,27.07
12,-3564.053238,26.78
13,-3577.2516265,28.23
14,-3545.63273,27.11
15,-3621.268134,27.08
16,-3595.5382339999996,26.69
17,-3605.7776839999997,27.59
18,-3601.7527925,27.2
19,-3664.2475689999997,28.32
20,-3655.7698295,27.96
21,-3668.1726915,28.26
22,-3696.02137,28.29
23,-3666.967587,27.41
24,-3664.300079,27.47
25,-3681.9828215000002,28.56
26,-3647.433867,28.2
27,-3659.043828,28.4
28,-3688.4888105,28.86
29,-3707.3346495,27.84
30,-3613.916734,28.3
31,-3656.717635,27.97
32,-3712.7221755,28.55
33,-3659.8577330000003,28.21
34,-3806.8043425,28.77
35,-3676.036064,27.94
36,-3697.097825,27.97
37,-3711.0418555,29.02
38,-3722.8250995,28.8
39,-3693.0204235,27.95
40,-3710.3224685,27.85
41,-3787.504292,27.91
42,-3638.7145815,28.38
43,-3610.8475245,28.33
44,-3648.6967325,27.99
45,-3606.0428595000003,27.72
46,-3681.0638965,28.66
47,-3682.9017465,28.01
48,-3664.7962985000004,27.95
49,-3641.8625559999996,28.47
50,-3649.4161194999997,28.46
51,-3685.0073975,28.3
52,-3756.014045,28.6
53,-3630.5886590000005,28.29
54,-3657.762584,28.32
55,-3685.3224575,27.89
56,-3539.2081314999996,28.83
57,-3644.871379,27.98
58,-3624.665531,27.89
59,-3563.375859,27.56
60,-3650.6973635,27.64
61,-3683.2588145,27.66
62,-3671.34167,26.87
63,-3644.2911435,27.12
64,-3639.9170605,26.92
65,-3696.8589045,27.99
66,-3730.651715,27.0
67,-3641.62101,27.57
68,-3634.232853,27.84
69,-3574.8099115,27.43
70,-3658.3375684999996,27.33
71,-3739.9276065,27.68
72,-3641.6971495,28.06
73,-3564.8645175,27.19
74,-3586.2728445000002,27.06
75,-3554.953255,27.52
76,-3511.9764455000004,27.53
77,-3692.550459,27.29
78,-3667.9337709999995,27.85
79,-3720.7719585,27.19
80,-3690.7624935,27.19
81,-3624.7049134999997,27.56
82,-3680.58343,27.82
83,-3757.5289585,27.66
84,-3678.052448,28.74
85,-3605.7435525,28.75
86,-3622.1109195,27.3
87,-3584.9075844999998,28.42
88,-3597.9852,28.36
89,-3608.0487415000002,28.68
90,-3682.7573439999996,28.12
91,-3727.364589,29.0
92,-3697.2658570000003,29.03
93,-3594.083707,28.2
94,-3587.8008855000003,28.6
95,-3730.903763,28.68
96,-3713.2262715,29.16
97,-3696.75651,29.14
98,-3765.1639125,28.2
99,-3792.986336,27.88
100,-3702.6218769999996,27.5
101,-3735.3434835,27.42
102,-3816.6394655,27.99
103,-3776.445686,28.18
104,-3756.4577544999997,27.76
105,-3715.749377,27.93
106,-3784.579485,28.25
107,-3675.4610795000003,27.92
108,-3730.8197470000005,28.65
109,-3722.901239,27.79
110,-3722.17135,27.61
111,-3896.935132,28.69
112,-3829.9402485,28.59
113,-3763.6411224999997,28.81
114,-3798.25834,28.84
115,-3774.9780315,29.45
116,-3754.3022189999997,29.15
117,-3726.6110705,29.42
118,-3694.8110145,28.74
119,-3715.0693725,28.99
120,-3783.4688985,28.68
121,-3768.4405365,28.61
122,-3818.7766225,28.42
123,-3780.158143,29.65
124,-3686.2308805,28.46
125,-3726.3012615000002,29.77
126,-3806.6940715,29.64
127,-3712.1498165,29.55
128,-3808.902117,30.47
129,-3801.9445419999997,30.67
130,-3904.107998,28.53
131,-3894.519672,29.43
132,-3865.0326815,28.53
133,-3815.2610779999995,28.35
134,-3774.298027,28.34
135,-3828.992443,29.0
136,-3779.7826965,29.25
137,-3711.0681105,28.78
138,-3780.5992269999997,28.32
139,-3799.3032890000004,28.95
140,-3809.085902,28.7
141,-3783.5529145,28.15
142,-3770.3335220000004,28.97
143,-3840.5945275,28.89
144,-3819.5931530000003,28.7
145,-3764.0717045,28.47
146,-3763.2683015000002,28.68
147,-3747.1030979999996,28.19
148,-3779.1998355,28.53
149,-3768.0047035000002,29.37
150,-3710.6217755,28.44
151,-3695.149704,28.96
152,-3785.592928,29.24
153,-3774.8940155,29.32
154,-3811.055027,29.36
155,-3809.5033565,29.46
156,-3792.6161405,29.11
157,-3745.6301925000002,29.0
158,-3820.8927755,29.75
159,-3877.2885155,28.95
160,-3835.1019815,29.95
161,-3807.4869725,29.15
162,-3731.323843,29.69
163,-3773.7965565,30.16
164,-3748.4998640000003,29.95
165,-3798.4500015,28.39
166,-3780.0242425,29.19
167,-3683.361209,28.37
168,-3735.136069,28.97
169,-3752.637652,28.75
170,-3663.9220069999997,29.58
171,-3676.6110485,28.1
172,-3772.817245,27.44
173,-3726.8132339999997,28.76
174,-3719.7086310000004,28.24
175,-3738.5439680000004,27.99
176,-3716.4293815,29.07
177,-3747.045337,28.83
178,-3791.85212,28.66
179,-3745.0079490000003,28.81
180,-3776.057112,29.51
181,-3823.993491,29.48
182,-3823.5235264999997,29.72
183,-3840.4107424999997,29.6
184,-3841.6526040000003,29.99
185,-3763.617493,29.41
186,-3757.8597714999996,28.51
187,-3756.166324,27.41
188,-3778.0472409999998,28.68
189,-3829.7144555,28.52
190,-3790.0851585,27.93
191,-3720.533038,27.48
192,-3754.6907929999998,28.78
193,-3709.4403005000004,27.73
194,-3805.6701265,27.8
195,-3702.837168,27.12
196,-3673.9487915,27.8
197,-3726.456166,27.49
198,-3814.2555115000005,28.31
199,-3667.6265875,27.88
200,-3754.370482,27.57
201,-3898.8675000000003,28.45
202,-3749.7627295,28.53
203,-3874.7207765,28.77
204,-3789.7753495,29.17
205,-3769.0444015000003,29.28
206,-3817.5872710000003,29.66
207,-3789.021831,28.37
208,-3780.7173745,29.09
209,-3910.5194690000003,29.73
210,-3806.4997845,30.96
211,-3872.449719,30.02
212,-3834.2408175,30.14
213,-3830.0820255,30.28
214,-3773.73617,29.5
215,-3773.2819585,29.82
216,-3739.2502274999997,30.0
217,-3823.604917,29.94
218,-3931.1847795,29.18
219,-3964.526004,29.44
220,-3865.465889,28.86
221,-3822.869777,29.45
222,-3832.794167,28.6
223,-3880.651781,29.3
224,-3836.8663174999997,28.6
225,-3826.477214,29.1
226,-3835.7767350000004,29.16
227,-3897.197682,28.87
228,-3805.0610105,28.79
229,-3857.3163369999997,28.57
230,-3866.8337745,29.18
231,-3835.193874,29.66
232,-3787.294252,28.54
233,-3812.54106,28.41
234,-3766.327009,27.71
235,-3762.9112335,27.81
236,-3764.5416689999997,27.51
237,-3737.278477,27.41
238,-3672.8119500000003,27.16
239,-3762.2443565,28.26
240,-3663.0372135,27.55
241,-3728.278263,28.36
242,-3772.7148505,28.47
243,-3876.1569250000002,27.9
244,-3862.6487275000004,27.66
245,-3782.752137,28.74
246,-3737.8744655,28.83
247,-3739.683435,28.79
248,-3787.8902405,29.18
249,-3773.5943930000003,29.06
250,-3734.1410045,29.39
251,-3675.894287,29.04
252,-3730.5545715,29.14
253,-3812.2653825,28.8
254,-3773.5130025,28.59
255,-3791.7759804999996,28.46
256,-3742.3351900000002,28.74
257,-3750.7551685000003,29.14
258,-3714.5075155,28.49
259,-3729.333714,28.6
260,-3781.045562,28.63
261,-3701.513916,27.79
262,-3805.9904374999996,28.74
263,-3685.288326,28.84
264,-3704.937568,29.54
265,-3726.3668989999996,29.33
266,-3743.5928045,30.32
267,-3667.0831089999997,28.98
268,-3814.5731969999997,29.99
269,-3784.5190985,29.8
270,-3742.8629155,29.53
271,-3697.9379850000005,28.9
272,-3763.7146365000003,28.36
273,-3720.244233,28.29
274,-3790.791418,28.3
275,-3727.6796489999997,28.29
276,-3726.0570900000002,28.71
277,-3704.254938,28.55
278,-3622.754167,28.65
279,-3702.2936895,28.38
280,-3724.1168455,28.55
281,-3714.042802,28.74
282,-3689.8750745,29.21
283,-3610.3276754999997,28.24
284,-3610.37756,29.17
285,-3583.1747545000003,29.39
286,-3606.0376085,28.95
287,-3602.254263,28.72
288,-3583.9624045,28.69
289,-3604.911269,28.61
290,-3610.0283685,28.8
291,-3547.1108865,29.35
292,-3618.6557615,28.8
293,-3703.4856664999998,28.7
294,-3699.565795,30.18
295,-3673.6836160000003,29.24
296,-3584.3877355,29.39
297,-3623.310773,29.39
298,-3642.3850305,29.81
299,-3671.378427,29.82
300,-3732.6628480000004,28.66
301,-3749.3846575,30.38
302,-3655.3996340000003,30.17
303,-3654.2207845,29.67
304,-3684.5715645,29.26
305,-3730.977277,29.63
306,-3777.5405195000003,29.67
307,-3774.1221185,29.02
308,-3821.3233575,29.88
309,-3771.052909,29.89
310,-3767.3535795,29.85
311,-3717.1120115,29.83
312,-3663.9220069999997,30.15
313,-3763.7513935,30.46
314,-3703.976635,29.69
315,-3727.1624254999997,30.21
316,-3665.7414785,31.13
317,-3667.744735,30.8
318,-3618.4063389999997,31.7
319,-3562.5015674999995,30.72
320,-3694.65611,29.92
321,-3627.7399915,30.44
322,-3675.390191,31.57
323,-3765.1429085,31.22
324,-3785.209605,30.92
325,-3710.7084170000003,29.8
326,-3642.1959945000003,31.48
327,-3697.9038535,30.87
328,-3633.1905295,31.62
329,-3567.7998265,31.4
330,-3678.6641895000002,30.18
331,-3791.9387614999996,29.69
332,-3681.6336300000003,30.57
333,-3678.3753845,31.18
334,-3809.6503845,30.63
335,-3717.5740994999996,32.79
336,-3600.468923,31.08
337,-3664.5678799999996,30.38
338,-3556.4917979999996,30.24
339,-3591.5448485,29.21
340,-3625.5529500000002,30.05
341,-3621.92976,29.35
342,-3597.328825,30.64
343,-3590.518278,29.76
344,-3627.417055,30.74
345,-3635.05726,30.83
346,-3599.0800335,31.01
347,-3601.723912,31.29
348,-3613.0319405,31.41
349,-3692.3220405,30.63
350,-3657.1062090000005,30.45
351,-3646.5832050000004,31.0
352,-3736.6667355,31.45
353,-3577.4144075,30.41
354,-3632.4002539999997,30.71
355,-3667.849755,30.87
356,-3605.0294165,29.85
357,-3669.6482225,30.17
358,-3730.026846,31.79
359,-3681.812164,30.67
360,-3688.6410895000004,30.28
361,-3693.1989575000002,30.56
362,-3773.7230425000002,30.37
363,-3820.8612695,31.04
364,-3688.5623244999997,31.02
365,-3744.493351,31.45
366,-3734.35367,30.64
367,-3751.3747865,30.97
368,-3720.9426160000003,31.68
369,-3697.6413035,31.81
370,-3711.7402385,31.22
371,-3777.3829895,30.66
372,-3798.6600415000003,31.43
373,-3798.022045,30.79
374,-3780.026868,30.36
375,-3795.5934575,29.77
376,-3830.0032605,30.01
377,-3708.8863199999996,28.55
378,-3731.9198315,29.42
379,-3787.4097739999997,29.23
380,-3743.9052389999997,30.01
381,-3749.7994865,29.71
382,-3714.483886,29.57
383,-3720.428018,29.67
384,-3766.4083995,28.34
385,-3754.895582,29.08
386,-3731.974967,29.65
387,-3771.6121405,29.54
388,-3821.021425,29.68
389,-3681.927686,29.61
390,-3695.5986645,29.34
391,-3735.0494274999996,29.65
392,-3736.3096674999997,29.33
393,-3757.169265,28.67
394,-3842.6791745,28.67
395,-3879.33378,29.5
396,-3863.4547559999996,30.0
397,-3884.0071700000003,28.72
398,-3833.314016,30.48
399,-3832.1299155,29.5
400,-3900.174999,29.36
401,-3846.9429864999997,29.56
402,-3880.567765,28.92
403,-3876.750288,28.42
404,-3871.7119535,28.99
405,-3802.3436180000003,29.02
406,-3881.2425184999997,29.63
407,-3945.4727505,29.72
408,-3892.125216,29.56
409,-3942.4980589999996,29.45
410,-3881.5890845,28.8
411,-3885.4196890000003,28.64
412,-3872.8671735000003,28.89
413,-3924.4319935,29.36
414,-3863.822326,28.46
415,-3864.1006289999996,28.37
416,-3911.506657,29.3
417,-3845.617109,28.85
418,-3808.2273635,28.41
419,-3876.477236,28.91
420,-3877.4512965,29.01
421,-3920.4307314999996,29.38
422,-3929.7355034999996,29.2
423,-3971.1133834999996,30.45
424,-3875.9573870000004,30.27
425,-3964.92508,29.74
426,-3991.804949,30.43
427,-3963.2762660000003,30.38
428,-4016.300864,29.98
429,-3936.406899,29.55
430,-3929.11326,30.67
431,-3937.7327765,30.37
432,-3948.7966334999996,31.11
433,-4017.177781,30.74
434,-3958.035768,29.49
435,-3921.7933660000003,29.24
436,-3885.440693,30.67
437,-3827.4145175000003,30.03
438,-3893.9919465000003,30.9
439,-3889.6546204999995,29.69
440,-3789.2502495,29.4
441,-3759.2250315,28.9
442,-3806.3422545,29.85
443,-3845.0158695,29.38
444,-3744.393582,29.59
445,-3811.863681,30.06
446,-3813.785547,28.95
447,-3803.4016945,51.09
448,-3771.3338375000003,29.79
449,-3804.7380740000003,29.99
450,-3848.61543,29.22
451,-3765.1009005,30.19
452,-3770.5461875,30.39
453,-3763.4625885,30.27
454,-3670.9005859999997,29.64
455,-3695.8480870000003,29.12
456,-3805.0583850000003,28.25
457,-3824.497587,29.68
458,-3772.764735,28.74
459,-3797.6886065000003,29.45
460,-3845.905914,29.04
461,-3776.8867699999996,29.91
462,-3810.955258,29.88
463,-3693.50089,29.81
464,-3735.4905115,30.69
465,-3659.989008,28.08
466,-3719.8687864999997,28.6
467,-3772.6728425,29.23
468,-3823.2399724999996,29.5
469,-3777.6192845,29.9
470,-3801.6294820000003,30.19
471,-3713.1553830000003,29.96
472,-3662.4622289999998,30.22
473,-3699.5736715,29.8
474,-3675.7446335,29.24
475,-3683.2483125000003,29.85
476,-3724.823105,29.7
477,-3781.5995424999996,29.32
478,-3699.466026,28.69
479,-3736.433066,28.96
480,-3677.858161,28.17
481,-3807.6550045,29.43
482,-3756.9671015,28.21
483,-3735.519392,30.12
484,-3811.049776,29.57
485,-3715.912158,29.08
486,-3783.24048,29.95
487,-3822.0322425,30.26
488,-3826.5376005000003,30.49
489,-3816.720856,30.54
490,-3841.9046519999997,31.99
491,-3817.8261915,31.18
492,-3822.1950235,31.03
493,-3838.081924,31.3
494,-3714.174077,30.9
495,-3807.55261,30.91
496,-3719.7847705,30.96
497,-3802.6665545,30.32
498,-3901.0597925,30.06
499,-3767.9259385,28.99
500,-3775.873327,29.96
501,-3850.878611,31.48
502,-3886.7875745,30.78
503,-3826.4798395000003,31.35
504,-3874.2403099999997,30.42
505,-3830.3472009999996,30.32
506,-3786.4120839999996,31.75
507,-3769.3988440000003,32.15
508,-3738.2814180000005,31.56
509,-3761.8715355,31.43
510,-3846.6856875,31.4
511,-3747.454915,30.48
512,-3731.7596759999997,30.39
513,-3736.6352294999997,29.09
514,-3730.1476190000003,31.52
515,-3735.918468,30.56
516,-3717.1277644999996,30.36
517,-3747.2475005,30.28
518,-3745.354515,29.4
519,-3816.369039,31.28
520,-3830.6648864999997,31.47
521,-3756.5443960000002,30.73
522,-3778.4410660000003,30.36
523,-3802.5405305,31.61
524,-3783.3113685,31.32
525,-3818.2672755000003,31.79
526,-3749.8519965,31.55
527,-3714.6414160000004,30.68
528,-3769.0233975,31.16
529,-3751.408918,30.09
530,-3709.301149,30.72
531,-3772.691221,31.04
532,-3806.008816,30.51
533,-3841.8416399999996,30.62
534,-3849.256052,30.7
535,-3814.436671,31.73
536,-3769.509115,31.11
537,-3777.2464635,31.37
538,-3805.903796,31.81
539,-3763.050385,31.9
540,-3784.826282,30.27
541,-3871.9745035,29.43
542,-3775.0883025000003,30.26
543,-3818.957782,30.39
544,-3802.9606105000003,30.5
545,-3843.6348565,30.56
546,-3918.9394475,29.73
547,-3846.7329465000003,30.78
