model,Gsolv,timing
0,-6.642515,0.05
1,-6.731782,0.06
2,-6.9286945,0.06
3,-7.640205,0.06
4,-5.9467575,0.05
5,-6.9076905,0.05
6,-6.5059890000000005,0.05
7,-6.3117019999999995,0.06
8,-8.186309,0.05
9,-6.9129415,0.04
10,-7.1282325,0.06
11,-7.120356,0.05
12,-7.1177304999999995,0.07
13,-6.768539,0.08
14,-6.1751759999999996,0.05
15,-6.440351499999999,0.08
16,-6.6766465,0.06
17,-6.51124,0.06
18,-6.8656825,0.07
19,-7.157113000000001,0.06
20,-5.8574905,0.06
21,-6.618885499999999,0.07
22,-6.7344075,0.07
23,-6.6083835,0.07
24,-6.445602500000001,0.06
25,-5.949382999999999,0.08
26,-7.088850000000001,0.06
27,-7.82399,0.06
28,-5.7629725,0.05
29,-6.876184499999999,0.07
30,-7.0022085,0.08
31,-8.212564,0.07
32,-6.348459,0.06
33,-7.729472,0.06
34,-6.303825499999999,0.05
35,-6.211933,0.05
36,-7.0494674999999996,0.05
37,-6.469232,0.06
38,-6.595256,0.05
39,-6.3405825,0.05
40,-6.713403499999999,0.05
41,-6.3563355,0.05
42,-6.978579000000001,0.05
43,-7.3881570000000005,0.05
44,-7.0284635,0.06
45,-6.77379,0.05
46,-7.40391,0.06
47,-6.7344075,0.06
48,-6.6031325,0.05
49,-7.212248499999999,0.05
50,-6.952324000000001,0.05
51,-6.768539,0.06
52,-7.0599695,0.05
53,-7.5246830000000005,0.05
54,-7.104603,0.06
55,-6.7239055,0.06
56,-7.7058425,0.06
57,-7.251631000000001,0.05
58,-6.1515465,0.07
59,-6.1778015,0.06
60,-6.122666,0.07
61,-7.010085,0.05
62,-7.356650999999999,0.06
63,-6.419347500000001,0.06
64,-6.8604315,0.07
65,-5.5581835,0.06
66,-7.0389655,0.05
67,-6.487610500000001,0.06
68,-6.0465265,0.06
69,-7.025838,0.07
70,-6.621511,0.06
71,-6.4561044999999995,0.06
72,-6.6241365000000005,0.06
73,-7.367153,0.06
74,-7.6953405,0.05
75,-6.894563,0.06
76,-7.2017465000000005,0.04
77,-6.1147895,0.07
78,-6.9234435,0.05
79,-6.9707025,0.06
80,-6.9707025,0.06
81,-7.052093,0.06
