model,Gsolv,timing
0,-1935.72864,30.49
1,-1929.7661295,31.92
2,-1915.0895845,30.51
3,-1867.8253335,31.29
4,-1930.6115404999998,32.04
5,-1899.7409115,31.65
6,-1919.6316995000002,31.43
7,-1913.0259415,30.89
8,-1975.9539255,31.22
9,-1938.6928295,30.17
10,-1915.5884294999998,30.94
11,-2010.224577,30.39
12,-1938.6298175,29.73
13,-1947.905709,31.49
14,-1926.665414,30.02
15,-1976.744201,30.03
16,-1960.4214675,29.78
17,-1964.5303749999998,30.53
18,-1962.1490465,30.09
19,-2001.4265265,31.24
20,-1998.8902935,30.98
21,-2008.917078,31.41
22,-2026.6864620000001,31.55
23,-2007.6017024999999,30.24
24,-2002.9913245,30.73
25,-2014.2100859999998,31.57
26,-1996.0048689999999,31.48
27,-2001.6812,31.36
28,-2021.5641115,31.98
29,-2035.3348589999998,30.99
30,-1973.53584,31.65
31,-1997.1364595,30.76
32,-2037.1858365,31.91
33,-2005.8321155,30.97
34,-2096.6219054999997,32.06
35,-2015.3679315,30.76
36,-2030.493437,31.09
37,-2039.8848504999999,31.84
38,-2043.757463,31.81
39,-2025.0455244999998,31.45
40,-2039.1392085,30.9
41,-2082.856409,31.12
42,-1994.770884,31.67
43,-1976.2794875,31.0
44,-1999.291995,31.56
45,-1969.2326455,31.25
46,-2017.0351240000002,31.73
47,-2016.7699485,31.69
48,-2011.2879045000002,31.44
49,-1994.072501,31.66
50,-1999.244736,31.75
51,-2018.9622410000002,31.56
52,-2065.2891885,32.1
53,-1984.258382,31.4
54,-2007.7539815,31.22
55,-2022.364889,31.14
56,-1929.380181,32.18
57,-1998.2181655,31.09
58,-1984.5865695,31.18
59,-1943.2900800000002,30.68
60,-1999.5729235,30.71
61,-2020.0465725000001,30.89
62,-2011.9784109999998,29.82
63,-1995.9812395000001,30.17
64,-1995.0229319999999,30.41
65,-2029.4904960000001,31.78
66,-2052.6185255,30.23
67,-1989.6905414999999,31.12
68,-1992.4866989999998,30.82
69,-1951.1560780000002,30.56
70,-2002.4924795,30.41
71,-2057.609601,30.78
72,-1992.0639935,30.93
73,-1941.573003,30.23
74,-1956.4385840000002,30.47
75,-1938.2307415,30.92
76,-1908.7647550000002,30.67
77,-2023.1420369999998,30.47
78,-2008.9879664999999,31.04
79,-2041.368258,30.33
80,-2025.0560265,30.33
81,-1982.3181375,30.66
82,-2020.8342225000001,30.97
83,-2067.665266,30.84
84,-2019.9940625000002,32.0
85,-1969.7314905,31.86
86,-1977.6815045,30.63
87,-1955.4225155000001,31.63
88,-1968.122059,31.97
89,-1971.713743,31.86
90,-2021.8791715,31.37
91,-2051.61821,32.17
92,-2032.5570799999998,32.07
93,-1966.18444,31.24
94,-1959.2452435,31.85
95,-2046.2228075,32.32
96,-2038.5458455,32.33
97,-2030.073357,32.5
98,-2073.3809795,31.56
99,-2092.3029579999998,31.02
100,-2032.7487414999998,30.58
101,-2052.8285655,30.87
102,-2103.723883,31.27
103,-2081.942735,31.21
104,-2069.350837,30.95
105,-2040.942927,30.96
106,-2083.680816,31.62
107,-2017.029873,31.35
108,-2051.5578235,31.5
109,-2046.619258,31.0
110,-2045.3012569999999,30.68
111,-2155.283452,31.92
112,-2115.533382,31.42
113,-2075.1085585,32.21
114,-2094.508378,32.25
115,-2081.2259735,32.99
116,-2067.6915209999997,32.72
117,-2048.1971835,32.6
118,-2032.037231,32.37
119,-2042.591741,32.58
120,-2086.3929574999997,32.52
121,-2076.8886475,31.8
122,-2108.838357,31.9
123,-2081.8508425,32.81
124,-2024.4495359999999,31.69
125,-2049.8932565,33.28
126,-2102.731444,33.2
127,-2044.6711369999998,33.15
128,-2098.8010704999997,33.6
129,-2094.6685335,34.49
130,-2167.124457,31.99
131,-2153.267068,33.17
132,-2137.9814069999998,32.04
133,-2108.234492,31.57
134,-2082.7120065,31.86
135,-2117.4053635,32.62
136,-2089.404406,32.2
137,-2042.644251,32.1
138,-2084.615494,31.28
139,-2095.915646,32.26
140,-2103.1488985,32.2
141,-2086.337822,31.42
142,-2078.062246,32.23
143,-2121.9264745,32.07
144,-2110.0592145,31.75
145,-2073.7222945,31.26
146,-2073.294338,31.95
147,-2064.498913,31.36
148,-2084.1980395,31.68
149,-2077.148572,32.56
150,-2040.9192974999999,31.82
151,-2034.3555475,32.22
152,-2085.844228,32.62
153,-2081.8429659999997,32.49
154,-2105.0077525,32.31
155,-2102.2772325,32.63
156,-2093.9281425,32.49
157,-2066.242245,32.74
158,-2111.2301875,33.08
159,-2147.275677,32.21
160,-2121.1860834999998,33.44
161,-2106.029072,32.33
162,-2056.170827,33.03
163,-2082.604361,33.78
164,-2062.22523,32.89
165,-2095.09649,31.0
166,-2085.9781285,32.21
167,-2024.4469104999998,31.74
168,-2056.6145364999998,32.82
169,-2065.979695,32.35
170,-2012.4142439999998,32.98
171,-2017.8621565,31.61
172,-2081.2259735,30.91
173,-2052.1564375,32.19
174,-2044.875926,31.79
175,-2055.9739145,31.3
176,-2046.440724,32.37
177,-2064.619686,31.6
178,-2091.8802525,32.01
179,-2062.009939,31.76
180,-2083.96437,32.44
181,-2110.245625,32.76
182,-2115.8090595,33.32
183,-2120.595346,32.67
184,-2125.000935,33.58
185,-2073.451868,32.89
186,-2069.0121475,31.79
187,-2069.8601839999997,30.8
188,-2085.366387,31.53
189,-2117.36073,32.57
190,-2094.314091,31.69
191,-2048.3389604999998,30.69
192,-2069.8628095,32.38
193,-2039.6328024999998,31.1
194,-2103.7107555,30.77
195,-2037.692558,30.45
