model,Gsolv,timing
0,-72.8760035,0.08
1,-72.1618675,0.06
2,-69.73328000000001,0.07
3,-68.8904945,0.05
4,-75.4699975,0.07
5,-73.545506,0.04
6,-71.2114365,0.06
7,-74.375164,0.06
8,-69.344706,0.05
9,-72.5504415,0.07
10,-69.649264,0.07
11,-76.0108505,0.06
12,-73.53237850000001,0.05
13,-70.4290375,0.05
14,-74.7033515,0.06
15,-70.6075715,0.06
16,-72.274764,0.06
17,-67.7825335,0.06
18,-72.642334,0.07
19,-69.7516585,0.07
20,-73.6794065,0.07
21,-67.7457765,0.06
22,-69.812045,0.08
23,-68.6121915,0.06
24,-73.0335335,0.08
25,-72.4664255,0.08
26,-70.09559899999999,0.08
27,-71.6735245,0.07
28,-68.373271,0.05
29,-70.872747,0.06
30,-74.054853,0.07
31,-71.2902015,0.08
32,-74.0994865,0.05
33,-72.873378,0.06
34,-69.78578999999999,0.06
35,-71.445106,0.05
36,-71.9387,0.06
37,-77.5966525,0.07
38,-72.2721385,0.06
39,-72.67384,0.07
40,-69.8724315,0.06
41,-69.41822,0.07
42,-69.985328,0.07
43,-74.7033515,0.07
44,-70.95676300000001,0.05
45,-69.791041,0.06
46,-71.492365,0.07
47,-72.180246,0.06
48,-73.0965455,0.06
49,-71.261321,0.06
50,-70.4762965,0.05
51,-72.5399395,0.06
52,-70.998771,0.05
53,-67.41758899999999,0.07
54,-72.001712,0.07
55,-71.392596,0.06
56,-72.76310699999999,0.06
57,-69.8671805,0.07
58,-68.6489485,0.06
59,-72.4821785,0.07
60,-76.7144845,0.08
61,-69.129415,0.06
62,-71.3059545,0.07
63,-70.0614675,0.06
64,-78.696737,0.06
65,-71.15892649999999,0.06
66,-70.3397705,0.06
67,-71.7522895,0.07
68,-70.9331335,0.06
69,-73.272454,0.06
70,-74.24914,0.05
71,-69.964324,0.06
72,-73.2015655,0.06
73,-72.73422649999999,0.07
74,-74.79261849999999,0.06
75,-67.176043,0.06
76,-72.500557,0.06
77,-72.9652705,0.06
78,-67.6722625,0.06
79,-71.875688,0.05
80,-70.03258699999999,0.05
81,-73.892072,0.06
82,-72.027967,0.06
83,-68.651574,0.05
84,-69.712276,0.06
85,-73.47986850000001,0.06
86,-69.8461765,0.07
87,-71.41097450000001,0.06
88,-72.28001499999999,0.07
89,-75.9530895,0.06
90,-71.39522149999999,0.07
91,-74.9133915,0.07
92,-69.008642,0.06
93,-69.475981,0.05
94,-72.017465,0.06
95,-73.109673,0.05
96,-71.7680425,0.05
97,-69.3105745,0.06
98,-78.5680875,0.07
99,-72.7027205,0.06
100,-72.52681199999999,0.06
101,-73.167434,0.06
102,-68.877367,0.07
103,-68.851112,0.06
104,-69.5468695,0.06
105,-68.66470149999999,0.06
106,-73.823809,0.06
107,-72.3193975,0.05
108,-72.3193975,0.05
109,-69.822547,0.05
110,-68.7907255,0.06
111,-72.668589,0.05
112,-73.036159,0.07
113,-71.83368,0.07
114,-71.6262655,0.06
115,-70.421161,0.05
116,-72.6554615,0.05
117,-75.0341645,0.08
118,-75.278336,0.06
119,-72.20387550000001,0.05
120,-72.5451905,0.06
121,-70.064093,0.06
122,-73.7371675,0.07
123,-71.30858,0.07
124,-73.414231,0.07
125,-69.3210765,0.07
126,-72.2616365,0.06
127,-70.983018,0.07
128,-74.57207650000001,0.05
129,-69.444475,0.06
130,-70.295137,0.06
131,-67.863924,0.06
132,-73.272454,0.06
133,-69.2213075,0.06
134,-71.37159199999999,0.06
135,-72.1986245,0.06
136,-73.114924,0.06
137,-74.1309925,0.06
138,-73.4221075,0.06
139,-78.849016,0.06
140,-72.0095885,0.06
141,-72.1618675,0.07
142,-71.55012599999999,0.07
143,-72.80248950000001,0.06
144,-73.319713,0.06
145,-71.6525205,0.06
146,-71.4057235,0.06
147,-72.8549995,0.07
148,-74.537945,0.08
149,-70.1822405,0.05
150,-71.8100505,0.05
151,-74.14412,0.05
152,-72.1776205,0.06
153,-73.4588645,0.06
154,-72.511059,0.08
155,-71.334835,0.06
156,-72.9705215,0.05
157,-69.2213075,0.06
158,-70.2347505,0.05
159,-72.41129,0.06
160,-72.3456525,0.06
161,-69.9039375,0.08
162,-71.6262655,0.07
163,-70.6495795,0.06
164,-73.3590955,0.06
165,-68.9062475,0.07
166,-70.8123605,0.07
167,-70.557687,0.07
168,-73.036159,0.05
169,-69.481232,0.06
170,-72.301019,0.05
171,-75.288838,0.06
172,-70.5130535,0.06
173,-71.859935,0.07
174,-72.9652705,0.06
175,-68.7802235,0.08
176,-71.382094,0.06
177,-73.120175,0.06
178,-71.7522895,0.06
179,-70.856994,0.06
180,-72.62133,0.06
181,-73.6794065,0.05
182,-75.34922449999999,0.06
183,-71.4792375,0.06
184,-66.6535685,0.06
185,-70.1769895,0.06
186,-69.722778,0.07
187,-69.1792995,0.07
188,-73.9892155,0.05
189,-70.53930849999999,0.06
190,-72.7289755,0.06
191,-72.89438200000001,0.05
192,-73.5743865,0.06
193,-71.114293,0.08
194,-68.121223,0.06
195,-70.899002,0.07
196,-70.05621649999999,0.06
197,-72.0305925,0.06
198,-73.23307150000001,0.06
199,-70.599695,0.07
200,-70.10085000000001,0.06
201,-75.0604195,0.07
202,-69.6676425,0.08
203,-69.5521205,0.07
204,-69.276443,0.06
205,-72.2248795,0.05
206,-72.873378,0.05
207,-69.9196905,0.05
208,-74.905515,0.05
209,-72.6817165,0.06
210,-71.8100505,0.06
211,-73.08866900000001,0.06
212,-71.880939,0.05
213,-73.80805600000001,0.07
214,-73.676781,0.06
215,-70.73359549999999,0.05
216,-69.491734,0.06
217,-73.445737,0.04
218,-72.169744,0.06
219,-67.58037,0.06
220,-69.9774515,0.05
221,-70.972516,0.07
222,-69.623009,0.06
223,-69.2895705,0.06
224,-72.2721385,0.06
225,-71.765417,0.06
226,-69.145168,0.05
227,-70.52618100000001,0.06
228,-72.2931425,0.05
229,-73.482494,0.06
230,-72.98102349999999,0.06
231,-75.178567,0.06
232,-70.8753725,0.07
233,-72.080477,0.05
234,-71.403098,0.06
235,-71.9728315,0.06
236,-73.76342249999999,0.04
237,-71.46611,0.08
238,-75.3334715,0.06
239,-70.5340575,0.06
240,-76.00297400000001,0.06
241,-73.6321475,0.06
242,-72.164493,0.07
243,-75.60127250000001,0.06
244,-71.660397,0.07
245,-71.8835645,0.06
246,-74.6613435,0.06
247,-70.757225,0.07
248,-69.040148,0.06
249,-72.8077405,0.06
250,-69.2633155,0.07
251,-72.799864,0.07
252,-71.62364,0.06
253,-75.5277585,0.04
254,-78.18739000000001,0.06
255,-69.974826,0.06
256,-70.195368,0.06
257,-70.8123605,0.07
258,-71.592134,0.06
259,-70.9646395,0.06
260,-73.1595575,0.07
261,-70.2137465,0.06
262,-68.56230699999999,0.06
263,-74.30165,0.07
264,-73.68728300000001,0.07
265,-71.649895,0.06
266,-71.954453,0.05
267,-74.023347,0.06
268,-73.6899085,0.06
269,-72.700095,0.07
270,-73.0335335,0.05
271,-71.418851,0.07
272,-74.0784825,0.06
273,-74.989531,0.06
274,-73.498247,0.07
275,-77.8907085,0.06
276,-69.444475,0.07
277,-73.0282825,0.06
278,-78.6678565,0.05
279,-75.5015035,0.07
280,-73.00990399999999,0.06
281,-73.25145,0.06
282,-77.131939,0.06
283,-74.6665945,0.07
284,-71.99121,0.05
285,-75.65903349999999,0.06
286,-73.8264345,0.07
287,-70.7178425,0.06
288,-73.07291599999999,0.06
289,-74.9553995,0.07
290,-76.4466835,0.08
291,-70.8176115,0.05
292,-73.4011035,0.06
293,-71.09591449999999,0.06
294,-72.67384,0.06
295,-70.70996600000001,0.07
296,-71.298078,0.06
297,-69.8356745,0.06
298,-69.959073,0.06
299,-70.352898,0.06
300,-72.243258,0.05
301,-69.896061,0.06
302,-74.7716145,0.06
303,-76.722361,0.08
304,-75.530384,0.07
305,-74.543196,0.06
306,-73.083418,0.07
307,-70.499926,0.07
308,-71.8468075,0.05
309,-68.9272515,0.07
310,-73.63477300000001,0.07
311,-73.25145,0.07
312,-73.419482,0.08
313,-72.50318250000001,0.06
314,-76.91139700000001,0.05
315,-75.03679,0.06
316,-73.167434,0.05
317,-70.9436355,0.06
318,-73.319713,0.07
319,-70.99352,0.05
320,-73.739793,0.08
321,-75.792934,0.06
322,-76.4991935,0.06
323,-70.7073405,0.07
324,-74.5642,0.04
325,-74.0207215,0.06
326,-74.585204,0.05
327,-72.9022585,0.06
328,-69.4103435,0.06
329,-74.543196,0.06
330,-72.479553,0.07
331,-74.07323149999999,0.07
332,-73.62427100000001,0.05
333,-75.782432,0.06
334,-73.93408000000001,0.07
335,-73.8999485,0.06
336,-74.742734,0.06
337,-72.122485,0.07
338,-73.23307150000001,0.06
339,-76.580584,0.06
340,-71.088038,0.05
341,-76.76962,0.06
342,-74.0469765,0.06
343,-70.421161,0.06
344,-78.1322545,0.05
345,-67.58037,0.05
346,-75.41748750000001,0.06
347,-73.440486,0.07
348,-69.743782,0.06
349,-71.64201849999999,0.06
350,-75.80343599999999,0.06
351,-71.95707850000001,0.06
352,-72.93376450000001,0.07
353,-78.37117500000001,0.06
354,-71.639393,0.06
355,-70.883249,0.07
356,-74.4145465,0.06
357,-72.7447285,0.07
358,-73.6006415,0.06
359,-76.654098,0.06
360,-69.512738,0.06
361,-70.8386155,0.06
362,-75.357101,0.06
363,-73.923578,0.05
364,-73.193689,0.07
365,-70.5130535,0.07
366,-73.23307150000001,0.07
367,-75.8585715,0.06
368,-75.2232005,0.07
369,-74.112614,0.07
370,-73.9997175,0.06
371,-75.84281849999999,0.07
372,-74.243889,0.08
373,-73.9734625,0.05
374,-74.758487,0.06
375,-71.508118,0.06
376,-73.393227,0.07
377,-75.4332405,0.07
378,-76.03448,0.06
379,-74.128367,0.05
380,-77.92484,0.06
381,-69.74640749999999,0.06
382,-70.9541375,0.06
383,-78.8516415,0.07
384,-74.175626,0.06
385,-74.285897,0.07
386,-74.38304049999999,0.07
387,-70.179615,0.06
388,-78.0692425,0.06
389,-74.2360125,0.06
390,-71.74966400000001,0.07
391,-73.535004,0.07
392,-71.5632535,0.06
