model,Gsolv,timing
0,-3862.6566040000002,34.13
1,-3902.306905,33.71
2,-3828.225797,33.57
3,-3800.715808,34.1
4,-3869.0234415,34.21
5,-3919.9528905,33.85
6,-3791.2718845,33.25
7,-3834.2171879999996,34.2
8,-3888.2289739999997,34.99
9,-3897.087411,34.53
10,-3871.08971,34.83
11,-3816.600083,33.82
12,-3819.3489815,33.78
13,-3856.6468345000003,33.05
14,-3855.38922,32.5
15,-3801.3117965,32.09
16,-3827.648187,32.33
17,-3822.738502,33.76
18,-3791.972893,32.98
19,-3780.4180675000002,32.11
20,-3657.1035835,32.84
21,-3700.5398555,32.97
22,-3794.2281974999996,33.26
23,-3782.9254199999996,33.05
24,-3744.5012275,32.53
25,-3748.888438,31.97
26,-3824.09326,31.7
27,-3831.0849664999996,32.3
28,-3872.223926,32.02
29,-3804.6593089999997,32.37
30,-3850.206483,32.64
31,-3806.334378,32.28
32,-3752.5877674999997,32.48
33,-3755.8433875,31.76
34,-3867.634552,31.91
35,-3715.5970979999997,31.0
36,-3724.7102084999997,31.08
37,-3777.091559,32.86
38,-3828.7377695,32.07
39,-3759.3694339999997,32.82
40,-3731.0376635,32.87
41,-3760.2200959999996,31.73
42,-3692.109375,33.48
43,-3743.758211,32.34
44,-3741.4819024999997,31.57
45,-3744.131032,31.38
46,-3735.9263444999997,31.43
47,-3758.902095,31.3
48,-3772.7306035,30.39
49,-3722.8671074999997,31.29
50,-3675.4164459999997,31.52
51,-3752.5615125000004,31.67
52,-3749.2428805,30.82
53,-3733.7839365,32.01
54,-3704.5201134999998,31.18
55,-3733.0199159999997,30.92
56,-3815.7100385,30.98
57,-3779.5201465,31.6
58,-3713.6621044999997,31.55
59,-3717.4375735,31.24
60,-3716.1589550000003,30.98
61,-3769.440852,31.32
62,-3742.9416805,31.43
63,-3769.992207,31.37
64,-3741.5081575,30.76
65,-3785.367135,30.95
66,-3755.4443115,30.81
67,-3777.8030695,31.48
68,-3766.463535,32.08
69,-3715.670612,31.79
70,-3782.0747579999997,31.83
71,-3786.464594,33.09
72,-3751.5690735000003,30.7
73,-3733.518761,30.77
74,-3613.4992795,30.44
75,-3690.9410275,31.41
76,-3781.2634785,31.01
77,-3686.0969800000003,31.84
78,-3727.6218879999997,31.93
79,-3701.1594735,32.81
80,-3796.8852035,32.05
