model,Gsolv,timing
0,-2093.5290664999998,38.51
1,-2122.1942755,38.28
2,-2072.291397,37.85
3,-2052.111804,38.47
4,-2097.244149,39.22
5,-2130.987075,38.41
6,-2050.1137985,38.35
7,-2074.6228410000003,39.01
8,-2109.583999,39.8
9,-2115.4467405,39.92
10,-2101.0379965,40.12
11,-2066.2133645,37.93
12,-2066.4837909999997,38.38
13,-2090.659395,37.36
14,-2089.173362,36.53
15,-2053.9207735,36.37
16,-2073.551637,36.12
17,-2069.5319965,37.8
18,-2050.289707,37.36
19,-2047.107601,36.33
20,-1968.6629120000002,36.77
21,-1998.4124525,36.64
22,-2056.4858870000003,37.22
23,-2046.8214215,36.79
24,-2026.618199,36.68
25,-2027.3192075,35.78
26,-2075.9014595,35.83
27,-2077.5817795000003,36.42
28,-2106.144594,36.44
29,-2058.780574,36.43
30,-2088.4986085,36.85
31,-2058.8278330000003,36.64
32,-2023.1184075,36.26
33,-2026.917506,36.0
34,-2100.4078765,36.12
35,-2001.2007335,35.17
36,-2011.259024,35.48
37,-2044.1040289999999,36.53
38,-2075.363232,36.03
39,-2032.1921355,36.64
40,-2013.5773405,37.23
41,-2033.86983,35.58
42,-1991.6859215,37.5
43,-2024.544054,36.33
44,-2023.2916905,35.63
45,-2022.454156,35.96
46,-2016.5362790000001,35.6
47,-2032.4494345,35.81
48,-2038.942296,33.88
49,-2006.4937415000002,35.4
50,-1977.484592,35.67
51,-2028.0806025,35.92
52,-2026.450167,34.68
53,-2017.239913,36.21
54,-1997.706193,35.3
55,-2016.9589845,35.35
56,-2068.3583980000003,35.4
57,-2045.127974,35.93
58,-2002.2509335,35.66
59,-2004.380214,35.36
60,-2005.5013024999998,35.06
61,-2040.7985245,35.39
62,-2019.980935,35.54
63,-2039.6853125,35.65
64,-2022.1601,34.68
65,-2053.35104,35.05
66,-2028.9575194999998,34.76
67,-2045.831608,35.74
68,-2037.9813629999999,35.98
69,-2001.8938655,36.11
70,-2047.076095,36.4
71,-2050.174185,36.92
72,-2027.2194385,34.29
73,-2014.1286954999998,34.66
74,-1938.8634869999999,34.43
75,-1985.4424824999999,35.52
76,-2046.3015724999998,35.02
77,-1987.6479025,35.96
78,-2011.2301435,36.08
79,-1994.3613059999998,37.1
