model,Gsolv,timing
0,-3667.9416475000003,29.06
1,-3686.6509605,28.58
2,-3683.3900895,28.9
3,-3596.8273544999997,29.01
4,-3643.9235734999997,28.16
5,-3694.8031379999998,29.09
6,-3685.8528085,28.99
7,-3757.8387675,28.94
8,-3691.8231955,30.13
9,-3741.7339505,29.44
10,-3657.1088345,29.01
11,-3730.026846,28.18
12,-3712.2154539999997,27.7
13,-3671.924531,28.09
14,-3712.7169245,29.75
15,-3640.738842,29.11
16,-3591.9754305,29.16
17,-3671.7670009999997,29.2
18,-3690.7756210000002,29.24
19,-3710.115054,29.14
20,-3717.5032109999997,29.2
21,-3756.675671,29.12
22,-3740.4763359999997,30.49
23,-3727.1361705,30.13
24,-3685.4904895,30.58
25,-3687.751045,30.72
26,-3760.3408689999997,30.01
27,-3840.94897,29.43
28,-3797.029606,29.51
29,-3818.8291325,29.45
30,-3715.6994925,29.93
31,-3750.0410325,29.88
32,-3662.3073244999996,30.27
33,-3716.6814295,29.55
34,-3747.9563855,28.64
35,-3716.2088395,29.15
36,-3666.5737620000004,30.05
37,-3670.470004,29.62
38,-3694.1703925,30.63
39,-3696.845777,29.57
40,-3615.3161255,31.23
41,-3720.391261,30.61
42,-3695.0656879999997,28.93
43,-3597.2736895,29.48
44,-3605.824943,28.76
45,-3602.3199004999997,29.02
46,-3633.235163,29.2
47,-3585.5692105000003,28.59
48,-3691.6184065,28.53
49,-3652.7846360000003,28.58
50,-3579.8088635,28.3
51,-3676.7502000000004,28.34
52,-3647.6596600000003,28.75
53,-3685.661147,28.41
54,-3606.029732,28.41
55,-3649.266466,28.69
56,-3613.7959610000003,28.2
57,-3665.1008565,29.89
58,-3592.4900285,29.8
59,-3658.6316245000003,28.77
60,-3638.4100235,28.42
61,-3696.2314100000003,28.73
62,-3629.732746,28.5
63,-3690.5944615,28.4
64,-3640.208491,28.47
65,-3750.542503,27.81
66,-3773.1296795,28.67
67,-3818.091367,28.04
68,-3828.362323,28.4
69,-3834.007148,29.62
70,-3636.8399745,29.18
71,-3725.710524,29.34
72,-3747.7515965000002,27.94
73,-3723.69414,28.26
74,-3774.20876,28.2
75,-3753.1128674999995,27.94
76,-3801.1096330000005,28.68
77,-3720.7929625,28.96
78,-3706.287075,27.93
79,-3676.54016,27.55
80,-3705.268381,29.18
81,-3731.969716,27.7
82,-3685.188557,28.92
83,-3759.432446,28.38
84,-3753.1496245000003,29.54
85,-3825.1513365,29.54
86,-3800.2405925000003,28.95
87,-3790.633888,28.1
88,-3748.3607125,28.3
89,-3710.435365,28.06
90,-3704.9716995,27.88
91,-3727.448605,29.4
92,-3637.0526400000003,28.4
93,-3707.421291,29.45
94,-3764.814721,29.67
95,-3761.9975595,29.84
96,-3708.266702,29.04
97,-3651.1857065,29.13
98,-3608.744499,28.37
99,-3556.906627,29.01
100,-3710.398608,28.42
101,-3691.4556255,28.9
102,-3685.5482505,28.15
103,-3701.0702065000005,27.56
104,-3766.978133,28.04
105,-3679.685509,27.92
106,-3609.0359295,28.2
107,-3656.3605669999997,27.58
108,-3646.0371010000003,27.81
109,-3589.877656,28.09
110,-3598.5995669999998,26.75
111,-3680.656944,27.42
112,-3614.3866985,26.96
113,-3599.1299179999996,27.33
114,-3606.3526684999997,28.07
115,-3620.097161,27.39
116,-3697.9143555,26.78
117,-3654.685498,28.83
118,-3693.6820495,27.15
119,-3654.496462,27.86
120,-3648.631095,27.55
121,-3586.2308365,27.46
122,-3551.3379415,26.9
123,-3629.3467975,26.56
124,-3641.489735,26.78
125,-3599.2323125000003,27.15
126,-3681.2844385,26.59
127,-3630.3339855000004,27.54
128,-3587.908531,26.55
129,-3571.630431,27.79
130,-3518.38004,27.1
131,-3577.5745629999997,27.47
132,-3502.8370800000002,28.25
133,-3519.8529455,27.9
134,-3571.8483475,27.42
135,-3572.559858,26.3
136,-3636.2781174999996,27.68
137,-3678.803341,27.23
138,-3699.4318945,27.38
139,-3687.288957,26.9
140,-3646.430926,28.38
141,-3583.9098944999996,28.34
142,-3746.7434045,29.98
143,-3764.8961114999997,28.89
144,-3748.4079715000003,29.08
145,-3695.9714855,29.16
146,-3664.720159,27.85
147,-3634.4507695,28.11
148,-3507.3083065,27.93
149,-3573.011444,29.19
150,-3576.267064,30.0
151,-3594.2123564999997,29.99
152,-3550.1459645,28.55
153,-3570.7718925000004,28.82
154,-3570.3990715,29.85
155,-3575.054083,30.5
156,-3655.231602,29.75
157,-3604.5568265,30.63
158,-3578.66152,31.12
159,-3546.89297,30.99
160,-3584.2695879999997,31.23
161,-3548.1217039999997,30.04
162,-3640.534053,30.64
163,-3674.1745845,30.45
164,-3657.8859825000004,31.7
165,-3670.8375739999997,29.96
166,-3658.8232860000003,29.47
167,-3675.8417769999996,29.67
168,-3711.5617045,29.31
169,-3668.5560145,29.59
170,-3660.10453,29.24
171,-3586.90559,29.38
172,-3698.9225475,29.79
173,-3660.225303,29.58
174,-3617.7893464999997,30.01
175,-3645.4122319999997,28.81
176,-3647.0689225,28.68
177,-3621.2812615,31.08
178,-3679.5358555000003,29.49
179,-3633.9886815,29.11
180,-3567.0909415,28.58
181,-3641.20093,29.81
182,-3611.4067560000003,30.81
183,-3666.4923715,30.57
184,-3690.9672825000002,29.51
185,-3684.358899,30.62
186,-3705.830238,29.46
187,-3685.4458560000003,30.33
188,-3620.926819,30.14
189,-3701.1069635000003,29.72
190,-3637.3073135000004,30.27
191,-3725.8916835,29.99
192,-3680.3287565,29.78
193,-3647.5625165,28.93
194,-3704.5988785,29.76
195,-3750.5530049999998,30.72
