model,Gsolv,timing
0,-10.333968,0.05
1,-10.3943545,0.06
2,-9.525314,0.06
3,-10.102924,0.06
4,-10.480996,0.06
5,-10.307713,0.05
6,-9.719601,0.06
7,-10.830187500000001,0.06
8,-10.129178999999999,0.06
9,-11.247641999999999,0.07
10,-10.7986815,0.05
11,-10.890573999999999,0.07
12,-10.23945,0.07
13,-9.9375175,0.06
14,-9.774736500000001,0.06
15,-10.4993745,0.07
16,-11.3290325,0.06
17,-9.593577,0.06
18,-11.3605385,0.07
19,-10.643777,0.05
20,-10.425860499999999,0.06
21,-11.0402275,0.07
22,-10.08192,0.08
23,-10.1895655,0.07
24,-10.368099500000001,0.06
25,-10.685785,0.07
26,-8.968708000000001,0.06
27,-9.044847500000001,0.06
28,-11.13212,0.06
29,-10.420609500000001,0.08
30,-11.546949,0.06
31,-9.987402,0.08
32,-11.032351,0.05
33,-10.7356695,0.06
34,-10.6516535,0.06
35,-11.567953000000001,0.06
36,-12.1849455,0.05
37,-9.997904,0.07
38,-10.491498000000002,0.06
39,-10.1790635,0.06
40,-11.34216,0.05
41,-10.171187,0.06
42,-10.6621555,0.06
43,-10.6726575,0.04
44,-10.249952,0.07
45,-10.937833000000001,0.05
46,-11.2345145,0.05
47,-11.3027775,0.06
48,-10.368099500000001,0.06
49,-8.910947,0.07
50,-10.116051500000001,0.05
51,-9.8692545,0.06
52,-9.6224575,0.07
53,-10.323466,0.06
54,-11.092737499999998,0.06
55,-10.349721,0.05
56,-10.911578,0.06
57,-10.811809,0.07
58,-9.8272465,0.05
59,-11.273897,0.06
60,-10.9509605,0.06
61,-10.641151500000001,0.07
62,-11.638841500000002,0.06
63,-10.570263,0.06
64,-9.8745055,0.06
65,-10.874820999999999,0.05
66,-10.0897965,0.06
67,-10.423234999999998,0.06
68,-10.8144345,0.05
69,-10.123928,0.05
70,-10.8564425,0.05
71,-10.9299565,0.05
72,-11.058606,0.06
73,-9.782613,0.04
74,-10.139681,0.06
75,-10.39698,0.07
76,-10.032035500000001,0.04
77,-10.473119500000001,0.06
78,-11.263395000000001,0.07
79,-10.5886415,0.06
80,-11.200383,0.06
81,-9.745856,0.04
82,-10.2630795,0.06
83,-10.108175000000001,0.06
84,-11.0664825,0.07
85,-11.024474499999998,0.04
86,-9.979525500000001,0.06
87,-10.284083500000001,0.06
88,-9.7222265,0.05
89,-10.000529499999999,0.05
90,-10.6201475,0.06
91,-9.6802185,0.06
92,-9.068477,0.06
93,-10.8039325,0.06
94,-11.2660205,0.06
95,-10.3786015,0.05
96,-11.827877500000001,0.06
97,-11.3710405,0.06
98,-11.746486999999998,0.04
99,-10.284083500000001,0.06
100,-10.780303,0.06
101,-10.5938925,0.05
102,-9.9427685,0.07
103,-10.13443,0.06
104,-10.407482,0.06
105,-10.638526,0.05
106,-11.3290325,0.06
107,-10.402231,0.06
108,-11.179378999999999,0.06
109,-10.318215,0.06
110,-10.0267845,0.06
111,-10.475745,0.06
112,-10.528255,0.07
113,-10.2263225,0.05
114,-10.4993745,0.06
115,-9.824621,0.04
116,-11.008721499999998,0.06
117,-10.830187500000001,0.05
118,-9.4518,0.04
119,-10.137055499999999,0.05
120,-11.4077975,0.06
121,-10.4311115,0.05
122,-10.995594,0.07
123,-10.1580595,0.05
124,-9.929641,0.07
125,-10.0267845,0.05
126,-10.557135500000001,0.06
127,-9.842999500000001,0.05
128,-11.137371,0.06
129,-10.144931999999999,0.06
130,-10.596518,0.04
131,-10.4626175,0.05
132,-10.102924,0.06
133,-10.541382500000001,0.07
134,-9.1761225,0.06
135,-11.39467,0.05
136,-10.412733,0.06
137,-10.420609500000001,0.05
138,-11.3867935,0.06
139,-10.299836500000001,0.06
140,-10.685785,0.07
141,-9.5226885,0.05
142,-10.165936,0.06
143,-10.045163,0.07
144,-10.1738125,0.05
145,-9.934892,0.07
146,-9.9532705,0.06
147,-11.189881,0.06
148,-10.7461715,0.06
149,-10.436362500000001,0.07
150,-11.2660205,0.04
151,-11.536447,0.06
152,-10.898450500000001,0.05
153,-12.2742125,0.05
154,-10.4153585,0.07
155,-10.045163,0.06
156,-10.478370499999999,0.05
157,-9.814119,0.06
158,-10.845940500000001,0.06
159,-9.992653,0.07
160,-9.6539635,0.05
161,-10.328717,0.07
162,-11.7963715,0.05
163,-11.0822355,0.06
164,-9.9217645,0.07
165,-9.871879999999999,0.06
166,-10.013657,0.06
167,-10.486247,0.05
168,-10.181689,0.07
169,-10.6043945,0.07
170,-10.2368245,0.07
171,-10.609645500000001,0.07
172,-9.8902585,0.05
173,-11.024474499999998,0.06
174,-10.8511915,0.06
175,-9.625083,0.07
176,-10.160685,0.07
177,-10.486247,0.05
178,-10.761924500000001,0.06
179,-10.5518845,0.06
180,-10.000529499999999,0.06
181,-11.483937000000001,0.06
182,-9.60933,0.05
183,-10.549259,0.06
184,-10.276207,0.06
185,-11.418299499999998,0.04
186,-10.906327,0.06
187,-9.8219955,0.04
188,-10.680534,0.06
189,-9.7432305,0.06
190,-10.677908500000001,0.04
191,-10.2105695,0.07
192,-8.937202,0.07
193,-10.459992,0.07
194,-11.187255500000001,0.06
195,-10.23945,0.07
196,-10.318215,0.05
197,-11.567953000000001,0.06
198,-10.0215335,0.04
199,-10.0215335,0.06
200,-9.362533,0.06
201,-10.2945855,0.07
202,-10.916829,0.05
203,-9.183999,0.06
204,-10.234199,0.04
205,-10.622773,0.06
206,-9.1813735,0.05
207,-9.5121865,0.07
208,-9.099983,0.07
209,-10.047788500000001,0.05
210,-9.814119,0.07
211,-10.8826975,0.04
212,-11.665096499999999,0.07
213,-10.5256295,0.04
214,-13.0513605,0.06
215,-10.381227,0.06
216,-9.688095,0.06
217,-11.476060499999999,0.06
218,-10.706789,0.05
219,-11.1032395,0.06
220,-10.764550000000002,0.07
221,-10.2000675,0.05
222,-9.987402,0.06
223,-9.698597,0.05
224,-10.223697,0.07
225,-9.2128795,0.07
226,-10.016282499999999,0.07
227,-10.7041635,0.06
228,-10.2945855,0.05
229,-10.08192,0.06
230,-9.7852385,0.06
231,-10.302462,0.05
232,-11.804248,0.05
233,-9.8114935,0.06
234,-10.628024000000002,0.06
235,-9.7642345,0.07
236,-10.032035500000001,0.07
237,-9.895509500000001,0.05
238,-10.6201475,0.06
239,-11.042853,0.06
240,-10.580765,0.05
241,-11.021849000000001,0.07
242,-11.691351500000001,0.07
243,-9.955896,0.07
244,-10.1055495,0.05
245,-11.478686,0.06
246,-10.024159000000001,0.06
247,-11.3447855,0.06
248,-11.008721499999998,0.06
249,-9.8219955,0.05
250,-9.551569,0.05
251,-9.8797565,0.08
252,-9.7432305,0.06
253,-10.937833000000001,0.06
254,-10.265705,0.08
255,-10.068792499999999,0.04
256,-10.068792499999999,0.06
257,-10.2000675,0.06
258,-11.9171445,0.06
259,-10.811809,0.05
260,-9.7852385,0.07
261,-10.444239,0.06
262,-11.0139725,0.06
263,-9.911262500000001,0.04
264,-11.0454785,0.07
265,-9.934892,0.07
266,-10.084545499999999,0.06
267,-11.336908999999999,0.06
268,-10.0792945,0.07
269,-10.5361315,0.05
270,-9.8219955,0.07
271,-10.6884105,0.06
272,-10.5833905,0.05
273,-10.528255,0.05
274,-10.591267,0.06
275,-11.205634,0.05
276,-10.596518,0.07
277,-10.55451,0.06
278,-10.13443,0.05
279,-10.3628485,0.06
280,-10.39698,0.07
281,-10.0740435,0.06
282,-10.546633499999999,0.06
283,-10.932582,0.06
284,-10.549259,0.07
285,-10.643777,0.05
286,-11.242391000000001,0.07
287,-9.5279395,0.06
288,-11.3290325,0.06
289,-10.465243,0.06
290,-11.5075665,0.06
291,-10.365474,0.06
292,-11.158375000000001,0.05
293,-9.5384415,0.05
294,-9.966398,0.07
295,-10.887948499999998,0.06
296,-10.003155,0.06
297,-10.1213025,0.06
298,-11.063857,0.05
299,-11.0297255,0.07
300,-10.307713,0.06
301,-10.822311,0.05
302,-11.7963715,0.06
303,-10.575514,0.06
304,-11.6440925,0.04
305,-10.0950475,0.07
306,-9.0553495,0.06
307,-9.997904,0.06
308,-10.018908,0.06
309,-10.284083500000001,0.06
310,-10.1265535,0.06
311,-10.08192,0.06
312,-10.5203785,0.05
313,-9.8219955,0.06
314,-10.2000675,0.07
315,-9.903386000000001,0.06
316,-9.7327285,0.06
317,-11.536447,0.06
318,-10.1528085,0.04
319,-10.465243,0.06
320,-9.572573,0.07
321,-10.733044,0.07
322,-11.447180000000001,0.07
323,-10.591267,0.04
324,-8.9923375,0.06
325,-10.23945,0.05
326,-10.7199165,0.06
327,-9.706473500000001,0.06
328,-10.7199165,0.07
329,-9.6434615,0.07
330,-10.1633105,0.06
331,-10.5886415,0.07
332,-10.268330500000001,0.06
333,-9.362533,0.06
334,-10.9247055,0.06
335,-11.0402275,0.04
336,-10.3208405,0.06
337,-9.8692545,0.07
338,-10.218446,0.05
339,-10.312964000000001,0.06
340,-10.6726575,0.06
341,-11.830502999999998,0.05
342,-10.8091835,0.06
343,-10.706789,0.07
344,-11.024474499999998,0.06
345,-10.5833905,0.04
346,-11.1820045,0.06
347,-9.152493,0.06
348,-10.123928,0.07
349,-10.830187500000001,0.06
350,-9.614581,0.07
351,-9.3546565,0.06
352,-10.617522,0.05
353,-10.281458,0.06
354,-10.4836215,0.06
355,-10.7829285,0.06
356,-9.824621,0.06
357,-10.223697,0.06
358,-10.2000675,0.07
