model,Gsolv,timing
0,-2011.5977135,31.96
1,-2023.719647,31.27
2,-2020.353756,32.09
3,-1964.81918,33.01
4,-1996.036375,31.47
5,-2028.765858,32.25
6,-2021.361948,32.44
7,-2066.0584599999997,31.73
8,-2026.408159,33.76
9,-2054.50626,32.57
10,-2001.4002715,31.92
11,-2047.3255175,31.47
12,-2038.574726,31.02
13,-2009.562951,31.41
14,-2039.252105,33.74
15,-1992.297663,32.46
16,-1963.144111,32.76
17,-2010.130059,32.37
18,-2025.788541,32.6
19,-2034.1350055,33.09
20,-2045.0150775,32.09
21,-2063.469717,32.58
22,-2057.299792,34.69
23,-2043.6655705,34.19
24,-2016.8487135,33.8
25,-2021.5273544999998,34.39
26,-2063.7663985,33.64
27,-2118.6866075000003,32.89
28,-2092.056161,32.87
29,-2106.0684545,32.57
30,-2040.5412255,33.63
31,-2063.4040795,33.29
32,-2004.2568155,34.0
33,-2043.2349885,33.15
34,-2063.2465495,32.05
35,-2041.9852505,32.29
36,-2008.7516715000002,33.93
37,-2012.3223515000002,32.6
38,-2024.3550180000002,34.03
39,-2030.1915045,33.17
40,-1979.847542,34.7
41,-2043.957001,34.93
42,-2031.905956,32.27
43,-1965.617332,33.08
44,-1972.5749070000002,32.16
45,-1966.9904685000001,32.02
46,-1989.6485335,32.92
47,-1954.4668335,32.26
48,-2024.381273,31.74
49,-2004.3434570000002,31.79
50,-1957.0450745,31.64
51,-2018.7285715,32.16
52,-1993.3373609999999,32.5
53,-2026.9988965,31.76
54,-1969.933654,31.67
55,-1997.1732165,32.01
56,-1976.2689854999999,32.02
57,-2010.2324535,33.57
58,-1965.6015790000001,32.62
59,-2006.0316535,32.44
60,-1993.3084804999999,31.31
61,-2028.1829970000001,32.01
62,-1983.843553,31.67
63,-2024.9877635,31.46
64,-1994.01474,31.6
65,-2061.2222890000003,30.84
66,-2074.6044625,31.52
67,-2105.446211,31.16
68,-2111.1724265000003,31.83
69,-2112.3932839999998,33.05
70,-1991.9274675000001,32.61
71,-2044.4007105,32.71
72,-2057.2078995,31.37
73,-2046.162421,31.89
74,-2076.9306555,31.16
75,-2062.7949635,31.29
76,-2090.7775425,31.5
77,-2042.696761,32.34
78,-2034.1822645,30.5
79,-2014.903218,30.38
80,-2028.4166665,32.27
81,-2046.8818079999999,30.76
82,-2019.0278785,32.11
83,-2065.2524315,31.76
84,-2062.6059275,33.15
85,-2105.70351,33.37
86,-2093.0302215,32.74
87,-2086.154037,31.12
88,-2058.3237369999997,31.9
89,-2034.473695,31.35
90,-2027.1826815000002,31.32
91,-2044.245806,32.87
92,-1987.298711,31.49
93,-2028.928639,32.59
94,-2066.068962,33.28
95,-2068.4581670000002,33.23
96,-2031.711669,32.45
97,-1994.345553,32.6
98,-1967.5890825000001,32.06
99,-1937.8342910000001,32.42
100,-2037.4825179999998,31.77
101,-2025.736031,32.33
102,-2016.8539644999998,31.01
103,-2027.0829124999998,30.57
104,-2071.6586515,31.22
105,-2017.6731205,31.43
106,-1970.0465505,31.51
107,-2001.5998095,30.59
108,-1998.8692895000001,30.79
109,-1963.4880515,31.08
110,-1963.3882825,30.02
111,-2014.0866875,30.53
112,-1976.1272084999998,29.88
113,-1964.76667,30.75
114,-1970.920842,31.06
115,-1980.9712559999998,30.94
116,-2031.2338280000001,29.58
117,-2002.5554915,32.23
118,-2028.1803714999999,30.25
119,-2001.1954825,31.0
120,-2000.5128525000002,30.52
121,-1960.6866429999998,30.72
122,-1940.8247355,30.33
123,-1986.3325269999998,29.52
124,-1995.2487250000001,29.89
125,-1968.416115,30.13
126,-2022.039327,29.83
127,-1990.0738645,30.39
128,-1962.288198,29.65
129,-1949.722555,31.07
130,-1913.0469455,30.05
131,-1952.0618754999998,30.64
132,-1907.0949369999998,31.37
133,-1913.296368,30.76
134,-1945.2670815000001,30.04
135,-1950.909281,29.26
136,-1989.65641,30.62
137,-2016.242223,30.31
138,-2026.04584,30.55
139,-2020.4561505,29.69
140,-1994.650111,31.76
141,-1952.0776285000002,31.93
142,-2056.522644,33.72
143,-2071.04691,32.02
144,-2056.963728,32.28
145,-2026.082597,32.74
146,-2006.9820845,31.36
147,-1985.5159965,31.32
148,-1905.9659720000002,30.94
149,-1943.3452155,32.66
150,-1951.7468155,33.37
151,-1962.130668,34.08
152,-1933.7516385000001,32.02
153,-1944.8785075,32.07
154,-1942.801737,32.88
155,-1946.718983,33.95
156,-1996.813523,33.2
157,-1969.0646135,34.47
158,-1948.5489565,34.93
159,-1929.406436,34.89
160,-1955.1022045,34.76
161,-1933.2764229999998,33.57
162,-1991.3446065,34.54
163,-2013.5038265,33.97
164,-2002.0356425,35.65
165,-2008.386727,33.69
166,-2003.4534124999998,33.29
167,-2012.9577225,33.25
168,-2033.8356985,32.77
169,-2007.4126665000001,33.04
170,-2002.31132,32.72
171,-1958.3551989999999,33.33
172,-2028.8866309999999,33.33
173,-2003.6792054999999,32.78
174,-1977.1616555,33.68
175,-1995.2644779999998,32.52
176,-1995.915602,32.54
177,-1980.6063115,34.41
178,-2018.316368,33.07
179,-1991.91434,33.04
180,-1942.4604219999999,32.22
181,-1991.399742,33.31
182,-1975.84628,34.74
183,-2008.838313,34.25
184,-2026.444916,32.94
185,-2020.8368480000001,34.3
186,-2032.6437215,33.37
187,-2021.6008685,34.06
188,-1979.112402,33.84
189,-2029.479994,33.39
190,-1987.9025760000002,34.04
191,-2045.726588,33.57
192,-2017.3948175,33.33
193,-1994.928414,32.24
194,-2032.9430284999999,33.27
195,-2063.9318049999997,35.24
196,-1997.343874,33.53
197,-1967.0954884999999,33.15
198,-1978.7999675,34.71
199,-2011.0201035,35.13
200,-1961.3824005000001,33.9
201,-1996.3593114999999,33.52
202,-1973.9480435,34.38
203,-1965.312774,34.24
204,-1973.199776,32.77
205,-1999.1003335,33.48
206,-1961.747345,34.65
207,-2009.6732220000001,34.8
208,-1923.9847785,34.98
209,-1967.3317835,33.99
210,-1950.4156870000002,34.4
211,-1950.69399,34.91
212,-1980.0917135,33.81
213,-2028.4402959999998,33.42
214,-1973.9795495,33.84
215,-2039.362376,32.48
216,-2000.699263,34.04
217,-2031.9899719999999,32.54
218,-2022.5486740000001,33.05
219,-2025.132166,31.64
220,-2033.76481,31.99
221,-2027.2982035,31.42
222,-2026.0983500000002,31.52
223,-2002.7550294999999,31.91
224,-1961.715839,31.63
225,-2015.8273940000001,32.77
226,-1965.7459815,33.12
227,-1965.1683715,33.66
228,-1987.1175515,32.51
229,-2003.7133370000001,34.01
230,-2028.7369775,32.93
231,-1919.5634364999999,32.68
232,-1954.8081484999998,31.9
233,-1936.8838600000001,32.97
234,-1980.582682,32.65
235,-1963.3305215,32.26
236,-2021.9579365,33.26
237,-1924.0241609999998,31.87
238,-1956.5383530000001,31.44
239,-1931.449075,31.56
240,-1973.5962265,32.1
241,-1958.9931955000002,32.96
242,-1921.6533345,31.53
243,-1943.2664505,33.04
244,-1995.369498,33.15
245,-1918.132539,31.96
246,-1927.6762315,31.73
247,-1932.5806655,31.88
248,-1943.636646,32.61
249,-1934.636432,31.53
250,-1945.6609065,31.0
251,-1887.356428,33.03
252,-1930.152078,32.34
253,-1926.8623264999999,32.08
254,-1975.1583990000001,33.13
255,-1956.8849189999999,33.34
256,-1947.0550469999998,32.79
257,-1955.5642925,33.76
258,-1975.1715265000003,32.82
259,-1958.1504100000002,32.65
260,-1955.0864515,32.11
261,-1882.9167075,32.03
262,-1909.646923,31.59
263,-1909.7860745,30.65
264,-1958.638753,31.9
265,-1961.4952970000002,31.28
266,-1942.0429675,32.51
267,-1963.2360035,32.91
268,-1941.1739269999998,33.04
269,-1962.1726760000001,32.38
270,-1979.9604385,32.92
271,-1979.5324819999998,32.0
272,-1976.3845075000002,33.69
273,-1966.1188025000001,33.27
274,-1982.1448545,33.71
275,-2025.0717795,34.39
276,-2013.9449104999999,33.37
277,-1952.7235014999999,33.67
278,-2021.2490515,33.23
279,-1983.166174,32.73
280,-2019.5687315,33.27
281,-2059.069379,33.18
282,-2048.7852955,32.66
283,-2074.8565105,32.25
284,-2058.49702,33.34
285,-2103.3064285,33.55
286,-2048.7590405,34.44
287,-2025.8751825000002,34.69
288,-2024.8774925,33.61
289,-1985.151052,33.58
290,-1982.0240815,33.24
291,-1996.7505110000002,33.11
292,-1985.9990885,32.41
293,-2059.7703875,33.17
294,-2025.946071,33.0
295,-2070.2618855,32.66
296,-2039.866472,33.38
297,-2056.3204805,33.62
298,-2028.2171285000002,33.15
299,-2009.620712,32.69
300,-2047.0813460000002,32.91
301,-2068.1404815,33.59
302,-2045.5743089999999,33.75
303,-2097.506699,33.41
304,-2096.2175785,33.31
305,-2092.5943885,33.23
306,-2057.2866645,33.94
307,-2018.1509615000002,33.25
308,-2068.011832,33.25
309,-2030.467182,32.52
310,-2013.5904679999999,33.63
311,-2047.5171790000002,33.44
312,-2034.195392,33.78
313,-2019.2379185,33.82
314,-2012.146443,31.91
315,-1977.6342455000001,32.21
316,-1995.6372990000002,32.51
317,-2014.4069985,33.09
318,-2022.7928455,32.42
319,-2069.7630405,32.22
320,-2062.561294,33.66
321,-2029.800305,32.83
322,-2048.9402,33.42
323,-1997.6510575,32.54
324,-2055.635225,33.5
325,-1998.651373,32.34
326,-1970.4036185,32.32
327,-2004.3355804999999,32.5
328,-1985.8494349999999,32.78
329,-1954.0730085,32.54
330,-1980.5222955000002,34.11
331,-2027.7760445,32.56
332,-1997.868974,33.59
333,-2014.9898595,34.23
334,-1990.1526295,33.36
335,-2008.607269,33.02
336,-2016.273729,33.42
337,-1980.141598,33.22
338,-2039.3702524999999,33.83
339,-2011.652849,33.58
340,-2023.4649734999998,32.94
341,-1994.3114214999998,33.64
342,-1974.6306735,32.22
343,-1967.9356484999998,32.82
344,-1994.508334,32.98
345,-1974.3156135,33.07
346,-1998.1394005000002,33.32
347,-2069.671148,34.21
348,-2015.4624495,33.81
349,-2097.3675475,33.77
350,-2083.139963,34.34
351,-2090.606885,34.84
352,-2077.5949069999997,33.46
353,-2093.216632,34.01
354,-2034.421185,34.97
355,-2045.0544599999998,35.16
356,-2075.436746,33.61
357,-2043.4240244999999,34.34
358,-2056.4412535,34.23
359,-2004.947322,33.16
360,-2036.9836730000002,34.64
361,-2048.0974145,34.83
362,-2058.2475975,35.55
363,-2024.8223569999998,34.94
364,-2034.857018,34.18
365,-2032.6568490000002,33.37
366,-2018.5054040000002,33.26
367,-2067.8438,33.63
368,-1998.1866595,32.5
369,-1996.6034829999999,34.21
370,-2024.31301,33.72
371,-2023.1919215,32.8
372,-2057.5544655,33.36
373,-2035.8048235,33.04
374,-1999.0373215,32.12
375,-2036.49533,33.23
376,-2049.3996625,33.5
377,-2066.9537555,33.2
378,-2081.716942,34.03
379,-2030.062855,33.76
380,-2013.4250615,34.05
381,-2033.1898255,32.79
382,-2004.4563535000002,33.24
383,-2024.8459865,33.88
384,-2078.2171505,35.01
385,-2078.8682745,33.91
386,-2051.5788275,33.62
387,-2072.2677675,33.83
388,-2105.803279,34.05
389,-2070.831619,33.58
390,-2061.274799,32.74
391,-2066.3498905,34.66
392,-2036.448071,33.78
393,-2007.420543,35.13
394,-1996.0652555,33.73
395,-2051.859756,34.05
396,-2021.4695935,33.44
397,-1969.9231519999998,33.15
398,-1996.5325945,32.77
399,-2014.7798195,33.08
400,-2042.2267964999999,34.17
401,-2027.2666975,33.53
402,-2089.1602344999997,33.74
403,-2023.7170214999999,33.76
404,-2044.9310615000002,33.09
405,-2028.9260135000002,34.39
406,-2094.298338,32.74
407,-2131.422908,32.99
408,-2067.8516765,34.02
409,-2090.696152,33.6
410,-2061.64762,31.66
411,-2055.8898985,33.0
412,-2039.3912565,32.63
413,-2014.1470740000002,32.28
414,-2051.907015,32.47
415,-2019.592361,32.38
416,-2067.549744,31.74
417,-2099.7016169999997,32.69
418,-2074.1633785,32.38
419,-2063.968562,32.29
420,-2083.775334,33.34
421,-2062.676816,32.14
422,-2058.843586,31.85
423,-2065.5307344999997,32.15
424,-2080.976551,32.35
425,-2026.9306334999999,32.14
426,-2065.2209255,31.74
427,-2030.6850985,30.51
428,-2049.575571,30.48
429,-2033.3421045,31.62
430,-2015.0843775,31.39
431,-1992.3895555,31.64
432,-2016.4391354999998,31.8
433,-2055.876771,31.93
434,-1971.3750535,31.37
435,-2026.156111,32.2
436,-1998.9506800000001,32.45
437,-2056.674923,33.14
438,-2052.080298,32.31
439,-2095.6767255,32.17
440,-2034.7073645,33.32
441,-2071.9448310000002,33.41
442,-2085.1852275,33.53
443,-2109.100907,34.18
444,-2106.5699250000002,33.5
445,-2016.6806815000002,32.94
446,-2041.1608435,33.01
447,-2075.4787539999998,35.04
448,-2066.9012454999997,33.18
449,-1974.3628724999999,34.06
450,-1988.4880625,33.1
451,-2005.383155,32.68
452,-2067.4736045,33.97
453,-2065.906181,34.6
454,-2002.6605115,33.46
455,-2097.5224519999997,34.62
456,-2078.4954535,32.28
457,-2120.537585,31.91
458,-2080.7008735,32.98
459,-2085.775965,32.46
460,-2040.1946595,32.22
461,-1994.6107285,32.34
462,-2039.362376,32.32
463,-2015.17627,31.74
464,-2016.0400595,32.11
465,-2058.932853,31.22
466,-2075.578523,31.87
467,-2063.9318049999997,31.51
468,-2087.934126,32.21
469,-2097.1548820000003,31.42
470,-2077.8233255,31.2
471,-2060.7575755,31.1
472,-2053.6057135,30.73
473,-2062.8343459999996,31.56
474,-2011.8681399999998,31.2
475,-2070.1726185,30.63
476,-2021.2726810000001,30.81
477,-2027.547626,32.05
478,-2020.773836,31.53
479,-2055.745496,31.36
480,-2054.070427,32.72
481,-2068.122103,33.22
482,-2003.5479305,32.3
483,-2019.030504,30.89
484,-2088.69027,32.09
485,-2104.894856,32.28
486,-2087.3801455,30.78
487,-2059.394941,32.22
488,-2038.973802,31.53
489,-2017.4394510000002,31.68
490,-2037.6452989999998,30.94
491,-2051.6523415,31.24
492,-2059.12714,31.99
493,-1994.335051,31.34
494,-2051.0589784999997,30.49
495,-2009.6495925,30.79
496,-1986.0437220000001,30.71
497,-2010.5002545,31.76
498,-2010.0276645000001,32.04
499,-2030.241389,31.41
500,-2023.3520769999998,31.02
501,-1988.3594130000001,30.08
502,-2002.621129,30.85
503,-2005.56694,31.63
504,-2024.7803490000001,31.12
505,-2006.7484149999998,31.47
506,-2067.8621785,31.1
507,-2049.596575,31.35
508,-2058.5153985,31.83
509,-2034.55246,30.64
510,-2073.0606685000002,30.48
511,-2038.8871605,31.37
512,-2025.8357999999998,31.68
513,-2067.497234,31.08
514,-2037.8684664999998,30.38
515,-2033.633535,31.45
516,-2071.3488425,30.36
517,-2048.504367,29.68
518,-2057.1238835,31.88
519,-1972.7455645,32.43
520,-2015.4782025,32.33
521,-2016.3866255,31.07
522,-2037.8002035,30.51
523,-2059.2610405,30.88
524,-2054.826571,31.66
525,-2041.4916565,31.64
526,-2035.418875,32.15
527,-2006.7090325,31.67
528,-2037.6269204999999,29.79
529,-1980.5984349999999,30.76
530,-2051.833501,32.23
531,-1971.0704954999999,31.47
532,-1943.914949,31.38
533,-1974.53353,31.76
534,-2005.8268644999998,30.29
535,-2015.0896285000001,30.72
536,-2013.5825915,30.87
537,-1999.26574,31.65
538,-2003.7317155,32.43
539,-2011.873391,30.79
540,-2059.75726,31.77
541,-2016.0348084999998,30.84
542,-2035.5737795,30.74
543,-1992.780755,31.95
544,-1988.2307635,32.14
545,-2004.6716445,31.2
546,-2020.6241825000002,31.74
547,-2004.332955,32.48
548,-2026.8623705,30.84
549,-2067.901561,30.79
550,-2061.4297035,31.39
551,-1999.0845805,32.42
552,-2040.1500259999998,33.53
553,-2058.7464425000003,31.61
554,-2025.4078435000001,31.28
555,-2020.32225,32.14
556,-2047.4672944999998,32.41
557,-2012.1280645000002,31.65
558,-2061.836656,31.64
559,-2016.3761235000002,32.74
560,-2079.9132235,33.39
561,-2021.6796335,32.91
562,-2101.2874189999998,33.62
563,-2057.562342,31.69
564,-2063.0260075,31.75
565,-2103.723883,31.94
566,-2139.4858185000003,32.67
567,-2089.8691194999997,32.86
568,-2069.8628095,32.65
569,-2074.360291,32.65
570,-2033.6597900000002,32.33
571,-2013.086372,31.79
572,-2052.7287965,33.1
573,-2080.125889,31.85
574,-2035.9413495000001,33.21
575,-2040.1316474999999,33.09
576,-2046.05215,33.31
577,-2071.2753285,31.79
578,-2094.4584935000003,32.55
579,-2079.038932,32.96
580,-2070.9130095,33.05
581,-2112.7372245,32.11
582,-2138.0890525,33.47
583,-2160.870516,33.72
584,-2082.473086,33.64
585,-2082.0136235,32.47
586,-2075.6021525,32.86
587,-2052.048792,31.67
588,-2052.705167,33.01
589,-2032.635845,33.84
590,-2035.6367915,32.31
591,-2077.5817795000003,32.38
592,-2039.5986710000002,32.89
593,-1993.9386005,32.12
594,-2042.9146775000002,33.19
595,-2035.922971,33.78
596,-2035.9098435,32.68
597,-2038.7611364999998,33.21
598,-2031.6696610000001,32.77
599,-2078.550589,33.25
600,-2072.905764,32.67
601,-2098.441377,32.49
602,-2096.7190490000003,34.01
603,-2041.8618519999998,34.21
604,-2093.269142,34.16
605,-2043.463407,35.37
606,-2051.8728835,34.48
607,-2092.0797905,34.09
608,-2048.0659084999998,34.1
609,-2101.297921,34.89
610,-2152.090844,34.59
611,-2149.927432,34.96
612,-2125.3081185,33.6
613,-2096.036419,34.18
614,-2071.902823,34.42
615,-2113.2124400000002,34.3
616,-2075.547017,34.06
617,-2075.000913,34.02
618,-2164.0710005,35.08
619,-2093.085357,34.23
620,-2065.7906590000002,35.55
621,-2108.5390500000003,34.98
622,-2003.57156,34.3
623,-2047.1207285,34.76
624,-2110.1642345,35.71
625,-2099.2264015,34.23
626,-2083.0323175,34.01
627,-2067.723027,35.56
628,-2081.7904559999997,35.65
629,-2064.3072515,34.8
630,-2105.503972,35.27
631,-2090.58063,34.85
632,-2123.6540535,34.23
633,-2121.50902,34.47
634,-2119.7210545000003,32.56
635,-2119.004293,35.0
636,-2109.48423,35.29
637,-2074.465311,36.22
638,-2116.4549325000003,35.13
639,-2090.5176180000003,33.57
640,-2048.0239005000003,36.26
641,-2003.025456,35.18
642,-2025.8751825000002,34.82
643,-1986.132989,35.13
644,-2026.423912,37.1
645,-2023.4124634999998,34.79
646,-1992.434189,33.93
647,-1996.58773,34.54
648,-2008.7359184999998,33.17
649,-1960.3532045,33.77
650,-1999.3996404999998,32.8
651,-2006.7405385,32.98
652,-2038.732256,32.73
653,-2058.434008,33.53
654,-2008.602018,33.13
655,-1962.708278,33.23
656,-1956.9374289999998,35.01
657,-1953.1540835,34.22
658,-1937.5533625,34.85
659,-1977.5082215,31.86
660,-1975.0350005,32.92
661,-1972.989736,32.8
662,-1999.8223460000002,33.35
663,-1992.0009814999999,33.56
664,-2003.6345720000002,32.72
665,-1985.8100525,32.91
666,-1997.1574635000002,33.26
667,-2030.125867,32.05
668,-2008.465492,32.82
669,-2037.4352589999999,32.44
670,-2038.464455,33.1
671,-2076.8781455,31.5
672,-2021.965813,31.0
673,-2024.0058265,31.07
674,-2012.7188019999999,30.75
675,-2002.9598185,30.88
676,-2045.2723765,32.42
677,-2010.686665,31.64
678,-2013.9186554999999,32.73
679,-2006.14455,32.24
680,-1986.4454234999998,32.15
681,-1999.150218,32.52
682,-2006.8481840000002,31.75
683,-2030.4776840000002,32.19
684,-2038.028622,31.74
685,-2044.860173,32.87
686,-2092.1743085,32.73
687,-2113.506496,32.03
688,-2146.025939,33.23
689,-2042.082394,32.14
690,-2054.2069530000003,32.59
691,-2090.9849569999997,32.86
692,-2018.0932005,32.99
693,-2039.2442285000002,33.28
694,-1966.2527029999999,31.58
695,-2002.379583,32.74
696,-2035.0119224999999,32.45
697,-2043.416148,33.49
698,-2046.7242780000001,31.73
699,-2022.175853,31.97
700,-2053.6267175000003,32.13
701,-2020.779087,31.52
702,-1976.8938545,31.78
703,-2019.2983049999998,32.48
704,-1992.0849975,31.93
705,-2000.9171795000002,31.55
706,-2011.5740839999999,31.78
707,-2003.7317155,32.4
708,-1987.682034,31.83
709,-2034.583966,31.98
710,-2014.2494685,31.57
711,-2009.1927555,31.86
712,-2031.0894255,30.69
713,-2006.7562915,30.38
714,-1995.7869525,31.42
715,-1984.888502,32.05
716,-1968.4239915,32.24
717,-2033.4838815,32.56
718,-2014.1785799999998,33.61
719,-2043.2454905,32.89
720,-1984.9541394999999,32.17
721,-2004.8002940000001,33.44
722,-2021.0757685,33.65
723,-2019.681628,33.34
724,-2057.0293655,32.71
725,-2037.0440595,33.28
726,-2012.1096860000002,33.07
727,-2007.945643,33.71
728,-2013.595719,33.54
729,-2045.1516035,32.34
730,-2038.0207455,33.48
731,-2058.297482,32.96
732,-2026.2847605,33.03
733,-2026.7074659999998,33.05
