model,Gsolv,timing
0,-18618.7411265,29.11
1,-18701.6544165,29.32
2,-18740.879386499997,29.73
3,-19145.668474500002,30.32
4,-19165.4174855,29.19
5,-19220.6317505,30.51
6,-19012.0935365,30.15
7,-19112.721075,29.11
8,-18665.3805085,30.16
9,-18435.284314,29.9
10,-18455.8813615,28.04
11,-18554.1748305,28.62
12,-18489.582279500002,29.0
13,-18445.5683975,29.97
14,-18420.5893905,29.26
15,-18772.3171235,29.65
16,-18639.7451265,28.83
17,-18334.417855,28.67
18,-18739.4511145,28.03
19,-18819.7966655,29.02
20,-18855.621613,27.83
21,-18984.5730455,29.08
22,-18819.4448485,29.75
23,-18376.971959000002,29.91
24,-18609.8144265,30.89
25,-18551.1817605,29.26
26,-18595.124754,29.58
27,-18755.8972465,28.36
28,-18913.603155,29.51
29,-18925.806479,29.55
30,-18393.704270500002,28.5
31,-18811.2795435,29.37
32,-18545.775856,28.82
33,-18607.0366475,28.53
34,-18432.8819815,28.66
35,-18977.570837,28.9
36,-19008.6226255,30.21
37,-18839.7767205,29.4
38,-19036.7207265,29.45
39,-19140.517243500002,28.98
40,-19211.424122,28.76
41,-19458.1554845,29.91
42,-18725.155267,29.26
43,-19202.531553499997,29.64
44,-18757.425287500002,31.08
45,-18861.560494,29.34
46,-18569.106049,28.97
47,-18558.6644355,29.31
48,-18619.079815999998,29.44
49,-18923.159975,28.81
50,-18838.162038,28.37
51,-18998.601092,29.07
52,-19116.226117500002,29.36
53,-18997.986725,29.79
54,-18995.6369025,29.04
55,-18998.427809,29.39
56,-19147.944783,28.75
57,-19028.153720000002,29.6
58,-19041.7013,29.67
59,-18853.66299,30.51
60,-19037.048914,30.53
61,-18897.3066765,29.36
62,-18899.688005,30.67
63,-18950.974522,30.16
64,-18906.4014085,29.22
65,-18721.878643,30.35
66,-18634.2788355,29.73
67,-18508.772059,29.32
68,-18477.3999595,29.77
69,-18622.403699,29.23
70,-18544.284572,30.7
71,-18605.5716185,29.93
72,-18728.3977595,30.37
73,-19015.3491565,30.08
74,-18957.359738,30.49
75,-19108.8012035,31.37
76,-18892.410119,30.34
77,-19072.3067535,30.36
78,-18942.641185,30.17
79,-18829.655418,30.46
80,-18899.430706,29.64
81,-18358.2810245,29.55
82,-18555.637233999998,29.14
83,-18553.368802,29.53
84,-18458.7641605,45.41
85,-18453.079953,30.28
86,-18318.496823,29.73
87,-18287.106345,30.01
88,-18159.664575,29.02
89,-18460.279074,29.9
90,-18239.3485,29.56
91,-17979.508016,28.87
92,-17875.853275999998,28.75
93,-18064.6241005,30.47
94,-17693.076468,28.76
95,-18125.638095000002,29.73
96,-18097.230185,28.98
97,-18327.9407465,29.01
98,-18641.6039805,28.86
99,-17937.8754625,28.51
100,-18126.4756295,28.47
101,-18041.259776000003,28.74
102,-18274.837383500002,29.76
103,-18178.513039499998,29.5
104,-18293.680597,30.1
105,-18470.901847,29.07
106,-18568.242259500003,28.37
107,-18398.5561945,29.41
108,-18209.4178,28.41
109,-18150.454320999997,28.33
110,-17824.7846755,28.64
111,-18156.448337499998,29.2
112,-18050.236360500003,28.78
113,-18032.532614,29.13
114,-17913.4635635,29.58
115,-18484.0897335,30.04
116,-18206.4431085,29.54
117,-18283.8323465,29.69
118,-18371.1722295,30.11
119,-18235.5283975,30.14
120,-18380.243332000002,29.62
121,-18302.071695,29.47
122,-18739.0257835,29.73
123,-18288.881183,30.76
124,-18721.9390295,29.55
125,-18561.266306,30.57
126,-18601.032129,30.25
127,-18353.8544315,29.62
128,-18324.5906085,29.77
129,-17965.913177,30.88
130,-18114.332692,29.75
