model,Gsolv,timing
0,-7.2490055,0.07
1,-6.952324000000001,0.06
2,-7.172866,0.09
3,-6.4771085,0.08
4,-6.3563355,0.06
5,-8.0891655,0.07
6,-5.424283,0.07
7,-7.272634999999999,0.06
8,-7.6270775,0.06
9,-7.054718500000001,0.07
10,-6.5716265,0.07
11,-6.8263,0.07
12,-7.327770500000001,0.07
13,-7.172866,0.05
14,-7.327770500000001,0.07
15,-7.175491500000001,0.06
16,-6.400969,0.07
17,-6.5926305,0.05
18,-6.7239055,0.06
19,-6.72128,0.04
20,-7.330396,0.07
21,-6.2618175,0.07
22,-7.640205,0.07
23,-6.637264,0.05
24,-7.8003605,0.07
25,-6.537495,0.06
26,-5.949382999999999,0.08
27,-7.598197,0.06
28,-7.485300499999999,0.06
29,-7.29889,0.06
30,-6.377339500000001,0.06
31,-7.0179615,0.06
32,-7.073097000000001,0.07
33,-6.4035945000000005,0.05
34,-6.910315999999999,0.07
35,-7.4012845,0.07
36,-5.6159444999999995,0.06
37,-6.805296,0.06
38,-6.7659135,0.07
39,-6.9391964999999995,0.07
40,-6.211933,0.06
41,-6.7186545,0.08
42,-6.847304,0.08
43,-6.2513155,0.04
44,-7.2490055,0.05
45,-6.7081525,0.08
46,-6.9024395,0.07
47,-7.4065355,0.08
48,-7.172866,0.05
49,-6.374714,0.07
50,-6.190929,0.08
51,-7.640205,0.07
52,-7.178116999999999,0.07
53,-7.3802805000000005,0.06
54,-6.8604315,0.07
55,-6.474482999999999,0.06
56,-5.8942475000000005,0.08
57,-6.306451,0.07
58,-6.5479970000000005,0.07
59,-7.784607500000001,0.06
60,-5.6632035,0.05
61,-6.9549495,0.07
62,-6.800045,0.05
63,-6.8131725,0.06
64,-6.920818,0.06
65,-7.372404,0.06
66,-6.863057,0.07
67,-7.6165755,0.06
68,-7.0337145,0.08
69,-7.130858,0.06
70,-7.214874,0.07
71,-7.2700095000000005,0.06
72,-6.419347500000001,0.06
73,-7.9001295,0.09
74,-6.642515,0.05
75,-6.9707025,0.07
76,-6.7186545,0.07
77,-6.022897,0.06
78,-7.676962,0.07
79,-6.3300805,0.06
80,-7.199121,0.08
81,-6.9969575,0.07
82,-6.6503915000000005,0.07
83,-6.1515465,0.05
84,-6.849929500000001,0.05
85,-6.5873795,0.06
86,-6.8814355,0.07
87,-6.98383,0.07
88,-7.335647,0.08
89,-6.847304,0.07
90,-7.172866,0.05
91,-6.6503915000000005,0.07
92,-6.0727815,0.06
93,-6.474482999999999,0.07
94,-6.674021,0.07
95,-6.2565665,0.07
96,-6.6582680000000005,0.05
97,-6.190929,0.06
98,-7.031089,0.06
99,-7.0494674999999996,0.06
100,-5.873243499999999,0.06
101,-6.8131725,0.06
102,-6.6976505,0.07
103,-7.3382725,0.08
104,-6.621511,0.06
105,-6.377339500000001,0.08
106,-7.259507500000001,0.05
