model,Gsolv,timing
0,-1967.575955,32.82
1,-1984.3529,32.28
2,-1992.344922,33.24
3,-2046.3540825,33.87
4,-2051.203381,32.49
5,-2061.9705565,33.66
6,-2034.578715,33.54
7,-2042.019382,32.29
8,-1977.0198785,33.36
9,-1942.60745,33.57
10,-1948.5909645000002,31.29
11,-1960.901934,31.88
12,-1951.5682815,32.3
13,-1946.9841585,33.32
14,-1941.3183295,32.89
15,-1992.0902485,33.21
16,-1973.6093540000002,32.26
17,-1928.63979,31.73
18,-1989.3597285,31.32
19,-1999.2053535000002,32.45
20,-1996.8003955000001,31.47
21,-2021.556235,32.94
22,-1995.7922035,33.18
23,-1931.0578755,33.82
24,-1965.9980294999998,34.67
25,-1956.0998945000001,33.12
26,-1959.573431,33.17
27,-1983.6938995,31.94
28,-2011.2826535,32.52
29,-2014.5934089999998,33.1
30,-1940.6041935,32.14
31,-1997.7770815,32.67
32,-1968.279589,32.31
33,-1968.673414,32.14
34,-1946.0967395,31.84
35,-2026.3005135,32.36
36,-2033.7621844999999,33.4
37,-2007.0661005,32.95
38,-2037.6164185,33.42
39,-2049.643834,32.35
40,-2058.54953,32.66
41,-2094.0987999999998,33.29
42,-1988.5537,32.81
43,-2059.5445945,33.28
44,-1995.926104,34.83
45,-2013.779504,33.15
46,-1963.8713745,31.85
47,-1967.197883,32.64
48,-1971.7741295,33.06
49,-2010.938713,32.39
50,-2004.8659315,32.14
51,-2029.4721175000002,32.07
52,-2042.6206215000002,32.92
53,-2029.2568265,33.72
54,-2030.1915045,31.92
55,-2028.062224,33.14
56,-2056.422875,32.52
57,-2030.6824729999998,32.9
58,-2035.1064405,33.38
59,-2003.1094719999999,34.17
60,-2033.5311405,33.82
61,-2013.4014319999999,32.85
62,-2012.4221205000001,34.41
63,-2022.1679765,33.73
64,-2014.656421,32.6
65,-1984.4159120000002,33.85
66,-1969.3114105000002,33.11
67,-1952.9650474999999,32.6
68,-1941.9904575,33.42
69,-1964.278327,32.42
70,-1960.4634755,34.52
71,-1967.843756,32.79
72,-1982.9797635,34.34
73,-2029.4143565,33.47
74,-2014.236341,34.24
75,-2039.3282445,35.1
76,-2010.7733065,33.92
77,-2039.3755035000001,33.85
78,-2018.6603085,33.78
79,-2003.4271575,33.8
80,-2008.5993925,33.08
81,-1930.2886039999999,33.09
82,-1956.753644,32.59
83,-1960.413591,32.46
84,-1947.5407645,33.03
85,-1945.5138785,33.81
86,-1922.5197495,33.2
87,-1915.9428719999999,33.1
88,-1900.8304939999998,32.26
89,-1948.551582,33.56
90,-1912.482463,33.73
91,-1870.3353115,32.18
92,-1857.3915965,32.15
93,-1882.000408,34.01
94,-1825.814708,31.81
95,-1900.4865535,33.07
96,-1891.179156,32.42
97,-1927.2509005,32.89
98,-1974.549283,32.6
99,-1867.7990785,31.18
100,-1901.2978329999999,31.67
101,-1888.999991,32.14
102,-1922.7770484999999,32.61
103,-1902.0749810000002,32.39
104,-1918.4344715000002,33.07
105,-1953.088446,32.05
106,-1962.976079,31.33
107,-1945.080671,32.54
108,-1908.8986555,31.13
109,-1904.0099745,32.43
110,-1856.0788465,32.31
111,-1906.1602590000002,31.94
112,-1885.1851395,32.15
113,-1884.5340155,32.63
114,-1869.1643385,32.51
115,-1952.3296765,33.38
116,-1909.846461,33.23
117,-1919.7682255,33.0
118,-1936.8654815,33.13
119,-1916.320944,33.93
120,-1939.7010215,32.73
121,-1927.7760005,32.66
122,-1988.3095285,32.59
123,-1922.627395,34.08
124,-1989.2704615,32.93
125,-1962.3275805,33.92
126,-1968.9438405,33.63
127,-1935.3899505,32.38
128,-1928.713304,33.1
129,-1873.110465,34.45
130,-1895.5348605000001,32.84
131,-1873.1235925,34.49
132,-1870.726511,34.16
133,-1925.662473,33.62
134,-1925.2292654999999,33.12
135,-1928.8577065,34.34
136,-1906.3676735,33.84
137,-1933.15565,33.7
138,-1880.2229444999998,33.16
139,-1913.8083405,32.96
140,-1974.9378570000001,32.88
141,-1988.3384090000002,32.37
142,-1960.5002325,32.26
143,-1954.837029,32.28
144,-1943.295331,32.46
145,-1961.9311300000002,32.85
146,-2023.3284475,31.57
147,-1944.4190449999999,31.3
148,-1976.8675994999999,32.37
149,-1977.799652,31.42
150,-1978.3352539999998,32.24
151,-2010.6157765,31.02
152,-2017.9304195,32.7
153,-2016.2816055,32.79
154,-1983.8461785000002,32.11
155,-1966.2106949999998,31.9
156,-2016.6019164999998,32.2
157,-1967.2792735,31.82
158,-1959.352889,32.77
159,-1924.8616955000002,33.52
160,-1880.0759165000002,33.56
161,-1877.479297,33.51
162,-1865.1473234999999,32.96
163,-1873.3100029999998,33.37
164,-1827.8284664999999,31.97
165,-1831.0210745,31.43
166,-1879.921012,30.96
167,-1910.098509,33.32
168,-1873.3257560000002,31.36
169,-1872.2913090000002,31.79
170,-1890.8535940000002,31.62
171,-1857.8799394999999,32.01
172,-1793.615576,32.03
173,-1833.8776185,30.99
174,-1850.39989,31.15
175,-1852.4031465,31.02
176,-1909.058811,32.64
177,-1924.7619264999998,31.64
178,-1901.8518135000002,32.73
179,-1904.196385,31.67
180,-1859.7702995,32.55
181,-1907.3128535,31.18
182,-1910.655115,33.46
183,-1944.4873080000002,31.89
184,-1973.9060355,32.25
185,-1995.196215,32.77
186,-1994.3796845000002,31.94
187,-1940.6645800000001,31.7
188,-1986.148742,31.56
189,-1952.5869754999999,33.87
190,-1914.441086,33.41
191,-1912.7843955,33.17
192,-1964.2389445,32.87
193,-1936.0463255,33.48
194,-1945.1279299999999,33.78
195,-1947.8190675,31.61
196,-1933.1950325000003,32.66
197,-1990.2418965000002,33.1
