model,Gsolv,timing
0,-3620.632763,31.54
1,-3638.6988285,31.16
2,-3584.101556,31.5
3,-3585.944657,31.2
4,-3639.588873,31.09
5,-3651.445631,31.62
6,-3747.1897395,31.92
7,-3689.8068115,32.08
8,-3780.8381475,31.84
9,-3705.404907,32.45
10,-3636.627309,32.79
11,-3633.9913070000002,31.73
12,-3690.0326045,33.34
13,-3671.378427,34.32
14,-3732.5368240000003,34.23
15,-3650.7419969999996,32.1
16,-3611.3332419999997,32.06
17,-3723.5654905,32.28
18,-3686.1888725000003,31.76
19,-3690.9042705,33.38
20,-3720.254735,31.71
21,-3632.001178,31.43
22,-3620.3833404999996,32.21
23,-3625.6710975,32.64
24,-3684.5584369999997,34.37
25,-3627.1991384999997,34.35
26,-3638.9981355,32.43
27,-3580.625394,32.18
28,-3668.548138,33.36
29,-3650.54771,33.55
30,-3689.1084285,33.07
31,-3609.7815714999997,32.34
32,-3624.3898535000003,33.53
33,-3623.4893070000003,33.44
34,-3617.419151,32.48
35,-3626.141062,34.18
36,-3639.825168,34.74
37,-3670.9688490000003,35.37
38,-3718.3407455,33.15
39,-3543.0859950000004,33.72
40,-3636.096958,32.17
41,-3616.6209989999998,32.91
42,-3691.006665,33.16
43,-3673.247783,33.08
44,-3657.2899939999998,33.3
45,-3603.6168974999996,34.08
46,-3634.978495,33.87
47,-3690.8622625,35.85
48,-3678.630058,35.76
49,-3693.3984955,36.27
50,-3659.747462,36.63
51,-3752.322592,34.73
52,-3711.3779194999997,34.41
53,-3681.0061355,34.78
54,-3733.9152114999997,33.21
55,-3728.68259,33.79
56,-3760.5640365,34.19
57,-3757.45807,34.56
58,-3669.8425095000002,34.53
59,-3791.8416180000004,34.65
60,-3707.5315619999997,35.12
61,-3629.7248695000003,33.93
62,-3663.7671024999995,32.99
63,-3737.1340745,32.93
64,-3638.7513384999997,32.56
65,-3690.4736884999998,34.37
66,-3675.2589159999998,33.3
67,-3724.1746065,32.97
68,-3718.5166539999996,33.49
69,-3732.3294095,33.74
70,-3594.4407750000005,32.67
71,-3647.8696999999997,34.09
72,-3646.945524,34.01
73,-3617.0857124999998,33.42
74,-3592.1487134999998,34.36
75,-3593.5717345000003,34.11
76,-3673.3186714999997,33.32
77,-3639.5914985,35.24
