model,Gsolv,timing
0,-1940.995393,31.78
1,-1949.628037,31.4
2,-1916.278936,31.2
3,-1917.9198734999998,31.5
4,-1952.6473620000002,31.25
5,-1959.5392995000002,31.7
6,-2020.8289714999999,31.92
7,-1984.447418,32.11
8,-2041.9589955000001,31.85
9,-1995.4246335,32.45
10,-1953.1068245,32.76
11,-1948.577837,31.94
12,-1986.5268139999998,32.89
13,-1976.1692165,34.74
14,-2016.930104,34.37
15,-1960.5054834999999,32.06
16,-1934.8123405000001,32.23
17,-2009.258393,32.62
18,-1988.259644,31.85
19,-1986.0778535000002,33.73
20,-2006.9558295,31.71
21,-1950.988046,31.57
22,-1943.9884630000001,32.27
23,-1946.4538075,32.3
24,-1981.6302564999999,34.14
25,-1945.1016750000001,33.88
26,-1949.3261045,32.57
27,-1913.9921255,32.33
28,-1974.354996,33.64
29,-1953.807833,33.94
30,-1982.2971335000002,32.87
31,-1932.378502,32.62
32,-1941.50474,33.6
33,-1943.778423,33.16
34,-1938.296379,32.55
35,-1939.9688225,33.94
36,-1952.4609515,34.99
37,-1974.018932,35.28
38,-2006.123546,33.02
39,-1890.869347,33.83
40,-1951.5446519999998,32.16
41,-1940.8693689999998,32.71
42,-1988.9448995,33.26
43,-1974.9929925,33.12
44,-1965.4781805,33.43
45,-1932.94561,33.95
46,-1950.0087345,33.86
47,-1985.4529845,36.0
48,-1976.339874,35.76
49,-1987.3984799999998,36.23
50,-1964.9688335,36.67
51,-2024.9930145,34.54
52,-1999.1554689999998,34.78
53,-1980.5538015000002,34.94
54,-2013.663982,33.67
55,-2012.0309209999998,34.5
56,-2032.2919045,34.78
57,-2029.0389099999998,34.8
58,-1971.8896515,34.8
59,-2050.6441495,34.24
60,-1997.307117,35.24
61,-1949.4337500000001,34.3
62,-1968.1666925000002,33.14
63,-2018.6970655,33.17
64,-1954.6138615000002,32.73
65,-1983.3840905,34.39
66,-1975.8830369999998,33.05
67,-2003.5269265,32.92
68,-2002.3979615,33.7
69,-2008.7779265,34.23
70,-1920.0622815,32.51
71,-1959.2977534999998,34.29
72,-1960.1510409999999,34.04
73,-1942.050844,33.71
74,-1924.717293,34.78
75,-1922.842686,34.37
76,-1977.2614245,33.6
77,-1954.495714,35.35
78,-1923.3914155,35.77
79,-1959.4106499999998,35.15
80,-1972.7560665,34.66
81,-1971.6060975,34.08
82,-2015.2576605,34.73
83,-2000.536482,33.82
84,-1962.5691265,34.01
85,-2029.6559025000001,34.07
86,-2045.322261,33.74
87,-2041.01119,34.63
88,-2013.3699259999999,34.91
89,-2041.447023,34.34
90,-2024.8249825,34.01
91,-2081.979492,33.74
92,-2024.176484,35.14
93,-2059.305674,37.58
94,-2009.3292815,34.72
95,-1971.4590695000002,34.98
96,-2003.802604,35.48
97,-1999.2998714999999,35.22
98,-1993.1168189999999,34.83
99,-2021.4485895,33.61
100,-1983.3788395000001,33.75
101,-2019.755142,34.65
102,-2036.9232865000001,34.18
103,-2016.33149,34.62
104,-2009.373915,35.38
105,-1998.388823,34.39
106,-1995.490271,35.86
107,-1972.2939784999999,35.94
108,-1996.1177655,35.74
109,-2007.698846,32.91
110,-1996.2752955,32.54
111,-2013.7401215,33.87
112,-2035.3532375000002,32.86
113,-2029.075667,33.52
114,-2049.7409775,33.64
115,-2065.7145195,32.94
116,-2067.0272695,32.51
117,-2042.5261035,33.26
118,-2040.4230779999998,32.7
119,-2041.2737399999999,32.01
120,-1998.4177035,33.0
121,-2046.361959,32.92
122,-2055.425185,32.67
123,-2076.7101135000003,31.94
124,-2063.1940395,32.12
125,-2077.1459465000003,32.99
126,-2094.4479915,32.87
127,-2069.240566,32.64
128,-2101.7363795,32.97
129,-2067.7046485,31.89
130,-2155.966082,32.51
131,-2108.791098,32.32
132,-2123.9796155,33.01
133,-2072.0734805,32.79
134,-2083.917111,32.77
135,-2069.224813,31.77
136,-2040.4309545,32.76
137,-2085.9413715,32.99
138,-2051.3504089999997,32.92
139,-2036.684366,32.83
140,-2034.946285,33.19
141,-1973.9007845,33.27
142,-2038.401443,34.85
143,-2085.812722,33.54
144,-2023.8693004999998,35.62
145,-2040.6777514999999,34.56
146,-2055.850516,34.8
147,-2080.81377,36.79
148,-2049.7882365,35.83
149,-1974.895849,36.23
150,-2025.5128634999999,35.51
151,-2037.498271,34.1
152,-2008.2055675000001,34.54
153,-2028.6188300000001,34.68
154,-2104.6034255,34.83
155,-2030.7796165,34.23
156,-2050.8646915,33.48
157,-2055.9817909999997,33.19
158,-2087.6269425,34.59
159,-2058.2791035,33.73
160,-2052.694665,33.94
161,-2058.1320754999997,33.77
162,-2052.8994540000003,33.81
163,-2055.8636435,32.23
164,-2028.545316,33.5
165,-2028.944392,34.91
166,-2018.6576830000001,33.71
167,-2081.417635,33.17
168,-2046.1256640000001,32.02
169,-2102.6973125,33.19
170,-2105.220418,33.93
171,-2082.005747,35.02
172,-2045.190986,33.3
173,-2094.382354,34.03
174,-2066.0873405,34.1
175,-2015.9560435,32.22
176,-2099.1791425,32.91
177,-2067.9987045,31.5
178,-1989.18382,33.72
179,-2044.4584714999999,33.43
180,-1999.9509955,33.16
181,-2019.560855,32.65
182,-1988.102114,32.1
183,-1945.5506355,33.09
184,-1977.6289945,31.94
185,-1970.5270170000001,32.24
186,-1928.8839615,32.51
187,-1949.3891165,32.69
188,-1945.9759665000001,32.75
189,-1945.821062,31.75
190,-1928.2564670000002,33.14
191,-1914.0288825,32.52
192,-1982.4389105,32.49
193,-2014.8375804999998,32.96
194,-1970.7003000000002,32.67
195,-1976.2217265,32.88
196,-1956.554106,33.17
197,-1997.5355355,32.56
198,-2002.8022885,31.79
199,-2017.0955105,32.69
200,-2010.970219,31.82
201,-1976.4475195,32.87
202,-1989.635406,32.19
203,-1987.1070495,32.63
204,-1996.7190050000002,32.35
205,-1999.0478235,31.2
206,-2014.1470740000002,32.42
207,-2040.5727315000001,32.18
208,-2010.219326,32.2
209,-2001.476411,32.24
210,-2033.8672045,32.15
211,-2031.2653340000002,32.48
212,-1987.7424205,32.4
213,-1953.5295300000002,32.31
214,-1908.124133,32.8
215,-1990.1815100000001,33.11
216,-1990.7092355,33.59
217,-1943.5027455000002,32.87
218,-1971.577217,31.78
219,-1924.780305,32.08
