model,Gsolv,timing
0,-0.48571749999999997,0.05
1,-0.504096,0.07
2,-0.094518,0.09
3,-0.45158600000000004,0.07
4,0.3019325,0.08
5,-0.44633500000000004,0.06
6,-0.3701955,0.08
7,-0.9950645,0.08
8,-0.6537495,0.07
9,-0.1339005,0.06
10,-0.33343849999999997,0.08
11,0.094518,0.05
12,0.28880500000000003,0.08
13,0.362319,0.06
14,-0.09976900000000001,0.08
15,0.45158600000000004,0.06
16,-0.33343849999999997,0.07
17,0.7115104999999999,0.06
18,0.215291,0.06
19,-0.2389205,0.07
20,-0.0236295,0.07
21,-1.165722,0.06
22,0.4752155,0.04
23,-0.7955265,0.07
24,0.005251,0.07
25,-0.414829,0.07
26,-0.598614,0.06
27,-0.5277255000000001,0.07
28,0.1496535,0.06
29,-0.1654065,0.08
30,-0.6537495,0.08
31,-0.178534,0.06
32,-0.46996449999999995,0.06
33,0.005251,0.09
34,-0.28092849999999997,0.07
35,-0.6983830000000001,0.06
36,-0.5119724999999999,0.06
37,-0.44896050000000004,0.07
38,-0.404327,0.07
39,-0.2651755,0.05
40,-0.034131499999999995,0.06
41,-0.11289650000000001,0.07
42,-0.0446335,0.06
43,-0.005251,0.06
44,0.19166149999999998,0.07
45,-0.588112,0.05
46,-0.414829,0.08
47,-0.34919150000000004,0.07
48,-0.6537495,0.07
49,-0.2599245,0.06
50,0.36494449999999995,0.09
51,-0.556606,0.07
52,-0.3176855,0.06
53,-0.19953800000000002,0.07
54,0.0761395,0.05
55,0.0446335,0.06
56,-0.34656600000000004,0.08
57,0.152279,0.06
58,0.1339005,0.07
59,-0.530351,0.07
60,0.042008,0.08
61,0.0603865,0.06
62,-0.231044,0.07
63,-0.11289650000000001,0.06
64,-0.887419,0.09
65,0.1811595,0.07
66,-0.866415,0.06
67,-0.5618569999999999,0.06
68,0.084016,0.06
69,-0.3911995,0.06
70,-0.4542115,0.06
71,-0.0708885,0.07
72,-0.042008,0.07
73,0.0,0.06
74,0.6432475,0.07
75,-0.2651755,0.05
76,0.10502,0.06
77,-0.8217815,0.06
78,0.425331,0.07
79,-1.1105865,0.07
80,-0.855913,0.06
81,0.047259,0.07
82,0.23366949999999997,0.06
83,-0.078765,0.08
84,-1.774838,0.07
85,-0.005251,0.07
86,0.2599245,0.05
87,-0.3176855,0.08
88,-0.441084,0.06
89,-0.34656600000000004,0.08
90,0.0603865,0.07
91,-0.178534,0.06
92,-0.189036,0.08
93,0.4437095,0.07
94,0.2546735,0.07
95,-0.8585385,0.06
96,0.2704265,0.05
97,0.0183785,0.08
98,-0.1706575,0.08
99,-0.31506,0.06
100,-0.1286495,0.07
101,0.0603865,0.06
102,0.2284185,0.08
103,0.1076455,0.07
104,-0.1864105,0.06
105,0.341315,0.07
106,-0.0603865,0.05
107,-0.0813905,0.08
108,-0.619618,0.05
109,0.0761395,0.07
110,0.4069525,0.09
111,0.0971435,0.08
112,-0.33343849999999997,0.08
113,0.38594849999999997,0.05
114,-0.1969125,0.09
115,0.6327455,0.07
116,0.44633500000000004,0.06
117,-0.7220125000000001,0.07
118,-0.1601555,0.07
119,0.194287,0.07
120,-0.4594625,0.07
121,-0.4017015,0.07
122,-0.24942250000000002,0.08
123,-0.1181475,0.05
124,0.504096,0.08
125,-0.0183785,0.07
126,0.073514,0.06
127,-0.4594625,0.07
128,-1.5884274999999999,0.06
129,-0.462088,0.07
130,-0.3124345,0.08
131,-0.7587695,0.07
132,0.28617950000000003,0.07
133,-0.11289650000000001,0.08
134,0.1076455,0.09
135,-0.34919150000000004,0.07
136,0.241546,0.07
137,-0.0236295,0.06
138,0.409578,0.09
139,-0.813905,0.08
140,-0.330813,0.09
141,-0.5644825,0.07
142,-0.22579300000000002,0.05
143,-0.2126655,0.07
144,-0.22579300000000002,0.08
145,-0.18378499999999998,0.04
146,0.189036,0.07
147,-1.107961,0.09
148,0.005251,0.08
149,-0.5487295,0.09
150,-0.309809,0.06
151,-0.094518,0.08
152,-0.6852555,0.08
153,-0.598614,0.07
154,-0.17328300000000002,0.06
155,0.089267,0.06
156,-0.1076455,0.08
157,-0.6878810000000001,0.07
158,0.2966815,0.05
159,-0.28092849999999997,0.08
160,-0.5959884999999999,0.06
161,-0.026255,0.08
162,-0.509347,0.06
163,-0.0761395,0.07
164,0.0603865,0.07
165,-1.228734,0.09
166,-0.2389205,0.04
167,0.267801,0.06
168,-0.3176855,0.07
169,-0.057761,0.06
170,0.0603865,0.06
171,-0.593363,0.06
172,-0.714136,0.07
173,-0.0078765,0.08
174,0.1286495,0.06
175,0.0971435,0.07
176,-0.5539805,0.06
177,-0.36494449999999995,0.08
178,-0.241546,0.05
179,0.09976900000000001,0.08
180,-0.5539805,0.07
181,0.6905065,0.08
182,0.036757,0.05
183,-0.34919150000000004,0.07
184,0.1496535,0.07
185,0.204789,0.07
186,-0.14440250000000002,0.07
187,0.5802355,0.06
188,-0.708885,0.07
189,-0.0131275,0.07
190,-0.204789,0.08
191,-0.38594849999999997,0.06
192,0.257299,0.07
193,-0.021004,0.07
194,-0.278303,0.08
195,-0.3701955,0.06
196,-0.861164,0.08
197,0.2284185,0.08
198,-0.267801,0.06
199,-0.49621950000000004,0.07
200,-0.2704265,0.06
201,-0.9320525000000001,0.07
202,-0.278303,0.07
203,0.4594625,0.08
204,0.178534,0.07
205,-0.06826299999999999,0.08
206,-0.13652599999999998,0.05
207,-0.057761,0.07
208,-0.0393825,0.07
209,0.1181475,0.06
210,0.21004,0.07
211,-0.456837,0.08
212,-0.6117415,0.08
213,0.204789,0.06
214,-0.320311,0.06
215,-0.4332075,0.08
216,-0.6222435,0.07
217,-0.7351399999999999,0.07
218,-0.4384585,0.07
219,-0.204789,0.08
220,0.236295,0.08
221,-0.45158600000000004,0.07
222,-0.0393825,0.06
223,-0.7377655,0.06
224,-0.231044,0.08
225,-0.330813,0.07
226,-0.651124,0.06
227,-0.0603865,0.08
228,-1.1788495,0.08
229,-0.6064905,0.08
230,-0.194287,0.07
231,0.246797,0.06
232,0.2651755,0.07
233,-1.2576144999999999,0.08
234,-0.68263,0.07
235,-0.2074145,0.06
236,-0.0288805,0.07
237,0.0078765,0.07
238,-0.46733899999999995,0.05
239,-0.0551355,0.06
240,-0.6695025,0.07
241,-0.0183785,0.07
242,-0.4804665,0.06
243,-0.1339005,0.07
244,-0.7745225,0.06
245,-0.162781,0.06
246,0.194287,0.06
247,0.3281875,0.07
248,-0.7062594999999999,0.07
249,-0.6222435,0.05
250,0.477841,0.07
251,0.057761,0.07
252,-0.3806975,0.07
253,0.24942250000000002,0.08
254,-0.404327,0.07
255,-0.39645050000000004,0.06
256,0.005251,0.05
257,0.351817,0.07
258,-1.3048735,0.06
259,-0.6432475,0.08
260,0.0603865,0.06
261,-0.6222435,0.07
262,-0.5461039999999999,0.07
263,-0.9583075,0.06
264,-0.5329765,0.08
265,-0.1654065,0.06
266,-0.2704265,0.08
267,-1.6934475,0.08
268,-0.094518,0.06
269,0.0971435,0.06
270,-0.034131499999999995,0.06
271,0.1864105,0.07
272,0.1549045,0.08
273,-0.36756999999999995,0.07
274,-0.3754465,0.07
275,-0.336064,0.08
276,-0.7430165,0.08
277,-0.126024,0.07
278,-0.34919150000000004,0.06
279,0.34919150000000004,0.08
280,0.0026255,0.07
281,-0.9215505,0.07
282,-0.656375,0.08
283,-0.1181475,0.06
284,-0.414829,0.09
285,-0.120773,0.08
286,0.09976900000000001,0.08
287,-0.267801,0.07
288,0.0393825,0.06
289,-0.5224745000000001,0.07
290,-0.761395,0.08
291,0.0026255,0.06
292,-0.2021635,0.08
293,0.1339005,0.06
294,0.05251,0.07
295,-0.504096,0.09
296,-0.7298889999999999,0.08
297,-0.582861,0.06
298,-0.28617950000000003,0.07
299,-0.0551355,0.04
300,-0.3806975,0.08
301,-0.15753,0.07
302,-0.34656600000000004,0.08
303,-0.4647135,0.07
304,-0.21791649999999999,0.06
305,-0.19953800000000002,0.07
306,0.5487295,0.06
307,-0.588112,0.08
308,0.1233985,0.08
309,0.034131499999999995,0.07
310,0.19953800000000002,0.07
311,-0.36756999999999995,0.07
312,0.057761,0.07
313,-0.19166149999999998,0.05
314,0.26255,0.06
315,0.278303,0.07
316,-0.619618,0.08
317,-0.3229365,0.06
318,-0.330813,0.07
319,-0.7351399999999999,0.08
320,-0.08664150000000001,0.07
321,0.36756999999999995,0.07
322,-0.656375,0.07
323,-0.31506,0.06
324,0.1076455,0.08
325,-0.6800045,0.07
326,0.057761,0.07
327,-0.1391515,0.07
328,0.1233985,0.07
329,-0.661626,0.07
330,-0.9976900000000001,0.06
331,-0.299307,0.08
332,-0.257299,0.08
333,-0.9057974999999999,0.06
334,-0.0,0.05
335,0.1496535,0.07
336,-0.5907375,0.05
337,-0.10502,0.07
338,-0.0026255,0.08
339,0.08664150000000001,0.06
340,-0.09976900000000001,0.07
341,-0.152279,0.06
342,-0.362319,0.08
343,-0.5251,0.07
344,-0.19953800000000002,0.07
345,-0.10502,0.08
346,-0.48571749999999997,0.07
347,-0.42008,0.08
348,0.252048,0.05
349,0.0288805,0.07
350,-0.231044,0.08
351,-0.530351,0.08
352,-0.05251,0.07
353,-0.7062594999999999,0.07
354,0.26255,0.05
355,-0.362319,0.08
356,-0.231044,0.07
357,-0.462088,0.08
