model,Gsolv,timing
0,-18318.964162,27.96
1,-18532.643105,28.68
2,-18924.730024,28.54
3,-18710.6441285,27.62
4,-18693.801546,27.5
5,-18507.3569145,27.16
6,-18951.17406,26.64
7,-19022.8790905,27.0
8,-18777.799167499998,26.5
9,-19066.086944,27.03
10,-19232.0894325,26.61
11,-18861.156167,27.13
12,-18646.852355000003,26.83
13,-18361.8254495,26.36
14,-18771.7185095,27.1
15,-19008.1395335,27.96
16,-18607.0156435,27.52
17,-18871.6660435,27.02
18,-18762.6290285,26.53
19,-18690.3542645,26.65
20,-18907.532999,27.64
21,-19332.2785125,27.88
22,-18948.4409145,27.95
23,-19250.2158845,28.29
24,-19265.8691155,29.07
25,-19041.54377,28.26
26,-19409.470838,28.77
27,-19200.331384499998,28.92
28,-19269.116858999998,29.1
29,-19385.4238835,28.26
30,-19123.648406,29.01
31,-19455.569367,28.64
32,-19114.4670325,28.26
33,-19318.8096975,28.91
34,-19237.810397,28.92
35,-19198.685196,28.24
36,-19305.9394965,28.73
37,-18932.706293,27.96
38,-18809.202773,27.59
39,-18938.865716,28.49
40,-18913.243461500002,28.86
41,-18678.3452275,29.09
42,-19121.6083925,29.0
43,-19099.614578999997,28.74
44,-18967.486291499998,28.84
45,-18973.548571,29.31
46,-19019.5131995,29.92
47,-18910.494563,28.87
48,-18884.2474395,29.64
49,-18826.3131565,29.23
50,-18822.4851775,29.31
51,-18692.3128875,29.94
52,-18807.081369,30.46
53,-18783.693414999998,30.52
54,-18548.826687,29.96
55,-18608.551561,30.17
56,-18422.629404,30.01
57,-18638.555775,29.12
58,-18776.7647205,29.99
59,-19162.4244155,29.55
60,-19148.181077999998,29.69
61,-18855.6609955,29.48
62,-18718.389353500002,28.56
63,-19294.6813525,30.37
64,-19228.9703385,29.31
65,-19218.371195,28.49
66,-19670.267004,48.07
67,-19179.744839,29.18
68,-19078.584324,29.79
69,-19205.5823845,29.66
70,-19135.9646265,29.74
71,-19456.5539295,29.59
72,-19529.83426,29.51
73,-19417.3394615,30.08
74,-19650.454981,29.84
75,-19736.5162455,29.96
76,-19098.4672355,29.92
77,-19634.5890845,30.05
78,-19325.2631765,30.36
79,-19363.4799545,29.15
80,-19286.3532665,29.71
81,-19430.548352,30.3
82,-19672.320145,29.87
83,-19279.482333,28.57
84,-19495.781525000002,29.99
85,-19542.982764,30.54
86,-19602.949184,29.45
87,-19731.808724,29.44
88,-19379.051795,29.8
89,-19554.913035999998,30.2
90,-19590.4439275,29.97
91,-19525.013842,30.64
92,-19203.342833,29.8
93,-19428.240537499998,29.4
94,-19327.069520499997,28.67
95,-19217.788334,27.92
96,-19407.191904,29.37
97,-18993.350092,29.99
98,-19235.0037375,28.77
99,-18938.120074000002,29.77
100,-19147.1755115,29.48
101,-18979.072623,30.12
102,-18816.071081,29.23
103,-18837.138093,28.1
104,-19074.88762,28.56
105,-18802.276704,29.03
106,-18960.0088675,29.62
107,-19477.6787025,30.0
108,-19457.814169499998,29.49
109,-19422.587836,29.82
110,-19238.6426805,28.8
111,-19313.970901,29.09
112,-19473.2206035,29.01
113,-19070.7314535,28.58
114,-19062.222208,28.94
115,-19249.231322,28.12
116,-19588.582448,28.84
117,-19320.3902485,27.64
118,-19299.042308,28.14
119,-19233.1868915,28.86
120,-19196.1725925,29.12
121,-19374.157863,28.85
122,-19828.579403,29.14
123,-19335.1350565,29.07
124,-19597.902973,29.27
125,-19596.159641000002,28.8
126,-19564.4304735,29.75
127,-19458.872246,29.06
128,-19133.7329515,28.84
129,-19357.774743,28.52
130,-19177.733706,28.75
131,-19305.5194165,28.53
132,-19131.54591,27.9
133,-19454.261867999998,28.62
134,-19394.5973805,27.52
135,-19413.0703985,28.15
136,-19477.917622999998,28.33
137,-19798.512177,28.67
138,-19493.124519,28.99
139,-19699.3549185,29.55
140,-19563.396026500002,29.89
141,-19388.5114715,28.67
142,-19505.112552,29.32
143,-19262.6607545,29.82
144,-19497.440841,29.72
145,-19324.567419,29.71
146,-19220.9625635,28.21
147,-19492.594168,28.29
148,-19585.1036605,29.29
149,-19213.776569999998,29.09
150,-19593.985727,29.15
151,-19516.617493,29.26
152,-19567.741229,29.01
153,-19646.338197,29.58
154,-19582.963878,27.79
155,-19808.6334795,27.47
156,-19522.296449499998,28.64
157,-19479.828987,27.72
