model,Gsolv,timing
0,-11.573203999999999,0.08
1,-10.7356695,0.07
2,-9.8692545,0.09
3,-10.328717,0.06
4,-10.1108005,0.07
5,-12.069423500000001,0.05
6,-10.696287000000002,0.06
7,-9.6119555,0.06
8,-10.1055495,0.06
9,-10.223697,0.06
10,-9.7852385,0.08
11,-10.165936,0.04
12,-11.024474499999998,0.06
13,-11.1504985,0.05
14,-11.279148000000001,0.07
15,-10.8144345,0.08
16,-10.544008,0.08
17,-10.570263,0.08
18,-10.97459,0.07
19,-10.223697,0.08
20,-12.082551,0.08
21,-12.442244500000001,0.07
22,-10.6043945,0.05
23,-11.373666,0.07
24,-12.2006985,0.07
25,-11.7228575,0.08
26,-11.7281085,0.05
27,-10.1895655,0.07
28,-11.489187999999999,0.06
29,-10.307713,0.08
30,-10.86957,0.06
31,-10.6569045,0.07
32,-10.7146655,0.06
33,-11.749112499999999,0.08
34,-11.3342835,0.07
35,-11.862009,0.07
36,-11.389419,0.07
37,-11.749112499999999,0.07
38,-12.093053,0.08
39,-10.675283,0.07
40,-12.3319735,0.06
41,-11.0349765,0.07
42,-9.898135,0.07
43,-11.5600765,0.07
44,-10.459992,0.08
45,-11.5600765,0.07
46,-11.502315500000002,0.07
47,-11.678223999999998,0.05
48,-11.011346999999999,0.06
49,-9.5857005,0.09
50,-10.113426,0.07
51,-11.368414999999999,0.05
52,-11.310654000000001,0.08
53,-9.3126485,0.05
54,-11.205634,0.06
55,-10.698912499999999,0.08
56,-11.3290325,0.05
57,-11.210885000000001,0.07
58,-11.281773499999998,0.07
59,-12.056296,0.07
60,-11.0402275,0.05
61,-12.310969499999999,0.08
62,-10.055665,0.07
63,-9.845625,0.06
64,-12.019538999999998,0.08
65,-12.030041,0.05
66,-12.623403999999999,0.08
67,-9.895509500000001,0.07
68,-10.328717,0.08
69,-12.093053,0.07
70,-10.9772155,0.08
71,-10.323466,0.08
72,-10.370725,0.06
73,-13.411054,0.08
74,-11.759614500000001,0.07
75,-12.177069,0.07
76,-10.4626175,0.08
77,-9.5541945,0.08
78,-11.97228,0.08
79,-10.171187,0.06
80,-11.562702,0.06
81,-10.5938925,0.08
82,-10.8511915,0.07
83,-10.9404585,0.07
84,-11.0139725,0.07
85,-9.415043,0.06
86,-11.027099999999999,0.07
87,-11.310654000000001,0.07
88,-9.7537325,0.07
89,-11.3027775,0.06
90,-9.4544255,0.07
91,-11.213510499999998,0.07
92,-11.7123555,0.08
93,-11.8226265,0.06
94,-9.992653,0.07
95,-10.979841,0.08
96,-11.0139725,0.07
97,-10.459992,0.08
98,-10.381227,0.07
99,-10.13443,0.07
100,-10.0950475,0.07
101,-11.683475,0.06
102,-10.457366500000001,0.08
103,-10.575514,0.07
104,-10.5256295,0.08
105,-10.192191,0.08
106,-11.111115999999999,0.07
107,-10.696287000000002,0.06
108,-11.483937000000001,0.07
109,-11.158375000000001,0.07
110,-11.5600765,0.06
111,-12.0641725,0.07
112,-11.594208,0.07
113,-10.6359005,0.06
114,-10.312964000000001,0.08
115,-9.961147,0.06
116,-11.8908895,0.07
117,-12.137686500000001,0.06
118,-10.108175000000001,0.08
119,-12.334598999999999,0.08
120,-11.60471,0.07
121,-11.357913,0.06
122,-10.5308805,0.08
123,-11.6861005,0.05
124,-9.546318,0.06
125,-9.4596765,0.06
126,-11.213510499999998,0.08
127,-11.434052500000002,0.08
128,-10.764550000000002,0.07
129,-10.6674065,0.06
130,-9.338903499999999,0.06
131,-9.5016845,0.07
132,-10.8669445,0.07
133,-10.9509605,0.05
134,-11.8908895,0.07
135,-10.796056,0.07
136,-13.098619500000002,0.07
137,-11.0454785,0.07
138,-12.633906000000001,0.08
139,-11.0664825,0.08
140,-12.387109,0.07
141,-10.880072,0.09
142,-11.775367500000002,0.07
143,-10.546633499999999,0.08
144,-11.3605385,0.07
145,-11.646718,0.07
146,-10.911578,0.08
147,-11.281773499999998,0.06
148,-12.282089,0.07
149,-10.544008,0.05
150,-10.3470955,0.07
151,-10.8826975,0.07
152,-11.573203999999999,0.07
153,-12.418614999999999,0.08
154,-10.5833905,0.07
155,-11.594208,0.06
156,-12.4474955,0.06
157,-12.205949500000001,0.07
158,-11.562702,0.07
159,-11.7386105,0.07
160,-11.762239999999998,0.05
161,-12.9305875,0.07
162,-10.759299,0.08
163,-9.979525500000001,0.07
164,-11.213510499999998,0.08
165,-10.404856500000001,0.06
166,-10.943083999999999,0.08
167,-11.1294945,0.07
168,-11.5285705,0.07
169,-12.9935995,0.08
170,-10.23945,0.08
171,-12.226953499999999,0.05
172,-9.6749675,0.09
173,-9.415043,0.07
174,-9.614581,0.06
175,-11.187255500000001,0.08
176,-10.843315,0.08
177,-10.817060000000001,0.07
178,-10.165936,0.06
179,-10.160685,0.07
180,-10.7199165,0.08
181,-10.2105695,0.05
182,-10.722542,0.08
183,-11.2082595,0.07
184,-11.817375499999999,0.09
185,-10.3208405,0.08
186,-12.192822,0.07
187,-11.4813115,0.07
188,-10.675283,0.07
189,-11.399921,0.07
190,-11.476060499999999,0.08
191,-10.677908500000001,0.06
192,-12.174443499999999,0.07
193,-10.864319,0.07
194,-9.404541,0.07
195,-10.318215,0.08
196,-9.656589,0.07
197,-10.853817,0.08
198,-8.868939,0.08
199,-11.5758295,0.07
200,-10.0215335,0.07
201,-10.055665,0.06
202,-11.273897,0.08
203,-10.116051500000001,0.07
204,-10.381227,0.07
205,-10.260454,0.06
206,-10.898450500000001,0.08
207,-10.2788325,0.07
208,-12.229579,0.08
209,-12.219077,0.09
210,-11.3710405,0.07
211,-11.28965,0.06
212,-13.2719025,0.06
213,-10.696287000000002,0.09
214,-10.953586000000001,0.08
215,-12.426491500000001,0.08
216,-12.791436,0.09
217,-12.074674499999999,0.06
218,-10.953586000000001,0.08
219,-12.373981500000001,0.08
220,-10.685785,0.09
221,-11.809499,0.06
222,-10.617522,0.07
223,-11.118992500000001,0.07
224,-11.578455,0.08
225,-11.486562500000002,0.08
226,-10.9719645,0.07
227,-11.1504985,0.05
228,-12.5577665,0.08
229,-10.307713,0.08
230,-11.97228,0.06
231,-11.153124,0.08
232,-11.000845,0.06
233,-13.0408585,0.07
234,-10.9614625,0.06
235,-11.300151999999999,0.07
236,-12.153439500000001,0.06
237,-11.6283395,0.07
238,-10.4678685,0.08
239,-10.100298500000001,0.05
240,-9.493808,0.08
241,-10.9352075,0.06
242,-11.567953000000001,0.07
243,-10.108175000000001,0.06
244,-9.3284015,0.06
245,-9.430796,0.08
246,-11.801622499999999,0.07
247,-9.9952785,0.06
248,-10.7881795,0.08
249,-10.717291,0.06
250,-10.859068,0.08
251,-9.331026999999999,0.08
252,-9.979525500000001,0.07
253,-10.084545499999999,0.08
254,-12.324097,0.05
255,-11.1032395,0.07
256,-11.953901499999999,0.06
257,-11.3132795,0.08
258,-10.759299,0.08
259,-10.601768999999999,0.07
260,-10.402231,0.06
261,-11.2082595,0.07
262,-12.0641725,0.07
263,-11.347411000000001,0.07
264,-11.058606,0.06
265,-11.638841500000002,0.07
266,-11.252893,0.05
267,-11.205634,0.06
268,-11.0874865,0.07
269,-9.6067045,0.05
270,-10.087171,0.07
271,-10.830187500000001,0.06
272,-11.557450999999999,0.09
273,-11.898765999999998,0.06
274,-12.4002365,0.06
275,-9.8902585,0.07
276,-10.614896499999999,0.06
277,-12.02479,0.07
278,-10.9929685,0.08
279,-10.6674065,0.08
280,-10.796056,0.06
281,-10.7251675,0.07
282,-11.898765999999998,0.08
283,-12.098304,0.06
284,-10.7041635,0.08
285,-12.3687305,0.07
286,-11.3605385,0.06
287,-11.315904999999999,0.06
288,-12.177069,0.08
289,-12.552515499999998,0.05
290,-11.6861005,0.08
291,-12.6312805,0.08
292,-12.5367625,0.08
293,-11.426176,0.05
294,-10.806557999999999,0.09
295,-11.988033,0.06
296,-10.8826975,0.06
297,-12.7205475,0.09
298,-12.355603,0.05
299,-11.843630500000002,0.08
300,-11.562702,0.06
301,-11.0034705,0.06
302,-10.5676375,0.07
303,-11.126869,0.07
304,-11.468184,0.06
305,-11.743861500000001,0.06
306,-12.334598999999999,0.07
