model,Gsolv,timing
0,-3567.482141,30.74
1,-3611.674557,31.96
2,-3703.2940049999997,32.16
3,-3661.2991325,30.8
4,-3651.8210775000002,30.24
5,-3611.0470625,29.75
6,-3719.341061,29.83
7,-3733.9782235,29.88
8,-3678.157468,29.15
9,-3737.6119155,30.06
10,-3782.2139094999998,29.57
11,-3693.8999660000004,30.35
12,-3646.0554795,29.62
13,-3572.8066550000003,29.26
14,-3663.8511184999998,30.23
15,-3717.1802745,30.83
16,-3627.7032345,30.13
17,-3690.1691305,30.05
18,-3669.9632825,29.56
19,-3657.4869065,29.98
20,-3707.3609045,30.67
21,-3807.7626499999997,30.55
22,-3717.6476135000003,30.96
23,-3777.028547,31.35
24,-3787.8035990000003,32.28
25,-3740.008997,31.44
26,-3826.1464010000004,32.05
27,-3771.7749215,32.21
28,-3794.1126755,31.98
29,-3821.1763295,31.36
30,-3747.1109745000003,32.08
31,-3840.4238699999996,32.14
32,-3750.4269809999996,31.16
33,-3814.688719,32.31
34,-3780.3419280000003,32.33
35,-3778.1443845000003,31.43
36,-3809.3799580000004,31.94
37,-3724.6787025,30.96
38,-3686.1521154999996,30.8
39,-3714.7228065,32.28
40,-3715.2899145,32.1
41,-3652.9657955,32.04
42,-3756.9723525,32.34
43,-3747.7095885,32.05
44,-3710.6742855,32.05
45,-3724.996388,32.61
46,-3723.085024,33.3
47,-3703.934627,31.87
48,-3704.8194205000004,32.8
49,-3680.420649,32.54
50,-3679.3678235,32.67
51,-3649.823072,33.17
52,-3674.686557,33.9
53,-3674.7784494999996,34.26
54,-3618.784411,33.58
55,-3628.5959045,33.73
56,-3589.5730980000003,33.61
57,-3642.0568430000003,32.44
58,-3678.225731,33.35
59,-3775.04892,33.07
60,-3760.4642675,33.13
61,-3686.879379,32.94
62,-3658.2089189999997,31.65
63,-3789.4130305,33.51
64,-3778.8742735,33.12
65,-3778.393807,32.3
66,-3874.576374,55.38
67,-3772.0637265,32.58
68,-3750.73679,33.46
69,-3783.6421815000003,33.05
70,-3765.1744145000002,33.13
71,-3836.963461,33.08
72,-3853.1654215,33.01
73,-3838.6175259999995,34.1
74,-3876.7292840000005,33.34
75,-3902.9895349999997,33.62
76,-3754.932339,33.31
77,-3882.8335715,33.43
78,-3807.5552355,33.54
79,-3807.1981675,32.43
80,-3792.981085,33.15
81,-3832.295322,33.86
82,-3895.3755850000002,33.49
83,-3801.30392,31.83
84,-3849.8835464999997,33.32
85,-3856.1847464999996,34.19
86,-3865.6838055000003,32.82
87,-3892.119965,33.02
88,-3810.9867639999998,33.17
89,-3845.685372,33.13
90,-3863.538772,33.48
91,-3855.137172,34.12
92,-3772.37091,33.72
93,-3829.2129849999997,33.04
94,-3800.2038355,32.05
95,-3774.6892264999997,31.06
96,-3820.7720025,32.79
97,-3724.2113635,33.5
98,-3786.7113910000003,32.63
99,-3712.357231,33.39
100,-3763.102895,33.0
101,-3724.7994755,33.63
102,-3680.0740830000004,32.88
103,-3687.1760605,30.84
104,-3740.171778,31.9
105,-3678.152217,32.43
106,-3722.6885735,33.1
107,-3833.1643625,33.45
108,-3835.766233,33.63
109,-3821.5255209999996,33.41
110,-3782.8387785,32.31
111,-3795.8875135000003,32.63
112,-3838.7382989999996,32.47
113,-3743.926243,32.45
114,-3735.4169975,32.01
115,-3787.147224,31.35
116,-3858.3901665000003,32.15
117,-3808.040953,30.73
118,-3791.0329640000004,31.44
119,-3783.7997115000003,32.21
120,-3777.401368,32.23
121,-3814.0717265000003,31.5
122,-3933.8365344999997,32.33
123,-3810.692708,32.72
124,-3862.7091139999998,32.77
125,-3866.9808025,32.11
126,-3858.3507839999997,33.09
127,-3824.5317185000004,31.82
128,-3754.5411395,31.96
129,-3810.3960265,31.69
130,-3769.6115095,32.28
131,-3790.339832,32.32
132,-3758.366493,31.05
133,-3833.487299,31.51
134,-3822.0584975,30.67
135,-3823.447387,31.64
136,-3850.8261009999997,31.55
137,-3912.4439605,31.82
138,-3846.3653765000004,32.2
139,-3904.8142575,32.92
140,-3867.7789545,33.37
141,-3826.4509590000002,31.84
142,-3845.543595,32.19
143,-3797.8828934999997,33.18
144,-3858.0383495,33.34
145,-3806.339629,33.39
146,-3782.332057,31.39
147,-3843.464199,31.61
148,-3865.0956935,32.72
149,-3779.6382940000003,32.29
150,-3858.0934850000003,33.13
151,-3844.9213515,32.68
152,-3858.7472345,32.07
153,-3883.1486314999997,33.62
154,-3858.9887805,30.72
155,-3912.1682829999995,30.34
156,-3845.349308,32.14
157,-3847.654497,31.15
158,-3829.055455,30.35
159,-3826.9865609999997,31.47
160,-3805.9746845,31.61
161,-3940.0747224999996,32.6
162,-3927.086374,32.59
163,-3877.5746950000002,31.55
164,-3842.8130749999996,32.6
165,-3772.6544639999997,32.88
166,-3815.765174,31.25
167,-3772.754233,31.87
168,-3732.641844,31.93
169,-3839.919774,33.83
170,-3783.1433365,33.38
171,-3854.228749,33.28
172,-3739.9643634999998,32.57
173,-3796.4546215,32.92
174,-3786.564363,32.58
175,-3821.2813495,33.12
176,-3774.150999,32.99
177,-3818.0729884999996,32.54
178,-3752.516879,32.86
179,-3780.257912,31.59
180,-3770.7247215,32.79
181,-3739.6808095,32.51
182,-3765.9883194999998,32.42
183,-3827.1677205,32.52
184,-3773.8201860000004,33.62
185,-3758.261473,34.31
186,-3736.6772375,32.16
187,-3809.474476,32.69
188,-3798.83595,33.09
189,-3764.8672309999997,32.94
190,-3743.2829954999997,33.27
191,-3766.022451,31.39
192,-3782.9070415,32.24
193,-3814.7412289999997,32.89
194,-3930.499524,31.75
195,-3781.0481875,32.7
196,-3867.035938,32.19
197,-3823.7020605000002,32.01
198,-3802.9842399999998,33.71
199,-3823.9068495,34.35
200,-3846.4625199999996,34.11
201,-3750.8391845,33.07
202,-3765.7572755,34.92
203,-3848.925239,33.99
204,-3841.663106,34.13
205,-3758.791824,33.87
206,-3770.1996215000004,33.74
207,-3795.806123,33.17
208,-3801.4378205000003,32.34
209,-3733.0251670000002,32.46
210,-3756.5076390000004,33.21
211,-3720.412265,32.77
212,-3683.10391,33.25
213,-3698.5759815,32.99
214,-3717.8366494999996,32.34
215,-3754.5306375000005,33.92
216,-3745.6301925000002,32.77
217,-3770.3939085,33.17
218,-3748.0561545,32.78
219,-3857.4292335,33.46
220,-3810.955258,32.98
221,-3871.8589815,33.53
222,-3778.3806795,32.77
223,-3861.7849380000002,34.03
224,-3818.6348455,32.74
225,-3877.7978624999996,33.91
226,-3850.4716585,33.98
227,-3855.331459,33.66
228,-3841.2246474999997,33.74
229,-3883.329791,33.96
230,-3892.6109335,33.36
231,-3782.935922,33.68
232,-3930.3314920000003,33.76
233,-3844.603666,33.99
234,-3877.102105,32.5
235,-3775.6501595,31.38
236,-3743.894737,33.05
237,-3780.9851755000004,33.47
238,-3758.355991,33.84
239,-3794.356847,33.12
240,-3798.6232845000004,33.43
241,-3692.1014985,33.55
242,-3741.5921735,32.91
243,-3780.677992,31.83
244,-3808.4741605,33.59
245,-3882.6655395,33.2
246,-3794.1809385,34.52
247,-3869.3595055,33.88
248,-3901.2777090000004,34.61
249,-3809.0307665,33.61
250,-3778.472572,33.18
251,-3804.5096555,33.4
252,-3922.6939125,33.84
253,-3817.445494,33.72
254,-3846.6121735,33.49
255,-3936.475162,32.7
256,-3822.2344060000005,32.34
257,-3904.911401,32.67
258,-3985.866068,32.73
259,-3916.5975015000004,32.73
260,-3834.4429809999997,32.99
261,-3962.4124765,33.66
262,-3833.277259,32.96
263,-3836.1049225,32.92
264,-3860.718985,32.23
265,-3857.2480739999996,32.81
266,-3844.0076774999998,32.43
267,-3846.6856875,32.98
268,-3789.0612134999997,32.14
269,-3833.9703910000003,32.55
270,-3832.8388005,34.04
271,-3837.16825,34.12
272,-3783.13546,33.09
273,-3792.69228,33.23
274,-3858.114489,33.11
275,-3778.189018,34.16
276,-3741.3821335,33.08
277,-3772.6360855,33.48
278,-3797.833009,34.28
279,-3841.1143765,33.65
280,-3945.8665755,34.13
281,-3864.084876,34.98
282,-3858.665844,33.45
283,-3873.6968315000004,33.44
284,-3888.5729145,33.83
285,-3821.4887639999997,34.01
286,-3814.520687,33.25
287,-3866.9282924999998,31.59
288,-3854.4755459999997,32.63
289,-3896.5019245000003,32.96
290,-3917.813108,32.14
291,-3884.4666325,32.73
292,-3819.120563,32.59
293,-3920.1471774999995,33.97
294,-3806.497159,34.35
295,-3871.8327265000003,33.7
296,-3901.361725,35.04
297,-3887.52534,36.1
298,-3858.5818280000003,36.23
299,-3852.490668,35.98
300,-3848.8202189999997,35.36
301,-3969.446191,33.86
302,-3797.854013,35.56
303,-3864.242406,36.73
304,-3804.7512014999998,35.71
305,-3814.2345075000003,34.11
306,-3790.2951985,33.38
307,-3757.6261019999997,33.13
308,-3760.3802515,32.81
309,-3865.2899804999997,34.2
310,-3839.294905,34.32
311,-3809.1804199999997,34.32
312,-3785.0809555,34.48
313,-3821.409999,34.23
314,-3842.172453,33.5
315,-3850.4769095,33.72
316,-3904.6068429999996,34.27
317,-3900.6607165,34.81
318,-3922.071669,33.9
319,-3813.843308,33.7
320,-3838.79606,34.22
321,-3818.2830285,34.59
322,-3832.2874455,33.57
323,-3880.105677,33.17
324,-3836.107548,33.81
325,-3778.5959705000005,34.77
326,-3769.614135,34.16
327,-3821.7880710000004,33.92
328,-3713.8590169999998,33.11
329,-3723.6862635,33.52
330,-3807.2769325,34.36
331,-3794.7532975000004,33.87
332,-3885.5220835,33.82
333,-3859.2539560000005,33.28
334,-3787.0028215,33.85
335,-3773.2110700000003,32.36
336,-3821.420501,31.87
337,-3742.6056165,33.07
338,-3791.626327,33.58
339,-3699.6734404999997,32.81
340,-3718.8789730000003,32.53
341,-3715.8622735,32.93
342,-3723.4263389999996,32.87
343,-3714.147822,33.0
344,-3667.356161,32.05
345,-3700.0725165000003,33.3
346,-3729.9900890000004,33.03
347,-3682.0300805,33.38
348,-3728.6642115,33.24
349,-3684.542684,33.03
350,-3757.2033965,34.15
351,-3684.117353,34.56
352,-3698.316057,33.26
353,-3703.8217305000003,33.91
354,-3772.0689774999996,34.56
