model,Gsolv,timing
0,-19026.793711,30.8
1,-19026.9171095,32.16
2,-19237.5347195,31.4
3,-18958.388934000002,31.48
4,-19097.860745,32.63
5,-18910.7492365,33.22
6,-18875.249851,33.63
7,-18457.8137295,33.44
8,-19011.697086,33.06
9,-18786.045863,31.69
10,-19015.782364,31.37
11,-18965.409521,30.46
12,-18622.4220775,30.37
13,-19027.20854,31.98
14,-18746.043745,32.21
15,-18835.027191,31.95
16,-18889.2306385,32.33
17,-18989.2989455,32.58
18,-18698.094238499998,32.68
19,-19149.2549075,32.07
20,-18917.977238,32.64
21,-18987.104027499998,33.57
22,-18776.604565,33.94
23,-19007.021070500003,34.07
24,-18780.064974,33.18
25,-18856.482777,32.98
26,-18782.790243,31.9
27,-18917.709437,31.4
28,-19156.482909000002,33.31
29,-18927.786106,33.27
30,-18785.898835,33.08
31,-18654.287771,32.71
32,-18684.7619495,32.68
33,-18779.5845075,32.2
34,-19301.379003,32.5
35,-19212.2826605,31.43
36,-19391.5990595,31.05
37,-18931.968527499997,31.42
38,-19357.102615,31.89
39,-19293.712543,31.55
40,-19084.244902000002,32.08
41,-19230.453746,32.56
42,-19040.2441475,31.85
43,-19110.904229,31.13
44,-19045.198465999998,32.51
45,-19195.093512,32.23
46,-19088.8369015,33.11
47,-19290.3282735,34.36
48,-19361.019861,32.92
49,-18870.505572500002,32.75
50,-18954.860262,32.78
51,-19260.741514,32.85
52,-19097.214872,34.9
53,-18969.211245,32.97
54,-19095.9099985,32.38
55,-19089.5877945,32.26
56,-19166.241892500002,32.44
57,-19298.79026,32.77
58,-19463.5272575,33.52
59,-19184.4786155,34.43
60,-18897.8842865,33.94
61,-19116.4204045,33.96
62,-18994.1141125,34.73
63,-18890.9529665,33.37
64,-18767.882654,33.52
65,-18665.5170345,34.33
66,-18807.7088635,34.22
67,-18821.0148975,33.01
68,-18711.09834,34.01
69,-18771.8340315,32.95
70,-18837.295622999998,32.54
71,-19040.593339,32.36
72,-18505.899761999997,32.9
73,-18815.1442795,32.88
74,-18316.8243795,33.12
75,-18486.5682055,33.04
76,-18531.1544465,34.25
77,-18296.79444,33.92
78,-18460.9695805,34.35
79,-18345.5578515,32.99
80,-18436.3686455,33.87
81,-18829.647541500002,34.63
82,-18387.067006499998,33.6
83,-18779.216937499998,34.42
84,-18770.7628275,32.91
85,-18830.390558,33.64
86,-18672.5953825,32.75
87,-18628.825672,33.17
88,-18277.5363975,33.04
89,-18298.9919835,32.83
90,-18688.4534025,33.69
91,-18590.6167705,32.77
92,-18723.469696,33.9
93,-18899.9243,33.38
94,-18726.158208,32.99
95,-18772.122836500002,33.24
96,-18577.0796925,33.67
97,-18734.914250499998,33.79
98,-18511.4684475,33.21
99,-18833.399381,32.26
100,-18755.553306,33.21
101,-18485.494376000002,32.72
102,-18553.5709655,31.72
103,-18719.6600955,31.88
104,-18773.572112500002,32.41
105,-18959.349867,31.97
106,-18845.8731315,32.91
107,-18658.6067185,33.01
108,-19236.615794499998,32.32
109,-18851.084749,33.03
110,-18831.1335745,32.87
111,-18915.582782,32.99
112,-18722.9472215,32.89
113,-18549.9477755,31.26
114,-18883.2129925,32.32
115,-18835.8857295,32.5
116,-18953.0512925,32.29
117,-19254.9942945,31.45
118,-19168.2057665,32.38
119,-19167.2395825,31.55
120,-19199.6224995,32.02
121,-19477.5106705,32.36
122,-19302.8729125,31.92
123,-19238.965617,33.08
124,-18638.960102,32.78
125,-18775.4204645,32.15
126,-18503.006461,31.76
127,-19010.053523,30.98
128,-19084.6518545,32.75
129,-19116.979636,32.63
130,-19023.685119,32.55
131,-18922.167536,32.61
132,-18812.405883,32.68
133,-18937.2195275,33.33
134,-19249.425609,32.87
135,-19041.373112499998,33.11
136,-19279.345807,32.65
137,-19002.4369475,33.81
138,-19271.0255975,33.13
139,-19088.0124945,34.09
140,-19372.4591645,33.07
141,-19101.8593815,33.04
142,-18886.287453,34.64
143,-19118.024585,33.39
144,-19032.966261499998,34.94
145,-19104.408742,32.48
146,-18973.968651,32.5
147,-19270.786677,33.33
148,-18903.473975999997,33.88
149,-19014.0784145,33.33
150,-18722.897337,33.53
151,-18922.283058,33.22
152,-19284.686074,33.39
153,-18697.839565,33.26
154,-18669.7650935,33.56
155,-18928.9544535,33.92
156,-18827.024667,33.52
157,-19118.512928,33.32
158,-18841.383526499998,32.27
159,-18932.6879145,32.2
160,-18570.665596,32.56
161,-18474.96087,32.7
162,-18708.8062785,31.99
163,-18668.3420725,32.88
164,-18502.061281000002,32.47
165,-18621.891726500002,31.9
166,-18655.2880865,32.67
167,-18931.0391005,32.19
168,-19173.742946,32.39
169,-18776.5179235,32.1
170,-18755.8867445,31.62
171,-18853.7601335,31.54
172,-18932.228452,32.13
173,-18863.1594235,31.4
174,-18865.7744215,32.09
175,-18915.6904275,31.73
176,-19236.93348,32.25
177,-18540.582617,32.97
178,-19211.707675999998,31.56
179,-19298.724622499998,32.62
180,-18977.0063545,31.23
181,-18870.103871,32.36
182,-19119.925447,31.46
183,-18704.2116535,31.85
184,-18792.971932,32.61
185,-18885.8017355,32.69
186,-18951.1504305,32.97
187,-18798.711275,31.96
188,-18821.4087225,32.46
189,-19095.639572,31.44
190,-18841.097347,31.54
191,-18764.71105,32.35
192,-18654.035723,30.84
193,-19156.2597415,30.98
194,-18733.0711495,30.02
195,-18796.264309000002,31.19
196,-18700.1841365,31.62
197,-18925.3365145,30.37
198,-18978.9282205,30.61
199,-18729.763019500002,31.35
200,-18417.979643500003,30.47
201,-18897.041501,31.67
202,-18994.408168500002,31.39
203,-18400.015972499998,30.22
204,-18589.5035585,30.9
205,-18514.632175,31.07
206,-18691.412341,30.63
207,-18993.743917,32.01
208,-18599.698375,31.59
209,-18885.0403405,33.16
210,-18728.733823500002,32.88
211,-18461.772983500003,31.71
212,-18777.922566,31.33
213,-18635.4130515,31.65
214,-18353.9962085,30.41
215,-18475.769524,30.05
216,-18306.797595,30.5
217,-18566.6302025,30.89
218,-18481.2016835,30.85
219,-18343.0058655,31.55
220,-18758.3914715,31.47
221,-18291.9818985,31.23
222,-18731.2122955,31.09
223,-18671.826111000002,32.18
224,-18662.0198685,32.93
225,-18503.0720985,31.68
226,-18121.6447095,31.42
227,-18536.211159500002,31.85
228,-18380.193447499998,31.54
229,-18591.512066,31.25
230,-18550.4308675,31.6
231,-18472.6793105,31.84
232,-18615.278092,31.01
233,-18605.340574500002,31.86
234,-18282.0365045,32.02
235,-18652.901507,31.43
236,-18901.1871655,31.83
237,-18907.811302,32.21
238,-18611.675906,31.06
239,-18641.9400445,30.82
240,-18434.767090499998,31.07
241,-18530.9601595,31.01
242,-18500.4098415,31.2
243,-18147.167194999998,31.44
244,-18443.166065,32.34
245,-18348.737332,31.61
246,-18462.6499005,32.5
247,-18340.897589,31.64
248,-17812.484208,32.04
249,-18170.0746825,32.95
250,-18485.8488185,32.23
251,-18741.7037935,32.29
252,-18397.529624,32.05
253,-18885.9750185,32.89
254,-18542.769658499998,32.15
255,-18796.37458,31.78
256,-19005.1464635,33.74
257,-18750.6094895,31.65
258,-18784.4679375,33.26
259,-19084.6255995,33.53
260,-18750.2156645,33.0
261,-18957.653794,33.54
262,-18862.22212,33.25
263,-18969.662831,33.27
264,-18765.7848795,32.9
265,-19129.81308,32.37
266,-19098.170554,33.31
267,-18639.427441,32.27
268,-19209.654534999998,32.27
269,-18956.9107775,33.05
270,-19085.465759500003,32.56
271,-19409.502344,32.24
272,-19043.203086,32.04
273,-19209.9459655,33.63
274,-19414.8557385,32.89
275,-18980.101819,32.3
276,-18991.984832000002,32.43
277,-19000.528209,32.93
278,-19342.4391975,32.31
279,-19328.266748500002,33.38
280,-18964.03901,32.32
281,-19052.7257745,33.16
282,-19040.656350999998,32.77
283,-18843.796361,33.08
284,-19136.067021,34.28
285,-19172.834523,33.8
286,-19287.3404545,34.86
287,-19333.39435,33.34
288,-19201.213552499998,33.5
289,-19075.864306,32.71
290,-19450.2054705,33.62
291,-18895.266663,33.25
292,-19201.4813535,31.62
293,-19622.40939,32.54
294,-19479.571688,32.41
295,-19688.7163925,31.57
296,-19406.4383855,32.01
297,-19179.876114,31.62
298,-19137.4034005,31.91
299,-19225.297264,32.32
300,-19023.175772,32.03
301,-19022.666425,32.78
302,-19428.316677000003,33.96
303,-19059.2842735,33.06
304,-19249.992717,33.58
305,-19124.2391435,33.04
306,-19106.1546995,31.96
307,-19030.4300285,31.98
308,-18811.5683485,31.52
309,-18953.925584,32.16
310,-18590.540631,31.41
311,-18887.799741,30.79
312,-18946.5820605,31.23
313,-19181.9948925,31.01
314,-19154.1908475,31.9
315,-19144.9490875,31.46
316,-19467.8645835,30.65
317,-19325.418081,31.76
318,-19138.088656,31.57
319,-19175.7146965,32.62
320,-19453.626496999997,31.73
321,-19299.4545115,32.57
322,-19194.5867905,32.46
323,-19338.461565,33.6
324,-19590.3756645,33.34
325,-19293.4106105,33.27
326,-19242.6701975,32.42
327,-19301.57329,32.69
328,-18839.6086885,32.21
329,-18913.0491745,34.03
330,-19041.811571,32.0
331,-18998.296534,33.05
332,-18936.712806,32.63
333,-18652.092853,31.88
334,-18843.591572,31.55
335,-18705.844714500003,31.4
336,-18570.5159425,32.55
337,-19037.8811975,32.25
338,-18955.95247,31.79
339,-18870.959784,31.4
340,-18854.3745005,31.54
341,-18633.4386755,32.19
342,-18585.8751175,31.43
343,-18739.070417,31.24
344,-18614.1254975,32.03
345,-18963.456149,31.04
346,-19047.414387999997,31.49
347,-19119.9700805,31.75
348,-19084.817261,32.11
349,-18953.277085499998,31.12
350,-19103.9072715,30.45
351,-19011.9045005,31.2
352,-18871.658166999998,31.58
353,-18659.181703000002,30.29
354,-18741.811439,31.45
355,-18815.1075225,31.39
356,-19408.8065865,31.72
357,-19120.337650499998,31.22
358,-19367.0611365,30.88
359,-19278.426882,31.51
360,-18883.205116,31.71
361,-19310.3503365,31.72
362,-19312.7237885,31.93
363,-19251.2503315,31.79
364,-19190.703675999997,32.1
365,-19027.922676000002,31.73
366,-18941.979559,30.9
367,-19410.1140855,31.49
368,-18980.773947,30.71
369,-18866.596203,31.59
370,-18963.6058025,32.48
371,-18877.9357375,31.87
372,-18860.523421500002,33.01
373,-19060.97247,32.39
374,-19090.078763,32.87
375,-18814.837096,32.58
376,-18568.334152,31.9
377,-18904.390275499998,33.43
378,-18819.468478,32.56
379,-19610.206066,32.31
380,-19519.531798,32.58
381,-19306.5591145,31.21
382,-19237.3036755,31.56
383,-19132.044755000003,31.26
