model,Gsolv,timing
0,-15.7818805,0.08
1,-14.792067000000001,0.06
2,-16.010299,0.06
3,-16.404124,0.07
4,-17.680117000000003,0.07
5,-14.666043,0.06
6,-15.0047325,0.07
7,-16.2702235,0.08
8,-15.64798,0.06
9,-16.320108,0.07
10,-16.519645999999998,0.07
11,-17.874404,0.07
12,-16.5695305,0.06
13,-18.147456,0.07
14,-15.915780999999999,0.08
15,-16.9055945,0.08
16,-14.65029,0.07
17,-16.309606,0.08
18,-17.375559,0.05
19,-16.839957000000002,0.07
20,-17.302045,0.07
21,-16.041805,0.08
22,-17.420192500000002,0.08
23,-17.564595,0.08
24,-18.331241000000002,0.08
25,-16.624666,0.09
26,-15.658482,0.07
27,-17.984675,0.09
28,-17.055248,0.08
29,-17.0946305,0.07
30,-14.419246000000001,0.09
31,-16.018175499999998,0.08
32,-16.440881,0.08
33,-16.8530845,0.08
34,-15.973542,0.08
35,-16.2544705,0.06
36,-15.0047325,0.07
37,-14.369361499999998,0.07
38,-15.7503745,0.09
39,-14.870832,0.07
40,-15.128131,0.07
41,-17.302045,0.06
42,-18.743444500000003,0.09
43,-17.4149415,0.08
44,-17.5882245,0.06
45,-15.542959999999999,0.05
46,-16.8950925,0.07
47,-17.044746,0.07
48,-16.913471,0.08
49,-17.375559,0.07
50,-16.241343,0.06
51,-17.8770295,0.08
52,-17.706371999999998,0.08
53,-16.0129245,0.07
54,-16.3122315,0.08
55,-14.146194000000001,0.06
56,-14.847202500000002,0.07
57,-14.844577000000001,0.06
58,-14.5268915,0.09
59,-15.222649,0.09
60,-14.915465500000002,0.08
61,-14.5688995,0.07
62,-14.889210499999999,0.08
63,-15.096625,0.06
64,-13.7970025,0.09
65,-15.569215000000002,0.07
66,-14.6109075,0.1
67,-15.264657,0.08
68,-17.491081,0.08
69,-17.034244,0.07
70,-17.989926,0.06
71,-15.9131555,0.08
72,-16.078562,0.07
73,-15.5088285,0.08
74,-15.041489499999999,0.07
75,-16.461885000000002,0.09
76,-17.044746,0.07
77,-17.0998815,0.06
78,-17.2311565,0.08
79,-17.197025,0.06
80,-15.521956,0.08
81,-16.881965,0.07
82,-16.293853,0.07
83,-17.422818,0.07
84,-17.2364075,0.07
85,-17.433320000000002,0.07
86,-15.1832665,0.08
87,-16.4277535,0.07
88,-15.611222999999999,0.09
89,-14.973226499999999,0.08
90,-15.650605500000001,0.06
91,-15.8396415,0.07
92,-16.057558,0.08
93,-16.834706,0.07
94,-15.590219,0.08
95,-15.369677,0.09
96,-16.913471,0.06
97,-19.118891,0.09
98,-18.648926499999998,0.07
99,-15.7346215,0.06
100,-15.5928445,0.05
101,-16.6430445,0.07
102,-17.732626999999997,0.09
103,-15.503577499999999,0.08
104,-16.304355,0.08
105,-14.681795999999999,0.06
106,-17.9242885,0.08
107,-16.154701499999998,0.07
108,-17.6669895,0.08
109,-17.737878,0.09
110,-16.524897,0.08
111,-16.792697999999998,0.06
112,-16.624666,0.09
113,-17.4306945,0.06
114,-17.38081,0.08
115,-16.3752435,0.09
116,-15.5613385,0.08
117,-13.902022500000001,0.07
118,-16.3279845,0.07
119,-16.4067495,0.08
120,-18.157958,0.06
121,-15.104501500000001,0.08
122,-17.7772605,0.07
123,-16.4697615,0.08
124,-15.831764999999999,0.08
125,-16.5905345,0.07
126,-17.1733955,0.08
127,-16.750690000000002,0.07
128,-17.934790500000002,0.09
129,-15.9814185,0.05
130,-15.8133865,0.07
131,-14.9259675,0.09
132,-18.7276915,0.08
133,-18.047687,0.08
134,-17.002738,0.08
135,-17.5514675,0.07
136,-19.1477715,0.08
137,-16.125821,0.08
138,-18.1658345,0.08
139,-16.7690685,0.07
140,-16.8005745,0.07
141,-16.656171999999998,0.07
142,-16.887216000000002,0.06
143,-15.915780999999999,0.07
144,-16.6535465,0.08
145,-14.828824000000001,0.08
146,-15.9026535,0.05
147,-18.016181,0.09
148,-17.5724715,0.08
149,-16.818953,0.05
150,-15.910530000000001,0.08
151,-18.2078425,0.09
152,-17.107758,0.09
153,-16.9055945,0.06
154,-18.110699,0.06
155,-16.635168,0.08
156,-17.3151725,0.07
157,-16.0444305,0.09
158,-16.8898415,0.08
159,-17.7615075,0.08
160,-17.9085355,0.09
161,-15.377553500000001,0.1
162,-15.7818805,0.07
163,-15.758251000000001,0.07
164,-14.3641105,0.08
165,-15.5613385,0.09
166,-17.8770295,0.07
167,-18.5596595,0.08
168,-15.795008,0.08
169,-16.8110765,0.09
170,-16.354239500000002,0.06
171,-15.9079045,0.09
172,-17.4149415,0.08
173,-16.708682,0.07
174,-16.2229645,0.08
175,-18.782827,0.08
176,-16.141574,0.07
177,-16.6430445,0.08
178,-16.2229645,0.08
179,-16.692929,0.08
180,-15.984043999999999,0.08
181,-18.278731,0.08
182,-17.0211165,0.1
183,-16.587909,0.09
184,-16.740188,0.05
185,-19.139895,0.08
186,-17.598726499999998,0.08
187,-19.412947000000003,0.08
188,-18.538655499999997,0.07
189,-17.3729335,0.07
190,-17.814017500000002,0.08
191,-17.953169000000003,0.08
192,-17.6512365,0.08
193,-18.5649105,0.08
194,-18.7907035,0.06
195,-18.609544,0.09
196,-18.4966475,0.08
197,-17.4832045,0.09
198,-19.5678515,0.08
199,-17.049996999999998,0.06
200,-18.194715000000002,0.09
201,-17.559344,0.06
202,-18.593791,0.08
203,-18.283981999999998,0.07
204,-17.856025499999998,0.06
205,-18.3443685,0.07
206,-16.897718,0.06
207,-15.495701,0.07
208,-16.7060565,0.08
209,-17.081502999999998,0.08
210,-16.062809,0.08
211,-16.456634,0.06
212,-17.1051325,0.08
213,-16.6745505,0.09
214,-16.5695305,0.06
215,-16.377869,0.09
216,-17.9873005,0.08
217,-16.48814,0.07
218,-16.703431,0.06
219,-15.989295,0.08
220,-17.5724715,0.07
221,-17.270539,0.07
222,-17.0053635,0.08
223,-17.711623,0.07
224,-14.382489000000001,0.08
225,-17.365057,0.05
226,-16.456634,0.08
227,-16.136323,0.08
228,-15.361800500000001,0.06
229,-17.1786465,0.09
230,-16.8845905,0.08
231,-17.446447499999998,0.08
232,-16.7533155,0.08
233,-15.8448925,0.09
234,-16.083813,0.08
235,-16.22559,0.07
236,-15.0047325,0.05
237,-16.4645105,0.08
238,-17.1366385,0.08
239,-15.842267000000001,0.07
240,-15.2882865,0.09
241,-16.587909,0.08
242,-15.422187,0.07
243,-14.676545,0.07
244,-14.421871499999998,0.07
245,-15.642729,0.08
246,-14.6319115,0.08
247,-15.9709165,0.09
248,-15.7293705,0.08
249,-16.986985,0.09
250,-16.7428135,0.07
251,-16.425128,0.08
252,-17.735252499999998,0.09
253,-16.9213475,0.06
254,-15.973542,0.1
255,-14.9942305,0.09
256,-15.6821115,0.06
257,-16.763817500000002,0.08
258,-15.900027999999999,0.06
259,-16.719184000000002,0.08
260,-15.6033465,0.06
261,-16.587909,0.07
262,-15.897402499999998,0.07
263,-16.041805,0.08
264,-16.089064,0.06
265,-17.622356,0.07
266,-15.590219,0.07
267,-14.676545,0.08
268,-16.5117695,0.07
269,-16.3857455,0.08
270,-16.1074425,0.08
271,-16.146825,0.09
272,-16.104817,0.08
273,-17.433320000000002,0.08
274,-18.5491575,0.1
275,-14.175074500000001,0.07
276,-17.254786,0.08
277,-16.771694,0.06
278,-15.443191,0.1
279,-17.076252,0.09
280,-16.866212,0.07
281,-16.934475,0.06
282,-17.3204235,0.08
283,-16.1179445,0.08
284,-16.514395,0.08
285,-18.094946,0.07
286,-17.617105,0.07
287,-16.7480645,0.07
288,-16.776945,0.07
289,-17.6669895,0.09
290,-16.7428135,0.09
291,-16.6587975,0.09
292,-16.288602,0.08
293,-15.353924,0.09
294,-14.983728500000002,0.08
295,-15.795008,0.07
296,-14.8629555,0.08
297,-15.104501500000001,0.08
298,-14.5163895,0.06
299,-15.146509499999999,0.08
300,-15.503577499999999,0.08
301,-15.532458,0.08
302,-14.434999000000001,0.06
303,-14.918091,0.07
304,-15.422187,0.08
305,-14.8419515,0.07
306,-15.7398725,0.08
307,-14.886584999999998,0.08
308,-16.17308,0.08
309,-15.537709,0.09
310,-14.760561000000001,0.07
311,-15.367051499999999,0.08
312,-14.849827999999999,0.06
313,-13.951907,0.06
314,-15.3933065,0.08
315,-15.632227,0.07
316,-15.6558565,0.08
317,-14.2380865,0.08
318,-16.288602,0.08
319,-15.3933065,0.09
320,-15.632227,0.1
321,-14.855079,0.07
322,-14.613532999999999,0.08
323,-15.921032,0.08
324,-14.763186500000002,0.07
325,-14.5531465,0.07
326,-16.325359,0.07
327,-15.921032,0.08
328,-14.592528999999999,0.08
329,-14.2958475,0.06
330,-13.405803,0.07
