model,Gsolv,timing
0,-2033.1530685,30.52
1,-2031.1471864999999,31.84
2,-2063.8294105,31.1
3,-2024.4206555,31.15
4,-2052.5660155,32.7
5,-2029.9210779999999,32.47
6,-2015.7460035000001,33.07
7,-1956.2049145,33.27
8,-2026.1009755,32.95
9,-2001.1062155,31.45
10,-2024.0924679999998,31.2
11,-2025.090158,30.29
12,-1969.4479365,30.2
13,-2038.8346505,31.6
14,-1992.6993645,31.77
15,-2006.6565225,31.78
16,-2013.333169,32.42
17,-2030.6037079999999,32.19
18,-1996.813523,32.39
19,-2054.5193875,32.29
20,-2016.6649284999999,31.96
21,-2030.0707315000002,32.86
22,-1992.906779,33.72
23,-2031.8455695000002,33.64
24,-1996.5746025,33.14
25,-2011.7604945,32.88
26,-1998.7878990000002,31.68
27,-2022.958252,31.18
28,-2057.326047,33.03
29,-2016.7909525,32.82
30,-1997.863723,32.93
31,-1973.7038719999998,32.18
32,-1981.9426910000002,32.28
33,-2004.327704,31.82
34,-2070.0150885,32.3
35,-2062.676816,31.33
36,-2090.4677334999997,30.98
37,-2017.4788335,31.75
38,-2079.653299,31.71
39,-2076.7232409999997,31.04
40,-2044.3035670000002,31.82
41,-2064.656443,32.37
42,-2039.220599,31.56
43,-2050.0612885,31.46
44,-2038.973802,31.95
45,-2063.7138885,31.72
46,-2052.7077925,32.32
47,-2074.964156,34.05
48,-2090.092287,32.88
49,-2015.407314,32.64
50,-2021.7163905,32.85
51,-2068.3400195,32.7
52,-2050.189938,34.1
53,-2025.0008910000001,32.78
54,-2037.7844505,32.0
55,-2036.6712385,31.84
56,-2046.908063,32.16
57,-2068.783729,32.25
58,-2092.581261,33.05
59,-2047.4462905,34.11
60,-2008.9590859999998,33.77
61,-2042.980315,33.91
62,-2021.0232584999999,34.68
63,-2002.8600495,33.37
64,-1989.1391865,33.22
65,-1976.807213,33.57
66,-2002.3769575000001,33.93
67,-2004.8449275,32.48
68,-1990.071239,33.45
69,-1995.621546,32.91
70,-2005.771729,32.29
71,-2033.0848055,32.3
72,-1954.831778,32.37
73,-2001.7363355,33.01
74,-1930.981736,33.12
75,-1955.078575,32.51
76,-1957.8799835,34.43
77,-1928.1278175,33.62
78,-1949.717304,33.92
79,-1935.2009145000002,33.15
80,-1952.9204140000002,33.65
81,-2009.9305209999998,34.04
82,-1949.559774,33.38
83,-1999.9142385,34.1
84,-2001.9673794999999,32.65
85,-2004.458979,33.31
86,-1981.1629174999998,32.96
87,-1965.312774,33.08
88,-1923.0054670000002,32.96
89,-1925.756991,32.59
90,-1987.330217,33.7
91,-1970.5086385000002,32.61
92,-1996.146646,33.77
93,-2023.1499135,33.42
94,-1992.0429895,32.48
95,-1996.9579254999999,32.89
96,-1972.884716,33.31
97,-1996.0101200000001,33.67
98,-1962.0335245,33.16
99,-2002.878428,31.98
100,-1986.9652725,32.58
101,-1955.267611,32.41
102,-1967.0823610000002,31.62
103,-1991.9195909999999,31.63
104,-1996.3068015,32.59
105,-2023.1709174999999,31.86
106,-2011.327287,32.6
107,-1977.5528550000001,32.76
108,-2066.6176915,32.1
109,-2010.5606409999998,32.76
110,-2008.7936795,32.29
111,-2014.588158,32.68
112,-1990.0318565000002,32.64
113,-1967.8516325,30.82
114,-2012.1753234999999,32.23
115,-2007.2498855000001,31.87
116,-2023.6382565,31.57
117,-2067.9225650000003,31.22
118,-2055.010356,32.13
119,-2059.9121645,31.18
120,-2064.4595305,32.13
121,-2104.800338,32.24
122,-2077.1406954999998,32.4
123,-2066.573058,33.22
124,-1984.1979955,32.28
125,-2001.4107735,32.01
126,-1959.2268649999999,31.89
127,-2029.4117310000001,30.79
128,-2044.387583,32.08
129,-2044.4768499999998,31.89
130,-2041.4916565,32.74
131,-2018.977994,32.18
132,-2005.0654694999998,32.58
133,-2019.4374565,32.91
134,-2073.971717,32.57
135,-2041.0715765,33.02
136,-2071.971086,32.52
137,-2031.260083,33.64
138,-2077.5397715,33.33
139,-2052.0592939999997,34.23
140,-2095.2251395,33.77
141,-2051.8151225,32.64
142,-2022.3045025000001,34.61
143,-2056.2364645,33.21
144,-2041.4128915000001,35.0
145,-2052.9650915,32.36
146,-2032.987662,32.45
147,-2076.712739,33.84
148,-2020.206728,33.58
